"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,3,62,3,1,5,52,42,18,186
2,9.51589744444444,55.4110941111111,4,77,4,0,0,39,15,11,150
3,9.88525016666667,57.0638338333333,1,66,7,1,1,59,25,17,177
4,10.107444375,56.1718329375,3,162,11,4,1,215,41,26,463
5,9.39475316666667,56.2282926666667,0,23,0,0,0,32,9,3,67
6,12.3813014634146,55.7151783536585,40,879,40,14,0,856,309,142,2280
7,8.63262825,55.73069375,3,110,2,0,0,69,17,13,214
8,15.05214325,55.23235875,1,16,0,0,0,4,2,2,25
9,11.7462085,55.279210875,0,50,2,2,1,34,7,5,101
10,10.4154805,57.4606995,1,10,1,0,0,3,4,2,21
11,8.649643,56.6895867857143,0,14,1,0,0,32,4,2,53
12,11.3490285,55.78039975,0,0,0,0,0,8,2,2,12
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,0,2,2,1,0,4,2,1,12
15,10.9399305,56.516157,0,3,0,0,0,4,0,0,7
16,10.6567635,55.883821,0,2,0,0,0,0,0,0,2
17,8.856682,55.0631655,0,1,0,0,0,2,1,1,5
18,9.3581675,56.833725,0,0,0,0,0,1,0,0,1
19,15.1834177222222,59.2446665,74,1,1,0,0,60,1,17,154
20,14.910717,63.131001,8,0,0,0,0,5,2,1,16
21,14.3035100714286,56.3750567142857,39,0,0,0,0,8,3,3,53
22,13.246262,61.649499,2,0,0,0,0,1,0,0,3
23,17.63062,60.6220141666667,110,2,1,0,0,19,13,19,164
24,20.732045,65.762053,2,0,0,2,0,0,0,0,4
25,13.1165099285714,55.9013320714286,499,12,12,5,0,304,133,139,1104
26,12.2777641666667,58.7858365,21,0,0,0,0,8,3,0,32
27,15.65259925,62.66371075,3,0,0,0,0,0,1,0,4
28,13.190291,63.4988545,3,0,0,0,0,1,0,0,4
29,12.134823,59.6293525,9,0,0,0,0,0,0,0,9
30,17.7229565,64.201048,1,0,0,0,0,0,0,0,1
31,15.846178625,58.063031125,82,0,2,0,0,26,11,3,124
32,11.8771330277778,57.8004644444444,859,19,14,3,2,626,105,126,1754
33,14.96001625,58.1864558125,15,0,1,0,1,3,1,1,22
34,12.7597134444444,58.0501567222222,89,0,0,3,0,49,12,34,187
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,21,0,0,0,0,2,1,1,25
37,19.197456,65.65933,1,1,0,0,0,0,0,1,3
38,12.970739,59.5412543,18,0,0,1,0,2,3,2,26
39,14.1985661111111,58.6860156666667,40,3,1,0,1,20,8,8,81
40,18.02042625,59.3589332692308,2164,38,40,18,5,1394,421,250,4330
41,18.4283835,60.386705,6,0,1,0,0,4,1,2,14
42,22.5946015,66.489606,0,0,0,6,0,0,0,0,6
43,23.51346,66.513206,1,0,0,4,0,0,1,0,6
44,16.1008347,59.98051575,19,0,2,0,0,6,0,1,28
45,12.589850875,56.615849,49,4,0,1,0,83,9,20,166
46,13.49591,62.690143,2,0,0,0,0,0,0,0,2
47,18.967192,63.964269,2,0,0,0,0,0,0,0,2
48,21.254209,66.047773,12,0,0,12,0,1,0,2,27
