"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,5,198,5,0,10,174,82,19,493
2,9.51589744444444,55.4110941111111,2,217,9,2,1,244,146,22,643
3,9.88525016666667,57.0638338333333,3,220,9,0,1,216,54,41,544
4,10.107444375,56.1718329375,10,383,16,7,0,733,76,91,1316
5,9.39475316666667,56.2282926666667,0,34,1,1,0,45,45,2,128
6,12.3813014634146,55.7151783536585,152,2609,121,35,15,3355,1183,414,7884
7,8.63262825,55.73069375,2,140,8,3,0,374,52,42,621
8,15.05214325,55.23235875,0,10,0,0,0,54,0,3,67
9,11.7462085,55.279210875,3,84,6,0,0,158,18,21,290
10,10.4154805,57.4606995,1,6,2,0,0,31,4,0,44
11,8.649643,56.6895867857143,0,90,1,1,0,45,20,23,180
12,11.3490285,55.78039975,0,6,1,0,0,16,10,4,37
13,11.027705,57.263521,0,1,0,0,0,1,0,0,2
14,11.2665025,54.816726,0,4,1,0,0,3,2,2,12
15,10.9399305,56.516157,0,6,0,0,0,1,0,1,8
16,10.6567635,55.883821,0,1,0,0,0,1,0,0,2
17,8.856682,55.0631655,0,5,0,0,0,5,4,0,14
18,9.3581675,56.833725,0,1,0,0,0,7,0,2,10
19,15.1834177222222,59.2446665,370,4,1,0,1,285,29,101,791
20,14.910717,63.131001,70,1,0,0,0,31,22,4,128
21,14.3035100714286,56.3750567142857,249,1,1,0,0,31,18,11,311
22,13.246262,61.649499,3,0,0,0,0,1,1,0,5
23,17.63062,60.6220141666667,409,2,2,0,0,64,28,46,551
24,20.732045,65.762053,6,0,1,9,0,0,0,0,16
25,13.1165099285714,55.9013320714286,2324,35,25,32,2,886,716,727,4747
26,12.2777641666667,58.7858365,107,1,0,1,0,25,5,8,147
27,15.65259925,62.66371075,0,0,0,0,0,1,0,2,3
28,13.190291,63.4988545,17,0,0,0,0,6,1,1,25
29,12.134823,59.6293525,6,0,1,0,0,2,0,1,10
30,17.7229565,64.201048,0,0,0,0,0,0,0,0,0
31,15.846178625,58.063031125,291,11,3,0,0,158,45,24,532
32,11.8771330277778,57.8004644444444,3092,27,55,26,3,1820,320,271,5614
33,14.96001625,58.1864558125,87,1,0,0,0,13,5,6,112
34,12.7597134444444,58.0501567222222,425,7,5,4,0,229,27,81,778
35,17.202483,66.3823185,1,0,0,0,0,1,0,0,2
36,18.392183,63.413379,88,1,2,0,0,11,3,11,116
37,19.197456,65.65933,0,0,0,0,0,4,0,1,5
