"lang","date","count"
"Swedish","2016-w44",1
"Swedish","2016-w45",10
"Swedish","2016-w46",2
"Swedish","2016-w47",11
"Swedish","2016-w48",8
"Swedish","2016-w49",7
"Swedish","2016-w50",5
"Swedish","2016-w51",0
"Swedish","2016-w52",8
"Swedish","2017-w01",7
"Swedish","2017-w02",5
"Swedish","2017-w03",6
"Swedish","2017-w04",5
"Swedish","2017-w05",1
"Swedish","2017-w06",5
"Swedish","2017-w07",4
"Swedish","2017-w08",4
"Swedish","2017-w09",4
"Swedish","2017-w10",2
"Swedish","2017-w11",3
"Swedish","2017-w12",5
"Swedish","2017-w13",4
"Swedish","2017-w14",2
"Swedish","2017-w15",3
"Swedish","2017-w16",13
"Swedish","2017-w17",1
"Swedish","2017-w18",2
"Swedish","2017-w19",7
"Swedish","2017-w20",3
"Swedish","2017-w21",6
"Swedish","2017-w22",6
"Swedish","2017-w23",5
"Swedish","2017-w24",8
"Swedish","2017-w25",7
"Swedish","2017-w26",9
"Swedish","2017-w27",16
"Swedish","2017-w28",2
"Swedish","2017-w29",1
"Swedish","2017-w30",9
"Swedish","2017-w31",12
"Swedish","2017-w32",7
"Swedish","2017-w33",8
"Swedish","2017-w34",4
"Swedish","2017-w35",5
"Swedish","2017-w36",7
"Swedish","2017-w37",3
"Swedish","2017-w38",4
"Swedish","2017-w39",14
"Swedish","2017-w40",7
"Swedish","2017-w41",4
"Swedish","2017-w42",4
"Swedish","2017-w43",2
"Swedish","2017-w45",6
"Swedish","2017-w46",8
"Swedish","2017-w47",6
"Swedish","2017-w48",7
"Swedish","2017-w49",1
"Swedish","2017-w50",2
"Swedish","2017-w51",4
"Swedish","2017-w52",6
"Swedish","2018-w01",3
"Swedish","2018-w02",7
"Swedish","2018-w03",3
"Swedish","2018-w04",7
"Swedish","2018-w05",7
"Swedish","2018-w06",6
"Swedish","2018-w07",2
"Swedish","2018-w08",4
"Swedish","2018-w09",1
"Danish","2016-w44",5
"Danish","2016-w45",23
"Danish","2016-w46",28
"Danish","2016-w47",34
"Danish","2016-w48",20
"Danish","2016-w49",31
"Danish","2016-w50",16
"Danish","2016-w51",4
"Danish","2016-w52",9
"Danish","2017-w01",25
"Danish","2017-w02",19
"Danish","2017-w03",13
"Danish","2017-w04",12
"Danish","2017-w05",23
"Danish","2017-w06",13
"Danish","2017-w07",29
"Danish","2017-w08",14
"Danish","2017-w09",12
"Danish","2017-w10",7
"Danish","2017-w11",23
"Danish","2017-w12",15
"Danish","2017-w13",27
"Danish","2017-w14",6
"Danish","2017-w15",7
"Danish","2017-w16",19
"Danish","2017-w17",11
"Danish","2017-w18",4
"Danish","2017-w19",9
"Danish","2017-w20",14
"Danish","2017-w21",23
"Danish","2017-w22",12
"Danish","2017-w23",12
"Danish","2017-w24",24
"Danish","2017-w25",9
"Danish","2017-w26",7
"Danish","2017-w27",8
"Danish","2017-w28",12
"Danish","2017-w29",7
"Danish","2017-w30",11
"Danish","2017-w31",14
"Danish","2017-w32",12
"Danish","2017-w33",14
"Danish","2017-w34",12
"Danish","2017-w35",24
"Danish","2017-w36",17
"Danish","2017-w37",16
"Danish","2017-w38",16
"Danish","2017-w39",11
"Danish","2017-w40",6
"Danish","2017-w41",15
"Danish","2017-w42",20
"Danish","2017-w43",7
"Danish","2017-w45",20
"Danish","2017-w46",24
"Danish","2017-w47",13
"Danish","2017-w48",6
"Danish","2017-w49",9
"Danish","2017-w50",10
"Danish","2017-w51",11
"Danish","2017-w52",12
"Danish","2018-w01",2
"Danish","2018-w02",12
"Danish","2018-w03",12
"Danish","2018-w04",13
"Danish","2018-w05",8
"Danish","2018-w06",11
"Danish","2018-w07",19
"Danish","2018-w08",11
"Danish","2018-w09",2
"Norwegian","2016-w44",32
"Norwegian","2016-w45",226
"Norwegian","2016-w46",199
"Norwegian","2016-w47",327
"Norwegian","2016-w48",274
"Norwegian","2016-w49",205
"Norwegian","2016-w50",166
"Norwegian","2016-w51",81
"Norwegian","2016-w52",116
"Norwegian","2017-w01",296
"Norwegian","2017-w02",152
"Norwegian","2017-w03",183
"Norwegian","2017-w04",161
"Norwegian","2017-w05",216
"Norwegian","2017-w06",202
"Norwegian","2017-w07",158
"Norwegian","2017-w08",175
"Norwegian","2017-w09",121
"Norwegian","2017-w10",79
"Norwegian","2017-w11",218
"Norwegian","2017-w12",168
"Norwegian","2017-w13",240
"Norwegian","2017-w14",94
"Norwegian","2017-w15",82
"Norwegian","2017-w16",172
"Norwegian","2017-w17",95
"Norwegian","2017-w18",103
"Norwegian","2017-w19",136
"Norwegian","2017-w20",133
"Norwegian","2017-w21",280
"Norwegian","2017-w22",168
"Norwegian","2017-w23",135
"Norwegian","2017-w24",151
"Norwegian","2017-w25",173
"Norwegian","2017-w26",193
"Norwegian","2017-w27",85
"Norwegian","2017-w28",65
"Norwegian","2017-w29",70
"Norwegian","2017-w30",73
"Norwegian","2017-w31",96
"Norwegian","2017-w32",125
"Norwegian","2017-w33",163
"Norwegian","2017-w34",135
"Norwegian","2017-w35",154
"Norwegian","2017-w36",157
"Norwegian","2017-w37",148
"Norwegian","2017-w38",116
"Norwegian","2017-w39",124
"Norwegian","2017-w40",98
"Norwegian","2017-w41",127
"Norwegian","2017-w42",116
"Norwegian","2017-w43",88
"Norwegian","2017-w45",140
"Norwegian","2017-w46",220
"Norwegian","2017-w47",116
"Norwegian","2017-w48",75
"Norwegian","2017-w49",82
"Norwegian","2017-w50",129
"Norwegian","2017-w51",106
"Norwegian","2017-w52",147
"Norwegian","2018-w01",103
"Norwegian","2018-w02",122
"Norwegian","2018-w03",217
"Norwegian","2018-w04",147
"Norwegian","2018-w05",99
"Norwegian","2018-w06",128
"Norwegian","2018-w07",186
"Norwegian","2018-w08",97
"Norwegian","2018-w09",21
"Finnish","2016-w44",0
"Finnish","2016-w45",0
"Finnish","2016-w46",0
"Finnish","2016-w47",0
"Finnish","2016-w48",2
"Finnish","2016-w49",2
"Finnish","2016-w50",3
"Finnish","2016-w51",0
"Finnish","2016-w52",0
"Finnish","2017-w01",0
"Finnish","2017-w02",0
"Finnish","2017-w03",1
"Finnish","2017-w04",7
"Finnish","2017-w05",2
"Finnish","2017-w06",1
"Finnish","2017-w07",0
"Finnish","2017-w08",0
"Finnish","2017-w09",0
"Finnish","2017-w10",1
"Finnish","2017-w11",10
"Finnish","2017-w12",1
"Finnish","2017-w13",0
"Finnish","2017-w14",0
"Finnish","2017-w15",2
"Finnish","2017-w16",1
"Finnish","2017-w17",1
"Finnish","2017-w18",2
"Finnish","2017-w19",2
"Finnish","2017-w20",2
"Finnish","2017-w21",2
"Finnish","2017-w22",2
"Finnish","2017-w23",2
"Finnish","2017-w24",11
"Finnish","2017-w25",3
"Finnish","2017-w26",1
"Finnish","2017-w27",1
"Finnish","2017-w28",4
"Finnish","2017-w29",0
"Finnish","2017-w30",2
"Finnish","2017-w31",3
"Finnish","2017-w32",1
"Finnish","2017-w33",1
"Finnish","2017-w34",0
"Finnish","2017-w35",1
"Finnish","2017-w36",3
"Finnish","2017-w37",8
"Finnish","2017-w38",0
"Finnish","2017-w39",2
"Finnish","2017-w40",0
"Finnish","2017-w41",0
"Finnish","2017-w42",0
"Finnish","2017-w43",0
"Finnish","2017-w45",1
"Finnish","2017-w46",4
"Finnish","2017-w47",2
"Finnish","2017-w48",0
"Finnish","2017-w49",2
"Finnish","2017-w50",0
"Finnish","2017-w51",1
"Finnish","2017-w52",2
"Finnish","2018-w01",0
"Finnish","2018-w02",3
"Finnish","2018-w03",5
"Finnish","2018-w04",7
"Finnish","2018-w05",0
"Finnish","2018-w06",3
"Finnish","2018-w07",4
"Finnish","2018-w08",2
"Finnish","2018-w09",0
"Icelandic","2016-w44",0
"Icelandic","2016-w45",3
"Icelandic","2016-w46",0
"Icelandic","2016-w47",1
"Icelandic","2016-w48",0
"Icelandic","2016-w49",0
"Icelandic","2016-w50",0
"Icelandic","2016-w51",1
"Icelandic","2016-w52",0
"Icelandic","2017-w01",0
"Icelandic","2017-w02",1
"Icelandic","2017-w03",0
"Icelandic","2017-w04",0
"Icelandic","2017-w05",0
"Icelandic","2017-w06",0
"Icelandic","2017-w07",0
"Icelandic","2017-w08",0
"Icelandic","2017-w09",0
"Icelandic","2017-w10",0
"Icelandic","2017-w11",1
"Icelandic","2017-w12",0
"Icelandic","2017-w13",0
"Icelandic","2017-w14",1
"Icelandic","2017-w15",1
"Icelandic","2017-w16",1
"Icelandic","2017-w17",1
"Icelandic","2017-w18",0
"Icelandic","2017-w19",1
"Icelandic","2017-w20",0
"Icelandic","2017-w21",0
"Icelandic","2017-w22",1
"Icelandic","2017-w23",0
"Icelandic","2017-w24",1
"Icelandic","2017-w25",0
"Icelandic","2017-w26",0
"Icelandic","2017-w27",0
"Icelandic","2017-w28",0
"Icelandic","2017-w29",0
"Icelandic","2017-w30",0
"Icelandic","2017-w31",1
"Icelandic","2017-w32",0
"Icelandic","2017-w33",0
"Icelandic","2017-w34",0
"Icelandic","2017-w35",2
"Icelandic","2017-w36",0
"Icelandic","2017-w37",1
"Icelandic","2017-w38",0
"Icelandic","2017-w39",0
"Icelandic","2017-w40",1
"Icelandic","2017-w41",3
"Icelandic","2017-w42",0
"Icelandic","2017-w43",0
"Icelandic","2017-w45",0
"Icelandic","2017-w46",0
"Icelandic","2017-w47",0
"Icelandic","2017-w48",0
"Icelandic","2017-w49",1
"Icelandic","2017-w50",1
"Icelandic","2017-w51",1
"Icelandic","2017-w52",0
"Icelandic","2018-w01",0
"Icelandic","2018-w02",1
"Icelandic","2018-w03",0
"Icelandic","2018-w04",0
"Icelandic","2018-w05",0
"Icelandic","2018-w06",1
"Icelandic","2018-w07",0
"Icelandic","2018-w08",0
"Icelandic","2018-w09",0
"English","2016-w44",38
"English","2016-w45",265
"English","2016-w46",242
"English","2016-w47",273
"English","2016-w48",251
"English","2016-w49",244
"English","2016-w50",192
"English","2016-w51",84
