"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,1,43,1,0,0,36,32,4,117
2,9.51589744444444,55.4110941111111,2,42,1,0,0,69,34,12,160
3,9.88525016666667,57.0638338333333,0,30,1,0,0,45,9,5,90
4,10.107444375,56.1718329375,1,57,2,0,0,171,15,18,264
5,9.39475316666667,56.2282926666667,3,19,1,0,0,13,1,2,39
6,12.3813014634146,55.7151783536585,49,501,19,7,1,748,278,104,1707
7,8.63262825,55.73069375,1,15,2,0,0,67,30,12,127
8,15.05214325,55.23235875,0,3,1,0,0,5,0,0,9
9,11.7462085,55.279210875,0,16,2,0,0,57,10,8,93
10,10.4154805,57.4606995,0,3,0,0,0,5,2,1,11
11,8.649643,56.6895867857143,0,8,0,0,0,27,0,5,40
12,11.3490285,55.78039975,0,5,0,0,0,3,1,1,10
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,0,3,0,0,0,2,0,0,5
15,10.9399305,56.516157,0,1,0,0,0,1,0,0,2
16,10.6567635,55.883821,0,0,0,0,0,0,0,0,0
17,8.856682,55.0631655,1,0,0,0,0,0,0,2,3
18,9.3581675,56.833725,0,0,0,0,0,3,0,0,3
19,15.1834177222222,59.2446665,185,1,2,1,1,82,11,36,319
20,14.910717,63.131001,40,0,0,0,0,1,1,2,44
21,14.3035100714286,56.3750567142857,71,0,0,0,1,8,2,5,87
22,13.246262,61.649499,0,0,0,0,0,0,0,0,0
23,17.63062,60.6220141666667,202,3,2,2,0,53,8,14,284
24,20.732045,65.762053,0,0,0,0,0,0,0,0,0
25,13.1165099285714,55.9013320714286,557,8,7,5,1,240,164,159,1141
26,12.2777641666667,58.7858365,25,0,0,1,0,10,2,6,44
27,15.65259925,62.66371075,0,0,0,0,0,0,0,0,0
28,13.190291,63.4988545,10,1,2,0,0,1,2,3,19
29,12.134823,59.6293525,1,0,1,0,0,0,0,0,2
30,17.7229565,64.201048,0,4,8,0,0,0,0,0,12
31,15.846178625,58.063031125,57,1,2,0,0,47,15,4,126
32,11.8771330277778,57.8004644444444,746,9,16,7,3,382,94,62,1319
33,14.96001625,58.1864558125,20,0,0,0,0,2,0,2,24
34,12.7597134444444,58.0501567222222,120,6,3,0,1,52,10,16,208
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,67,2,3,0,1,8,2,3,86
37,19.197456,65.65933,1,0,0,0,0,0,0,0,1
38,12.970739,59.5412543,16,0,2,0,0,16,2,3,39
39,14.1985661111111,58.6860156666667,43,1,1,0,0,19,12,5,81
40,18.02042625,59.3589332692308,1778,20,10,8,3,1203,276,234,3532
41,18.4283835,60.386705,11,1,0,0,0,2,0,1,15
42,22.5946015,66.489606,0,0,0,9,0,1,0,0,10
43,23.51346,66.513206,4,0,0,11,0,1,0,0,16
44,16.1008347,59.98051575,49,1,0,0,0,18,4,6,78
