"cluster_id","cluster_x","cluster_y","hashtags_text","hashtags_lang","hashtags_freq"
1,10.46319967,55.22794778,"abudhabigp alternative assens blog danish denmark denmark dkpol endomondo endorphins europe expediapic experiencef1 forskkom forskpol goddammit harrypotterfestival hpodense hudmun hudmun indie interview landscape lonelyplanet mitodense odense pldk pldk quidditch quidditchworldcup rock sea smdk startups teamnl travel vikings visitdenmark","en en da en sv en sv da en en sv sv en da da en en en da en en en sv sv en en da en en en en sv en en en sv sv en","1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2,9.515897444,55.41109411,"åbnåen berlin camillaläckberg chh comfortfood cordoba dasauto denmark denmark design dk dkpol fisker fredericiastation godegåture goulash graffiti haderzanka heksen hudmun inthenameofjesus inthenameofjesus jota jotajoti2017 keepfighting keeppounding kunst kv17 london lydbog lysabildskov mofibo morningrun mufc newmusic newprofilepic nightfie onelifeanthem onlysingwhenyouarewinning onwardtogether outofshape pldk pølsrev rock royalcopenhagen run running runningwithattitude scouts seat seatcordoba seatespaña selfie sifsje sldk sønderjyske stillwithher streetart sydals thenewlifealbum thenewlifealbum viralvideo vw vwgroup withyou womensrightsarehumanrights","da en da en en en en da en en en da da da da en en da da da en und en en und en en da en da da da en und en und da und und und en da da en en en en en en en en en da da da da und en da en und und en en und und","1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 1 1 1 2 1 1 1 1 1 1"
3,9.885250167,57.06383383,"1division boeing drømmehold ehaalborg endomondo endorphins flying greenapple halloweengo hndbld hudmun hudmun icehockey komigang metalligaen nasty newarrival offline opdagdanmark pl pldk pokemongo proud smokingkillsvapingthrills teammnm travel usliquid vape visitdenmark visitnordjylland","da en da da en en en en en da da en da da da en en en en en da en en en en en en en en en","1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
4,10.10744438,56.17183294,"aahus aarhus æblekage andthenthefightstarted atrobinsplace autumn birder cat catsoftwitter cdpoli colors cricket dance denmark endomondo endorphins federicia firstvisit flag forest gammeldags glory godsbanen halloween hellraiser hiddlesbatch isfugl kingfisher kokossukker lisbjergskov maga mushroom music nature noway pakvsl pumpkins respect respecttheflag rosé rugflager running selfie sherlock skovtur smådetaljer srilanka starbuck starbucks sundpol svampe swfc therealfoxinthebox thewife tolk uhyggeligtype ukpoli ukraine uspoli weekend withmywife woodlandrealm","en en da en und und en da da en en en en en en en da und en en da en en en en en en en da en en en en en da en en en en und da en da en en en en en en da en und und en da da en en en und und en","1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
5,9.394753167,56.22829267,"bsv dkpol endomondo endorphins hamradio hndbld hudmun ineversaidthat jota jota2017 jotajoti jotajoti2017 joti legotechnic nazinejtak pldk scout scouting sge sgebvb sifsje skysport sldk viborg","da da en en en da da und en en en en en und da da en en de de da de da da","1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
6,12.38130146,55.71517835,"10inch 120mm 12inch 35one20 7inch abstractart accessibleolli akvavit alaka aldi amalienborg anime arquitetura art artstagram atlutd autonomousdriving autumn avgeek awesome badminton bajer beautiful beer believeinfilm bestfriends bestintest billicout blackandwhitephotography bladenefalder blueprint bnw bnw_sweden bo47 bolig boligdk boligispanien brøndby brothers brugteknologien bunke byggeri cafe carlberg castle cats catsofinstagram catsoftwitter cd celia ces2018 children chocolate chocolatewine christiansborg christiansborgpalace christiansborgpalace christiansborgslot chronosruler church citylife clairesbirthday climatechange coffeecollective collector comingup contemporaryart copenhagen copenhagen copenhagen copenhagen copenhagen copenhagen copenhagenart copenhague couple coyi cphairport cphculture cphftw cphsw cyclingphotos cyclingpics cyclingshots danishfall danishgooner dbz denmark denmark denmark denmark denmarkopenss denmarksky departmentofopulence designateddriver dk dkbiz dkbyg dkforsvar dkgreen dkmedier dkmedier dkpol dkpol dkpol dktrp dmme dominicansindenmark dragonballz dtp efterår ekozona elektrolux endomondo endorphins energiewende enetime enjoying er ethiopia exhibition f1 fabulouscity fall familyovereverything fastnet fastnetrock fbgway fckagf fckfcm fcklive fcm fejrerhalvårsdag ferie filmisnotdead fitbelledrinks fitbelleeats fitbellegetaways flysas fodboldquiz fog forlænges forum frbkv17 ftlive fujifeed fujifilm fujifilmnordic game7 gfx gloomysky goodbyeparty goodvibes gørdanmarkstørre grateful guld guldbluser guldtrøje halloween halloweeniscoming hardrockcafe heavy heavystuff houseofcards hudman hulk hundeliv husetsbiograf husholdning huslig image inclusive iosdeveloper issaafrique itravel itravel iwonthis jegfinderselvud jegkanhyrestilfester jita juliemoves kærlighedudoveralt kartoffelsalat kat katyperry kbh kbhuni kgsnytorv kickass kisseseverywhere kissingtheskull kissofdeath klem knivangreb københavn kobenhavn kød køkkenvindu kommentering kontokort kööpenhamina kööpenhamina kosovo kredit kreditmulighed kreditramme kreditrammer kv17 læsmed lån landsholdet låneudbyder larsmikkelsen lazarevic lightbro like littlemermaid livetselv london lønningsdag louisiana love love loveit lysterapi malmostartups måned marinaabramovic md80 messe midday mikkeller mikkellerbeer mineto mls mongofinans mongofood mongogameseve mongohome mongonews mongoshopping monroestahr mood moody motorring4 münchen music myheroacademia naked napint narwc nature nebbia nem netto newjob newway nickcave nickcave nickcaveandthebadseeds noplacelikehome nörderi northernsky northwest northwest november nyhed nyy olut ontopoftheworld ontour opera orca originalcoffee overskrift papkasser party passionista pat people perfect photo photograph photographer photography photography photographylover photooftheday photoshoot picoftheday picture pioggia pitstop pl planeporn planespotting pldk portrait postkasse pourover prayformogadishu prayforsomaliacph pure putin quality radikale rain records redhouseandbluelungheartchild regentsevenseas regninger renewableenergy robinsonroams rock rose royalarena rumme russobaltique russobaltique rv saiyan sally sasuke saterdayafternoon savethelasttycoon scenekunst scenekunstskolen schröder scordite sdgs secondcoming seewhatididthere selfdriving selvtak serieadk sevenseasexplorer shiba shibadog shibagram shibainu singularityu skate ske skørehund skraldepose skralderum sky sldk smartenergysystem smm2017 smorrebrod smörrebröd sneakpeek some spilpenge spoiler staybrokeshootfilm stormbrian stormbrian storttræ støvsuger sudksummit suede sunrise sunset svinekød sweden sweepstakes sydbuen tæppe tastingnotes tbt thebadseeds thebadseeds thebradys thedude thestoneroses theviewfromhere tilbud tilgængelighed time tipihedrin tivoli topmodel tourofmythicality tox toxdk tractorpulling travel travel travelagent travelagent travelblogger travelblogger travelingacademic traveloften traveloften tv2 u17wc u19 uchiha uptostandard usaveng usmnt vegeta vegetables veldspar vibe vinterblues vinyl visitcopenhagen visitdenmark vodka vodka weekend westcork westcork whynot wine winteriscoming wip witness worldsmostexpensive worldsmostexpensive wtf yankees yesterday youtubexworldseries yummy","en en en en en en en fi en en da en en en en en en en cy en da da en da en en da en da und da en en en da da da da en da da da en da en en en en en en en en en en en en und und en en en da en en en en en da en es nl ro und en es en en cy da en en en en en en en en da en nl und da da es en und en da da en da in da in und en en da en en und en da en en en da en da en en en en en en en en en da da da da und und en en en en cy da und da da da da en en en en en en en en da en da da da fi en en en en en da da da sv da da en en en en en und da da da da und und da en en und da en en en en en da da en es da da da da en fi en da da da da da und da da da en en en nl en und en da en en nl en da en da en cy da en da da und en da da da da da da en en en da da en en en da und en und da da en en en und und en sv da en nl da da en fi und ro en da en da da en en en en en en en en da en en da en en en und en da cy cy da en da en und und en en en da und en in en da en en en en en da en es en en en en en en en en en da en en da en da da en en en en en en en da da da da da da en und fi fi en en da und en en nl und da en en en en da nl en da da en und en und en sv en ro da da en nl fi en und da da en en und en und en und und en und da en da en en en en en da da en da en en en en es en en nl en en en en en en es da en en en da","1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 19 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 1 1 2 1 1 1 1 1 1 2 1 5 1 9 1 1 1 1 1 1 1 1 2 1 11 11 2 1 1 2 1 1 1 1 2 1 1 1 1 1 3 1 1 1 1 1 1 1 4 1 1 1 1 1 1 2 2 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 13 2 10 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 5 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 8 2 1 2 1 2 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 1"
7,8.63262825,55.73069375,"80erfest architecture billund chewat color denmark endomondo endorphins fanø foxandhounds house houseofthebrick lego legohouse mypeeps pldk starfish ttot waddensea","da en en en en en en en en da en en en en en en en en en","1 1 2 1 1 1 2 2 1 1 1 1 1 3 1 1 1 1 1"
8,15.05214325,55.23235875,"sefodbold sldk","no no","1 1"
9,11.7462085,55.27921088,"20likes alliswell amazing artificialtaste autumn ball barbequesauce blomkål blue blueball dkpol drops endomondo endorphins fruits gay gaylife gaylove greatscotch gulerod jackrussel jrt kv17 ladyburn love love photooftheday photooftheday rødløg scotch smile soltørredetomater svinekød tagsforlikes tagsforlikes tagsforlikesapp tagsforlikesapp taste taveners tavenerssweets terrier tflers tflers thelittlehouseinthearseendofnowhere tweegram tweegram water whisky wildwhiskyweekend","und no und en da da und und da da da en en en en da da da en und da da da en da und da und und en und und und da und da und en en en da da und no da und da en en","2 1 2 1 1 1 1 1 1 1 1 1 4 4 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 2 1 1 2 2 2 2 1 1 1 1 2 2 1 2 2 1 1 1"
10,10.4154805,57.4606995,"endomondo endorphins frederikshavn frederikshavn frhpol kv17 kv17 nordskov tv2 venstre venstre","en en da und da da und da da da und","1 1 1 1 1 1 1 1 1 1 1"
11,8.649643,56.68958679,"888ligaen arhmth majorcrimes savemajorcrimes savethecommander shandy shandylove shandywedding","da da en en en en en en","1 1 1 4 1 3 2 1"
12,11.3490285,55.78039975,"coffee efterårsferie kaffe october","da da da da","1 1 1 1"
13,11.027705,57.263521,NA,NA,NA
14,11.2665025,54.816726,"biodynamic forfandenergodt franciscardenau irma knuthenlund lindasommer lokallistenlolland","da da da da da da da","1 1 1 1 1 1 1"
15,10.9399305,56.516157,"fedora rhel","en en","1 1"
16,10.6567635,55.883821,NA,NA,NA
17,8.856682,55.0631655,NA,NA,NA
18,9.3581675,56.833725,"endomondo endorphins","en en","1 1"
19,15.18341772,59.2446665,"art babyboy backaalla cat city detärvisomärörebro elden forzarödvitt givemesix gräddenpåmoset happy kärlek lärare lökenpålaxen miss musikal ökh örebro örebro örebrohockey ösif40år oslo redanslut shlserien skola stolt stolthetrödochvitfrånhimelenochhit suryoye sverige sweden swedenrock syrianska thumbelina tummelisa tvåbarnsmamma vemfanvillboiörebro weekendvibes","en sv sv en sv sv sv sv sv sv en sv sv sv en sv sv en sv sv sv sv sv sv sv sv sv sv sv en sv sv sv sv sv sv sv","1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1"
20,14.910717,63.131001,"åsiktskorridoren dickpic höstmekute kansjälv leksak nuvinterdäck qpcompany screamuntilyoulikeit ståstill stoppstanna studiebaker wessla","sv sv sv sv sv sv sv sv sv sv sv sv","1 1 1 1 1 1 1 1 1 1 1 1"
21,14.30351007,56.37505671,"aldrigensam alvesta division4 football funkis funkpol hjarnkoll jaif janstorp kvalseger nofilter personal piggy psykiatri psynligt slåss smaland studentlife sweden sweden","nl nl sv sv nl nl nl sv sv sv en nl en nl nl nl en en en sv","1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1"
22,13.246262,61.649499,NA,NA,NA
23,17.63062,60.62201417,"50år acros ärdetmatchsnart åsiktsvänstern barbie barbieaccessories bif bigdata bodies bra breakfast brynäs christopheralexander cities company desserts diningout dinner dinnertime faleijs1935 finishingtouch foto_blackwhite fractal friskvårdsavdrag fujinon35mm fujixpro2 galopp gävle gävle gis giscience goodfriends herrbord indulge kidnappning lambday lillasaigon lötisgården moraik moraiklive nuärdetmatch p09 ridsport socialmedia svpol svpol tanter tierpibk topology träningsverk trav treat treats turgrabbarnafickegetbord twittervänstern vore yourself","sv en sv sv sv sv sv und en sv en th und und en en en en en sv en en und sv en en und sv th und und en sv en sv en en en sv sv sv sv sv und sv und sv sv und und und en en sv sv sv en","1 3 1 1 1 1 1 4 1 1 1 1 1 2 1 1 1 2 1 1 1 3 1 1 3 3 1 1 1 4 4 1 1 1 1 1 2 3 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1"
24,20.732045,65.762053,NA,NA,NA
