"dimension","time","value"
"sunlight","day 001",31.5457979928453
"sunlight","day 002",31.9429457501309
"sunlight","day 003",32.3223140365228
"sunlight","day 004",32.6371809989068
"sunlight","day 005",32.8405961589907
"sunlight","day 006",32.9203465075517
"sunlight","day 007",32.8894440155672
"sunlight","day 008",32.8270631057451
"sunlight","day 009",32.8152021351024
"sunlight","day 010",32.8809927461608
"sunlight","day 011",33.0343341712813
"sunlight","day 012",33.271062716678
"sunlight","day 013",33.5814397650823
"sunlight","day 014",33.9474899314437
"sunlight","day 015",34.3533356388257
"sunlight","day 016",34.7997273105286
"sunlight","day 017",35.2855613903563
"sunlight","day 018",35.7856904038894
"sunlight","day 019",36.2697734158591
"sunlight","day 020",36.7107395658223
"sunlight","day 021",37.0926533923258
"sunlight","day 022",37.4408509550524
"sunlight","day 023",37.7815163144376
"sunlight","day 024",38.1034872453615
"sunlight","day 025",38.3882645734404
"sunlight","day 026",38.6165684435743
"sunlight","day 027",38.7638633475328
"sunlight","day 028",38.818693284138
"sunlight","day 029",38.8271759335543
"sunlight","day 030",38.8506141991958
"sunlight","day 031",38.9534781961371
"sunlight","day 032",39.188401400243
"sunlight","day 033",39.5575035188802
"sunlight","day 034",40.0406843800058
"sunlight","day 035",40.5794780624378
"sunlight","day 036",41.1161217149623
"sunlight","day 037",41.6340305153771
"sunlight","day 038",42.1274101151885
"sunlight","day 039",42.5924500317248
"sunlight","day 040",43.0187218757266
"sunlight","day 041",43.3673417657611
"sunlight","day 042",43.6030299262264
"sunlight","day 043",43.7333784970151
"sunlight","day 044",43.7847009547323
"sunlight","day 045",43.813758870163
"sunlight","day 046",43.8790558232356
"sunlight","day 047",44.0275692713262
"sunlight","day 048",44.2664335302962
"sunlight","day 049",44.5796042163485
"sunlight","day 050",44.8981652885659
"sunlight","day 051",45.1462012210199
"sunlight","day 052",45.2726702048569
"sunlight","day 053",45.259615710314
"sunlight","day 054",45.1965486069148
"sunlight","day 055",45.1805270028028
"sunlight","day 056",45.2313305613114
"sunlight","day 057",45.3395104004109
"sunlight","day 058",45.4559819014286
"sunlight","day 059",45.5426005511345
"sunlight","day 060",45.6446179947137
"sunlight","day 061",45.8164933824424
"sunlight","day 062",46.0661197265463
"sunlight","day 063",46.3779941114877
"sunlight","day 064",46.6895960487268
"sunlight","day 065",46.9432401656216
"sunlight","day 066",47.1486735089468
"sunlight","day 067",47.3365301659242
"sunlight","day 068",47.5445645738525
"sunlight","day 069",47.8347150390386
"sunlight","day 070",48.2502325376789
"sunlight","day 071",48.7354348565191
"sunlight","day 072",49.2132360443777
"sunlight","day 073",49.6198683878157
"sunlight","day 074",49.9147216168764
"sunlight","day 075",50.1364969977892
"sunlight","day 076",50.3450946319944
"sunlight","day 077",50.6058984255896
"sunlight","day 078",50.9637227977821
"sunlight","day 079",51.3756204155594
"sunlight","day 080",51.7940353697562
"sunlight","day 081",52.2407391988167
"sunlight","day 082",52.7398118741731
"sunlight","day 083",53.2552396516004
"sunlight","day 084",53.7448210671204
"sunlight","day 085",54.2016974933988
"sunlight","day 086",54.6115034630501
"sunlight","day 087",54.9070947317409
"sunlight","day 088",55.0553501855227
"sunlight","day 089",55.0560630393835
"sunlight","day 090",54.9903181444583
"sunlight","day 091",54.9441176197407
"sunlight","day 092",54.9418410195127
"sunlight","day 093",55.0018364246735
"sunlight","day 094",55.1799485873024
"sunlight","day 095",55.5113181659259
"sunlight","day 096",55.9107727736768
"sunlight","day 097",56.2947998620822
"sunlight","day 098",56.7068392816388
"sunlight","day 099",57.1869283112866
"sunlight","day 100",57.6345415447692
"sunlight","day 101",57.9184298323631
"sunlight","day 102",57.9250117356725
"sunlight","day 103",57.6041467869084
"sunlight","day 104",57.1417906893819
"sunlight","day 105",56.7522091408392
"sunlight","day 106",56.5268116456654
"sunlight","day 107",56.4954381476848
"sunlight","day 108",56.5776276044457
"sunlight","day 109",56.7145477116986
"sunlight","day 110",56.8662945305628
"sunlight","day 111",57.0161933332101
"sunlight","day 112",57.1602281070898
"sunlight","day 113",57.3217884897117
"sunlight","day 114",57.5213162913652
"sunlight","day 115",57.7400563634023
"sunlight","day 116",57.9603692437856
"sunlight","day 117",58.2082751758598
"sunlight","day 118",58.5130122276539
"sunlight","day 119",58.8730300605515
"sunlight","day 120",59.3267584535798
"sunlight","day 121",60.103336062984
"sunlight","day 122",61.3818209870017
"sunlight","day 123",62.9502402146217
"sunlight","day 124",64.3310741397007
"sunlight","day 125",64.3756478848157
"sunlight","day 126",62.3605130970076
"sunlight","day 127",59.9342827924532
"sunlight","day 128",58.7177893544824
"sunlight","day 129",58.1060485645187
"sunlight","day 130",57.9027494233203
"sunlight","day 131",58.1413333684635
"sunlight","day 132",58.7447823903289
"sunlight","day 133",59.6312233357273
"sunlight","day 134",60.8098219243855
"sunlight","day 135",62.2566836278251
"sunlight","day 136",63.7246340518298
"sunlight","day 137",64.9398626701618
"sunlight","day 138",65.745294294233
"sunlight","day 139",66.1179013741952
"sunlight","day 140",66.454111577509
"sunlight","day 141",67.1063914558734
