"dimension","time","value"
"sunlight","day 001",27.8197966708092
"sunlight","day 002",28.6328620170273
"sunlight","day 003",29.3921938874318
"sunlight","day 004",30.0916351622213
"sunlight","day 005",30.7364235685521
"sunlight","day 006",31.3255648249084
"sunlight","day 007",31.8476824104176
"sunlight","day 008",32.2561028554502
"sunlight","day 009",32.5072592989433
"sunlight","day 010",32.6053082628575
"sunlight","day 011",32.5677164489502
"sunlight","day 012",32.4174678951404
"sunlight","day 013",32.1852200547739
"sunlight","day 014",31.9268067067392
"sunlight","day 015",31.6944924306232
"sunlight","day 016",31.5010886832644
"sunlight","day 017",31.3480852901158
"sunlight","day 018",31.2311386738356
"sunlight","day 019",31.1471380124266
"sunlight","day 020",31.103736908065
"sunlight","day 021",31.1152794159634
"sunlight","day 022",31.2121069793076
"sunlight","day 023",31.4186370375949
"sunlight","day 024",31.7300777292605
"sunlight","day 025",32.1736502487208
"sunlight","day 026",32.7776406754707
"sunlight","day 027",33.5326582226551
"sunlight","day 028",34.4133532584381
"sunlight","day 029",35.3682176374112
"sunlight","day 030",36.3491862509715
"sunlight","day 031",37.3481246513122
"sunlight","day 032",38.3654191732419
"sunlight","day 033",39.3956086212372
"sunlight","day 034",40.4373125674332
"sunlight","day 035",41.5113211849311
"sunlight","day 036",42.6356433457025
"sunlight","day 037",43.7949921162347
"sunlight","day 038",44.9706600459448
"sunlight","day 039",46.1635534214537
"sunlight","day 040",47.3721505742244
"sunlight","day 041",48.565604277885
"sunlight","day 042",49.7144880587849
"sunlight","day 043",50.8243840119953
"sunlight","day 044",51.9052697413238
"sunlight","day 045",52.9329043842862
"sunlight","day 046",53.8115227148924
"sunlight","day 047",54.4419578592804
"sunlight","day 048",54.7786040821622
"sunlight","day 049",54.8254703272737
"sunlight","day 050",54.7314631158714
"sunlight","day 051",54.6518790516432
"sunlight","day 052",54.6226774904814
"sunlight","day 053",54.6594583493119
"sunlight","day 054",54.8157210369905
"sunlight","day 055",55.1418186715468
"sunlight","day 056",55.6376197157767
"sunlight","day 057",56.2951249965312
"sunlight","day 058",57.1253494521174
"sunlight","day 059",58.1357747733989
"sunlight","day 060",59.3007355500109
"sunlight","day 061",60.5792242296541
"sunlight","day 062",61.9020117935223
"sunlight","day 063",63.1869250765456
"sunlight","day 064",64.3282357951091
"sunlight","day 065",65.2438453901466
"sunlight","day 066",65.9660683143997
"sunlight","day 067",66.5420935050581
"sunlight","day 068",66.9840412662818
"sunlight","day 069",67.1784013898486
"sunlight","day 070",67.0059552963727
"sunlight","day 071",66.4502814341938
"sunlight","day 072",65.5337607498171
"sunlight","day 073",64.3311871546846
"sunlight","day 074",62.929426884527
"sunlight","day 075",61.4112225072937
"sunlight","day 076",59.8404418910069
"sunlight","day 077",58.2095777717593
"sunlight","day 078",56.4863225432211
"sunlight","day 079",54.6105423612999
"sunlight","day 080",52.5699859385036
"sunlight","day 081",50.5717584515056
"sunlight","day 082",48.8256401259269
"sunlight","day 083",47.3327549190153
"sunlight","day 084",46.0485620638226
"sunlight","day 085",44.9545181649896
"sunlight","day 086",44.0554515223178
"sunlight","day 087",43.4146917048107
"sunlight","day 088",43.0764880743268
"sunlight","day 089",43.0636277282398
"sunlight","day 090",43.34900126539
"sunlight","day 091",43.8776703772941
"sunlight","day 092",44.5332776247066
"sunlight","day 093",45.2114870061343
"sunlight","day 094",45.9174674018541
"sunlight","day 095",46.6734923560115
"sunlight","day 096",47.460749186457
"sunlight","day 097",48.2531905019776
"sunlight","day 098",49.0369163014033
"sunlight","day 099",49.8086130728052
"sunlight","day 100",50.5951658711776
"sunlight","day 101",51.4134116457523
"sunlight","day 102",52.2097963557875
"sunlight","day 103",52.9178779449256
"sunlight","day 104",53.4900532843183
"sunlight","day 105",53.891468070062
"sunlight","day 106",54.1194243705225
