"dimension","time","value"
"sunlight","day 001",67.5297271507105
"sunlight","day 002",68.7752504341245
"sunlight","day 003",69.8483152907607
"sunlight","day 004",70.5942896437393
"sunlight","day 005",70.9073285979081
"sunlight","day 006",70.8521883983451
"sunlight","day 007",70.53476031793
"sunlight","day 008",70.0548746005179
"sunlight","day 009",69.5036059421409
"sunlight","day 010",68.9430678765615
"sunlight","day 011",68.4114030840256
"sunlight","day 012",67.8798319929819
"sunlight","day 013",67.3067411947329
"sunlight","day 014",66.6661041837934
"sunlight","day 015",65.9327912026647
"sunlight","day 016",65.069672582579
"sunlight","day 017",64.0292587624269
"sunlight","day 018",62.7346205229991
"sunlight","day 019",61.2342082498608
"sunlight","day 020",60.1074304057759
"sunlight","day 021",59.9271403086739
"sunlight","day 022",60.709012619949
"sunlight","day 023",62.0112280122986
"sunlight","day 024",62.489997064544
"sunlight","day 025",61.9666398484579
"sunlight","day 026",60.7048503578423
"sunlight","day 027",59.2545094571042
"sunlight","day 028",58.1104649351247
"sunlight","day 029",57.2612454080777
"sunlight","day 030",56.5914124938485
"sunlight","day 031",56.0759789898771
"sunlight","day 032",55.6998072146933
"sunlight","day 033",55.3967063916321
"sunlight","day 034",55.1047051375708
"sunlight","day 035",54.8297627387493
"sunlight","day 036",54.5966111850526
"sunlight","day 037",54.4371426115827
"sunlight","day 038",54.3799394216997
"sunlight","day 039",54.4331849465804
"sunlight","day 040",54.5956135893793
"sunlight","day 041",54.8485631133456
"sunlight","day 042",55.1689444056888
"sunlight","day 043",55.5333574893631
"sunlight","day 044",55.9198228483371
"sunlight","day 045",56.3083132594506
"sunlight","day 046",56.6641380148611
"sunlight","day 047",56.9470201442638
"sunlight","day 048",57.1104992892639
"sunlight","day 049",57.1207968610486
"sunlight","day 050",57.0010447372238
"sunlight","day 051",56.7807590809226
"sunlight","day 052",56.4580827309695
"sunlight","day 053",56.0304520840909
"sunlight","day 054",55.5238510929292
"sunlight","day 055",54.9757550459569
"sunlight","day 056",54.4410570190515
"sunlight","day 057",53.9645878460699
"sunlight","day 058",53.5335116053811
"sunlight","day 059",53.1231481219984
"sunlight","day 060",52.7191069630001
"sunlight","day 061",52.3115716151826
"sunlight","day 062",51.898731502149
"sunlight","day 063",51.4834444078908
"sunlight","day 064",51.0792356211433
"sunlight","day 065",50.6966939440446
"sunlight","day 066",50.3245592843588
"sunlight","day 067",49.9482264141022
"sunlight","day 068",49.5572098152458
"sunlight","day 069",49.155244582542
"sunlight","day 070",48.748008192751
"sunlight","day 071",48.3347270378813
"sunlight","day 072",47.9152461264959
"sunlight","day 073",47.4983360181265
"sunlight","day 074",47.0920490493873
"sunlight","day 075",46.6926391142538
"sunlight","day 076",46.2991539886487
"sunlight","day 077",45.9336154189219
"sunlight","day 078",45.6233966702205
"sunlight","day 079",45.394303112453
"sunlight","day 080",45.2703974694554
"sunlight","day 081",45.2703397760137
"sunlight","day 082",45.4086573983741
"sunlight","day 083",45.6887497176734
"sunlight","day 084",46.1108637563016
"sunlight","day 085",46.6737650867725
"sunlight","day 086",47.3778944040398
"sunlight","day 087",48.228872662907
"sunlight","day 088",49.2223595839415
"sunlight","day 089",50.3449734462457
"sunlight","day 090",51.5591734822091
"sunlight","day 091",52.81740959949
"sunlight","day 092",54.0562534535378
"sunlight","day 093",55.2183742850501
"sunlight","day 094",56.2867099279276
"sunlight","day 095",57.2437624790945
"sunlight","day 096",58.0300224943678
"sunlight","day 097",58.5658504376185
"sunlight","day 098",58.7330979460429
"sunlight","day 099",58.4361531937991
"sunlight","day 100",57.7080593295681
"sunlight","day 101",56.6151112057828
"sunlight","day 102",55.2279555153638
"sunlight","day 103",53.6156998764794
"sunlight","day 104",51.8369437678031
"sunlight","day 105",49.94645960239
"sunlight","day 106",47.9942196703183
"sunlight","day 107",46.0311407090694
"sunlight","day 108",44.1146149217565
"sunlight","day 109",42.2957692018067
"sunlight","day 110",40.6191347264744
"sunlight","day 111",39.111269596156
"sunlight","day 112",37.787447130107
"sunlight","day 113",36.6357745998788
"sunlight","day 114",35.6355563439242
"sunlight","day 115",34.7580510160056
"sunlight","day 116",33.9820178138204
"sunlight","day 117",33.3242637954976
"sunlight","day 118",32.8083810934693
"sunlight","day 119",32.4470542769499
"sunlight","day 120",32.248426036165
"sunlight","day 121",32.2133791086032
"sunlight","day 122",32.3515130360345
"sunlight","day 123",32.7145545300907
"sunlight","day 124",33.3418540864817
"sunlight","day 125",34.1811301673672
"sunlight","day 126",35.1346328572118
"sunlight","day 127",36.0143707632488
"sunlight","day 128",36.6747246615377
"sunlight","day 129",37.1977704678847
"sunlight","day 130",37.6023765850749
"sunlight","day 131",37.8766467539303
"sunlight","day 132",38.0137661185747
"sunlight","day 133",38.0150490684123
"sunlight","day 134",37.909245570668
"sunlight","day 135",37.72540300173
"sunlight","day 136",37.4663227968179
"sunlight","day 137",37.1284656213524
"sunlight","day 138",36.7091750027245
"sunlight","day 139",36.2133794498647
"sunlight","day 140",35.6754645358886
"sunlight","day 141",35.1281157404164
"sunlight","day 142",34.5677611049002
"sunlight","day 143",33.9844722154266
"sunlight","day 144",33.37915227479
"sunlight","day 145",32.752298859186
"sunlight","day 146",32.0919554217083
"sunlight","day 147",31.3872505485047
"sunlight","day 148",30.6441074810405
"sunlight","day 149",29.874021679658
"sunlight","day 150",29.0939828248904
"humidity","day 001",11.2006427405432
"humidity","day 002",11.086711410423
"humidity","day 003",10.9533321717954
"humidity","day 004",10.7872233785902
"humidity","day 005",10.5797539191422
"humidity","day 006",10.3345843550084
"humidity","day 007",10.0571674054797
"humidity","day 008",9.74783274755846
"humidity","day 009",9.42107303824069
"humidity","day 010",9.15315589678339
"humidity","day 011",9.04034476539895
"humidity","day 012",9.19711141585991
"humidity","day 013",9.70652759603865
"humidity","day 014",10.507856628647
"humidity","day 015",11.4901052222399
"humidity","day 016",12.4850620539047
"humidity","day 017",13.3477855888982
"humidity","day 018",14.0836314766206
"humidity","day 019",14.7440050535265
"humidity","day 020",15.4142132201452
"humidity","day 021",16.1593924829423
"humidity","day 022",16.9300962080553
"humidity","day 023",17.6466128549999
"humidity","day 024",18.2355514970974
"humidity","day 025",18.6730904859852
"humidity","day 026",18.9557728292917
"humidity","day 027",19.1104117587522
"humidity","day 028",19.1627544028347
"humidity","day 029",19.1040132528304
"humidity","day 030",18.9238296363274
"humidity","day 031",18.6400948632797
"humidity","day 032",18.2772854112774
"humidity","day 033",17.8579684460912
"humidity","day 034",17.4036531067738
"humidity","day 035",16.9335257373271
"humidity","day 036",16.464779745113
"humidity","day 037",16.0089595859835
"humidity","day 038",15.5741007864472
"humidity","day 039",15.1598521071476
"humidity","day 040",14.7673168925894
"humidity","day 041",14.4118035885874
