"dimension","time","value"
"sunlight","day 001",66.9419544777995
"sunlight","day 002",66.4125145716903
"sunlight","day 003",66.0209828441031
"sunlight","day 004",65.9377624462104
"sunlight","day 005",66.2643724003544
"sunlight","day 006",66.7844059030384
"sunlight","day 007",67.2379800693349
"sunlight","day 008",67.5092335144342
"sunlight","day 009",67.5394582323162
"sunlight","day 010",67.3545382320033
"sunlight","day 011",67.0000545732744
"sunlight","day 012",66.5157845038929
"sunlight","day 013",65.9346710659459
"sunlight","day 014",65.268124290832
"sunlight","day 015",64.5283690853161
"sunlight","day 016",63.7524228683166
"sunlight","day 017",62.9831644801927
"sunlight","day 018",62.2621259349123
"sunlight","day 019",61.6193263792615
"sunlight","day 020",61.0400803176891
"sunlight","day 021",60.5005642687067
"sunlight","day 022",59.9851074494146
"sunlight","day 023",59.4853405695256
"sunlight","day 024",59.0139825769428
"sunlight","day 025",58.5891556028422
"sunlight","day 026",58.2248606488691
"sunlight","day 027",57.9184743332371
"sunlight","day 028",57.662379373123
"sunlight","day 029",57.4456072649874
"sunlight","day 030",57.2568217353929
"sunlight","day 031",57.0865666520282
"sunlight","day 032",56.9284828760212
"sunlight","day 033",56.7867191011319
"sunlight","day 034",56.6675273422303
"sunlight","day 035",56.575065065996
"sunlight","day 036",56.5102044465062
"sunlight","day 037",56.4627710356188
"sunlight","day 038",56.4240206030148
"sunlight","day 039",56.4019764118851
"sunlight","day 040",56.4057877014607
"sunlight","day 041",56.4323401216212
"sunlight","day 042",56.4765057150814
"sunlight","day 043",56.537365685248
"sunlight","day 044",56.6144820417173
"sunlight","day 045",56.7028528031054
"sunlight","day 046",56.7877922838606
"sunlight","day 047",56.8531940988673
"sunlight","day 048",56.8863812849406
"sunlight","day 049",56.8825775822129
"sunlight","day 050",56.8651801221557
"sunlight","day 051",56.8640866871335
"sunlight","day 052",56.9070242717456
"sunlight","day 053",57.0179906367732
"sunlight","day 054",57.2082373954929
"sunlight","day 055",57.4824179729174
"sunlight","day 056",57.8315391885111
"sunlight","day 057",58.2461871187103
"sunlight","day 058",58.7289114733897
"sunlight","day 059",59.2855467514247
"sunlight","day 060",59.9231029742573
"sunlight","day 061",60.6460498573755
"sunlight","day 062",61.4475203698861
"sunlight","day 063",62.3113151666696
"sunlight","day 064",63.1952423920819
"sunlight","day 065",64.0465098939966
"sunlight","day 066",64.7988650481252
"sunlight","day 067",65.3937458742931
"sunlight","day 068",65.775487745717
"sunlight","day 069",65.8882226362122
"sunlight","day 070",65.6841098174429
"sunlight","day 071",65.1476211518687
"sunlight","day 072",64.283296660372
"sunlight","day 073",63.1436364067286
"sunlight","day 074",61.7907278652322
"sunlight","day 075",60.2770481093538
"sunlight","day 076",58.6520565671062
"sunlight","day 077",56.9627524854936
"sunlight","day 078",55.2543195562568
"sunlight","day 079",53.5671394310928
"sunlight","day 080",51.9353566850268
"sunlight","day 081",50.3729696264391
"sunlight","day 082",48.8844017636165
"sunlight","day 083",47.4559236711165
"sunlight","day 084",46.0881544178642
"sunlight","day 085",44.8572599839856
"sunlight","day 086",43.8596471775893
"sunlight","day 087",43.1862597657121
"sunlight","day 088",42.8858778483646
"sunlight","day 089",42.9560619815601
"sunlight","day 090",43.23301231253
"sunlight","day 091",43.533377746837
"sunlight","day 092",43.7569626321489
"sunlight","day 093",43.8413108218861
"sunlight","day 094",43.7917687503731
"sunlight","day 095",43.6290006800332
"sunlight","day 096",43.3671396047805
"sunlight","day 097",43.0204390005934
"sunlight","day 098",42.6101655402165
"sunlight","day 099",42.159522492663
"sunlight","day 100",41.6924463152544
"sunlight","day 101",41.2311397325007
"sunlight","day 102",40.7901373493578
"sunlight","day 103",40.3790362071724
"sunlight","day 104",39.9953512124096
"sunlight","day 105",39.6330442271768
"sunlight","day 106",39.283947071034
"sunlight","day 107",38.944429628439
"sunlight","day 108",38.6264350852479
"sunlight","day 109",38.3281411998937
"sunlight","day 110",38.0443375724695
"sunlight","day 111",37.7750971726691
"sunlight","day 112",37.5260304931542
"sunlight","day 113",37.3196147488577
"sunlight","day 114",37.1759659017113
"sunlight","day 115",37.0888881793696
"sunlight","day 116",37.0519619147146
"sunlight","day 117",37.0841835958149
"sunlight","day 118",37.2044849915034
"sunlight","day 119",37.4061228384839
"sunlight","day 120",37.6647802364931
"sunlight","day 121",37.9115207695275
"sunlight","day 122",38.0699271196886
"sunlight","day 123",38.0782778772377
"sunlight","day 124",37.8884561620656
"sunlight","day 125",37.492067304419
"sunlight","day 126",36.908388146734
"sunlight","day 127",36.2276593698475
"sunlight","day 128",35.5668703033349
"sunlight","day 129",35.0541942042314
"sunlight","day 130",34.7274247023308
"sunlight","day 131",34.5799973764315
"sunlight","day 132",34.5273029177282
"sunlight","day 133",34.4748882917884
"sunlight","day 134",34.3669704492714
"sunlight","day 135",34.1683562127621
"sunlight","day 136",33.8875419074538
"sunlight","day 137",33.5475314580088
"sunlight","day 138",33.1856696843551
"sunlight","day 139",32.8318135436029
"sunlight","day 140",32.4715276463247
"sunlight","day 141",32.0851372444933
"sunlight","day 142",31.6763025022218
"sunlight","day 143",31.2568032569974
"sunlight","day 144",30.8475631276647
"sunlight","day 145",30.4644039728169
"sunlight","day 146",30.0935968286842
"sunlight","day 147",29.7100419208392
"sunlight","day 148",29.272707054587
"sunlight","day 149",28.7505250185194
"sunlight","day 150",28.1682209546443
"humidity","day 001",30.5015968996872
"humidity","day 002",29.4672168421169
"humidity","day 003",28.225128806022
"humidity","day 004",26.8824579908798
"humidity","day 005",25.6272679009114
"humidity","day 006",24.6434287810202
"humidity","day 007",24.0555462358376
"humidity","day 008",23.7553605682242
"humidity","day 009",23.5884861088716
"humidity","day 010",23.4488986015653
"humidity","day 011",23.2616026630122
"humidity","day 012",23.0273569885101
"humidity","day 013",22.774509553494
"humidity","day 014",22.5660113753552
"humidity","day 015",22.4882208203405
"humidity","day 016",22.6865226081614
"humidity","day 017",23.257683248574
"humidity","day 018",24.0449700580464
"humidity","day 019",24.832221794462
"humidity","day 020",25.4190621746524
"humidity","day 021",25.6678831116875
"humidity","day 022",25.6763643446449
"humidity","day 023",25.5831576570624
"humidity","day 024",25.4564933292406
"humidity","day 025",25.3506643091548
"humidity","day 026",25.3105675113184
"humidity","day 027",25.3396031366818
"humidity","day 028",25.4113004212689
"humidity","day 029",25.4212014549604
"humidity","day 030",25.2754331067683
"humidity","day 031",25.0004485083736
"humidity","day 032",24.660649605644
"humidity","day 033",24.3519073385272
"humidity","day 034",24.165485508654
"humidity","day 035",24.1427503703078
"humidity","day 036",24.2919711332549
"humidity","day 037",24.5389263765394
"humidity","day 038",24.8046058318013
"humidity","day 039",25.0733344717856
"humidity","day 040",25.3586167955599
"humidity","day 041",25.7273401663751
"humidity","day 042",26.2599332321702
"humidity","day 043",27.0376069154529
"humidity","day 044",28.1121175287875
"humidity","day 045",29.4198986818151
"humidity","day 046",30.8808458512567
"humidity","day 047",32.4305552724765
"humidity","day 048",34.0543141697459
"humidity","day 049",35.7644620604284
"humidity","day 050",37.6318566453486
"humidity","day 051",39.694343492284
"humidity","day 052",41.7992014533614
"humidity","day 053",43.7333928514142
"humidity","day 054",45.2331806077528
"humidity","day 055",46.065926525566
"humidity","day 056",46.1740873370808
"humidity","day 057",45.5700847024982
"humidity","day 058",44.3711050648775
"humidity","day 059",42.7501614745816
"humidity","day 060",40.9988086283305
"humidity","day 061",39.3667013193341
"humidity","day 062",37.8173530804056
"humidity","day 063",36.2583112664025
"humidity","day 064",34.6593997807559
"humidity","day 065",33.0189237897856
"humidity","day 066",31.3739650325149
"humidity","day 067",29.7230296526064
"humidity","day 068",28.0494416220849
"humidity","day 069",26.3272839475289
"humidity","day 070",24.5237553390432
"humidity","day 071",22.5877582862835
"humidity","day 072",20.5171623864491
"humidity","day 073",18.5240018873623
"humidity","day 074",16.8283672638708
"humidity","day 075",15.4684092483003
"humidity","day 076",14.4263183576352
"humidity","day 077",13.6423839900178
"humidity","day 078",13.0567667730702
"humidity","day 079",12.6510133711777
"humidity","day 080",12.4338055930957
"humidity","day 081",12.4809797882974
"humidity","day 082",12.8618234417811
"humidity","day 083",13.5522740399298
"humidity","day 084",14.4934435133956
"humidity","day 085",15.5804915685248
"humidity","day 086",16.7286588845948
"humidity","day 087",17.9251172725628
"humidity","day 088",18.9712276349892
"humidity","day 089",19.6734498655101
"humidity","day 090",20.0760197594669
"humidity","day 091",20.2836349404497
"humidity","day 092",20.4050644433364
"humidity","day 093",20.5339777374433
"humidity","day 094",20.6995746185526
"humidity","day 095",20.9062966016818
"humidity","day 096",21.124021752324
"humidity","day 097",21.3209237367383
"humidity","day 098",21.4929220737726
"humidity","day 099",21.6455943196928
"humidity","day 100",21.7954043278465
"humidity","day 101",21.9706767642414
"humidity","day 102",22.2362932484441
"humidity","day 103",22.6392702285061
"humidity","day 104",23.118606512858
"humidity","day 105",23.5893385417257
"humidity","day 106",23.978670922136
"humidity","day 107",24.2722177073335
"humidity","day 108",24.6336109239194
"humidity","day 109",25.1080434241551
"humidity","day 110",25.6654499366197
"humidity","day 111",26.1485392740195
"humidity","day 112",26.423944995311
"humidity","day 113",26.5812255603222
"humidity","day 114",26.7499966843934
"humidity","day 115",26.9971782040409
"humidity","day 116",27.3650539558118
"humidity","day 117",27.8600596551994
"humidity","day 118",28.4847231036733
"humidity","day 119",29.2617885676608
"humidity","day 120",30.1908950719112
"humidity","day 121",31.1590442095032
"humidity","day 122",32.0289953964317
"humidity","day 123",32.6791767720246
"humidity","day 124",33.0149136066264
"humidity","day 125",33.0334509713139
"humidity","day 126",32.7533576162647
"humidity","day 127",32.1865772073273
"humidity","day 128",31.3351109909877
"humidity","day 129",30.1807625306519
"humidity","day 130",28.7488368816097
"humidity","day 131",27.0860956560165
"humidity","day 132",25.2733390533265
"humidity","day 133",23.4044780383517
"humidity","day 134",21.5918280500365
"humidity","day 135",19.9327919412886
"humidity","day 136",18.4467177467372
"humidity","day 137",17.1347481834633
"humidity","day 138",16.0032595166323
"humidity","day 139",15.0576438326261
"humidity","day 140",14.294122954608
"humidity","day 141",13.7072369139082
"humidity","day 142",13.2939688377437
"humidity","day 143",13.0419150486735
"humidity","day 144",12.8986815547376
"humidity","day 145",12.8077614054214
"humidity","day 146",12.7361861305088
"humidity","day 147",12.6592197608844
"humidity","day 148",12.5615178515372
"humidity","day 149",12.4346931439332
"humidity","day 150",12.2887956013428
