"dimension","time","value"
"sunlight","day 001",34.5026312657318
"sunlight","day 002",35.392887311999
"sunlight","day 003",35.8238095026772
"sunlight","day 004",35.5782269465457
"sunlight","day 005",34.7016989768675
"sunlight","day 006",33.9699448389422
"sunlight","day 007",34.0936920416246
"sunlight","day 008",34.7935412359519
"sunlight","day 009",35.6121889930088
"sunlight","day 010",36.370842421889
"sunlight","day 011",36.9779409303793
"sunlight","day 012",37.4123425830333
"sunlight","day 013",37.6819221734053
"sunlight","day 014",37.8402027542885
"sunlight","day 015",37.9437669076345
"sunlight","day 016",38.0157870727913
"sunlight","day 017",38.0723417124581
"sunlight","day 018",38.1345435253458
"sunlight","day 019",38.2236274183527
"sunlight","day 020",38.3562828951188
"sunlight","day 021",38.5432048746557
"sunlight","day 022",38.7756553407232
"sunlight","day 023",39.0307678174169
"sunlight","day 024",39.2586383071748
"sunlight","day 025",39.4402661135667
"sunlight","day 026",39.5726199223113
"sunlight","day 027",39.67637242074
"sunlight","day 028",39.7762924204344
"sunlight","day 029",39.8898292283617
"sunlight","day 030",40.0404285814481
"sunlight","day 031",40.2828414410668
"sunlight","day 032",40.6619862579308
"sunlight","day 033",41.1521462156636
"sunlight","day 034",41.7032455940365
"sunlight","day 035",42.2384083245007
"sunlight","day 036",42.6847648396662
"sunlight","day 037",43.012271925099
"sunlight","day 038",43.2016206650341
"sunlight","day 039",43.2336129854251
"sunlight","day 040",43.107978740551
"sunlight","day 041",42.9000486562721
"sunlight","day 042",42.6920323770444
"sunlight","day 043",42.5180543501232
"sunlight","day 044",42.4014821045089
"sunlight","day 045",42.3666425282412
"sunlight","day 046",42.4227342298462
"sunlight","day 047",42.5602526291977
"sunlight","day 048",42.7112730521206
"sunlight","day 049",42.8048231429936
"sunlight","day 050",42.8161599144615
"sunlight","day 051",42.7447976574605
"sunlight","day 052",42.6410504078275
"sunlight","day 053",42.5619827099886
"sunlight","day 054",42.5408613978262
"sunlight","day 055",42.6026638405874
"sunlight","day 056",42.7630072595213
"sunlight","day 057",43.0213755670557
"sunlight","day 058",43.3220795883317
"sunlight","day 059",43.5996881443008
"sunlight","day 060",43.8049751264426
"sunlight","day 061",43.9099049188798
"sunlight","day 062",43.9549988057813
"sunlight","day 063",43.9989308815978
"sunlight","day 064",44.1044295818622
"sunlight","day 065",44.327148640913
"sunlight","day 066",44.67467895498
"sunlight","day 067",45.0836843648366
"sunlight","day 068",45.4916845819193
"sunlight","day 069",45.9024615693086
"sunlight","day 070",46.340671092299
"sunlight","day 071",46.8482018733973
"sunlight","day 072",47.4546842755709
"sunlight","day 073",48.1234822664179
"sunlight","day 074",48.812812213851
"sunlight","day 075",49.5265664824118
"sunlight","day 076",50.2756718664705
"sunlight","day 077",51.0535168830818
"sunlight","day 078",51.8463297856699
"sunlight","day 079",52.629236050453
"sunlight","day 080",53.3727357893276
"sunlight","day 081",54.0399304341106
"sunlight","day 082",54.603542795369
"sunlight","day 083",55.0821798787499
"sunlight","day 084",55.496818086221
"sunlight","day 085",55.8320272099505
"sunlight","day 086",56.0710314947503
"sunlight","day 087",56.2395257747616
"sunlight","day 088",56.4167456650486
"sunlight","day 089",56.6625838281583
"sunlight","day 090",56.913776440738
"sunlight","day 091",57.0834374004703
"sunlight","day 092",57.1133479750783
"sunlight","day 093",56.9597682662616
"sunlight","day 094",56.6082063415863
"sunlight","day 095",56.0671645593651
"sunlight","day 096",55.4078744750335
"sunlight","day 097",54.6989019653369
"sunlight","day 098",53.9354209951418
"sunlight","day 099",53.1096122457625
"sunlight","day 100",52.2750751761849
"sunlight","day 101",51.5110094456502
"sunlight","day 102",50.9375967367487
"sunlight","day 103",50.7561562006249
"sunlight","day 104",51.4515748392887
"sunlight","day 105",53.341076275201
"sunlight","day 106",55.7876627617595
"sunlight","day 107",57.935719105894
"sunlight","day 108",59.1683949631153
"sunlight","day 109",59.5248309462855
"sunlight","day 110",59.2191949021775
"sunlight","day 111",58.5297105516533
"sunlight","day 112",57.7165500295001
"sunlight","day 113",56.9036232521176
"sunlight","day 114",56.1777117731447
"sunlight","day 115",55.6133459135674
"sunlight","day 116",55.2864725801918
"sunlight","day 117",55.2909562557586
"sunlight","day 118",55.7168201182382
"sunlight","day 119",56.6208045505853
"sunlight","day 120",58.0315354027597
"sunlight","day 121",59.8984631877588
"sunlight","day 122",62.0538220137249
"sunlight","day 123",63.940155706342
"sunlight","day 124",65.0439261776317
"sunlight","day 125",65.4169579674242
"sunlight","day 126",65.2529726321345
"sunlight","day 127",64.7479171667079
"sunlight","day 128",64.1073390581727
"sunlight","day 129",63.5620648369885
"sunlight","day 130",63.3083752205854
"sunlight","day 131",63.4933988927356
"sunlight","day 132",64.1112463480583
"sunlight","day 133",65.0626916201639
"sunlight","day 134",66.0281810877824
"sunlight","day 135",66.7063071229957
"sunlight","day 136",67.0885737261757
"sunlight","day 137",67.2352656027529
"sunlight","day 138",67.1888786501049
"sunlight","day 139",66.9802983580789
"sunlight","day 140",66.6117573944552
"sunlight","day 141",66.078268548732
"sunlight","day 142",65.3746179193473
"sunlight","day 143",64.4953521683292
"sunlight","day 144",63.434286903128
"sunlight","day 145",62.2577132165484
"sunlight","day 146",61.3225551973902
"sunlight","day 147",60.9456157622601
"sunlight","day 148",60.9925801429972
"sunlight","day 149",61.2416333642719
"sunlight","day 150",61.5720773068482
"humidity","day 001",18.2515050259835
"humidity","day 002",19.8851809775287
"humidity","day 003",21.5090635487692
"humidity","day 004",23.0458154447854
"humidity","day 005",24.3886233861044
"humidity","day 006",25.3575206706371
"humidity","day 007",25.8303817814333
"humidity","day 008",25.9895993647139
"humidity","day 009",26.0728113541888
"humidity","day 010",26.2341186703541
"humidity","day 011",26.5663444984563
"humidity","day 012",27.0007380959584
"humidity","day 013",27.4337006117193
"humidity","day 014",27.7838146879654
"humidity","day 015",27.9841211565131
"humidity","day 016",28.0033121141715
"humidity","day 017",27.8222933746491
"humidity","day 018",27.4351743542579
"humidity","day 019",26.8309160147708
"humidity","day 020",25.9646818972009
"humidity","day 021",24.8060925987379
"humidity","day 022",23.416394362038
"humidity","day 023",21.8798291379152
"humidity","day 024",20.2905945917583
"humidity","day 025",18.781371795385
"humidity","day 026",17.482369033205
"humidity","day 027",16.4755093303607
"humidity","day 028",15.790815895826
"humidity","day 029",15.2989979331673
"humidity","day 030",14.8748905286624
"humidity","day 031",14.5691463048409
"humidity","day 032",14.4319438923637
"humidity","day 033",14.3357484181639
"humidity","day 034",14.1505589782471
"humidity","day 035",13.9142240486339
"humidity","day 036",13.7038082897029
"humidity","day 037",13.585391719247
"humidity","day 038",13.5979908070378
"humidity","day 039",13.6833524733475
"humidity","day 040",13.7730214431673
"humidity","day 041",13.8550032098638
"humidity","day 042",13.9343087558183
"humidity","day 043",14.027510251096
"humidity","day 044",14.1242219823076
"humidity","day 045",14.1483562147793
"humidity","day 046",14.2087398343369
"humidity","day 047",14.4498281992822
"humidity","day 048",14.9438277569459
"humidity","day 049",15.7244934496477
"humidity","day 050",16.7440231106343
"humidity","day 051",17.8968239346935
"humidity","day 052",18.9276976718494
"humidity","day 053",19.6073504505604
"humidity","day 054",19.9597113577849
"humidity","day 055",20.0752746992066
"humidity","day 056",20.0575726969107
"humidity","day 057",20.0548015227581
"humidity","day 058",20.3807752313117
"humidity","day 059",21.3113334146698
"humidity","day 060",22.8047999323706
"humidity","day 061",24.7605559000663
"humidity","day 062",27.1597271904234
"humidity","day 063",30.0214948677659
"humidity","day 064",33.435516006033
"humidity","day 065",37.3380227478438
"humidity","day 066",40.8140641809529
"humidity","day 067",42.1096161795134
"humidity","day 068",40.0392786566721
"humidity","day 069",36.3601769614288
"humidity","day 070",33.1916431541773
"humidity","day 071",31.1593107050365
"humidity","day 072",30.3437922559093
"humidity","day 073",30.1393157261112
"humidity","day 074",29.8541797442992
"humidity","day 075",29.1393504990826
"humidity","day 076",27.865109339734
"humidity","day 077",26.4363306982258
"humidity","day 078",25.2851338051258
"humidity","day 079",24.4180240026844
"humidity","day 080",23.7500362956385
"humidity","day 081",23.2559382269873
"humidity","day 082",22.9065801329025
"humidity","day 083",22.5974109839843
"humidity","day 084",22.2262676063963
"humidity","day 085",21.775939614128
"humidity","day 086",21.337075138247
"humidity","day 087",21.2489140761321
"humidity","day 088",21.545758588585
"humidity","day 089",22.1420735615512
"humidity","day 090",22.8645328382498
"humidity","day 091",23.5418131832273
"humidity","day 092",24.0983940890646
"humidity","day 093",24.4760028396111
"humidity","day 094",24.5895551557525
"humidity","day 095",24.3888759280704
"humidity","day 096",23.9902382888914
"humidity","day 097",23.56299647128
"humidity","day 098",23.322380869507
"humidity","day 099",23.4043284133868
"humidity","day 100",23.5817260137032
"humidity","day 101",23.6113841954606
"humidity","day 102",23.5488579595781
"humidity","day 103",23.5408549668711
"humidity","day 104",23.7999490418255
"humidity","day 105",24.4594582802918
"humidity","day 106",25.2698116999077
"humidity","day 107",25.8947882872536
"humidity","day 108",26.1234195272911
"humidity","day 109",26.1096633210681
"humidity","day 110",26.0775364004434
"humidity","day 111",26.1754366429285
"humidity","day 112",26.492924731103
"humidity","day 113",26.9598314221637
"humidity","day 114",27.4766413754939
"humidity","day 115",27.986184784606
"humidity","day 116",28.4552208803374
"humidity","day 117",28.9038795086973
"humidity","day 118",29.3479619836316
"humidity","day 119",29.7325848756614
"humidity","day 120",30.025895906183
"humidity","day 121",30.3588521435198
"humidity","day 122",30.8594410212597
"humidity","day 123",31.4809620871209
"humidity","day 124",32.1205412520375
"humidity","day 125",32.6252977656778
"humidity","day 126",32.8729138828046
"humidity","day 127",32.9133305398253
"humidity","day 128",32.789628116184
"humidity","day 129",32.4013275844901
"humidity","day 130",31.8225907006348
"humidity","day 131",31.1538704199279
"humidity","day 132",30.3762184846966
"humidity","day 133",29.4818413290512
"humidity","day 134",28.6269653672184
"humidity","day 135",28.0010702623963
"humidity","day 136",27.7626286935543
"humidity","day 137",28.0319852089546
"humidity","day 138",28.8079788182582
"humidity","day 139",30.040922863614
"humidity","day 140",31.6085335557232
"humidity","day 141",33.3361806071596
"humidity","day 142",34.9124448694358
"humidity","day 143",36.0472431031738
"humidity","day 144",36.6726245664958
"humidity","day 145",36.7164591621419
"humidity","day 146",35.8677668738221
"humidity","day 147",33.9264789719853
"humidity","day 148",31.3750217930647
"humidity","day 149",28.994294938225
"humidity","day 150",28.0765960015716
