"dimension","time","value"
"sunlight","day 001",67.1128888945977
"sunlight","day 002",66.9046609652366
"sunlight","day 003",66.6870466187984
"sunlight","day 004",66.4441428061504
"sunlight","day 005",66.1624933343011
"sunlight","day 006",65.8453637234347
"sunlight","day 007",65.5066713038562
"sunlight","day 008",65.1862189331811
"sunlight","day 009",64.9243433330045
"sunlight","day 010",64.73763115353
"sunlight","day 011",64.6255817545549
"sunlight","day 012",64.5430954056425
"sunlight","day 013",64.4466269767961
"sunlight","day 014",64.3434488300154
"sunlight","day 015",64.2514695938543
"sunlight","day 016",64.180325471087
"sunlight","day 017",64.1265811110977
"sunlight","day 018",64.0427873754883
"sunlight","day 019",63.882041750356
"sunlight","day 020",63.6436420075598
"sunlight","day 021",63.3431726750992
"sunlight","day 022",63.0151650197733
"sunlight","day 023",62.685573936236
"sunlight","day 024",62.3306515093529
"sunlight","day 025",61.9275344375028
"sunlight","day 026",61.4554207275221
"sunlight","day 027",60.8875559497228
"sunlight","day 028",60.2138685699595
"sunlight","day 029",59.4969710727836
"sunlight","day 030",58.8113683919731
"sunlight","day 031",58.2064512395162
"sunlight","day 032",57.7891345441795
"sunlight","day 033",57.9215443236331
"sunlight","day 034",58.7193338602659
"sunlight","day 035",59.0570544064364
"sunlight","day 036",57.9927156162697
"sunlight","day 037",56.5592627809867
"sunlight","day 038",56.0250515074156
"sunlight","day 039",56.6251430277172
"sunlight","day 040",58.1884059882805
"sunlight","day 041",59.9522330670734
"sunlight","day 042",61.207520521135
"sunlight","day 043",62.0506548922102
"sunlight","day 044",62.7028418879142
"sunlight","day 045",63.1142782799758
"sunlight","day 046",63.2994261761762
"sunlight","day 047",63.2991665179783
"sunlight","day 048",63.1192368402139
"sunlight","day 049",62.7584652650315
"sunlight","day 050",62.2231856704781
"sunlight","day 051",61.524977115046
"sunlight","day 052",60.688893623108
"sunlight","day 053",59.7421542943035
"sunlight","day 054",58.7071635634543
"sunlight","day 055",57.6100374788359
"sunlight","day 056",56.4965532073551
"sunlight","day 057",55.4084916600078
"sunlight","day 058",54.3519876055163
"sunlight","day 059",53.330292875708
"sunlight","day 060",52.3707736971072
"sunlight","day 061",51.5044848564771
"sunlight","day 062",50.7531209868425
"sunlight","day 063",50.130917286051
"sunlight","day 064",49.6316313649818
"sunlight","day 065",49.2375873787854
"sunlight","day 066",48.901771915281
"sunlight","day 067",48.5545321777641
"sunlight","day 068",48.1465976666991
"sunlight","day 069",47.7265523967625
"sunlight","day 070",47.3538669737583
"sunlight","day 071",47.033703853787
"sunlight","day 072",46.7588577824372
"sunlight","day 073",46.5269608129547
"sunlight","day 074",46.3318409094103
"sunlight","day 075",46.1472723715193
"sunlight","day 076",45.9485763039417
"sunlight","day 077",45.7373146954723
"sunlight","day 078",45.5213674920722
"sunlight","day 079",45.3076455842345
"sunlight","day 080",45.096571620729
"sunlight","day 081",44.863584338901
"sunlight","day 082",44.5858171378867
"sunlight","day 083",44.2721659754083
"sunlight","day 084",43.9365879739093
"sunlight","day 085",43.58152235613
"sunlight","day 086",43.2111163458114
"sunlight","day 087",42.8473711708502
"sunlight","day 088",42.5148919368714
"sunlight","day 089",42.230473486017
"sunlight","day 090",41.9816532046929
"sunlight","day 091",41.7499971761403
"sunlight","day 092",41.5224437266763
"sunlight","day 093",41.2914632983905
"sunlight","day 094",41.0662825533851
"sunlight","day 095",40.8549956662218
"sunlight","day 096",40.6444106412876
"sunlight","day 097",40.4204383586118
"sunlight","day 098",40.1866873709667
"sunlight","day 099",39.9492157127032
"sunlight","day 100",39.7061816717428
"sunlight","day 101",39.4557831366442
"sunlight","day 102",39.204276144947
"sunlight","day 103",38.9609821004323
"sunlight","day 104",38.7394257228681
"sunlight","day 105",38.5522233510708
"sunlight","day 106",38.4041544840635
"sunlight","day 107",38.2995814400313
"sunlight","day 108",38.2473149391019
"sunlight","day 109",38.2508288725178
"sunlight","day 110",38.3142709021198
"sunlight","day 111",38.4513626301363
"sunlight","day 112",38.6770359949176
"sunlight","day 113",39.0014903389121
"sunlight","day 114",39.4338681984229
"sunlight","day 115",39.9838174810734
"sunlight","day 116",40.660288018113
"sunlight","day 117",41.4689319639732
"sunlight","day 118",42.4100904191491
"sunlight","day 119",43.4661579452057
"sunlight","day 120",44.6111206797432
"sunlight","day 121",45.8032776034309
"sunlight","day 122",46.9933076706973
"sunlight","day 123",48.1170968879363
"sunlight","day 124",49.1101526603375
"sunlight","day 125",49.9212609363056
"sunlight","day 126",50.5081534018418
"sunlight","day 127",50.8510661501175
"sunlight","day 128",50.9379537531002
"sunlight","day 129",50.7612490975814
"sunlight","day 130",50.2999126745895
"sunlight","day 131",49.5368936818999
"sunlight","day 132",48.4866609170421
"sunlight","day 133",47.1813465125124
"sunlight","day 134",45.6922163409192
"sunlight","day 135",44.0935220988543
"sunlight","day 136",42.4323250387307
"sunlight","day 137",40.7488328015815
"sunlight","day 138",39.0830290271007
"sunlight","day 139",37.4740092946441
"sunlight","day 140",35.957540943557
"sunlight","day 141",34.563850957736
"sunlight","day 142",33.304333139295
"sunlight","day 143",32.1822887862958
"sunlight","day 144",31.1874823623751
"sunlight","day 145",30.300392654904
"sunlight","day 146",29.4778925806167
"sunlight","day 147",28.6760962819839
"sunlight","day 148",27.8716886750588
"sunlight","day 149",27.0519490652605
"sunlight","day 150",26.2259635418882
"humidity","day 001",28.955982083395
"humidity","day 002",29.2050708536878
"humidity","day 003",29.4778065802939
"humidity","day 004",29.707849143478
"humidity","day 005",29.8264471776353
"humidity","day 006",29.8086697752776
"humidity","day 007",29.6303049799409
"humidity","day 008",29.2261961811421
"humidity","day 009",28.5687484987666
"humidity","day 010",27.8215586281936
"humidity","day 011",27.1882355539585
"humidity","day 012",26.8412458417283
"humidity","day 013",26.8844380894266
"humidity","day 014",27.1783314428735
"humidity","day 015",27.5637527514106
"humidity","day 016",28.0460891305713
"humidity","day 017",28.6725081978479
"humidity","day 018",29.4927393123767
"humidity","day 019",30.5249560264514
"humidity","day 020",31.6585469233521
"humidity","day 021",32.7687916849188
"humidity","day 022",33.8033193562459
"humidity","day 023",34.6883259398469
"humidity","day 024",35.2299448071259
"humidity","day 025",35.3468645559592
"humidity","day 026",35.0093573938154
"humidity","day 027",34.2419543566644
"humidity","day 028",33.074968269048
"humidity","day 029",31.5075802812962
"humidity","day 030",29.5590583569335
"humidity","day 031",27.360149386476
"humidity","day 032",25.1857298932909
"humidity","day 033",23.7757160051591
"humidity","day 034",23.7263188486451
"humidity","day 035",24.5938899410352
"humidity","day 036",25.7588374001398
"humidity","day 037",26.9376553551449
"humidity","day 038",27.9579814492064
"humidity","day 039",28.7559413699878
"humidity","day 040",29.2915223899476
"humidity","day 041",29.5116700762203
"humidity","day 042",29.3717925504178
"humidity","day 043",28.8741898573874
"humidity","day 044",28.0864931339748
"humidity","day 045",27.2633461630335
"humidity","day 046",26.6033216436137
"humidity","day 047",26.218743916378
"humidity","day 048",25.9866230834326
"humidity","day 049",25.749935622795
"humidity","day 050",25.4508377546846
"humidity","day 051",25.0967489647265
"humidity","day 052",24.856962057968
"humidity","day 053",24.915690916929
"humidity","day 054",25.3549604145984
"humidity","day 055",26.2186874217665
"humidity","day 056",27.5005458099612
"humidity","day 057",29.1802963266194
"humidity","day 058",31.232290222077
"humidity","day 059",33.6207154675524
"humidity","day 060",36.2745164148951
"humidity","day 061",39.0748826278715
"humidity","day 062",41.7472281372843
"humidity","day 063",43.9865014909022
"humidity","day 064",45.5215648373201
"humidity","day 065",46.164333791792
"humidity","day 066",46.0095059561471
"humidity","day 067",45.1642808817354
"humidity","day 068",43.7613953159527
"humidity","day 069",42.0978079073094
"humidity","day 070",40.4540200403052
"humidity","day 071",38.8804821422828
"humidity","day 072",37.3573414565625
"humidity","day 073",35.8135834475325
"humidity","day 074",34.1742871857587
"humidity","day 075",32.4000679454513
"humidity","day 076",30.4821308412509
"humidity","day 077",28.4985041458753
"humidity","day 078",26.553235812998
"humidity","day 079",24.7676293620378
"humidity","day 080",23.2569003791714
"humidity","day 081",22.094657151862
"humidity","day 082",21.3197586599098
"humidity","day 083",20.8736739511763
"humidity","day 084",20.6592295589895
"humidity","day 085",20.5220718904821
"humidity","day 086",20.314801863552
"humidity","day 087",19.9977390726239
"humidity","day 088",19.6433346835152
"humidity","day 089",19.3240589466222
"humidity","day 090",19.0215764215778
"humidity","day 091",18.7128750717167
"humidity","day 092",18.4470421659443
"humidity","day 093",18.285646074563
"humidity","day 094",18.2680802678936
"humidity","day 095",18.4185965262668
"humidity","day 096",18.7230547700334
"humidity","day 097",19.1261432380986
"humidity","day 098",19.446255303564
"humidity","day 099",19.5127439836064
"humidity","day 100",19.3250957375088
"humidity","day 101",18.9467203923087
"humidity","day 102",18.5265878039566
"humidity","day 103",18.2016506618855
"humidity","day 104",17.9752329605468
"humidity","day 105",17.8169930648346
"humidity","day 106",17.6955555163964
"humidity","day 107",17.5920223803606
"humidity","day 108",17.5306187678325
"humidity","day 109",17.5170222844448
"humidity","day 110",17.5282657964387
"humidity","day 111",17.4580866972549
"humidity","day 112",17.2096654685695
"humidity","day 113",16.8072504178005
"humidity","day 114",16.3024864981868
"humidity","day 115",15.7355374205093
"humidity","day 116",15.1513568886749
"humidity","day 117",14.625539821554
"humidity","day 118",14.2205198133172
"humidity","day 119",13.9154439443702
"humidity","day 120",13.6850604301122
"humidity","day 121",13.5698085396793
"humidity","day 122",13.6073781394604
"humidity","day 123",13.758770431119
"humidity","day 124",13.9672652720557
"humidity","day 125",14.1819458073458
"humidity","day 126",14.3512381649204
"humidity","day 127",14.4151371164597
"humidity","day 128",14.3326836215861
"humidity","day 129",14.1527733040321
"humidity","day 130",13.9664100389011
"humidity","day 131",13.860513779147
"humidity","day 132",13.8847145647606
"humidity","day 133",14.0780441589461
"humidity","day 134",14.4744311307249
"humidity","day 135",15.0899574230774
"humidity","day 136",15.8744216690036
"humidity","day 137",16.7626950672378
"humidity","day 138",17.6962223894314
"humidity","day 139",18.6390596315487
"humidity","day 140",19.6391341138882
"humidity","day 141",20.7335485390595
"humidity","day 142",21.8322358145841
"humidity","day 143",22.8383163472514
"humidity","day 144",23.7548303360117
"humidity","day 145",24.6013458161787
"humidity","day 146",25.3636223763594
"humidity","day 147",26.0060486609916
"humidity","day 148",26.4413379845453
"humidity","day 149",26.6139129568025
"humidity","day 150",26.6467086987623
