"dimension","time","value"
"sunlight","day 001",48.5844982598319
"sunlight","day 002",47.3617216452594
"sunlight","day 003",46.2663706864407
"sunlight","day 004",45.3935182142046
"sunlight","day 005",44.8150489441214
"sunlight","day 006",44.5578288297938
"sunlight","day 007",44.6197242868959
"sunlight","day 008",44.9276223413566
"sunlight","day 009",45.378702465641
"sunlight","day 010",45.8222933081052
"sunlight","day 011",46.1056509117612
"sunlight","day 012",46.1155917223527
"sunlight","day 013",45.7778451448934
"sunlight","day 014",45.1342320187448
"sunlight","day 015",44.2699193342104
"sunlight","day 016",43.3273672510133
"sunlight","day 017",42.446095792752
"sunlight","day 018",41.6965712691092
"sunlight","day 019",41.1503666221841
"sunlight","day 020",40.9525350376581
"sunlight","day 021",41.1979589062622
"sunlight","day 022",41.707357195342
"sunlight","day 023",42.203135134739
"sunlight","day 024",42.3688142410788
"sunlight","day 025",42.1789744029912
"sunlight","day 026",41.7118966236936
"sunlight","day 027",41.1398351110903
"sunlight","day 028",40.6349739902046
"sunlight","day 029",40.2752438498498
"sunlight","day 030",40.1218855050469
"sunlight","day 031",40.2636342118568
"sunlight","day 032",40.7509563857075
"sunlight","day 033",41.4537486384565
"sunlight","day 034",42.2042272965404
"sunlight","day 035",42.8644573482841
"sunlight","day 036",43.3463029880042
"sunlight","day 037",43.7309765720951
"sunlight","day 038",44.1015884752229
"sunlight","day 039",44.3794929830616
"sunlight","day 040",44.4271842744541
"sunlight","day 041",44.03347218991
"sunlight","day 042",43.0941964682789
"sunlight","day 043",42.0070007801048
"sunlight","day 044",41.2288539218966
"sunlight","day 045",40.909097570054
"sunlight","day 046",40.9584527749156
"sunlight","day 047",41.2493898040776
"sunlight","day 048",41.6738705632709
"sunlight","day 049",42.123626353192
"sunlight","day 050",42.4699744162672
"sunlight","day 051",42.6165998882056
"sunlight","day 052",42.6170735361191
"sunlight","day 053",42.5580466028289
"sunlight","day 054",42.508606602591
"sunlight","day 055",42.5245559562992
"sunlight","day 056",42.6261204399639
"sunlight","day 057",42.8132946935536
"sunlight","day 058",43.0407254577534
"sunlight","day 059",43.2728221017822
"sunlight","day 060",43.5583924082803
"sunlight","day 061",43.9718250181238
"sunlight","day 062",44.6054335917123
"sunlight","day 063",45.5141216653903
"sunlight","day 064",46.5852272597602
"sunlight","day 065",47.6484570102064
"sunlight","day 066",48.5189374348571
"sunlight","day 067",49.1895746770468
"sunlight","day 068",49.6968345847251
"sunlight","day 069",50.0579021928145
"sunlight","day 070",50.2864623810534
"sunlight","day 071",50.4014802214709
"sunlight","day 072",50.4039303647518
"sunlight","day 073",50.2175455839117
"sunlight","day 074",49.7673892992248
"sunlight","day 075",49.0610893976677
"sunlight","day 076",48.1308635886694
"sunlight","day 077",47.0247244047655
"sunlight","day 078",45.802416881915
"sunlight","day 079",44.5548212466636
"sunlight","day 080",43.4171950719811
"sunlight","day 081",42.6711701259457
"sunlight","day 082",42.5668085523216
"sunlight","day 083",43.0815198025074
"sunlight","day 084",44.1029617306361
"sunlight","day 085",45.432438494145
"sunlight","day 086",46.8399716656571
"sunlight","day 087",48.1014767896016
"sunlight","day 088",49.1618577072335
"sunlight","day 089",49.9970865573979
"sunlight","day 090",50.5287262118343
"sunlight","day 091",50.7056049553296
"sunlight","day 092",50.640021991966
"sunlight","day 093",50.4868590945321
"sunlight","day 094",50.4078573913468
"sunlight","day 095",50.5237852965381
"sunlight","day 096",50.7846610119386
"sunlight","day 097",51.1093532638712
"sunlight","day 098",51.4628830889137
"sunlight","day 099",51.820487524395
"sunlight","day 100",52.1521153003912
"sunlight","day 101",52.4390628440069
"sunlight","day 102",52.7133056777115
"sunlight","day 103",53.0172607659366
"sunlight","day 104",53.3844317455969
"sunlight","day 105",53.8378678208652
"sunlight","day 106",54.3677137924625
"sunlight","day 107",54.9292938902322
"sunlight","day 108",55.4012280573983
"sunlight","day 109",55.7542361409288
"sunlight","day 110",56.0022346262614
"sunlight","day 111",56.2132321789529
"sunlight","day 112",56.465374851328
"sunlight","day 113",56.8232660626629
"sunlight","day 114",57.319051606585
"sunlight","day 115",57.8685894071745
"sunlight","day 116",58.3725476423223
"sunlight","day 117",58.7871233747113
"sunlight","day 118",59.0910091439617
"sunlight","day 119",59.2973505126539
"sunlight","day 120",59.422731203379
"sunlight","day 121",59.463034555813
"sunlight","day 122",59.43690694511
"sunlight","day 123",59.4747472712524
"sunlight","day 124",59.67417472521
"sunlight","day 125",59.8899371370747
"sunlight","day 126",59.9577363314228
"sunlight","day 127",59.8799614716471
"sunlight","day 128",59.748588522929
"sunlight","day 129",59.8004321665497
"sunlight","day 130",60.1329374419215
"sunlight","day 131",60.7542497491484
"sunlight","day 132",61.5026005400553
"sunlight","day 133",62.1881296524631
"sunlight","day 134",62.678524416455
"sunlight","day 135",62.8765956810355
"sunlight","day 136",62.7681008786294
"sunlight","day 137",62.3795574978381
"sunlight","day 138",61.8175766685475
"sunlight","day 139",61.2092550950343
"sunlight","day 140",60.6835381378516
"sunlight","day 141",60.3421398033435
"sunlight","day 142",60.1760000247406
"sunlight","day 143",60.2036418153652
"sunlight","day 144",60.6646945820202
"sunlight","day 145",61.7964696959266
"sunlight","day 146",63.6058999924974
"sunlight","day 147",66.0431742742377
"sunlight","day 148",69.0618837478295
"sunlight","day 149",72.6076429907299
"sunlight","day 150",76.5907576593198
"humidity","day 001",29.3228651353924
"humidity","day 002",28.591350353092
"humidity","day 003",27.5226470154673
"humidity","day 004",26.4231567512478
"humidity","day 005",25.6452916967751
"humidity","day 006",25.1729359759212
"humidity","day 007",24.8954941793871
"humidity","day 008",24.6929807776619
"humidity","day 009",24.4675942805854
"humidity","day 010",24.2196594756122
"humidity","day 011",23.9857747776458
"humidity","day 012",23.8495068337704
"humidity","day 013",23.8814162113005
"humidity","day 014",24.0530709262918
"humidity","day 015",24.3118130449497
"humidity","day 016",24.6070733853387
"humidity","day 017",24.8984995600609
"humidity","day 018",25.1845176080102
"humidity","day 019",25.4617039137637
"humidity","day 020",25.6804578183408
"humidity","day 021",25.7857476633538
"humidity","day 022",25.7469948363469
"humidity","day 023",25.552303457692
"humidity","day 024",25.2299261672997
"humidity","day 025",24.7801676130537
"humidity","day 026",24.1983072995875
"humidity","day 027",23.5000416219074
"humidity","day 028",22.7235456267149
"humidity","day 029",21.9764920771206
"humidity","day 030",21.3675117661996
"humidity","day 031",20.939569890477
"humidity","day 032",20.7089783245954
"humidity","day 033",20.651101252218
"humidity","day 034",20.7345148204376
"humidity","day 035",20.9415907210462
"humidity","day 036",21.2719825978526
"humidity","day 037",21.7806763580341
"humidity","day 038",22.5141900935204
"humidity","day 039",23.4298383718835
