"dimension","time","value"
"sunlight","day 001",63.0814068486945
"sunlight","day 002",61.9319728046171
"sunlight","day 003",60.9553523790987
"sunlight","day 004",60.2406539700917
"sunlight","day 005",59.8346084029362
"sunlight","day 006",59.6940890965994
"sunlight","day 007",59.7472372577669
"sunlight","day 008",59.897122650374
"sunlight","day 009",60.0458637010751
"sunlight","day 010",60.1168449301526
"sunlight","day 011",60.0550687075031
"sunlight","day 012",59.8707427078523
"sunlight","day 013",59.5983523841566
"sunlight","day 014",59.3042889974649
"sunlight","day 015",59.0513145213505
"sunlight","day 016",58.8557679713891
"sunlight","day 017",58.7289547363163
"sunlight","day 018",58.7084686555017
"sunlight","day 019",58.8134832629063
"sunlight","day 020",58.9632024202211
"sunlight","day 021",59.0605382917044
"sunlight","day 022",59.0432059241542
"sunlight","day 023",58.8537699660575
"sunlight","day 024",58.4481448355447
"sunlight","day 025",57.8934108135047
"sunlight","day 026",57.2860973219699
"sunlight","day 027",56.7255133658446
"sunlight","day 028",56.2900645295711
"sunlight","day 029",55.9717631328728
"sunlight","day 030",55.7325098269401
"sunlight","day 031",55.50015185355
"sunlight","day 032",55.2156322975168
"sunlight","day 033",54.9063310252179
"sunlight","day 034",54.614472990858
"sunlight","day 035",54.3552267183872
"sunlight","day 036",54.1246726562117
"sunlight","day 037",53.8695953808165
"sunlight","day 038",53.543753440086
"sunlight","day 039",53.1780971394225
"sunlight","day 040",52.8270288250559
"sunlight","day 041",52.5615672490073
"sunlight","day 042",52.4493197767882
"sunlight","day 043",52.5276318220805
"sunlight","day 044",52.7748889874083
"sunlight","day 045",52.9918140300636
"sunlight","day 046",53.0393931744266
"sunlight","day 047",52.8262012596045
"sunlight","day 048",52.3395097933258
"sunlight","day 049",51.5794880990921
"sunlight","day 050",50.5192000948755
"sunlight","day 051",49.1563508209156
"sunlight","day 052",47.6143152120525
"sunlight","day 053",46.0409436066746
"sunlight","day 054",44.5563180627622
"sunlight","day 055",43.2518980537199
"sunlight","day 056",42.1324209950572
"sunlight","day 057",41.2090794063905
"sunlight","day 058",40.6056082816585
"sunlight","day 059",40.5122726636499
"sunlight","day 060",41.2729153162292
"sunlight","day 061",43.0737356970291
"sunlight","day 062",45.316782317679
"sunlight","day 063",47.0730583350329
