"dimension","time","value"
"sunlight","day 001",34.3491520950017
"sunlight","day 002",35.3871663067447
"sunlight","day 003",36.3388331858996
"sunlight","day 004",37.1581063649805
"sunlight","day 005",37.8214396001069
"sunlight","day 006",38.3366933174412
"sunlight","day 007",38.703758175201
"sunlight","day 008",38.8592390897812
"sunlight","day 009",38.7299484558689
"sunlight","day 010",38.2668143231419
"sunlight","day 011",37.4723065883139
"sunlight","day 012",36.5309468812501
"sunlight","day 013",35.638037102103
"sunlight","day 014",34.849948499023
"sunlight","day 015",34.1913879903863
"sunlight","day 016",33.6993358274747
"sunlight","day 017",33.4117311892922
"sunlight","day 018",33.3580756328286
"sunlight","day 019",33.5564173046032
"sunlight","day 020",33.9874283312702
"sunlight","day 021",34.6126568016439
"sunlight","day 022",35.3545306730443
"sunlight","day 023",36.1411504317196
"sunlight","day 024",36.9539139901853
"sunlight","day 025",37.7556205389926
"sunlight","day 026",38.5081792022807
"sunlight","day 027",39.2039901223083
"sunlight","day 028",39.8493670857528
"sunlight","day 029",40.4757874388454
"sunlight","day 030",41.1120865985984
"sunlight","day 031",41.7513687055934
"sunlight","day 032",42.3662618814684
"sunlight","day 033",42.8832214485175
"sunlight","day 034",43.2447367018509
"sunlight","day 035",43.5036056271882
"sunlight","day 036",43.7255057332837
"sunlight","day 037",43.917323930422
"sunlight","day 038",44.0708408059251
"sunlight","day 039",44.1762022537358
"sunlight","day 040",44.2221304596049
"sunlight","day 041",44.1932874698966
"sunlight","day 042",44.0879825488218
"sunlight","day 043",43.963173971364
"sunlight","day 044",43.8650719886081
"sunlight","day 045",43.803461597055
"sunlight","day 046",44.0235809237581
"sunlight","day 047",44.7825175705295
"sunlight","day 048",46.1238936310738
"sunlight","day 049",48.0062332157711
"sunlight","day 050",50.2611340098128
"sunlight","day 051",52.6872257580881
"sunlight","day 052",55.0781928694667
"sunlight","day 053",57.2422193989349
"sunlight","day 054",59.0504333219644
"sunlight","day 055",60.3942431391704
"sunlight","day 056",61.1832355312557
"sunlight","day 057",61.3463187359379
"sunlight","day 058",60.8715090389045
"sunlight","day 059",59.7803751549958
"sunlight","day 060",58.1695874676905
"sunlight","day 061",56.1726864225864
"sunlight","day 062",53.9955910451169
"sunlight","day 063",51.8474462175491
"sunlight","day 064",49.8779216696501
"sunlight","day 065",48.1988325189907
"sunlight","day 066",46.8292420213073
"sunlight","day 067",45.7619933460643
"sunlight","day 068",44.9930904974967
"sunlight","day 069",44.5344150811236
"sunlight","day 070",44.396147648308
"sunlight","day 071",44.5657869325048
"sunlight","day 072",45.0123772139245
"sunlight","day 073",45.6538267777075
"sunlight","day 074",46.3832588118109
"sunlight","day 075",47.0457921105275
"sunlight","day 076",47.5005821613056
"sunlight","day 077",47.7109356178795
"sunlight","day 078",47.689205257463
"sunlight","day 079",47.5397771849016
"sunlight","day 080",47.3895071558882
"sunlight","day 081",47.3630962018745
"sunlight","day 082",47.552366009863
"sunlight","day 083",47.9197756133011
"sunlight","day 084",48.3951854989
"sunlight","day 085",48.9074246199799
"sunlight","day 086",49.3925615505331
"sunlight","day 087",49.8105798858615
"sunlight","day 088",50.1046607462098
"sunlight","day 089",50.2287849017421
"sunlight","day 090",50.204431701377
"sunlight","day 091",50.0686809055077
"sunlight","day 092",49.8535153416711
"sunlight","day 093",49.5965809126795
"sunlight","day 094",49.3632727553034
"sunlight","day 095",49.2158949810815
"sunlight","day 096",49.176638366666
"sunlight","day 097",49.2487947989467
"sunlight","day 098",49.4001739406494
"sunlight","day 099",49.5848097710974
"sunlight","day 100",49.7371157601685
"sunlight","day 101",49.8030032297844
"sunlight","day 102",49.7939954194878
"sunlight","day 103",49.7422871422342
"sunlight","day 104",49.6971475870098
"sunlight","day 105",49.7245550716648
"sunlight","day 106",49.9402500534755
"sunlight","day 107",50.4458158559594
"sunlight","day 108",51.2182515780941
"sunlight","day 109",52.1351844499321
"sunlight","day 110",53.0666250062812
"sunlight","day 111",53.9248912012794
"sunlight","day 112",54.6672859660465
"sunlight","day 113",55.388744720299
"sunlight","day 114",56.2008837234068
"sunlight","day 115",57.1444101047558
"sunlight","day 116",58.2337585774822
"sunlight","day 117",59.4491833197055
"sunlight","day 118",60.7596659230034
"sunlight","day 119",62.1232781678034
"sunlight","day 120",63.5036228852005
"sunlight","day 121",64.8973369201133
"sunlight","day 122",66.2829371794891
"sunlight","day 123",67.5334268045682
"sunlight","day 124",68.5286201649609
"sunlight","day 125",69.2810903094657
"sunlight","day 126",69.8198543500378
"sunlight","day 127",70.1069469720727
"sunlight","day 128",70.0764772928378
"sunlight","day 129",69.6475985893653
"sunlight","day 130",68.8473402000734
"sunlight","day 131",67.7295485824067
"sunlight","day 132",66.3362826470431
"sunlight","day 133",64.7412581234101
"sunlight","day 134",63.1566055627024
"sunlight","day 135",61.7863431625397
"sunlight","day 136",60.6636248844769
"sunlight","day 137",59.7773645598702
"sunlight","day 138",59.1103797353451
"sunlight","day 139",58.6432188145715
"sunlight","day 140",58.3534499141262
"sunlight","day 141",58.2294726071658
"sunlight","day 142",58.3059925802569
"sunlight","day 143",58.6136901306032
"sunlight","day 144",59.1208378845458
