"dimension","time","value"
"sunlight","day 001",63.4504837315962
"sunlight","day 002",63.003588920614
"sunlight","day 003",62.5666412427339
"sunlight","day 004",62.1908657122657
"sunlight","day 005",61.930572886716
"sunlight","day 006",61.7882992711341
"sunlight","day 007",61.7446346664588
"sunlight","day 008",61.7441561096439
"sunlight","day 009",61.7254064007418
"sunlight","day 010",61.638804156183
"sunlight","day 011",61.4573674074085
"sunlight","day 012",61.2326360295205
"sunlight","day 013",61.0273558018879
"sunlight","day 014",60.8705742772842
"sunlight","day 015",60.7867122098791
"sunlight","day 016",60.8153813860235
"sunlight","day 017",60.995977611855
"sunlight","day 018",61.3518417404764
"sunlight","day 019",61.8782399688297
"sunlight","day 020",62.474194822248
"sunlight","day 021",63.0494065999453
"sunlight","day 022",63.6525303682695
"sunlight","day 023",64.3706806597415
"sunlight","day 024",65.2852663163685
"sunlight","day 025",66.399061802255
"sunlight","day 026",67.6712853899933
"sunlight","day 027",68.9692857384186
"sunlight","day 028",70.1560194801226
"sunlight","day 029",71.1687447564784
"sunlight","day 030",71.9691382127666
"sunlight","day 031",72.5422490011155
"sunlight","day 032",72.8837833069997
"sunlight","day 033",73.0087029424332
"sunlight","day 034",72.9399912927576
"sunlight","day 035",72.7134624100862
"sunlight","day 036",72.3587447475228
"sunlight","day 037",71.8678936953605
"sunlight","day 038",71.2341650049916
"sunlight","day 039",70.4931889350156
"sunlight","day 040",69.6849481224564
"sunlight","day 041",68.8244602108247
"sunlight","day 042",67.9198947563867
"sunlight","day 043",66.9769939599401
"sunlight","day 044",66.0165175996701
"sunlight","day 045",65.0740074917821
"sunlight","day 046",64.0097673607508
"sunlight","day 047",62.652324260244
"sunlight","day 048",60.8939610686887
"sunlight","day 049",58.7356141774681
"sunlight","day 050",56.549078205033
"sunlight","day 051",54.7155329256801
"sunlight","day 052",53.2828405100209
"sunlight","day 053",52.2073130631995
"sunlight","day 054",51.4123800321731
"sunlight","day 055",50.8213660094033
"sunlight","day 056",50.3900588275537
"sunlight","day 057",50.0930989606033
"sunlight","day 058",49.9480742075901
"sunlight","day 059",49.9676696983249
"sunlight","day 060",50.1020125606517
"sunlight","day 061",50.2849523213059
"sunlight","day 062",50.4477861045555
"sunlight","day 063",50.5241431885295
"sunlight","day 064",50.4595338692687
"sunlight","day 065",50.2225507289902
"sunlight","day 066",49.8604505198677
"sunlight","day 067",49.433466198422
"sunlight","day 068",48.9887209885007
"sunlight","day 069",48.5280350106072
"sunlight","day 070",48.0420466702414
"sunlight","day 071",47.5219706162324
"sunlight","day 072",46.9628646932929
"sunlight","day 073",46.3745832863416
"sunlight","day 074",45.7715717956968
"sunlight","day 075",45.171843143069
"sunlight","day 076",44.5929283234565
"sunlight","day 077",44.0468631036163
"sunlight","day 078",43.5475622043208
"sunlight","day 079",43.1219513906452
"sunlight","day 080",42.7974051617617
"sunlight","day 081",42.5900819089284
"sunlight","day 082",42.5022301304797
"sunlight","day 083",42.4916748609688
"sunlight","day 084",42.5128442872734
"sunlight","day 085",42.5510026693487
"sunlight","day 086",42.5954259694736
"sunlight","day 087",42.6247733253059
"sunlight","day 088",42.6306963152091
"sunlight","day 089",42.6085105498172
"sunlight","day 090",42.5514980121961
"sunlight","day 091",42.4476795668045
"sunlight","day 092",42.2660652312421
"sunlight","day 093",41.975943699324
"sunlight","day 094",41.5667292165844
"sunlight","day 095",41.0395872074847
"sunlight","day 096",40.4225622604732
"sunlight","day 097",39.7539315767713
"sunlight","day 098",39.0860236447056
"sunlight","day 099",38.4747623412809
"sunlight","day 100",37.9764018111103
"sunlight","day 101",37.6403120881563
"sunlight","day 102",37.4879964961689
"sunlight","day 103",37.5202123049977
"sunlight","day 104",37.6825992791021
"sunlight","day 105",37.9105457288433
"sunlight","day 106",38.1535516535815
"sunlight","day 107",38.3647924210731
"sunlight","day 108",38.4996543802568
"sunlight","day 109",38.5201561125963
"sunlight","day 110",38.3852739927496
"sunlight","day 111",38.0353307817745
"sunlight","day 112",37.4218774467473
"sunlight","day 113",36.560031392418
"sunlight","day 114",35.4917924438148
"sunlight","day 115",34.3031236694042
"sunlight","day 116",33.0882279071427
"sunlight","day 117",31.9303038295105
"sunlight","day 118",30.9249857893563
"sunlight","day 119",30.2286550264806
"sunlight","day 120",29.9707218200395
"sunlight","day 121",30.1119657196585
"sunlight","day 122",30.7173091358352
"sunlight","day 123",32.4368766520855
"sunlight","day 124",35.3198039481658
"sunlight","day 125",36.4260689157777
"sunlight","day 126",33.5005934013467
"sunlight","day 127",30.0172328582494
"sunlight","day 128",29.5777415314402
"sunlight","day 129",31.0064282988621
"sunlight","day 130",33.5828397228154
"sunlight","day 131",36.9562703807305
"sunlight","day 132",40.4954346160407
"sunlight","day 133",43.5839207110523
"sunlight","day 134",45.9453929375589
"sunlight","day 135",47.4521912770004
"sunlight","day 136",48.2312825599108
"sunlight","day 137",48.4797717272019
"sunlight","day 138",48.4206893122015
"sunlight","day 139",48.2482399017598
"sunlight","day 140",48.0153987044017
"sunlight","day 141",47.7288887807866
"sunlight","day 142",47.3516539784348
"sunlight","day 143",46.8475995515794
"sunlight","day 144",46.2282555944419
"sunlight","day 145",45.5153976476211
"sunlight","day 146",44.7241581972356
"sunlight","day 147",43.8680790738088
"sunlight","day 148",42.9609825399637
"sunlight","day 149",42.0176962045448
"sunlight","day 150",41.0567886291818
"humidity","day 001",23.6732167581966
"humidity","day 002",23.0785113061521
"humidity","day 003",22.4311686911896
"humidity","day 004",21.7449305997394
"humidity","day 005",21.0558071821234
"humidity","day 006",20.4335321959289
"humidity","day 007",19.9512469397651
"humidity","day 008",19.6619992690636
"humidity","day 009",19.597749202271
"humidity","day 010",19.7261988530718
"humidity","day 011",20.0043913385861
"humidity","day 012",20.4109916944383
"humidity","day 013",20.9162814330891
"humidity","day 014",21.435386055839
"humidity","day 015",21.8908500978211
"humidity","day 016",22.2900502406595
"humidity","day 017",22.6767702247013
"humidity","day 018",23.1555898786934
