"dimension","time","value"
"sunlight","day 001",36.0865443847703
"sunlight","day 002",36.3026480516167
"sunlight","day 003",36.5537432107462
"sunlight","day 004",36.8379132479218
"sunlight","day 005",37.1418962245033
"sunlight","day 006",37.4441116314111
"sunlight","day 007",37.715781023203
"sunlight","day 008",37.9076527794259
"sunlight","day 009",37.9795623842963
"sunlight","day 010",37.9481669157204
"sunlight","day 011",37.8452623618514
"sunlight","day 012",37.7063787581406
"sunlight","day 013",37.5701139727147
"sunlight","day 014",37.4836031571038
"sunlight","day 015",37.4909199105463
"sunlight","day 016",37.61535433971
"sunlight","day 017",37.8585691620255
"sunlight","day 018",38.156501030543
"sunlight","day 019",38.4432965470435
"sunlight","day 020",38.7116681726097
"sunlight","day 021",38.9695299818318
"sunlight","day 022",39.2270366440303
"sunlight","day 023",39.4888938286707
"sunlight","day 024",39.7429773171589
"sunlight","day 025",39.9999805667229
"sunlight","day 026",40.2646374645246
"sunlight","day 027",40.4890167931011
"sunlight","day 028",40.6323060557104
"sunlight","day 029",40.7348327431182
"sunlight","day 030",40.8498000711326
"sunlight","day 031",41.0007741682213
"sunlight","day 032",41.2067966898016
"sunlight","day 033",41.4984484864268
"sunlight","day 034",41.9033628024284
"sunlight","day 035",42.4258432621144
"sunlight","day 036",43.0614445665384
"sunlight","day 037",43.7940553437584
"sunlight","day 038",44.6080741732057
"sunlight","day 039",45.5016055127993
"sunlight","day 040",46.4623347409395
"sunlight","day 041",47.4225650394639
"sunlight","day 042",48.3044578759467
"sunlight","day 043",49.0449900574711
"sunlight","day 044",49.6105115905259
"sunlight","day 045",50.059613414496
"sunlight","day 046",50.4348097324327
"sunlight","day 047",50.7493796574842
"sunlight","day 048",50.9414080440464
"sunlight","day 049",50.9413521378664
"sunlight","day 050",50.7243530088488
"sunlight","day 051",50.2924320088362
"sunlight","day 052",49.7104477932655
"sunlight","day 053",49.0602568452574
"sunlight","day 054",48.4288696550738
"sunlight","day 055",47.8969367786585
"sunlight","day 056",47.5145150275412
"sunlight","day 057",47.3284342896283
"sunlight","day 058",47.4032105027483
"sunlight","day 059",47.7727030687034
"sunlight","day 060",48.330459195268
"sunlight","day 061",48.9417879161393
"sunlight","day 062",49.4993577627324
"sunlight","day 063",49.9202533159304
"sunlight","day 064",50.1918638567713
"sunlight","day 065",50.3325905079075
"sunlight","day 066",50.4310220313357
"sunlight","day 067",50.6549627477921
"sunlight","day 068",51.168215802751
"sunlight","day 069",52.0527997484744
"sunlight","day 070",53.3799252311868
"sunlight","day 071",55.2593558661748
"sunlight","day 072",57.7202311163072
"sunlight","day 073",60.4306408657195
"sunlight","day 074",62.9783778440218
"sunlight","day 075",64.991095741455
"sunlight","day 076",66.196059929805
