"dimension","time","value"
"sunlight","day 001",36.0456279816632
"sunlight","day 002",36.0947545171966
"sunlight","day 003",36.1777748772971
"sunlight","day 004",36.3289431425532
"sunlight","day 005",36.5529359297009
"sunlight","day 006",36.7511462044078
"sunlight","day 007",36.8245498212365
"sunlight","day 008",36.7757378413974
"sunlight","day 009",36.6391707204134
"sunlight","day 010",36.4751712844094
"sunlight","day 011",36.3426884434428
"sunlight","day 012",36.2693130726986
"sunlight","day 013",36.2793111552632
"sunlight","day 014",36.4150071406998
"sunlight","day 015",36.7079553085352
"sunlight","day 016",37.1285707916732
"sunlight","day 017",37.6204911320023
"sunlight","day 018",38.0813826539748
"sunlight","day 019",38.4354211430674
"sunlight","day 020",38.7587914462919
"sunlight","day 021",39.1461092054033
"sunlight","day 022",39.6137041795946
"sunlight","day 023",40.1429092903942
"sunlight","day 024",40.6743313644107
"sunlight","day 025",41.2170533539313
"sunlight","day 026",41.805245307167
"sunlight","day 027",42.4895241633208
"sunlight","day 028",43.3003411945458
"sunlight","day 029",44.1710381138032
"sunlight","day 030",45.0206836218347
"sunlight","day 031",45.8083639296966
"sunlight","day 032",46.4991866510462
"sunlight","day 033",47.0423274996301
"sunlight","day 034",47.3962838472564
"sunlight","day 035",47.572771597889
"sunlight","day 036",47.6105980743069
"sunlight","day 037",47.6037177423935
"sunlight","day 038",47.6219898605971
"sunlight","day 039",47.5837457145201
"sunlight","day 040",47.3973778017203
"sunlight","day 041",47.0830514404205
"sunlight","day 042",46.6900532077561
"sunlight","day 043",46.2723818958462
"sunlight","day 044",45.8581264663281
"sunlight","day 045",45.3961152861704
"sunlight","day 046",44.9244526070811
"sunlight","day 047",44.5091257323858
"sunlight","day 048",44.2112904029151
"sunlight","day 049",44.0618935651173
"sunlight","day 050",43.9758785504087
"sunlight","day 051",43.8515049336786
"sunlight","day 052",43.6363008787396
"sunlight","day 053",43.3198731891493
"sunlight","day 054",43.0108746385213
"sunlight","day 055",42.8379403551707
"sunlight","day 056",42.8905889161615
"sunlight","day 057",43.1732626941443
"sunlight","day 058",43.3892157953693
"sunlight","day 059",43.2643703377171
"sunlight","day 060",42.9165087519926
"sunlight","day 061",42.5731978510281
"sunlight","day 062",42.5092816628413
"sunlight","day 063",42.9305904173086
"sunlight","day 064",43.7196219365554
"sunlight","day 065",44.7313373824772
"sunlight","day 066",46.0004069679715
"sunlight","day 067",47.4808904843357
"sunlight","day 068",49.0809494691381
"sunlight","day 069",50.6590593083386
"sunlight","day 070",52.0807885411859
"sunlight","day 071",53.289764471692
"sunlight","day 072",54.2644081588472
"sunlight","day 073",55.0442569167937
"sunlight","day 074",55.6582076023381
"sunlight","day 075",56.0314789877934
"sunlight","day 076",56.0867284038135
"sunlight","day 077",55.8400454989107
"sunlight","day 078",55.3706114570164
"sunlight","day 079",54.9165412858814
"sunlight","day 080",54.6921011835128
"sunlight","day 081",54.6572282851245
"sunlight","day 082",54.7226860363491
"sunlight","day 083",54.8568721872873
"sunlight","day 084",55.0377521035529
"sunlight","day 085",55.2239273083441
"sunlight","day 086",55.3440671518318
"sunlight","day 087",55.2658598955871
"sunlight","day 088",54.9894376331379
"sunlight","day 089",54.5558058488829
"sunlight","day 090",54.0119285463231
"sunlight","day 091",53.4052195806122
"sunlight","day 092",52.7789336944115
"sunlight","day 093",52.1728960222363
"sunlight","day 094",51.6173723785084
"sunlight","day 095",51.0875958443034
"sunlight","day 096",50.3482278874056
"sunlight","day 097",49.2287832212336
"sunlight","day 098",48.0287611550356
"sunlight","day 099",47.0958453403918
"sunlight","day 100",46.5004722023826
"sunlight","day 101",46.222262756974
"sunlight","day 102",46.154823610176
"sunlight","day 103",46.1996059328882
"sunlight","day 104",46.375453565526
"sunlight","day 105",46.7326265023359
"sunlight","day 106",47.3296566833732
"sunlight","day 107",48.1951549496739
"sunlight","day 108",49.2317753670062
"sunlight","day 109",50.3181811821399
"sunlight","day 110",51.3653840851298
"sunlight","day 111",52.4057912726953
"sunlight","day 112",53.4726682614727
"sunlight","day 113",54.4813183411007
"sunlight","day 114",55.3317274634631
"sunlight","day 115",55.9805744564227
"sunlight","day 116",56.4102388720924
"sunlight","day 117",56.6492102836063
"sunlight","day 118",56.7760199848324
"sunlight","day 119",57.023256131555
"sunlight","day 120",57.6077683925435
"sunlight","day 121",58.5293956265919
"sunlight","day 122",59.7435251847849
"sunlight","day 123",61.2447491973443
"sunlight","day 124",63.0136860567763
"sunlight","day 125",64.9358544255862
"sunlight","day 126",66.8706892073743
"sunlight","day 127",68.6683900001206
"sunlight","day 128",70.1940290372755
"sunlight","day 129",71.3656070847179
"sunlight","day 130",72.0551171099177
"sunlight","day 131",72.1502301234999
"sunlight","day 132",71.6645185689964
"sunlight","day 133",70.6701056634433
"sunlight","day 134",69.3474162849872
"sunlight","day 135",67.8757596382294
"sunlight","day 136",66.3216805724802
"sunlight","day 137",64.7279751563817
"sunlight","day 138",63.1552086911942
"sunlight","day 139",61.6605736090036
"sunlight","day 140",60.270001632581
