"dimension","time","value"
"sunlight","day 001",67.6386897752057
"sunlight","day 002",66.586294437708
"sunlight","day 003",65.5876489779016
"sunlight","day 004",64.7561075569331
"sunlight","day 005",64.2104539173849
"sunlight","day 006",64.00793820946
"sunlight","day 007",64.1490032580883
"sunlight","day 008",64.468396179489
"sunlight","day 009",64.7821582250269
"sunlight","day 010",64.9972028953625
"sunlight","day 011",65.052446932847
"sunlight","day 012",64.9239477972982
"sunlight","day 013",64.6136825905548
"sunlight","day 014",64.1901662650712
"sunlight","day 015",63.7131324208227
"sunlight","day 016",63.1406513972524
"sunlight","day 017",62.4317175036743
"sunlight","day 018",61.6506841894178
"sunlight","day 019",60.875266012187
"sunlight","day 020",60.1312628231671
"sunlight","day 021",59.4306503174809
"sunlight","day 022",58.7820222725165
"sunlight","day 023",58.1900646406913
"sunlight","day 024",57.6471872402779
"sunlight","day 025",57.1426305360279
"sunlight","day 026",56.6847173585011
"sunlight","day 027",56.3582070094729
"sunlight","day 028",56.2686916290742
"sunlight","day 029",56.5286582396451
"sunlight","day 030",57.2345164316505
"sunlight","day 031",58.4114711858481
"sunlight","day 032",60.0086554945889
"sunlight","day 033",61.7421190063072
"sunlight","day 034",63.3008618533801
"sunlight","day 035",64.4987694478737
"sunlight","day 036",65.0146267083664
"sunlight","day 037",63.8619312997968
"sunlight","day 038",60.5516628362819
"sunlight","day 039",57.2500159822915
"sunlight","day 040",56.0410792840801
"sunlight","day 041",56.0253017646872
"sunlight","day 042",55.8754471225332
"sunlight","day 043",55.5371772807766
"sunlight","day 044",55.259398879958
"sunlight","day 045",55.1822750210743
"sunlight","day 046",55.2356922289808
"sunlight","day 047",55.3206225393948
"sunlight","day 048",55.4176767688225
"sunlight","day 049",55.5035418233576
"sunlight","day 050",55.4595701866548
"sunlight","day 051",55.1807633961186
"sunlight","day 052",54.7120536265897
"sunlight","day 053",54.1419154674813
"sunlight","day 054",53.5830625290591
"sunlight","day 055",53.1426272989012
"sunlight","day 056",52.8811787529825
"sunlight","day 057",52.816787305028
"sunlight","day 058",52.8440926313685
"sunlight","day 059",52.8389973609994
"sunlight","day 060",52.7258866709712
"sunlight","day 061",52.455691501973
"sunlight","day 062",52.0370433011955
"sunlight","day 063",51.4947154108056
"sunlight","day 064",50.8603482463766
"sunlight","day 065",50.1587458576011
"sunlight","day 066",49.3991464396405
"sunlight","day 067",48.65682178301
"sunlight","day 068",48.0151106610374
"sunlight","day 069",47.5150330487145
"sunlight","day 070",47.1671248725488
"sunlight","day 071",46.9023046634431
"sunlight","day 072",46.6417139499334
"sunlight","day 073",46.3470036466933
"sunlight","day 074",46.0054424435391
"sunlight","day 075",45.6662607447212
"sunlight","day 076",45.3880492535631
"sunlight","day 077",45.2048781552463
