"dimension","time","value"
"sunlight","day 001",65.5349271148448
"sunlight","day 002",67.6287290372036
"sunlight","day 003",69.1397525739209
"sunlight","day 004",70.0017356608477
"sunlight","day 005",70.3010261665783
"sunlight","day 006",70.1871630569211
"sunlight","day 007",69.795573907222
"sunlight","day 008",69.1420496337646
"sunlight","day 009",68.2224241786972
"sunlight","day 010",67.072340246692
"sunlight","day 011",65.7464267657789
"sunlight","day 012",64.3354487948963
"sunlight","day 013",62.9448613028901
"sunlight","day 014",61.7027427673282
"sunlight","day 015",60.7202971727217
"sunlight","day 016",60.0186070226337
"sunlight","day 017",59.6025932721423
"sunlight","day 018",59.5026521633344
"sunlight","day 019",59.7230701192587
"sunlight","day 020",60.1382189998032
"sunlight","day 021",60.6027939211571
"sunlight","day 022",61.0226975878769
"sunlight","day 023",61.3453739302493
"sunlight","day 024",61.6035337970683
"sunlight","day 025",61.7398657815736
"sunlight","day 026",61.6653310678723
"sunlight","day 027",61.2827427877336
"sunlight","day 028",60.5463471258125
"sunlight","day 029",59.6242705306433
"sunlight","day 030",58.709018623718
"sunlight","day 031",57.8767334544776
"sunlight","day 032",57.168347729225
"sunlight","day 033",56.6003203537594
"sunlight","day 034",56.1787975791896
"sunlight","day 035",55.8931488383668
"sunlight","day 036",55.717915712425
"sunlight","day 037",55.5851051938872
"sunlight","day 038",55.435360265094
"sunlight","day 039",55.2864024562663
"sunlight","day 040",55.1693486899819
"sunlight","day 041",55.0918189103661
"sunlight","day 042",55.0445951960915
"sunlight","day 043",54.9746051424732
"sunlight","day 044",54.8513644381708
"sunlight","day 045",54.7597967566761
"sunlight","day 046",54.7431819980452
"sunlight","day 047",54.8127560010426
"sunlight","day 048",54.9267738468849
"sunlight","day 049",55.0422773358981
"sunlight","day 050",55.1644359023916
"sunlight","day 051",55.2995664299829
"sunlight","day 052",55.4104479655362
"sunlight","day 053",55.4597253995862
"sunlight","day 054",55.453044834102
"sunlight","day 055",55.4082313043528
"sunlight","day 056",55.3488243673735
"sunlight","day 057",55.2901745799146
"sunlight","day 058",55.2091619758215
"sunlight","day 059",55.0751996945644
"sunlight","day 060",54.8663038210155
"sunlight","day 061",54.5665728591507
"sunlight","day 062",54.1758320439564
"sunlight","day 063",53.710290961016
"sunlight","day 064",53.2359698672899
"sunlight","day 065",52.8312736536294
"sunlight","day 066",52.5553907063072
"sunlight","day 067",52.3916639025727
"sunlight","day 068",52.2984285758297
"sunlight","day 069",52.2097673591703
"sunlight","day 070",52.0637482122661
"sunlight","day 071",51.8386331014193
"sunlight","day 072",51.5180481304592
"sunlight","day 073",51.0668819466942
"sunlight","day 074",50.4776865645313
"sunlight","day 075",49.8724049232928
"sunlight","day 076",49.3738858017947
"sunlight","day 077",48.9792104119118
"sunlight","day 078",48.6579982476684
"sunlight","day 079",48.3957894986275
"sunlight","day 080",48.1734661734714
"sunlight","day 081",47.9373568618204
"sunlight","day 082",47.6490545197649
"sunlight","day 083",47.3657629883357
"sunlight","day 084",47.1621441289328
"sunlight","day 085",47.0870809994928
"sunlight","day 086",47.1406806431603
"sunlight","day 087",47.1342832147048
"sunlight","day 088",46.759131024279
"sunlight","day 089",45.7449555469702
"sunlight","day 090",44.0532114482935
"sunlight","day 091",41.8074847310126
"sunlight","day 092",39.5481635564576
"sunlight","day 093",37.8345584526556
"sunlight","day 094",36.8848672558558
"sunlight","day 095",36.7509217792363
"sunlight","day 096",37.1602024354689
"sunlight","day 097",37.7947783071512
"sunlight","day 098",38.4794245570909
"sunlight","day 099",39.0937917880091
"sunlight","day 100",39.5943262820694
"sunlight","day 101",39.9564338817796
"sunlight","day 102",40.1545629915807
"sunlight","day 103",40.1745802977008
"sunlight","day 104",40.0489830515839
"sunlight","day 105",39.820009725553
"sunlight","day 106",39.5222331102311
"sunlight","day 107",39.1911491764015
"sunlight","day 108",38.8696919082432
"sunlight","day 109",38.5879533347438
"sunlight","day 110",38.3654963580256
"sunlight","day 111",38.1954489285268
"sunlight","day 112",38.061378451191
"sunlight","day 113",37.9350451006656
"sunlight","day 114",37.7991403792469
"sunlight","day 115",37.691888330122
"sunlight","day 116",37.6611689402661
"sunlight","day 117",37.7379534309152
"sunlight","day 118",37.9455457903742
"sunlight","day 119",38.293489840961
"sunlight","day 120",38.7842351094675
"sunlight","day 121",39.405614106569
"sunlight","day 122",40.1428380082325
"sunlight","day 123",40.9852496677099
"sunlight","day 124",41.9209563086059
"sunlight","day 125",42.9289909586537
"sunlight","day 126",43.9657638182587
"sunlight","day 127",44.9062679743875
"sunlight","day 128",45.631115156253
"sunlight","day 129",46.1359025558377
"sunlight","day 130",46.4865754071104
"sunlight","day 131",46.7399314084958
"sunlight","day 132",46.8718029948601
"sunlight","day 133",46.8353030517843
"sunlight","day 134",46.573631531265
"sunlight","day 135",46.0659045638084
"sunlight","day 136",45.4448159275441
"sunlight","day 137",44.8521199236481
"sunlight","day 138",44.3122352978602
"sunlight","day 139",43.8180333062689
"sunlight","day 140",43.3535308017938
"sunlight","day 141",42.8936024349578
"sunlight","day 142",42.3854084498627
"sunlight","day 143",41.7706902444695
"sunlight","day 144",40.997228238595
"sunlight","day 145",40.0090217666974
"sunlight","day 146",38.7289067999423
"sunlight","day 147",37.1090539674769
"sunlight","day 148",35.2401358936665
"sunlight","day 149",33.2549761833994
"sunlight","day 150",31.3165003684382
"humidity","day 001",16.8456953932458
"humidity","day 002",17.8464199553019
"humidity","day 003",18.8324892222991
"humidity","day 004",19.7159232910581
"humidity","day 005",20.4112974224381
"humidity","day 006",20.9066600186357
"humidity","day 007",21.1984972612424
"humidity","day 008",21.24357330809
"humidity","day 009",20.9926368519687
"humidity","day 010",20.4120967492616
"humidity","day 011",19.496515672858
"humidity","day 012",18.3374113980785
"humidity","day 013",17.0527567467898
"humidity","day 014",15.7693896246109
"humidity","day 015",14.6202268947928
"humidity","day 016",13.7536361673617
"humidity","day 017",13.3005393391746
"humidity","day 018",13.3066247076353
"humidity","day 019",13.8750434792845
"humidity","day 020",15.4240320966643
"humidity","day 021",18.0837264747225
