"dimension","time","value"
"sunlight","day 001",35.3721879803395
"sunlight","day 002",35.2279254082537
"sunlight","day 003",35.1366007649333
"sunlight","day 004",35.1896312573862
"sunlight","day 005",35.4991094642794
"sunlight","day 006",36.2061091079591
"sunlight","day 007",37.3721833186052
"sunlight","day 008",38.7118217140525
"sunlight","day 009",39.8913088388699
"sunlight","day 010",40.7311724569088
"sunlight","day 011",41.1430542091255
"sunlight","day 012",41.2488080256134
"sunlight","day 013",41.1949282665727
"sunlight","day 014",41.0162587234914
"sunlight","day 015",40.7275506913838
"sunlight","day 016",40.3748360480789
"sunlight","day 017",40.0177020602888
"sunlight","day 018",39.7386769674419
"sunlight","day 019",39.6167842196376
"sunlight","day 020",39.6940871369436
"sunlight","day 021",40.0034002607023
"sunlight","day 022",40.5775031473872
"sunlight","day 023",41.419934172955
"sunlight","day 024",42.4064387206653
"sunlight","day 025",43.3400767174839
"sunlight","day 026",44.0560145458112
"sunlight","day 027",44.5612974317798
"sunlight","day 028",44.9196525346713
"sunlight","day 029",45.2496559026289
"sunlight","day 030",45.660970278032
"sunlight","day 031",46.1727562913408
"sunlight","day 032",46.7615733109644
"sunlight","day 033",47.3240777690259
"sunlight","day 034",47.756144402226
"sunlight","day 035",48.0304241018611
"sunlight","day 036",48.1398294824348
"sunlight","day 037",48.0815438966831
"sunlight","day 038",47.8684228972281
"sunlight","day 039",47.5717400980039
"sunlight","day 040",47.2691071757693
"sunlight","day 041",47.0050699972702
"sunlight","day 042",46.8090312653485
"sunlight","day 043",46.6828868372437
"sunlight","day 044",46.6491170655809
"sunlight","day 045",46.8037978169169
"sunlight","day 046",47.1254689117423
"sunlight","day 047",47.5543529055603
"sunlight","day 048",48.0224005467785
"sunlight","day 049",48.4677957922281
"sunlight","day 050",48.8619272395316
"sunlight","day 051",49.1927908813839
"sunlight","day 052",49.4816076499776
"sunlight","day 053",49.7480715713957
"sunlight","day 054",49.9725441077832
"sunlight","day 055",50.1239441934394
"sunlight","day 056",50.1647532152155
"sunlight","day 057",50.0608008792543
"sunlight","day 058",49.7977477163109
"sunlight","day 059",49.3577711268546
"sunlight","day 060",48.6892851655996
"sunlight","day 061",47.7358216575579
"sunlight","day 062",46.4551468546893
