"dimension","time","value"
"sunlight","day 001",30.8851259702472
"sunlight","day 002",31.4442470881356
"sunlight","day 003",31.961641797709
"sunlight","day 004",32.4251872667365
"sunlight","day 005",32.8337213299834
"sunlight","day 006",33.2032348244598
"sunlight","day 007",33.5623620595187
"sunlight","day 008",33.9731582316416
"sunlight","day 009",34.4910566282439
"sunlight","day 010",35.1115820133478
"sunlight","day 011",35.802276834402
"sunlight","day 012",36.4786627959547
"sunlight","day 013",37.0667944018025
"sunlight","day 014",37.5868780956359
"sunlight","day 015",38.0668577346628
"sunlight","day 016",38.4714748902666
"sunlight","day 017",38.7866887523641
"sunlight","day 018",39.1465312708298
"sunlight","day 019",39.7132680520657
"sunlight","day 020",40.6140265686268
"sunlight","day 021",41.9190394396984
"sunlight","day 022",43.5060980048355
"sunlight","day 023",45.1921462998309
"sunlight","day 024",46.7734049283879
"sunlight","day 025",48.1542555236722
"sunlight","day 026",49.2932791562677
"sunlight","day 027",50.2449566331112
"sunlight","day 028",51.072060134889
"sunlight","day 029",51.7746276009314
"sunlight","day 030",52.3605018846464
"sunlight","day 031",52.9314797371098
"sunlight","day 032",53.5993402539272
"sunlight","day 033",54.4218380111568
"sunlight","day 034",55.4078745519288
"sunlight","day 035",56.4249638072103
"sunlight","day 036",57.3068911120869
"sunlight","day 037",57.8939150302835
"sunlight","day 038",58.0477961244286
"sunlight","day 039",57.7098297241258
"sunlight","day 040",56.8743426571814
"sunlight","day 041",55.6682529772366
"sunlight","day 042",54.2240539356521
"sunlight","day 043",52.5639483488311
"sunlight","day 044",50.7793676316627
"sunlight","day 045",49.3320017693404
"sunlight","day 046",48.7125569199014
"sunlight","day 047",49.1318552536298
"sunlight","day 048",49.7489680241822
"sunlight","day 049",49.7200923427047
"sunlight","day 050",49.2416796669308
"sunlight","day 051",48.707224773877
"sunlight","day 052",48.2581413711062
"sunlight","day 053",47.9385002915324
"sunlight","day 054",47.6550819389274
"sunlight","day 055",47.3069518495627
"sunlight","day 056",46.8996065188499
"sunlight","day 057",46.4670180335926
"sunlight","day 058",46.0506298870199
"sunlight","day 059",45.6847005716708
"sunlight","day 060",45.3672771708959
