"dimension","time","value"
"sunlight","day 001",28.9040692016538
"sunlight","day 002",28.8516423644595
"sunlight","day 003",28.8372528247983
"sunlight","day 004",28.8998579096737
"sunlight","day 005",29.0807309590217
"sunlight","day 006",29.4271206667073
"sunlight","day 007",29.9633676043963
"sunlight","day 008",30.6162045010282
"sunlight","day 009",31.2861324541867
"sunlight","day 010",31.8663338787576
"sunlight","day 011",32.2636926991795
"sunlight","day 012",32.4472175608
"sunlight","day 013",32.4228112802754
"sunlight","day 014",32.2818286385862
"sunlight","day 015",32.122524390997
"sunlight","day 016",31.9853012255826
"sunlight","day 017",31.8891766915513
"sunlight","day 018",31.8254798498338
"sunlight","day 019",31.782553474008
"sunlight","day 020",31.7644836765195
"sunlight","day 021",31.7775903854877
"sunlight","day 022",31.8213854528601
"sunlight","day 023",31.8945914841908
"sunlight","day 024",31.999818716848
"sunlight","day 025",32.1415363257043
"sunlight","day 026",32.3222553406614
"sunlight","day 027",32.5357080468811
"sunlight","day 028",32.7732792243211
"sunlight","day 029",33.0257423768632
"sunlight","day 030",33.2862291054006
"sunlight","day 031",33.5579146749476
"sunlight","day 032",33.8447799310673
"sunlight","day 033",34.1439843773966
"sunlight","day 034",34.452774002685
"sunlight","day 035",34.7755620780576
"sunlight","day 036",35.1167659444077
"sunlight","day 037",35.4736519393247
"sunlight","day 038",35.8434712632562
"sunlight","day 039",36.230565571384
"sunlight","day 040",36.6390443044747
"sunlight","day 041",37.0649975908987
"sunlight","day 042",37.5026017770472
"sunlight","day 043",37.9463973937927
"sunlight","day 044",38.3889821838781
"sunlight","day 045",38.8190258150431
"sunlight","day 046",39.2399931687648
"sunlight","day 047",39.6574440897697
"sunlight","day 048",40.0684892277965
"sunlight","day 049",40.4700156496711
"sunlight","day 050",40.8664652855566
"sunlight","day 051",41.2623643245492
"sunlight","day 052",41.6550211281407
"sunlight","day 053",42.0416379850888
"sunlight","day 054",42.4262107208198
"sunlight","day 055",42.8127514049122
"sunlight","day 056",43.1985435468838
"sunlight","day 057",43.5789697560182
"sunlight","day 058",43.9485376007231
"sunlight","day 059",44.3019303924417
"sunlight","day 060",44.6354094556374
"sunlight","day 061",44.9477380973013
"sunlight","day 062",45.2461095415151
"sunlight","day 063",45.5376886986881
"sunlight","day 064",45.8210973074493
"sunlight","day 065",46.0967746038656
"sunlight","day 066",46.3767385150521
"sunlight","day 067",46.6600223765659
"sunlight","day 068",46.9414400786956
"sunlight","day 069",47.2158656125957
"sunlight","day 070",47.4782689657345
"sunlight","day 071",47.7239440099715
"sunlight","day 072",47.9508434867089
"sunlight","day 073",48.1672317311288
"sunlight","day 074",48.381806920761
"sunlight","day 075",48.5946910087463
"sunlight","day 076",48.8092457097725
"sunlight","day 077",49.0503680091054
"sunlight","day 078",49.3452722491699
"sunlight","day 079",49.7089069304496
"sunlight","day 080",50.1501307413179
"sunlight","day 081",50.6657089636501
"sunlight","day 082",51.2479570754585
"sunlight","day 083",51.8834847458026
"sunlight","day 084",52.5578532364195
"sunlight","day 085",53.2581359887089
"sunlight","day 086",53.9736466842577
"sunlight","day 087",54.7021979600152
"sunlight","day 088",55.4476653453128
"sunlight","day 089",56.2138130626278
"sunlight","day 090",56.9997594099127
"sunlight","day 091",57.8037746995633
"sunlight","day 092",58.6253832262751
"sunlight","day 093",59.4639142382662
"sunlight","day 094",60.316662815544
"sunlight","day 095",61.1804512307195
"sunlight","day 096",62.0522446950273
"sunlight","day 097",62.9304202631934
"sunlight","day 098",63.8188594252861
"sunlight","day 099",64.7208568020378
"sunlight","day 100",65.6318551014945
"sunlight","day 101",66.5401912108022
"sunlight","day 102",67.4136306461946
"sunlight","day 103",68.2103903377419
"sunlight","day 104",68.871064241774
"sunlight","day 105",69.3388977906876
"sunlight","day 106",69.585365294888
"sunlight","day 107",69.5535346560916
"sunlight","day 108",69.1472594596332
