"dimension","time","value"
"sunlight","day 001",35.1336486686453
"sunlight","day 002",35.2408503260681
"sunlight","day 003",35.4587124017373
"sunlight","day 004",35.8845564084101
"sunlight","day 005",36.5539146810011
"sunlight","day 006",37.2682124860121
"sunlight","day 007",37.8214255372332
"sunlight","day 008",38.2118384060182
"sunlight","day 009",38.4916130715699
"sunlight","day 010",38.724112286922
"sunlight","day 011",38.9574591298566
"sunlight","day 012",39.1676172033194
"sunlight","day 013",39.3163786003893
"sunlight","day 014",39.3810088495148
"sunlight","day 015",39.3517201121211
"sunlight","day 016",39.2550376461707
"sunlight","day 017",39.1216650731105
"sunlight","day 018",38.9627063717877
"sunlight","day 019",38.7856750619872
"sunlight","day 020",38.6033224698445
"sunlight","day 021",38.4273042047738
"sunlight","day 022",38.2596552029527
"sunlight","day 023",38.0881706551125
"sunlight","day 024",37.8647202762577
"sunlight","day 025",37.5749905355422
"sunlight","day 026",37.2281792145487
"sunlight","day 027",36.8818780132875
"sunlight","day 028",36.6914134048485
"sunlight","day 029",37.1546570362132
"sunlight","day 030",38.528283754272
"sunlight","day 031",39.7616360316587
"sunlight","day 032",39.8699882907276
"sunlight","day 033",39.4396751269726
"sunlight","day 034",39.2604623673804
"sunlight","day 035",39.3647805917691
"sunlight","day 036",39.6168252648437
"sunlight","day 037",39.9651866380277
"sunlight","day 038",40.37531442108
"sunlight","day 039",40.7957013703843
"sunlight","day 040",41.1756340009322
"sunlight","day 041",41.4845308155239
"sunlight","day 042",41.6981344055535
"sunlight","day 043",41.7973517289831
"sunlight","day 044",41.7755729401268
"sunlight","day 045",41.6738090878796
"sunlight","day 046",41.5556732288023
"sunlight","day 047",41.4736498611509
"sunlight","day 048",41.4242993470065
"sunlight","day 049",41.3846020700261
"sunlight","day 050",41.3091426363456
"sunlight","day 051",41.159658931216
"sunlight","day 052",40.9488977338699
"sunlight","day 053",40.695199391699
"sunlight","day 054",40.3882696307491
"sunlight","day 055",40.01747588528
"sunlight","day 056",39.5994670437523
"sunlight","day 057",39.155905537619
"sunlight","day 058",38.7012265161009
"sunlight","day 059",38.2579088961003
"sunlight","day 060",37.8878339474779
"sunlight","day 061",37.6489667072967
"sunlight","day 062",37.5442049284691
"sunlight","day 063",37.5614889445276
"sunlight","day 064",37.6839966956346
"sunlight","day 065",37.9025522349271
"sunlight","day 066",38.2326894099065
"sunlight","day 067",38.6562305757752
"sunlight","day 068",39.1562689540644
"sunlight","day 069",39.7635294352371
"sunlight","day 070",40.5147086093596
"sunlight","day 071",41.422758195979
"sunlight","day 072",42.5097368053803
"sunlight","day 073",43.8578754813197
"sunlight","day 074",45.4991702138192
"sunlight","day 075",47.2045043444933
"sunlight","day 076",48.7112741725982
"sunlight","day 077",49.8840404763648
"sunlight","day 078",50.6507554210629
"sunlight","day 079",51.0657722411444
"sunlight","day 080",51.2112571914608
"sunlight","day 081",51.1542275392815
"sunlight","day 082",50.9601764474136
"sunlight","day 083",50.703649648399
"sunlight","day 084",50.4600637087242
"sunlight","day 085",50.2992659609205
"sunlight","day 086",50.2882820001254
"sunlight","day 087",50.484129638793
"sunlight","day 088",50.9252369922164
"sunlight","day 089",51.6330785355114
"sunlight","day 090",52.5784744513395
"sunlight","day 091",53.730095847834
"sunlight","day 092",55.0986718274679
"sunlight","day 093",56.6909939422071
"sunlight","day 094",58.4560455476492
"sunlight","day 095",60.3144904108045
"sunlight","day 096",62.1315221407041
"sunlight","day 097",63.7656814651115
"sunlight","day 098",65.1043677447008
"sunlight","day 099",66.0176783625459
"sunlight","day 100",66.2776441584111
"sunlight","day 101",65.7642122390975
"sunlight","day 102",64.8870613228645
"sunlight","day 103",64.1246150517833
"sunlight","day 104",63.7005451517152
"sunlight","day 105",63.721127808108
"sunlight","day 106",64.0778089609647
"sunlight","day 107",64.5868755569005
"sunlight","day 108",65.0228159650588
"sunlight","day 109",65.3146957251038
"sunlight","day 110",65.421163164297
"sunlight","day 111",65.2431691577397
"sunlight","day 112",64.7076180910328
"sunlight","day 113",63.9029258439361
"sunlight","day 114",62.959481294061
"sunlight","day 115",62.0140538162653
"sunlight","day 116",61.1911477719589
"sunlight","day 117",60.5598269715118
"sunlight","day 118",60.1759312814043
"sunlight","day 119",60.0978453435962
"sunlight","day 120",60.3579383229065
"sunlight","day 121",60.8819727001103
"sunlight","day 122",61.5661504043559
"sunlight","day 123",62.2950378423283
"sunlight","day 124",62.964848331795
"sunlight","day 125",63.5300183573162
"sunlight","day 126",63.9769783899538
"sunlight","day 127",64.3619116799826
"sunlight","day 128",64.7545481871863
"sunlight","day 129",65.196187300978
"sunlight","day 130",65.6727784087014
"sunlight","day 131",66.1554527074453
"sunlight","day 132",66.6075271500524
"sunlight","day 133",66.9829382838488
"sunlight","day 134",67.2059152783395
"sunlight","day 135",67.2081782277957
"sunlight","day 136",66.9811183033757
"sunlight","day 137",66.5438831054732
"sunlight","day 138",65.9669748745395
"sunlight","day 139",65.3247307651518
"sunlight","day 140",64.6554729483331
"sunlight","day 141",63.9814392313097
"sunlight","day 142",63.2965449496753
"sunlight","day 143",62.5904563369562
"sunlight","day 144",61.8641656900411
"sunlight","day 145",61.1349993839701
"sunlight","day 146",60.4742940430254
"sunlight","day 147",59.9499578903443
"sunlight","day 148",59.5621752952415
"sunlight","day 149",59.2829666402136
"sunlight","day 150",59.0394202143062
"humidity","day 001",5.15817800592224
"humidity","day 002",5.79958720738969
"humidity","day 003",6.41226981656751
"humidity","day 004",6.95021615007447
"humidity","day 005",7.38331449383947
"humidity","day 006",7.76305898112706
"humidity","day 007",8.0545899489851
"humidity","day 008",7.7960267022589
"humidity","day 009",6.63151328849037
"humidity","day 010",5.05631375821022
"humidity","day 011",3.68598900454425
"humidity","day 012",2.76616728800956
"humidity","day 013",2.40157392851938
"humidity","day 014",2.50325511618024
"humidity","day 015",2.94877687553959
"humidity","day 016",3.67546369871526
"humidity","day 017",4.6512631906466
"humidity","day 018",5.90685693998835
"humidity","day 019",7.46131616751907
"humidity","day 020",9.22453663879745
"humidity","day 021",11.0873829830005
"humidity","day 022",12.9737707389984
"humidity","day 023",14.8284632735941
"humidity","day 024",16.6420055097733
"humidity","day 025",18.399292087609
"humidity","day 026",20.0790569498736
"humidity","day 027",21.6536266335589
"humidity","day 028",23.0864914839497
"humidity","day 029",24.3122044852837
"humidity","day 030",25.2811069449592
"humidity","day 031",26.0356308240657
"humidity","day 032",26.6248895078401
"humidity","day 033",27.0326314244202
"humidity","day 034",27.2306950069039
"humidity","day 035",27.2086436653308
"humidity","day 036",26.976920977321
"humidity","day 037",26.6117662138739
"humidity","day 038",26.1930233298518
"humidity","day 039",25.7491593221878
"humidity","day 040",25.2753421737656
"humidity","day 041",24.684920769201
"humidity","day 042",23.9097656364293
"humidity","day 043",23.0376529749332
"humidity","day 044",22.1755153219596
"humidity","day 045",21.3543109455359
"humidity","day 046",20.5984022386501
"humidity","day 047",19.941979590206
"humidity","day 048",19.445321167686
"humidity","day 049",19.1567507779537
"humidity","day 050",19.050687006817
"humidity","day 051",19.0781276691488
"humidity","day 052",19.1702927171364
"humidity","day 053",19.2700568644876
"humidity","day 054",19.3866917336774
"humidity","day 055",19.5386383277789
"humidity","day 056",19.7146182634915
"humidity","day 057",19.9087108791591
"humidity","day 058",20.1661457860803
"humidity","day 059",20.5226644548982
"humidity","day 060",20.9249055206791
"humidity","day 061",21.2948408078313
"humidity","day 062",21.5448777337067
"humidity","day 063",21.6165212861489
"humidity","day 064",21.5772311420257
"humidity","day 065",21.5185417000987
"humidity","day 066",21.5101691862178
"humidity","day 067",21.6457663900111
"humidity","day 068",21.9824957105432
"humidity","day 069",22.4002074704863
"humidity","day 070",22.7340643728418
"humidity","day 071",22.817790718321
"humidity","day 072",22.5596139698961
"humidity","day 073",22.1672126418724
"humidity","day 074",21.8967322620789
"humidity","day 075",21.8987353611055
"humidity","day 076",22.2362643697465
"humidity","day 077",22.7278643168534
"humidity","day 078",23.1682763274378
"humidity","day 079",23.5015233130936
"humidity","day 080",23.7115388829385
"humidity","day 081",23.7926176496008
"humidity","day 082",23.774929095057
"humidity","day 083",23.8217811751641
"humidity","day 084",24.103944991955
"humidity","day 085",24.6889057582849
"humidity","day 086",25.5753594040109
"humidity","day 087",26.5927808307673
"humidity","day 088",27.5382779878534
"humidity","day 089",28.2547600117763
"humidity","day 090",28.757739929504
"humidity","day 091",29.1106168869372
"humidity","day 092",29.3957306152475
"humidity","day 093",29.6687430805203
"humidity","day 094",29.8596646032272
"humidity","day 095",29.9133394632824
"humidity","day 096",29.9595994239854
"humidity","day 097",30.1420052598143
"humidity","day 098",30.4740463065746
"humidity","day 099",30.916225752345
"humidity","day 100",31.3471736329675
"humidity","day 101",31.6525823748434
"humidity","day 102",31.8282671188465
"humidity","day 103",31.8904878796865
"humidity","day 104",31.8271614529446
"humidity","day 105",31.6101784608438
"humidity","day 106",31.1756680513014
"humidity","day 107",30.5100468513685
"humidity","day 108",29.8083239078475
"humidity","day 109",29.2114602309018
"humidity","day 110",28.827131320081
"humidity","day 111",28.7431465168278
"humidity","day 112",29.0077327887271
"humidity","day 113",29.5306537660398
"humidity","day 114",30.1890758886956
"humidity","day 115",30.8682401726226
"humidity","day 116",31.4564575668786
"humidity","day 117",31.8462441770418
"humidity","day 118",31.9830707246192
"humidity","day 119",32.0200212383124
"humidity","day 120",32.1331171733313
"humidity","day 121",32.3825163837248
"humidity","day 122",32.7974595040133
"humidity","day 123",33.3993818917629
"humidity","day 124",34.1813773608265
"humidity","day 125",35.0309788271577
