"dimension","time","value"
"sunlight","day 001",28.8801053843227
"sunlight","day 002",30.4858042316271
"sunlight","day 003",32.083561048384
"sunlight","day 004",33.6787849087751
"sunlight","day 005",35.2805422054963
"sunlight","day 006",36.8979723498459
"sunlight","day 007",38.535109789338
"sunlight","day 008",40.1754960977499
"sunlight","day 009",41.7902182975761
"sunlight","day 010",43.321038079918
"sunlight","day 011",44.7010324446996
"sunlight","day 012",45.8578649585281
"sunlight","day 013",46.7746737967571
"sunlight","day 014",47.6619090030436
"sunlight","day 015",48.7311470125499
"sunlight","day 016",49.971157958156
"sunlight","day 017",51.3201750297594
"sunlight","day 018",52.7370899476098
"sunlight","day 019",54.1856124752442
"sunlight","day 020",55.6280660189982
"sunlight","day 021",57.0347964295635
"sunlight","day 022",58.4096256922602
"sunlight","day 023",59.7627034713273
"sunlight","day 024",61.0869899006443
"sunlight","day 025",62.3373073137267
"sunlight","day 026",63.4662054060158
"sunlight","day 027",64.4532397662817
"sunlight","day 028",65.2765593468511
"sunlight","day 029",65.8816806609486
"sunlight","day 030",66.201483132361
"sunlight","day 031",66.150930266228
"sunlight","day 032",65.6497077321918
"sunlight","day 033",64.6543057765529
"sunlight","day 034",63.1502831184266
"sunlight","day 035",61.2026677915291
"sunlight","day 036",58.8947618376309
"sunlight","day 037",56.3034940161184
"sunlight","day 038",53.5072106508387
"sunlight","day 039",50.5963016058657
"sunlight","day 040",47.6687482255042
"sunlight","day 041",44.8408542347561
"sunlight","day 042",42.2224863720991
"sunlight","day 043",39.8794410492184
"sunlight","day 044",37.8628205425243
"sunlight","day 045",36.2062635300305
"sunlight","day 046",34.9287025998146
"sunlight","day 047",34.0383389466743
"sunlight","day 048",33.5114777286446
"sunlight","day 049",33.3150409881951
"sunlight","day 050",33.4103143422935
"sunlight","day 051",33.7734120510212
"sunlight","day 052",34.4453993724159
"sunlight","day 053",35.4137423525824
"sunlight","day 054",36.3865591919376
"sunlight","day 055",37.0440456236853
"sunlight","day 056",37.2340553578656
"sunlight","day 057",36.9917406575591
"sunlight","day 058",36.9337900211737
"sunlight","day 059",37.6124623043318
"sunlight","day 060",38.7407615561879
"sunlight","day 061",39.8783968483651
"sunlight","day 062",40.8111521488286
"sunlight","day 063",41.4235694974215
"sunlight","day 064",41.7691483251568
"sunlight","day 065",41.9346982933384
"sunlight","day 066",41.9786147672638
"sunlight","day 067",41.9795726907276
"sunlight","day 068",42.0226847190861
"sunlight","day 069",42.1896056579459
"sunlight","day 070",42.5479161425577
"sunlight","day 071",43.1123579764993
"sunlight","day 072",43.8835584200628
"sunlight","day 073",44.8585253920715
"sunlight","day 074",46.0344479822208
"sunlight","day 075",47.4128593051643
"sunlight","day 076",48.9944501053782
"sunlight","day 077",50.7721976216722
"sunlight","day 078",52.7309192714029
"sunlight","day 079",54.8305066917828
"sunlight","day 080",57.0209827452774
"sunlight","day 081",59.2378209755094
"sunlight","day 082",61.4067121781234
"sunlight","day 083",63.4287654756943
"sunlight","day 084",65.1978805727169
"sunlight","day 085",66.6037011744342
"sunlight","day 086",67.5400469655513
"sunlight","day 087",67.9385097068702
