"dimension","time","value"
"sunlight","day 001",44.7879198013177
"sunlight","day 002",44.9210655062737
"sunlight","day 003",45.0903678128996
"sunlight","day 004",45.2917382116885
"sunlight","day 005",45.511857907867
"sunlight","day 006",45.748470444966
"sunlight","day 007",46.0059402542124
"sunlight","day 008",46.3040529793139
"sunlight","day 009",46.6657754435712
"sunlight","day 010",47.1113779761792
"sunlight","day 011",47.6429863385772
"sunlight","day 012",48.1928445152891
"sunlight","day 013",48.6894316870141
"sunlight","day 014",49.1160495960682
"sunlight","day 015",49.4736753026497
"sunlight","day 016",49.779164576867
"sunlight","day 017",50.0538252010983
"sunlight","day 018",50.3208942968887
"sunlight","day 019",50.5948694114562
"sunlight","day 020",50.8533604555428
"sunlight","day 021",51.0677558706586
"sunlight","day 022",51.221445857863
"sunlight","day 023",51.2810718909982
"sunlight","day 024",51.1419616417515
"sunlight","day 025",50.7104250797577
"sunlight","day 026",49.8991021762232
"sunlight","day 027",48.6152214435866
"sunlight","day 028",46.8564762501586
"sunlight","day 029",44.9878308465042
"sunlight","day 030",43.4037149303335
"sunlight","day 031",42.2491491056818
"sunlight","day 032",41.584124573335
"sunlight","day 033",41.3779240147551
"sunlight","day 034",41.5632099939374
"sunlight","day 035",42.0168731243336
"sunlight","day 036",42.6210165055967
"sunlight","day 037",43.3343651327275
"sunlight","day 038",44.1188137480559
"sunlight","day 039",44.8723141878799
"sunlight","day 040",45.4978716258746
"sunlight","day 041",45.9826474912539
"sunlight","day 042",46.3446967625243
"sunlight","day 043",46.6414923598233
"sunlight","day 044",46.9280197188785
"sunlight","day 045",47.1968541568737
"sunlight","day 046",47.3760600640855
"sunlight","day 047",47.4084849826375
"sunlight","day 048",47.3482780191305
"sunlight","day 049",47.2773074823516
"sunlight","day 050",47.2770169253548
"sunlight","day 051",47.3976556211092
"sunlight","day 052",47.5651204779764
"sunlight","day 053",47.684950101219
"sunlight","day 054",47.7056022483111
"sunlight","day 055",47.5984797804021
"sunlight","day 056",47.3838468211307
"sunlight","day 057",47.0853117315644
"sunlight","day 058",46.6909985599977
"sunlight","day 059",46.2011387884243
"sunlight","day 060",45.6998779464088
"sunlight","day 061",45.2841959986436
"sunlight","day 062",45.018496602762
"sunlight","day 063",44.9684431338431
