"dimension","time","value"
"sunlight","day 001",64.1860598977772
"sunlight","day 002",64.8320431508992
"sunlight","day 003",65.4299466086456
"sunlight","day 004",65.9305699156465
"sunlight","day 005",66.2883943073458
"sunlight","day 006",66.4753782898312
"sunlight","day 007",66.4773598949015
"sunlight","day 008",66.318217986558
"sunlight","day 009",66.0323120876246
"sunlight","day 010",65.6578835240147
"sunlight","day 011",65.2272551941963
"sunlight","day 012",64.7451944837682
"sunlight","day 013",64.2145113049925
"sunlight","day 014",63.6577411896541
"sunlight","day 015",63.0980639855763
"sunlight","day 016",62.5415111852117
"sunlight","day 017",61.9876792842221
"sunlight","day 018",61.4275731464749
"sunlight","day 019",60.854729145241
"sunlight","day 020",60.2814013231988
"sunlight","day 021",59.7255424979737
"sunlight","day 022",59.2091829175717
"sunlight","day 023",58.7470670147682
"sunlight","day 024",58.3277201780582
"sunlight","day 025",57.9593692112017
"sunlight","day 026",57.654125418472
"sunlight","day 027",57.4116315181041
"sunlight","day 028",57.2250907245887
"sunlight","day 029",57.0744168234773
"sunlight","day 030",56.9400715215525
"sunlight","day 031",56.817997639461
"sunlight","day 032",56.7113421906018
"sunlight","day 033",56.6365878455204
"sunlight","day 034",56.6119191851417
"sunlight","day 035",56.6489927747638
"sunlight","day 036",56.7554913456215
"sunlight","day 037",56.929730308323
"sunlight","day 038",57.1704921450271
"sunlight","day 039",57.4877949447198
"sunlight","day 040",57.8858423607794
"sunlight","day 041",58.3343446973254
"sunlight","day 042",58.799600950415
"sunlight","day 043",59.2687582331152
"sunlight","day 044",59.7298603490209
"sunlight","day 045",60.158708881389
"sunlight","day 046",60.546866612995
"sunlight","day 047",60.8966259430788
"sunlight","day 048",61.233121198491
"sunlight","day 049",61.581861720517
"sunlight","day 050",61.9470149805677
"sunlight","day 051",62.3223333599434
"sunlight","day 052",62.6812507493762
"sunlight","day 053",62.9948114696016
"sunlight","day 054",63.2448200519356
"sunlight","day 055",63.4103671423119
"sunlight","day 056",63.4489276345536
"sunlight","day 057",63.3248464388153
"sunlight","day 058",63.0515642826874
"sunlight","day 059",62.6577803884051
"sunlight","day 060",62.184132139345
"sunlight","day 061",61.6664930477294
"sunlight","day 062",61.1097429800241
"sunlight","day 063",60.5163885634195
"sunlight","day 064",59.9104371137633
"sunlight","day 065",59.3314228715341
"sunlight","day 066",58.8447672634132
"sunlight","day 067",58.467164173899
"sunlight","day 068",58.1869705402129
"sunlight","day 069",57.9380748051177
"sunlight","day 070",57.6325562236392
"sunlight","day 071",57.1497257943147
"sunlight","day 072",56.3727346861058
"sunlight","day 073",55.2328630061606
"sunlight","day 074",53.6688119374952
"sunlight","day 075",51.6008380284113
"sunlight","day 076",49.1209021022728
"sunlight","day 077",47.0262267174047
"sunlight","day 078",46.1326594011201
"sunlight","day 079",46.6252858217218
"sunlight","day 080",48.1324957251724
"sunlight","day 081",48.686657027083
"sunlight","day 082",46.7150830580526
"sunlight","day 083",43.820890638981
"sunlight","day 084",42.0303706372444
"sunlight","day 085",41.8867066158213
"sunlight","day 086",43.3504708995054
"sunlight","day 087",45.5615321121676
"sunlight","day 088",47.5544602552697
"sunlight","day 089",48.5485096483834
