"dimension","time","value"
"sunlight","day 001",34.6141695290159
"sunlight","day 002",34.9281686415968
"sunlight","day 003",35.220057125601
"sunlight","day 004",35.4687778959289
"sunlight","day 005",35.6556015030335
"sunlight","day 006",35.7799115934837
"sunlight","day 007",35.8543852778458
"sunlight","day 008",35.9267604265614
"sunlight","day 009",36.0475125189709
"sunlight","day 010",36.243006710135
"sunlight","day 011",36.5399293406234
"sunlight","day 012",36.9903618173223
"sunlight","day 013",37.6414635592098
"sunlight","day 014",38.4953109673148
"sunlight","day 015",39.5404423078161
"sunlight","day 016",40.7563263254413
"sunlight","day 017",42.1043250539907
"sunlight","day 018",43.482443205008
"sunlight","day 019",44.7720066627425
"sunlight","day 020",45.8509833245243
"sunlight","day 021",46.6167908436069
"sunlight","day 022",47.0480038838552
"sunlight","day 023",47.1492166616868
"sunlight","day 024",46.9578626839778
"sunlight","day 025",46.5567781209417
"sunlight","day 026",46.0387891105451
"sunlight","day 027",45.4970092983261
"sunlight","day 028",45.0022243833312
"sunlight","day 029",44.5356207710673
"sunlight","day 030",44.0794238297122
"sunlight","day 031",43.7096140716656
"sunlight","day 032",43.4814447954815
"sunlight","day 033",43.2735053001085
"sunlight","day 034",42.9580638273217
"sunlight","day 035",42.558768389809
"sunlight","day 036",42.1536927004339
"sunlight","day 037",41.8872335018507
"sunlight","day 038",41.8939618789829
"sunlight","day 039",42.2028232560418
"sunlight","day 040",42.7958929974776
"sunlight","day 041",43.5733918894096
"sunlight","day 042",44.3830474111547
"sunlight","day 043",44.9444683931494
"sunlight","day 044",45.1074710352709
"sunlight","day 045",45.2573484463702
"sunlight","day 046",45.4877458962903
"sunlight","day 047",45.7619631079508
"sunlight","day 048",45.9758024872462
"sunlight","day 049",46.0360967920623
"sunlight","day 050",45.9612975052749
"sunlight","day 051",45.7988908970723
"sunlight","day 052",45.6008836619018
"sunlight","day 053",45.4294440512802
"sunlight","day 054",45.3828661207418
"sunlight","day 055",45.544386970824
"sunlight","day 056",45.900890078057
"sunlight","day 057",46.4045625608085
"sunlight","day 058",46.9651597288045
"sunlight","day 059",47.4951865563354
"sunlight","day 060",47.9605784845919
"sunlight","day 061",48.3405780292206
"sunlight","day 062",48.614225536791
"sunlight","day 063",48.7725484476421
"sunlight","day 064",48.8547247462692
"sunlight","day 065",48.8725649959524
"sunlight","day 066",48.7416546764798
"sunlight","day 067",48.5837547924802
"sunlight","day 068",48.5692299093021
"sunlight","day 069",48.8172782530773
"sunlight","day 070",49.3807326934108
"sunlight","day 071",50.0981310130168
"sunlight","day 072",50.7594152066473
"sunlight","day 073",51.174439204098
"sunlight","day 074",51.2162789103381
"sunlight","day 075",50.9909861959856
"sunlight","day 076",50.6981923280813
"sunlight","day 077",50.6788701937083
"sunlight","day 078",51.1735398153112
"sunlight","day 079",51.8795681367385
"sunlight","day 080",52.3757842732938
"sunlight","day 081",52.3100191046969
"sunlight","day 082",51.5051524713835
"sunlight","day 083",50.4152582922367
"sunlight","day 084",49.5356176080251
"sunlight","day 085",48.8951458686114
"sunlight","day 086",48.4292035948557
"sunlight","day 087",48.1421602813172
"sunlight","day 088",47.9688742864919
"sunlight","day 089",47.8368367227291
"sunlight","day 090",47.7366173225804
"sunlight","day 091",47.6658581403896
"sunlight","day 092",47.5874118974676
"sunlight","day 093",47.4735596265023
"sunlight","day 094",47.3690849387245
"sunlight","day 095",47.3317836600744
"sunlight","day 096",47.3989978967866
"sunlight","day 097",47.5986098055895
"sunlight","day 098",47.9411154648921
"sunlight","day 099",48.4082911347809
"sunlight","day 100",48.8844198803723
"sunlight","day 101",49.2616246802241
"sunlight","day 102",49.5608813616288
"sunlight","day 103",49.8309729258623
"sunlight","day 104",50.1030582213989
"sunlight","day 105",50.4030448876908
"sunlight","day 106",50.7534598809046
"sunlight","day 107",51.1830686378999
"sunlight","day 108",51.7379865468027
"sunlight","day 109",52.4274740280774
"sunlight","day 110",53.2329993325889
"sunlight","day 111",54.0688006519803
"sunlight","day 112",54.8446669093813
"sunlight","day 113",55.5198200130902
"sunlight","day 114",56.0678277246309
"sunlight","day 115",56.470208233262
"sunlight","day 116",56.7339684690928
"sunlight","day 117",56.960119897902
"sunlight","day 118",57.2721542664537
"sunlight","day 119",57.7894799097863
"sunlight","day 120",58.5923175269045
"sunlight","day 121",59.6082206844057
"sunlight","day 122",60.7063333591091
"sunlight","day 123",61.6748283011285
"sunlight","day 124",62.3238224006144
"sunlight","day 125",62.6321803345678
"sunlight","day 126",62.6487434822573
"sunlight","day 127",62.5335122451715
"sunlight","day 128",62.4578441968468
"sunlight","day 129",62.5000399962972
"sunlight","day 130",62.6126613970429
"sunlight","day 131",62.7103772431116
"sunlight","day 132",62.665591062547
"sunlight","day 133",62.3817269000615
"sunlight","day 134",61.9285561830262
"sunlight","day 135",61.4139880530302
"sunlight","day 136",60.9321351258763
"sunlight","day 137",60.5681630411573
"sunlight","day 138",60.3852460594126
"sunlight","day 139",60.461855647158
"sunlight","day 140",60.9596434738679
"sunlight","day 141",61.9959193962685
"sunlight","day 142",63.4274458171345
"sunlight","day 143",65.025046032792
"sunlight","day 144",66.4763343677255
"sunlight","day 145",67.4973326934841
"sunlight","day 146",68.0009020417191
"sunlight","day 147",67.9794634169839
"sunlight","day 148",67.54683855534
"sunlight","day 149",66.8419477857431
"sunlight","day 150",65.9827050772189
"humidity","day 001",21.4701646391017
"humidity","day 002",21.5969308645772
"humidity","day 003",21.7985276659587
"humidity","day 004",22.0386901234433
"humidity","day 005",22.250752928983
"humidity","day 006",22.3687661500385
"humidity","day 007",22.341832508696
"humidity","day 008",22.1785499700335
"humidity","day 009",21.9249863022602
"humidity","day 010",21.7175932431166
"humidity","day 011",21.6753489724258
"humidity","day 012",21.7569534688102
"humidity","day 013",21.8818747817027
"humidity","day 014",21.97293144498
"humidity","day 015",21.9796456861661
"humidity","day 016",21.955004022928
"humidity","day 017",21.9668542502587
"humidity","day 018",22.0390249823107
"humidity","day 019",22.1777897360339
"humidity","day 020",22.3632208204077
"humidity","day 021",22.5564454734392
