"dimension","time","value"
"sunlight","day 001",65.2910303218616
"sunlight","day 002",64.5268388127511
"sunlight","day 003",63.9615679760371
"sunlight","day 004",63.6553791298079
"sunlight","day 005",63.6005731319454
"sunlight","day 006",63.6713892446483
"sunlight","day 007",63.7116806899927
"sunlight","day 008",63.561818125245
"sunlight","day 009",63.114674105723
"sunlight","day 010",62.4766113437587
"sunlight","day 011",61.794873209081
"sunlight","day 012",61.1667355439924
"sunlight","day 013",60.6532157286687
"sunlight","day 014",60.2202648222089
"sunlight","day 015",59.8294561126499
"sunlight","day 016",59.5199181248607
"sunlight","day 017",59.3226568360356
"sunlight","day 018",59.1586327958395
"sunlight","day 019",58.9476619070659
"sunlight","day 020",58.7150269125516
"sunlight","day 021",58.5030014477567
"sunlight","day 022",58.3163558785901
"sunlight","day 023",58.1434656710447
"sunlight","day 024",57.9809842785683
"sunlight","day 025",57.9639633423542
"sunlight","day 026",58.2294766415958
"sunlight","day 027",58.7772692372127
"sunlight","day 028",59.544864673664
"sunlight","day 029",60.3582291478383
"sunlight","day 030",61.029993144005
"sunlight","day 031",61.4310016435269
"sunlight","day 032",61.4757771398969
"sunlight","day 033",61.195337678037
"sunlight","day 034",60.6634993182387
"sunlight","day 035",60.0087746308446
"sunlight","day 036",59.3670687380992
"sunlight","day 037",58.8491604598048
"sunlight","day 038",58.4941218558381
"sunlight","day 039",58.0793242488168
"sunlight","day 040",57.3820967352231
"sunlight","day 041",56.4413002442544
"sunlight","day 042",55.3552215515661
"sunlight","day 043",54.1983189859285
"sunlight","day 044",53.0365517620047
"sunlight","day 045",51.9434107475245
"sunlight","day 046",51.0606434582749
"sunlight","day 047",50.5221368438852
"sunlight","day 048",50.3595369389137
"sunlight","day 049",50.5694759471905
"sunlight","day 050",51.110771664705
"sunlight","day 051",51.901563154087
"sunlight","day 052",52.7350889523694
"sunlight","day 053",53.4067881836426
"sunlight","day 054",53.8458028458243
"sunlight","day 055",54.0359737433792
"sunlight","day 056",54.0462340331339
"sunlight","day 057",53.9494276118984
"sunlight","day 058",53.7489489840551
"sunlight","day 059",53.4347214185769
"sunlight","day 060",53.012232635226
"sunlight","day 061",52.4848799102374
"sunlight","day 062",51.8321342949484
"sunlight","day 063",51.0191052612638
"sunlight","day 064",49.9773821882547
"sunlight","day 065",48.6720964455367
"sunlight","day 066",47.2387260061145
"sunlight","day 067",45.8653050502617
"sunlight","day 068",44.6915999031284
"sunlight","day 069",43.6536712758534
"sunlight","day 070",42.6691189658299
"sunlight","day 071",41.7854047294794
"sunlight","day 072",41.0610127125727
"sunlight","day 073",40.4686546592483
"sunlight","day 074",39.9791315101167
"sunlight","day 075",39.6413733933075
"sunlight","day 076",39.490784768039
"sunlight","day 077",39.4305382303643
"sunlight","day 078",39.3441408092068
"sunlight","day 079",39.1686691281352
"sunlight","day 080",38.8761643618205
"sunlight","day 081",38.5249562946984
"sunlight","day 082",38.1905330173396
"sunlight","day 083",37.9307272350893
"sunlight","day 084",37.7900701545685
"sunlight","day 085",37.7775423727282
"sunlight","day 086",37.8795648249534
"sunlight","day 087",38.0409440481011
"sunlight","day 088",38.2451091221363
"sunlight","day 089",38.4881657045917
"sunlight","day 090",38.7646312110141
"sunlight","day 091",39.0708866390192
"sunlight","day 092",39.4123555564827
"sunlight","day 093",39.7869462094232
"sunlight","day 094",40.1534629861706
"sunlight","day 095",40.4599919535311
"sunlight","day 096",40.650849749904
"sunlight","day 097",40.6870882077348
"sunlight","day 098",40.6004693640587
"sunlight","day 099",40.4478557493595
"sunlight","day 100",40.3158016633231
"sunlight","day 101",40.2804092500397
"sunlight","day 102",40.3462802620141
"sunlight","day 103",40.4845822337271
"sunlight","day 104",40.6042462191503
"sunlight","day 105",40.6224595058591
"sunlight","day 106",40.5516707963536
"sunlight","day 107",40.4521658451084
"sunlight","day 108",40.4275179682506
"sunlight","day 109",40.39412525488
"sunlight","day 110",40.2679473250758
"sunlight","day 111",40.1743868481052
"sunlight","day 112",40.2784850025115
"sunlight","day 113",40.6943939547558
"sunlight","day 114",41.509087719098
"sunlight","day 115",42.7517167130774
"sunlight","day 116",44.3886241327761
"sunlight","day 117",46.1927478851683
"sunlight","day 118",47.9268945638105
"sunlight","day 119",49.506750797695
"sunlight","day 120",50.9225491191675
"sunlight","day 121",52.3098256385519
"sunlight","day 122",53.7930584136241
"sunlight","day 123",55.3071897139898
"sunlight","day 124",56.7375877651418
"sunlight","day 125",57.9608604042884
"sunlight","day 126",58.8879511770873
"sunlight","day 127",59.575906851276
"sunlight","day 128",60.0781484132045
"sunlight","day 129",60.3283925433425
"sunlight","day 130",60.3838125022575
"sunlight","day 131",60.3010268679451
"sunlight","day 132",59.9708273211075
"sunlight","day 133",59.2758936332286
"sunlight","day 134",58.2322848362121
"sunlight","day 135",56.897272191513
"sunlight","day 136",55.3595966183717
"sunlight","day 137",53.6993709777931
"sunlight","day 138",51.9307262400553
"sunlight","day 139",50.0473281960061
"sunlight","day 140",48.026963809502
"sunlight","day 141",45.8746816185329
"sunlight","day 142",43.7204552846154
"sunlight","day 143",41.7032726413122
"sunlight","day 144",39.8732530868436
"sunlight","day 145",38.2441456067877
"sunlight","day 146",36.7730859714958
"sunlight","day 147",35.4067451554004
"sunlight","day 148",34.1065481644868
"sunlight","day 149",32.8418676874069
"sunlight","day 150",31.5991131119276
"humidity","day 001",27.7945045158455
"humidity","day 002",27.6178632158168
"humidity","day 003",27.4298480765905
"humidity","day 004",27.2386904625618
"humidity","day 005",27.050450386283
"humidity","day 006",26.8318113840176
"humidity","day 007",26.554135437749
"humidity","day 008",26.2468747886256
"humidity","day 009",25.9502965338648
"humidity","day 010",25.6898369357932
"humidity","day 011",25.4996889642648
"humidity","day 012",25.4639032541354
"humidity","day 013",25.6317585574072
"humidity","day 014",25.8635884296664
"humidity","day 015",25.9778675910282
"humidity","day 016",25.814580616137
"humidity","day 017",25.2949175081454
"humidity","day 018",24.6433801297082
"humidity","day 019",24.1378596752008
"humidity","day 020",23.9664928063782
"humidity","day 021",24.2617413977078
"humidity","day 022",25.0231227071264
"humidity","day 023",26.2143360031627
"humidity","day 024",27.7756208812651
"humidity","day 025",29.5921057736919
"humidity","day 026",31.5396046535413
"humidity","day 027",33.5092029851866
"humidity","day 028",35.4248379964952
"humidity","day 029",37.3265824780351
"humidity","day 030",39.2430288176979
"humidity","day 031",41.0407122299698
"humidity","day 032",42.5640506333715
"humidity","day 033",43.7310499359693
"humidity","day 034",44.4749996746342
"humidity","day 035",44.7167359119114
"humidity","day 036",44.4024323777937
"humidity","day 037",43.5920669463909
"humidity","day 038",42.3958617595001
