"dimension","time","value"
"sunlight","day 001",32.4056093113893
"sunlight","day 002",34.1694964073518
"sunlight","day 003",35.1475885439342
"sunlight","day 004",35.131627742085
"sunlight","day 005",34.2029887159703
"sunlight","day 006",32.8857249620955
"sunlight","day 007",31.7002480752102
"sunlight","day 008",30.7097232607025
"sunlight","day 009",29.8722706351305
"sunlight","day 010",29.1830763490948
"sunlight","day 011",28.6448223467172
"sunlight","day 012",28.2531077121635
"sunlight","day 013",27.9994925028348
"sunlight","day 014",27.8664635290287
"sunlight","day 015",27.8377637918896
"sunlight","day 016",27.9112343030521
"sunlight","day 017",28.0848937694663
"sunlight","day 018",28.3433736688522
"sunlight","day 019",28.6720530276102
"sunlight","day 020",29.0726882960901
"sunlight","day 021",29.5483221138534
"sunlight","day 022",30.0907644533597
"sunlight","day 023",30.6894709779587
"sunlight","day 024",31.3411553234212
"sunlight","day 025",32.0647551502126
"sunlight","day 026",32.8776606501999
"sunlight","day 027",33.7693019738258
"sunlight","day 028",34.7171413510542
"sunlight","day 029",35.6787293713549
"sunlight","day 030",36.6119498223574
"sunlight","day 031",37.4959309248233
"sunlight","day 032",38.3192447749556
"sunlight","day 033",39.0869945375924
"sunlight","day 034",39.8106246305593
"sunlight","day 035",40.5104134149971
"sunlight","day 036",41.2072204588418
"sunlight","day 037",41.9153962138946
"sunlight","day 038",42.655006723502
"sunlight","day 039",43.4754895133258
"sunlight","day 040",44.432142627869
"sunlight","day 041",45.5743347046842
"sunlight","day 042",46.9466376745094
"sunlight","day 043",48.580366047775
"sunlight","day 044",50.5015570918877
"sunlight","day 045",52.7139363265167
"sunlight","day 046",55.1614255995847
"sunlight","day 047",57.7765441952718
"sunlight","day 048",60.5040419265843
"sunlight","day 049",63.2707787837294
"sunlight","day 050",65.9198249368893
"sunlight","day 051",68.2802518693999
"sunlight","day 052",70.2089261372362
"sunlight","day 053",71.5742552902566
"sunlight","day 054",72.2630157812131
"sunlight","day 055",72.199770606317
"sunlight","day 056",71.4418600327234
"sunlight","day 057",70.1035180939084
"sunlight","day 058",68.393776617691
"sunlight","day 059",66.5480656817585
"sunlight","day 060",64.8126105689305
"sunlight","day 061",63.4083496083069
"sunlight","day 062",62.4442781089773
