"dimension","time","value"
"sunlight","day 001",46.2477019496373
"sunlight","day 002",46.8652307694653
"sunlight","day 003",47.3776244718757
"sunlight","day 004",47.7169210332369
"sunlight","day 005",47.8328197269104
"sunlight","day 006",47.7127513270047
"sunlight","day 007",47.3690609455131
"sunlight","day 008",46.8760195452222
"sunlight","day 009",46.3194754944116
"sunlight","day 010",45.7696609325424
"sunlight","day 011",45.2832915666934
"sunlight","day 012",44.8786336032337
"sunlight","day 013",44.5689305479404
"sunlight","day 014",44.385784604931
"sunlight","day 015",44.3572366631697
"sunlight","day 016",44.4787236526656
"sunlight","day 017",44.7209920839801
"sunlight","day 018",44.9886307488389
"sunlight","day 019",45.1954661442606
"sunlight","day 020",45.3584333072715
"sunlight","day 021",45.51234696458
"sunlight","day 022",45.6604320616149
"sunlight","day 023",45.7864465553066
"sunlight","day 024",45.8386754273495
"sunlight","day 025",45.797054906167
"sunlight","day 026",45.666148121162
"sunlight","day 027",45.5058050157474
"sunlight","day 028",45.3904020567668
"sunlight","day 029",45.3971349907755
"sunlight","day 030",45.5875734195717
"sunlight","day 031",45.9579630862116
"sunlight","day 032",46.4686353597756
"sunlight","day 033",47.0015879721819
"sunlight","day 034",47.4328078649241
"sunlight","day 035",47.6925724549601
"sunlight","day 036",47.7465337840985
"sunlight","day 037",47.6475519180886
"sunlight","day 038",47.4648036410873
"sunlight","day 039",47.2455245869417
"sunlight","day 040",47.0316292189785
"sunlight","day 041",46.8656884687531
"sunlight","day 042",46.7708329137357
"sunlight","day 043",46.6917752468277
"sunlight","day 044",46.5668058310244
"sunlight","day 045",46.3857650884944
"sunlight","day 046",46.1469615595573
"sunlight","day 047",45.8523419758551
"sunlight","day 048",45.5231198574025
"sunlight","day 049",45.1831859109447
"sunlight","day 050",44.8478728017756
"sunlight","day 051",44.53228813159
"sunlight","day 052",44.2591972891401
"sunlight","day 053",44.0449975783357
"sunlight","day 054",43.8729561766604
"sunlight","day 055",43.7190557177184
"sunlight","day 056",43.5632707860229
"sunlight","day 057",43.391298480757
"sunlight","day 058",43.2077340088724
"sunlight","day 059",43.0340730247252
"sunlight","day 060",42.9405148645192
"sunlight","day 061",42.9886605973059
"sunlight","day 062",43.1570145416796
"sunlight","day 063",43.4050196892491
"sunlight","day 064",43.6989704741394
"sunlight","day 065",44.0140592433699
"sunlight","day 066",44.347046005834
"sunlight","day 067",44.6731856339417
"sunlight","day 068",44.973553905359
"sunlight","day 069",45.2812004075231
"sunlight","day 070",45.6360068667161
"sunlight","day 071",46.0532097548271
"sunlight","day 072",46.5304033277888
"sunlight","day 073",47.0192582321025
"sunlight","day 074",47.4649930106568
"sunlight","day 075",47.8329414013203
"sunlight","day 076",48.1081813527801
"sunlight","day 077",48.3346524620151
"sunlight","day 078",48.5666809592107
"sunlight","day 079",48.8412779590855
"sunlight","day 080",49.1848680047964
"sunlight","day 081",49.5988444687224
"sunlight","day 082",50.0648176187684
"sunlight","day 083",50.5102964757221
"sunlight","day 084",50.8364056599798
"sunlight","day 085",50.8928334374903
"sunlight","day 086",50.5494164508628
"sunlight","day 087",49.8372167456155
"sunlight","day 088",48.937085999819
"sunlight","day 089",48.048786443147
"sunlight","day 090",47.3309403444064
"sunlight","day 091",46.9084856014324
"sunlight","day 092",46.8127625890417
