"dimension","time","value"
"sunlight","day 001",52.9706951738138
"sunlight","day 002",48.1482234142755
"sunlight","day 003",46.953752615017
"sunlight","day 004",49.0733242441108
"sunlight","day 005",52.8137894194698
"sunlight","day 006",55.8577540177708
"sunlight","day 007",56.3910862660713
"sunlight","day 008",55.2369490341876
"sunlight","day 009",53.7399407090305
"sunlight","day 010",52.6931071031291
"sunlight","day 011",52.547249557892
"sunlight","day 012",52.9357441046261
"sunlight","day 013",53.3474806762162
"sunlight","day 014",53.5108301219594
"sunlight","day 015",53.2796700372292
"sunlight","day 016",52.7704240852904
"sunlight","day 017",52.1415781579012
"sunlight","day 018",51.4573209929011
"sunlight","day 019",50.7626664976532
"sunlight","day 020",50.1202264115356
"sunlight","day 021",49.583665218015
"sunlight","day 022",49.1532605448987
"sunlight","day 023",48.8215931755299
"sunlight","day 024",48.6043913532933
"sunlight","day 025",48.5252251199735
"sunlight","day 026",48.5966917077858
"sunlight","day 027",48.7853051817184
"sunlight","day 028",49.0382564992433
"sunlight","day 029",49.271527354995
"sunlight","day 030",49.4289509701239
"sunlight","day 031",49.5969759346829
"sunlight","day 032",49.8685909832997
"sunlight","day 033",50.2203300599986
"sunlight","day 034",50.5932298530794
"sunlight","day 035",50.9027928185467
"sunlight","day 036",51.0795926363903
"sunlight","day 037",51.1400221148364
"sunlight","day 038",51.1082017755801
"sunlight","day 039",50.9533438659538
"sunlight","day 040",50.6398019427554
"sunlight","day 041",50.1674030750044
"sunlight","day 042",49.5457367896443
"sunlight","day 043",48.7879689330929
"sunlight","day 044",47.9091290913057
"sunlight","day 045",46.9514096717673
"sunlight","day 046",46.0511094730406
"sunlight","day 047",45.3433116918573
"sunlight","day 048",44.8651003862163
"sunlight","day 049",44.6302446652152
"sunlight","day 050",44.6572529810791
"sunlight","day 051",44.9573012074383
"sunlight","day 052",45.5074955604158
"sunlight","day 053",46.2561605212111
"sunlight","day 054",47.0705632888382
"sunlight","day 055",47.8220861758928
"sunlight","day 056",48.4796292314826
"sunlight","day 057",49.0389573748982
"sunlight","day 058",49.5057772696515
"sunlight","day 059",49.8755828837497
"sunlight","day 060",50.0930756589607
"sunlight","day 061",50.0931740240298
"sunlight","day 062",49.8224568818506
"sunlight","day 063",49.2960666503141
"sunlight","day 064",48.7917393331528
"sunlight","day 065",48.5671049395808
"sunlight","day 066",48.5461811601435
"sunlight","day 067",48.6048522753846
"sunlight","day 068",48.6435738096168
"sunlight","day 069",48.6234652812506
"sunlight","day 070",48.5304977238946
"sunlight","day 071",48.3893842378521
"sunlight","day 072",48.2345676077538
"sunlight","day 073",48.1006672888486
"sunlight","day 074",48.0092842221333
"sunlight","day 075",47.9297686209783
"sunlight","day 076",47.8068778169266
