"dimension","time","value"
"sunlight","day 001",34.0483281247007
"sunlight","day 002",35.2938261167072
"sunlight","day 003",36.363904101433
"sunlight","day 004",37.0187732369096
"sunlight","day 005",37.056959160681
"sunlight","day 006",36.5224402578071
"sunlight","day 007",35.5775266293352
"sunlight","day 008",34.6124024927481
"sunlight","day 009",33.9813704078911
"sunlight","day 010",33.6673321876239
"sunlight","day 011",33.5716852040533
"sunlight","day 012",33.6412098132598
"sunlight","day 013",33.8360822969189
"sunlight","day 014",34.1246796551141
"sunlight","day 015",34.4785676207775
"sunlight","day 016",34.8738661398279
"sunlight","day 017",35.2948254491019
"sunlight","day 018",35.7536627361205
"sunlight","day 019",36.2570974239843
"sunlight","day 020",36.7618909274262
"sunlight","day 021",37.218176425972
"sunlight","day 022",37.5995321666837
"sunlight","day 023",37.8999302884032
"sunlight","day 024",38.1533780637445
"sunlight","day 025",38.3360339269751
"sunlight","day 026",38.4542617980456
"sunlight","day 027",38.7076290028823
"sunlight","day 028",39.28184758857
"sunlight","day 029",40.1140050808528
"sunlight","day 030",41.0923026194234
"sunlight","day 031",42.1580203211094
"sunlight","day 032",43.2679712126129
"sunlight","day 033",44.3880209829967
"sunlight","day 034",45.4933465258182
"sunlight","day 035",46.5873168902508
"sunlight","day 036",47.6737208015207
"sunlight","day 037",48.7298335334507
"sunlight","day 038",49.7213981959038
"sunlight","day 039",50.5945426943082
"sunlight","day 040",51.29843848517
"sunlight","day 041",51.8140464337417
"sunlight","day 042",52.131456927134
"sunlight","day 043",52.245489031143
"sunlight","day 044",52.1587841047748
"sunlight","day 045",51.9018449772912
"sunlight","day 046",51.5170185059071
"sunlight","day 047",51.0393608110438
"sunlight","day 048",50.4695611615348
"sunlight","day 049",49.7945238742373
"sunlight","day 050",48.9803803096904
"sunlight","day 051",48.0086909878438
"sunlight","day 052",46.9435060226055
"sunlight","day 053",45.8766707922902
"sunlight","day 054",44.9287221388812
"sunlight","day 055",44.2040381161496
"sunlight","day 056",43.713670161352
"sunlight","day 057",43.4393633173547
"sunlight","day 058",43.3389636659798
"sunlight","day 059",43.3646362837154
"sunlight","day 060",43.4697211867576
"sunlight","day 061",43.6231055728809
"sunlight","day 062",43.8546904264637
"sunlight","day 063",44.1999512159627
"sunlight","day 064",44.6556475595427
"sunlight","day 065",45.1974712042252
"sunlight","day 066",45.7594097465241
"sunlight","day 067",46.2794678094761
"sunlight","day 068",46.7099760894524
"sunlight","day 069",47.0451636410677
"sunlight","day 070",47.2958393337933
"sunlight","day 071",47.4972329382835
"sunlight","day 072",47.6815100188768
