"dimension","time","value"
"sunlight","day 001",56.5203507595954
"sunlight","day 002",56.9015462337884
"sunlight","day 003",57.2953652238886
"sunlight","day 004",57.6882688832746
"sunlight","day 005",58.0527777899646
"sunlight","day 006",58.3253401027328
"sunlight","day 007",58.4539771046877
"sunlight","day 008",58.4690749955182
"sunlight","day 009",58.4116399521728
"sunlight","day 010",58.2827931440584
"sunlight","day 011",58.0743313721994
"sunlight","day 012",57.7806389716312
"sunlight","day 013",57.3967603722087
"sunlight","day 014",56.9177928490541
"sunlight","day 015",56.3472014291527
"sunlight","day 016",55.7218693016749
"sunlight","day 017",55.0792062657094
"sunlight","day 018",54.4253103978318
"sunlight","day 019",53.7618979339104
"sunlight","day 020",53.104469469498
"sunlight","day 021",52.4788988430535
"sunlight","day 022",51.9387685049772
"sunlight","day 023",51.5356541793563
"sunlight","day 024",51.2805718263813
"sunlight","day 025",51.1563065401228
"sunlight","day 026",51.1414282836919
"sunlight","day 027",51.2169434831853
"sunlight","day 028",51.3588016964238
"sunlight","day 029",51.5202885451425
"sunlight","day 030",51.6524804812163
"sunlight","day 031",51.7202812131677
"sunlight","day 032",51.6959646513212
"sunlight","day 033",51.5674582565632
"sunlight","day 034",51.3364119269256
"sunlight","day 035",51.0437117584612
"sunlight","day 036",50.7431508495662
"sunlight","day 037",50.5009141099903
"sunlight","day 038",50.3686376815543
"sunlight","day 039",50.3273708230089
"sunlight","day 040",50.3418807671087
"sunlight","day 041",50.3823935256947
"sunlight","day 042",50.4254990321436
"sunlight","day 043",50.4677841268896
"sunlight","day 044",50.5132412812323
"sunlight","day 045",50.568666831452
"sunlight","day 046",50.6159765122295
"sunlight","day 047",50.6400063693982
"sunlight","day 048",50.6645606991013
"sunlight","day 049",50.7197490078604
"sunlight","day 050",50.8219333934
"sunlight","day 051",50.974423040102
"sunlight","day 052",51.1420628877751
"sunlight","day 053",51.28674117116
"sunlight","day 054",51.3969835492996
"sunlight","day 055",51.4706082424937
"sunlight","day 056",51.5159662917659
"sunlight","day 057",51.5427234107798
"sunlight","day 058",51.5552711830328
"sunlight","day 059",51.5504579531084
"sunlight","day 060",51.5002332400989
"sunlight","day 061",51.3731777699298
"sunlight","day 062",51.1492959213521
"sunlight","day 063",50.8207317359595
"sunlight","day 064",50.4167642538906
"sunlight","day 065",49.9789031813692
"sunlight","day 066",49.5508404549588
"sunlight","day 067",49.140793185856
"sunlight","day 068",48.7489643286266
"sunlight","day 069",48.381921953127
"sunlight","day 070",48.0494251632988
"sunlight","day 071",47.7676320841328
"sunlight","day 072",47.5421034156349
"sunlight","day 073",47.3296111368203
"sunlight","day 074",47.0900662993651
"sunlight","day 075",46.8447249665801
"sunlight","day 076",46.6284819394041
"sunlight","day 077",46.469441957655
"sunlight","day 078",46.3997876742448
"sunlight","day 079",46.4748034555809
"sunlight","day 080",46.7449489945349
"sunlight","day 081",47.218283576339
"sunlight","day 082",47.8927192126523
"sunlight","day 083",48.7679792284797
"sunlight","day 084",49.8493216428178
"sunlight","day 085",51.1623319372841
"sunlight","day 086",52.7130290693071
