"dimension","time","value"
"sunlight","day 001",44.4248216805219
"sunlight","day 002",44.926064260684
"sunlight","day 003",45.4026118200417
"sunlight","day 004",45.8301040029006
"sunlight","day 005",46.1840103263152
"sunlight","day 006",46.4386678919007
"sunlight","day 007",46.5691675905632
"sunlight","day 008",46.554747885813
"sunlight","day 009",46.3718320834493
"sunlight","day 010",45.9814352858228
"sunlight","day 011",45.3592084922453
"sunlight","day 012",44.5547544933217
"sunlight","day 013",43.662029952201
"sunlight","day 014",42.8784552309151
"sunlight","day 015",42.3957403414479
"sunlight","day 016",42.2792901967102
"sunlight","day 017",42.5365484530956
"sunlight","day 018",43.0694188400039
"sunlight","day 019",43.7596123236517
"sunlight","day 020",44.5136087445171
"sunlight","day 021",45.2400917867341
"sunlight","day 022",45.8317916348002
"sunlight","day 023",46.1996286649868
"sunlight","day 024",46.2909652662024
"sunlight","day 025",45.8662533776533
"sunlight","day 026",44.8227011578757
"sunlight","day 027",43.8136306591088
"sunlight","day 028",43.454949110134
"sunlight","day 029",43.4567905521969
"sunlight","day 030",43.404466190552
"sunlight","day 031",43.2897690740236
"sunlight","day 032",43.1869939091527
"sunlight","day 033",43.0939601897758
"sunlight","day 034",42.9945092558759
"sunlight","day 035",42.8930450447265
"sunlight","day 036",42.7977299134708
"sunlight","day 037",42.7111973014405
"sunlight","day 038",42.6350701333562
"sunlight","day 039",42.5724581933042
"sunlight","day 040",42.5267428019743
"sunlight","day 041",42.500904567103
"sunlight","day 042",42.4978517165654
"sunlight","day 043",42.5206036717458
"sunlight","day 044",42.5721978868701
"sunlight","day 045",42.6546316055552
"sunlight","day 046",42.7658877120145
"sunlight","day 047",42.9029481548525
"sunlight","day 048",43.062795734107
"sunlight","day 049",43.2424133743954
"sunlight","day 050",43.4387836472211
"sunlight","day 051",43.6488891749462
"sunlight","day 052",43.8697131364822
"sunlight","day 053",44.0982383830361
"sunlight","day 054",44.331445898447
"sunlight","day 055",44.5663179218512
"sunlight","day 056",44.7998435809405
"sunlight","day 057",45.0290073237967
"sunlight","day 058",45.2507679915074
"sunlight","day 059",45.4621018314142
"sunlight","day 060",45.660080322869
"sunlight","day 061",45.8417102099311
"sunlight","day 062",46.0036440634792
"sunlight","day 063",46.142775222161
"sunlight","day 064",46.2573142688788
"sunlight","day 065",46.3429024292564
"sunlight","day 066",46.3833999408709
"sunlight","day 067",46.3590231142551
"sunlight","day 068",46.2558466015218
"sunlight","day 069",46.0841236798066
"sunlight","day 070",45.8588877637771
"sunlight","day 071",45.5901141932075
"sunlight","day 072",45.2868537169422
"sunlight","day 073",44.9595167949985
"sunlight","day 074",44.6187624566579
"sunlight","day 075",44.2748842970848
"sunlight","day 076",43.938108614249
"sunlight","day 077",43.6187579514589
"sunlight","day 078",43.3271741097621
"sunlight","day 079",43.0736796758217
"sunlight","day 080",42.8685881830395
