"dimension","time","value"
"sunlight","day 001",30.4591267087072
"sunlight","day 002",31.0980058857739
"sunlight","day 003",31.7540843879714
"sunlight","day 004",32.4637990647282
"sunlight","day 005",33.2441307854005
"sunlight","day 006",34.0127384579812
"sunlight","day 007",34.6221851235322
"sunlight","day 008",34.7639723167526
"sunlight","day 009",34.2113226275231
"sunlight","day 010",33.2254043728108
"sunlight","day 011",32.2925722524549
"sunlight","day 012",32.3119807706938
"sunlight","day 013",33.8973413976456
"sunlight","day 014",36.107793662548
"sunlight","day 015",37.8866853518595
"sunlight","day 016",39.268769221804
"sunlight","day 017",40.498932852593
"sunlight","day 018",41.5711981506249
"sunlight","day 019",42.4388845931688
"sunlight","day 020",43.14336761479
"sunlight","day 021",43.7314623940836
"sunlight","day 022",44.1836871284668
"sunlight","day 023",44.4636543644722
"sunlight","day 024",44.5482881096035
"sunlight","day 025",44.4727292991108
"sunlight","day 026",44.2816305933226
"sunlight","day 027",43.9991432195458
"sunlight","day 028",43.6513034152078
"sunlight","day 029",43.2921888912426
"sunlight","day 030",42.9719672197948
"sunlight","day 031",42.6971239443474
"sunlight","day 032",42.4533490417783
"sunlight","day 033",42.1868322512079
"sunlight","day 034",41.8456031607005
"sunlight","day 035",41.4245509918538
"sunlight","day 036",40.9366478524033
"sunlight","day 037",40.4203377611027
"sunlight","day 038",39.9145317486552
"sunlight","day 039",39.434536982544
"sunlight","day 040",38.9946572537154
"sunlight","day 041",38.6287867101868
"sunlight","day 042",38.3762051126674
"sunlight","day 043",38.2781443155612
"sunlight","day 044",38.355300570473
"sunlight","day 045",38.5597656875935
"sunlight","day 046",38.8845681048016
"sunlight","day 047",39.3242230048819
"sunlight","day 048",39.8172322963334
"sunlight","day 049",40.3004492963745
"sunlight","day 050",40.7601462313884
"sunlight","day 051",41.1978081247775
"sunlight","day 052",41.6263522788569
"sunlight","day 053",42.0620156495462
"sunlight","day 054",42.5228815282697
"sunlight","day 055",43.0305563817981
"sunlight","day 056",43.6188930427815
"sunlight","day 057",44.327977225336
"sunlight","day 058",45.2105798035618
"sunlight","day 059",46.3174137112504
"sunlight","day 060",47.6782749609739
"sunlight","day 061",49.3066099282255
"sunlight","day 062",51.1713833614008
"sunlight","day 063",53.2272721089631
"sunlight","day 064",55.4162830467446
"sunlight","day 065",57.6841922622079
"sunlight","day 066",59.9883138393534
"sunlight","day 067",62.2280632765025
"sunlight","day 068",64.2897069183002
"sunlight","day 069",66.0717497851536
"sunlight","day 070",67.4805814159126
"sunlight","day 071",68.4418907474344
"sunlight","day 072",68.9041506373874
"sunlight","day 073",68.8876702286753
"sunlight","day 074",68.420420889908
"sunlight","day 075",67.489186607285
"sunlight","day 076",66.0879625507808
"sunlight","day 077",64.2807760078814
"sunlight","day 078",62.163749599857
"sunlight","day 079",59.8913551656027
"sunlight","day 080",57.6338171233988
"sunlight","day 081",55.5660209914401
"sunlight","day 082",53.8412871409642
"sunlight","day 083",52.522014255466
"sunlight","day 084",51.626076038578
"sunlight","day 085",51.0841679622248
"sunlight","day 086",50.8121476113176
"sunlight","day 087",50.744792851258
"sunlight","day 088",50.7882126057171
"sunlight","day 089",50.8578337535316
"sunlight","day 090",50.9419806068432
"sunlight","day 091",51.0450085761252
"sunlight","day 092",51.1625000318732
"sunlight","day 093",51.2927368582202
"sunlight","day 094",51.4535720338276
"sunlight","day 095",51.6509595616127
"sunlight","day 096",51.8236864469872
"sunlight","day 097",51.9059545536326
"sunlight","day 098",51.880792175814
"sunlight","day 099",51.7601354547168
"sunlight","day 100",51.622725488626
"sunlight","day 101",51.5494466686995
"sunlight","day 102",51.5629516004899
"sunlight","day 103",51.6735230407643
"sunlight","day 104",51.9001961367532
"sunlight","day 105",52.2523875380769
"sunlight","day 106",52.6922875134503
"sunlight","day 107",53.1611606636236
"sunlight","day 108",53.5771886519874
"sunlight","day 109",53.9030074835696
"sunlight","day 110",54.1195001768297
"sunlight","day 111",54.226964389579
"sunlight","day 112",54.2384310173438
"sunlight","day 113",54.1984492671589
"sunlight","day 114",54.1560178103308
"sunlight","day 115",54.1464148637421
"sunlight","day 116",54.2002139589965
"sunlight","day 117",54.342890341004
"sunlight","day 118",54.5869257746356
"sunlight","day 119",54.8979263912992
"sunlight","day 120",55.2247128339132
"sunlight","day 121",55.4958394249026
"sunlight","day 122",55.6547221322238
"sunlight","day 123",55.7244898264539
"sunlight","day 124",55.7524127935309
"sunlight","day 125",55.8026140782174
"sunlight","day 126",55.9374501308696
"sunlight","day 127",56.1953582653957
"sunlight","day 128",56.5888462755859
"sunlight","day 129",57.0533261951724
"sunlight","day 130",57.5150730577367
"sunlight","day 131",57.9183389823377
"sunlight","day 132",58.2684716940887
"sunlight","day 133",58.588176276221
"sunlight","day 134",58.908491638384
"sunlight","day 135",59.2512112359651
"sunlight","day 136",59.5928128808843
"sunlight","day 137",59.8993157905954
"sunlight","day 138",60.140220448154
"sunlight","day 139",60.2989250463511
"sunlight","day 140",60.4109373513152
"sunlight","day 141",60.5163360103439
"sunlight","day 142",60.6213736220733
"sunlight","day 143",60.73119708276
"sunlight","day 144",60.8803565278048
"sunlight","day 145",61.0945242914926
"sunlight","day 146",61.3344582645017
"sunlight","day 147",61.5587680857377
"sunlight","day 148",61.7823848306213
"sunlight","day 149",62.0335678353811
"sunlight","day 150",62.3375680429622
"humidity","day 001",11.1426271734312
"humidity","day 002",11.0932752480576
"humidity","day 003",11.0401808821471
"humidity","day 004",10.9748443409316
"humidity","day 005",10.8888146197986
"humidity","day 006",10.7789529316279
"humidity","day 007",10.6458075607158
"humidity","day 008",10.4993628595324
"humidity","day 009",10.3610564769441
"humidity","day 010",10.2887031792288
"humidity","day 011",10.3489501572941
"humidity","day 012",10.6073971831536
"humidity","day 013",11.1282515845165
"humidity","day 014",11.9711983307678
"humidity","day 015",13.1877452657899
"humidity","day 016",14.8012140897784
"humidity","day 017",16.7994225175136
"humidity","day 018",19.0563584657992
"humidity","day 019",21.4130472034788
"humidity","day 020",23.692493205533
"humidity","day 021",25.7326903268026
"humidity","day 022",27.4496107354346
"humidity","day 023",28.7827804227518
"humidity","day 024",29.6949263247473
"humidity","day 025",30.1806904833583
"humidity","day 026",30.2517946614274
"humidity","day 027",29.9604236443257
"humidity","day 028",29.3728104659563
"humidity","day 029",28.5709181318214
"humidity","day 030",27.6379573242038
"humidity","day 031",26.6463994609105
"humidity","day 032",25.6627375947614
"humidity","day 033",24.7402905831047
"humidity","day 034",23.9240172780326
"humidity","day 035",23.2386107060873
"humidity","day 036",22.6970691113828
"humidity","day 037",22.2858774338702
"humidity","day 038",21.9832669068142
"humidity","day 039",21.7609672408965
"humidity","day 040",21.5873977166245
"humidity","day 041",21.42423741639
"humidity","day 042",21.2383956244143
"humidity","day 043",21.0244426303518
"humidity","day 044",20.7857526628263
"humidity","day 045",20.5314753107845
"humidity","day 046",20.2655312902974
"humidity","day 047",19.9895031821157
"humidity","day 048",19.7027385861972
"humidity","day 049",19.405683388083
"humidity","day 050",19.10541159644
"humidity","day 051",18.8110808897995
"humidity","day 052",18.5335555030248
"humidity","day 053",18.2827867650693
"humidity","day 054",18.0633678249137
"humidity","day 055",17.8805602583849
"humidity","day 056",17.7476575286664
"humidity","day 057",17.6771639552924
"humidity","day 058",17.6703953958423
"humidity","day 059",17.7235887569457
"humidity","day 060",17.8238536033871
"humidity","day 061",17.961007429355
"humidity","day 062",18.1448267884986
"humidity","day 063",18.3879546640734
"humidity","day 064",18.6945406983022
"humidity","day 065",19.0631326719857
"humidity","day 066",19.4796587319362
"humidity","day 067",19.9317463814641
"humidity","day 068",20.4084702925403
"humidity","day 069",20.899515929117
"humidity","day 070",21.3940975972795
"humidity","day 071",21.8789341796653
"humidity","day 072",22.3398387343897
"humidity","day 073",22.7614964449246
"humidity","day 074",23.1328355503234
"humidity","day 075",23.4608843866084
"humidity","day 076",23.753214546625
"humidity","day 077",24.0014705535426
"humidity","day 078",24.1927827420588
"humidity","day 079",24.3121517626597
"humidity","day 080",24.3434053049463
"humidity","day 081",24.2678088991909
"humidity","day 082",24.0671945403898
"humidity","day 083",23.7282222417626
"humidity","day 084",23.2458137331859
"humidity","day 085",22.6431095929391
"humidity","day 086",21.9459285314583
"humidity","day 087",21.1924678582035
"humidity","day 088",20.5360879778897
"humidity","day 089",20.1596214108393
"humidity","day 090",20.2442494646033
"humidity","day 091",20.8943589572245
"humidity","day 092",21.9088099614834
"humidity","day 093",23.0101355172089
"humidity","day 094",23.9210872776838
