"dimension","time","value"
"sunlight","day 001",48.0877293636484
"sunlight","day 002",48.516980161255
"sunlight","day 003",48.9425685836753
"sunlight","day 004",49.2877132339291
"sunlight","day 005",49.4785303461939
"sunlight","day 006",49.53389319433
"sunlight","day 007",49.5015563750796
"sunlight","day 008",49.4520427370281
"sunlight","day 009",49.4428914165688
"sunlight","day 010",49.4569384494816
"sunlight","day 011",49.4703246152786
"sunlight","day 012",49.5071127690147
"sunlight","day 013",49.5927790945717
"sunlight","day 014",49.7105310155959
"sunlight","day 015",49.837411693355
"sunlight","day 016",49.9680759998368
"sunlight","day 017",50.105500326561
"sunlight","day 018",50.2683354324552
"sunlight","day 019",50.4595750003099
"sunlight","day 020",50.6039100409591
"sunlight","day 021",50.6175979173203
"sunlight","day 022",50.4614640725996
"sunlight","day 023",50.1192681979773
"sunlight","day 024",49.631795947514
"sunlight","day 025",49.0910534082641
"sunlight","day 026",48.5938708649745
"sunlight","day 027",48.2169471880735
"sunlight","day 028",48.0247405107836
"sunlight","day 029",48.0528774318254
"sunlight","day 030",48.3163556884641
"sunlight","day 031",48.7764891066481
"sunlight","day 032",49.3483411375686
"sunlight","day 033",49.8156576447073
"sunlight","day 034",49.9560360608667
"sunlight","day 035",49.6537976838414
"sunlight","day 036",48.8723414630909
"sunlight","day 037",47.7846530897409
"sunlight","day 038",46.6017455372525
"sunlight","day 039",45.4771541667624
"sunlight","day 040",44.5273499335204
"sunlight","day 041",43.7780237815517
"sunlight","day 042",43.2283247110324
"sunlight","day 043",42.8620139579659
"sunlight","day 044",42.6730624701298
"sunlight","day 045",42.6955863544609
"sunlight","day 046",42.9134325622699
"sunlight","day 047",43.2976670017318
"sunlight","day 048",43.8325572169233
"sunlight","day 049",44.5103143088058
"sunlight","day 050",45.34172196998
"sunlight","day 051",46.3423984477173
"sunlight","day 052",47.528727616332
"sunlight","day 053",48.8973759050779
"sunlight","day 054",50.3653743359233
"sunlight","day 055",51.8411933529632
"sunlight","day 056",53.278696496083
"sunlight","day 057",54.6488192219818
"sunlight","day 058",55.9453915588198
"sunlight","day 059",57.1665338417642
"sunlight","day 060",58.3046330625489
"sunlight","day 061",59.3477389129798
"sunlight","day 062",60.2722852285843
"sunlight","day 063",61.0428890047765
"sunlight","day 064",61.5885157327976
"sunlight","day 065",61.850180472849
"sunlight","day 066",61.8515745112782
"sunlight","day 067",61.6326573639564
"sunlight","day 068",61.2254053399037
"sunlight","day 069",60.6345561362157
"sunlight","day 070",59.8534004412569
"sunlight","day 071",58.8566795203908
"sunlight","day 072",57.6307832610537
"sunlight","day 073",56.2272454619713
"sunlight","day 074",54.7501890140106
"sunlight","day 075",53.4489492653111
"sunlight","day 076",52.5482260711561
"sunlight","day 077",52.0289648581305
"sunlight","day 078",51.7861987878616
"sunlight","day 079",51.6150663908443
"sunlight","day 080",51.2406008344434
"sunlight","day 081",50.2073084646369
"sunlight","day 082",48.2257291669927
"sunlight","day 083",45.8510638068269
"sunlight","day 084",43.7644495213529
"sunlight","day 085",42.3061075556254
"sunlight","day 086",41.6575173235798
"sunlight","day 087",41.7404072139193
"sunlight","day 088",42.5401943856129
"sunlight","day 089",44.0668798536056
"sunlight","day 090",46.2915984284023
"sunlight","day 091",49.1542241655115
"sunlight","day 092",52.5084543048943
"sunlight","day 093",56.1862308329912
"sunlight","day 094",60.0186515377045
"sunlight","day 095",63.843085087213
"sunlight","day 096",67.5228278693391
"sunlight","day 097",70.9243576541081
"sunlight","day 098",73.9009500207144
"sunlight","day 099",76.2894023370458
"sunlight","day 100",77.8738013165965
"sunlight","day 101",78.4617366900839
"sunlight","day 102",78.007520911512
"sunlight","day 103",76.5017211596863
"sunlight","day 104",73.9332007893312
"sunlight","day 105",70.358320403433
"sunlight","day 106",66.1051334221045
"sunlight","day 107",61.629128348347
"sunlight","day 108",57.493928405344
"sunlight","day 109",53.803017517909
"sunlight","day 110",50.5470722055063
"sunlight","day 111",47.7851905431792
"sunlight","day 112",45.5763240773603
"sunlight","day 113",43.9104166844606
"sunlight","day 114",42.7507904306236
"sunlight","day 115",42.0232878109453
"sunlight","day 116",41.645248506604
"sunlight","day 117",41.5374805141546
"sunlight","day 118",41.6276234307034
"sunlight","day 119",41.8671749401843
"sunlight","day 120",42.2052445753464
"sunlight","day 121",42.5575311773709
"sunlight","day 122",42.8515054819523
"sunlight","day 123",43.095136494405
"sunlight","day 124",43.3014769182893
"sunlight","day 125",43.4234159805281
"sunlight","day 126",43.4084903222398
"sunlight","day 127",43.2429897179618
"sunlight","day 128",42.940122814029
"sunlight","day 129",42.5744745288178
"sunlight","day 130",42.2076760422307
"sunlight","day 131",41.8783819958635
"sunlight","day 132",41.5635252050019
"sunlight","day 133",41.2385516892729
"sunlight","day 134",40.9346821119812
"sunlight","day 135",40.6882361903514
"sunlight","day 136",40.5001552136101
"sunlight","day 137",40.3600458773381
"sunlight","day 138",40.2475549305291
"sunlight","day 139",40.1449130308838
"sunlight","day 140",40.0546464175169
"sunlight","day 141",39.9811813219353
"sunlight","day 142",39.9162483637988
"sunlight","day 143",39.8520012454352
"sunlight","day 144",39.7949816116909
"sunlight","day 145",39.7567991477863
"sunlight","day 146",39.7549477579199
"sunlight","day 147",39.7932644313694
"sunlight","day 148",39.8150742787508
"sunlight","day 149",39.7664365857663
"sunlight","day 150",39.664859217124
"humidity","day 001",42.4632104311933
"humidity","day 002",43.5650643926179
"humidity","day 003",44.6548522272256
"humidity","day 004",45.7138741481292
"humidity","day 005",46.7111268593326
"humidity","day 006",47.5732164060524
"humidity","day 007",48.2247150200764
"humidity","day 008",48.6244503382632
"humidity","day 009",48.7485777788922
"humidity","day 010",48.6083084808545
"humidity","day 011",48.2153617136757
"humidity","day 012",47.5484335488081
"humidity","day 013",46.5964265196818
"humidity","day 014",45.4220922057118
"humidity","day 015",44.10440045796
"humidity","day 016",42.7133451680909
"humidity","day 017",41.2979998140588
"humidity","day 018",39.8327321783724
"humidity","day 019",38.2969944209723
"humidity","day 020",36.765281906973
"humidity","day 021",35.3247221561566
"humidity","day 022",34.0179281018028
"humidity","day 023",32.868285508718
"humidity","day 024",31.8706792479906
"humidity","day 025",31.0274684435526
"humidity","day 026",30.345478953281
"humidity","day 027",29.8338307961431
"humidity","day 028",29.4941302280487
"humidity","day 029",29.2956342915888
"humidity","day 030",29.1910113765493
"humidity","day 031",29.0989244748134
"humidity","day 032",28.9516081723067
"humidity","day 033",28.7695888290256
"humidity","day 034",28.5791841738779
"humidity","day 035",28.3415856373449
"humidity","day 036",28.0152500648459
"humidity","day 037",27.6128222599757
"humidity","day 038",27.154259411265
"humidity","day 039",26.6345802888114
"humidity","day 040",26.0513961116072
"humidity","day 041",25.4376263126562
