"dimension","time","value"
"sunlight","day 001",66.3816245836155
"sunlight","day 002",66.9988080664042
"sunlight","day 003",67.642284584352
"sunlight","day 004",68.3356634657545
"sunlight","day 005",69.0876879249995
"sunlight","day 006",69.8513427580588
"sunlight","day 007",70.5703661638389
"sunlight","day 008",71.2072683714006
"sunlight","day 009",71.7307975823359
"sunlight","day 010",72.1158818582073
"sunlight","day 011",72.3445662065121
"sunlight","day 012",72.4211835585144
"sunlight","day 013",72.3633112627602
"sunlight","day 014",72.2192164131558
"sunlight","day 015",72.0322686241979
"sunlight","day 016",71.7955578473838
"sunlight","day 017",71.4895964513195
"sunlight","day 018",71.0948661360462
"sunlight","day 019",70.5901314120851
"sunlight","day 020",69.9473187004429
"sunlight","day 021",69.1562087133257
"sunlight","day 022",68.2848374172514
"sunlight","day 023",67.4258273333219
"sunlight","day 024",66.6765319290843
"sunlight","day 025",66.0778873427801
"sunlight","day 026",65.6366101946706
"sunlight","day 027",65.283979103409
"sunlight","day 028",64.9373077813565
"sunlight","day 029",64.5334883173152
"sunlight","day 030",64.0259275379616
"sunlight","day 031",63.4145128450284
"sunlight","day 032",62.7075074180619
"sunlight","day 033",61.9001969728072
"sunlight","day 034",60.9944976415777
"sunlight","day 035",60.0318246867629
"sunlight","day 036",59.0647576486401
"sunlight","day 037",58.1510340489639
"sunlight","day 038",57.3415481431893
"sunlight","day 039",56.6546631400966
"sunlight","day 040",56.0983551852491
"sunlight","day 041",55.6715832180175
"sunlight","day 042",55.3626856109313
"sunlight","day 043",55.1265356753478
"sunlight","day 044",54.915824244916
"sunlight","day 045",54.7073169376554
"sunlight","day 046",54.4813216953036
"sunlight","day 047",54.2182559175575
"sunlight","day 048",53.9016162998163
"sunlight","day 049",53.5252768374692
"sunlight","day 050",53.1215414301615
"sunlight","day 051",52.7284354248207
"sunlight","day 052",52.3684400532452
"sunlight","day 053",52.0599507507702
"sunlight","day 054",51.8205638820062
"sunlight","day 055",51.6651558504906
"sunlight","day 056",51.5985222861938
"sunlight","day 057",51.6238240070894
"sunlight","day 058",51.7477633567303
"sunlight","day 059",51.9815996026346
"sunlight","day 060",52.3512781826033
"sunlight","day 061",52.8318476746286
"sunlight","day 062",53.1800830471866
"sunlight","day 063",53.1467004467568
"sunlight","day 064",52.6764543413512
"sunlight","day 065",51.8406773827924
"sunlight","day 066",50.9592800944547
"sunlight","day 067",50.1754554345064
"sunlight","day 068",49.546042970223
"sunlight","day 069",49.0372548739392
"sunlight","day 070",48.597050081107
"sunlight","day 071",48.1910019745852
"sunlight","day 072",47.8110780906591
"sunlight","day 073",47.5372081319127
"sunlight","day 074",47.4501752276983
"sunlight","day 075",47.546214048142
"sunlight","day 076",47.7922162881189
"sunlight","day 077",48.122250200726
"sunlight","day 078",48.4615359989498
"sunlight","day 079",48.7327251771121
"sunlight","day 080",48.8761428754618
"sunlight","day 081",48.9053775366204
"sunlight","day 082",48.8507951672854
"sunlight","day 083",48.7366087280871
"sunlight","day 084",48.5827994552263
"sunlight","day 085",48.3985747332541
"sunlight","day 086",48.1877891867245
"sunlight","day 087",47.9454725687204
"sunlight","day 088",47.671244602712
"sunlight","day 089",47.3672530362977
"sunlight","day 090",47.0385084461198
"sunlight","day 091",46.694035345052
"sunlight","day 092",46.3560511618499
"sunlight","day 093",46.0468060271311
"sunlight","day 094",45.7754879630777
"sunlight","day 095",45.5459323621026
"sunlight","day 096",45.3536262059768
"sunlight","day 097",45.1898623897591
"sunlight","day 098",45.0375058723021
"sunlight","day 099",44.8794754158648
"sunlight","day 100",44.7073329325377
"sunlight","day 101",44.5171830064691
"sunlight","day 102",44.3146577602072
"sunlight","day 103",44.1031825018376
"sunlight","day 104",43.8678277431939
"sunlight","day 105",43.5904910618839
"sunlight","day 106",43.2587330948619
"sunlight","day 107",42.8664681823296
"sunlight","day 108",42.4231471313645
"sunlight","day 109",41.9262975403856
"sunlight","day 110",41.3747572592392
"sunlight","day 111",40.7894662905493
"sunlight","day 112",40.1942592858856
"sunlight","day 113",39.6024473398224
"sunlight","day 114",39.0246990341326
"sunlight","day 115",38.4716364563768
"sunlight","day 116",37.9562184719074
"sunlight","day 117",37.5007975514541
"sunlight","day 118",37.125417938135
"sunlight","day 119",36.8314973592429
"sunlight","day 120",36.6184303926046
"sunlight","day 121",36.4961455340095
"sunlight","day 122",36.4783898338482
"sunlight","day 123",36.5836506429554
"sunlight","day 124",36.8355875478896
"sunlight","day 125",37.2738087776614
"sunlight","day 126",37.9166431172771
"sunlight","day 127",38.681352933272
"sunlight","day 128",39.4174048476361
"sunlight","day 129",39.8606199788098
"sunlight","day 130",39.9301745299539
"sunlight","day 131",39.5990096150967
"sunlight","day 132",38.8292417670878
"sunlight","day 133",37.5981516919265
"sunlight","day 134",35.9545013693893
"sunlight","day 135",34.0242012795767
"sunlight","day 136",32.170274630108
"sunlight","day 137",30.726701196113
"sunlight","day 138",29.6741742952446
"sunlight","day 139",28.9225798960861
"sunlight","day 140",28.4518610284206
"sunlight","day 141",28.254079106064
"sunlight","day 142",28.2997120177658
"sunlight","day 143",28.5573482688179
"sunlight","day 144",29.0096023557505
"sunlight","day 145",29.6375508442379
"sunlight","day 146",30.4020925852928
"sunlight","day 147",31.2611930174143
"sunlight","day 148",32.1812616437069
"sunlight","day 149",33.1340629361417
"sunlight","day 150",34.10433717755
"humidity","day 001",9.36297173189224
"humidity","day 002",9.61900346427666
"humidity","day 003",9.86493672669727
"humidity","day 004",10.0886402400683
"humidity","day 005",10.2822384169655
"humidity","day 006",10.4550344544414
"humidity","day 007",10.6185612237486
"humidity","day 008",10.7760915084639
"humidity","day 009",10.9284513179768
"humidity","day 010",11.0749396526025
"humidity","day 011",11.2164710837638
"humidity","day 012",11.3619494763867
"humidity","day 013",11.5178247807788
"humidity","day 014",11.6727419952712
"humidity","day 015",11.8127494565882
"humidity","day 016",11.9313138070049
"humidity","day 017",12.0264003893793
"humidity","day 018",12.106551043352
"humidity","day 019",12.1817340728272
"humidity","day 020",12.2570471419823
"humidity","day 021",12.337385918728
"humidity","day 022",12.431708725637
"humidity","day 023",12.5469768800106
"humidity","day 024",12.6768294630693
"humidity","day 025",12.8068066457624
"humidity","day 026",12.9363521701532
"humidity","day 027",13.1256103040968
"humidity","day 028",13.434100896492
"humidity","day 029",13.8581455946212
"humidity","day 030",14.3631565606783
"humidity","day 031",14.8541062181198
"humidity","day 032",15.2113523477684
"humidity","day 033",15.2772338986498
"humidity","day 034",14.9332663795446
"humidity","day 035",14.2556903700523
"humidity","day 036",13.3792343387412
"humidity","day 037",12.4778532392386
"humidity","day 038",11.8322635342018
"humidity","day 039",12.1110012373498
"humidity","day 040",13.6811584034475
"humidity","day 041",15.3162317003801
"humidity","day 042",15.8269241409159
"humidity","day 043",15.7663595042335
"humidity","day 044",16.006612498857
"humidity","day 045",16.8229732969332
"humidity","day 046",17.8534078589583
"humidity","day 047",18.7111396076963
"humidity","day 048",19.431091764375
"humidity","day 049",20.1271002452814
"humidity","day 050",20.8069519484738
"humidity","day 051",21.4545564087519
"humidity","day 052",22.0643627261087
"humidity","day 053",22.6329252403491
"humidity","day 054",23.154679685334
"humidity","day 055",23.6246000602207
"humidity","day 056",24.0419320312971
"humidity","day 057",24.4073918643084
"humidity","day 058",24.7233065556977
"humidity","day 059",24.9948074517625
"humidity","day 060",25.2366325675191
"humidity","day 061",25.4624403605245
