"dimension","time","value"
"sunlight","day 001",52.0128916140019
"sunlight","day 002",52.6717364888621
"sunlight","day 003",53.1702955524248
"sunlight","day 004",53.3585530567643
"sunlight","day 005",53.1563073491705
"sunlight","day 006",52.6966720673104
"sunlight","day 007",52.1560981243494
"sunlight","day 008",51.6710702450694
"sunlight","day 009",51.3205523526644
"sunlight","day 010",50.9933913523579
"sunlight","day 011",50.5564801519093
"sunlight","day 012",49.9790126871909
"sunlight","day 013",49.2769440983495
"sunlight","day 014",48.5509733145175
"sunlight","day 015",47.9349250228954
"sunlight","day 016",47.6103831539697
"sunlight","day 017",47.7237402264978
"sunlight","day 018",48.232863869032
"sunlight","day 019",49.0432009780404
"sunlight","day 020",50.0390404118567
"sunlight","day 021",51.1147167889002
"sunlight","day 022",52.2259058060675
"sunlight","day 023",53.3357317726507
"sunlight","day 024",54.3455971489838
"sunlight","day 025",55.0283168579301
"sunlight","day 026",55.1928769316253
"sunlight","day 027",54.9136487195438
"sunlight","day 028",54.305453545635
"sunlight","day 029",53.3795273144103
"sunlight","day 030",52.1361682560024
"sunlight","day 031",50.635509322467
"sunlight","day 032",49.013586550457
"sunlight","day 033",47.6502135930922
"sunlight","day 034",46.9312575414012
"sunlight","day 035",47.0230216215816
"sunlight","day 036",47.9164684567363
"sunlight","day 037",49.1207621224194
"sunlight","day 038",50.113876552115
"sunlight","day 039",50.7308236585772
"sunlight","day 040",50.9427422077507
"sunlight","day 041",50.9082403990742
"sunlight","day 042",50.7910906455026
"sunlight","day 043",50.5882527805616
"sunlight","day 044",50.3015489648958
"sunlight","day 045",50.024495623893
"sunlight","day 046",49.518904162269
"sunlight","day 047",48.563051336167
"sunlight","day 048",47.379345800089
"sunlight","day 049",46.2640273482213
"sunlight","day 050",45.3645284351279
"sunlight","day 051",44.7620172698185
"sunlight","day 052",44.421412418707
"sunlight","day 053",44.3404752666072
"sunlight","day 054",44.7645881145288
"sunlight","day 055",45.9305155098495
"sunlight","day 056",47.7929300692219
"sunlight","day 057",50.1865942873626
"sunlight","day 058",52.7487221019709
"sunlight","day 059",55.099768945425
"sunlight","day 060",56.9907047858368
"sunlight","day 061",58.2230558338817
"sunlight","day 062",58.6700587347561
"sunlight","day 063",58.3017801876348
"sunlight","day 064",57.4038966730877
"sunlight","day 065",56.1995652573676
"sunlight","day 066",54.4896707995396
"sunlight","day 067",52.5073372248967
"sunlight","day 068",50.589344651395
"sunlight","day 069",48.9134370417496
"sunlight","day 070",47.6128540171937
"sunlight","day 071",46.8018539882754
"sunlight","day 072",46.5577293757545
"sunlight","day 073",46.8288898519251
"sunlight","day 074",47.4730594481712
"sunlight","day 075",48.1141023807055
"sunlight","day 076",48.4119705274608
"sunlight","day 077",48.4048262284236
"sunlight","day 078",48.2582605779887
"sunlight","day 079",48.2693692261289
"sunlight","day 080",48.6873350865217
"sunlight","day 081",49.4381855720836
"sunlight","day 082",50.3164574321041
"sunlight","day 083",50.913880262126
"sunlight","day 084",50.877520981407
"sunlight","day 085",50.2786029578129
"sunlight","day 086",49.2975638591036
"sunlight","day 087",48.1343630354882
"sunlight","day 088",47.0194187508348
"sunlight","day 089",46.1531837131346
"sunlight","day 090",45.5889646809535
"sunlight","day 091",45.3020056689503
"sunlight","day 092",45.1024456655805
"sunlight","day 093",44.8177946210519
"sunlight","day 094",44.5101513587852
