"dimension","time","value"
"sunlight","day 001",31.4285698884533
"sunlight","day 002",31.5031594627061
"sunlight","day 003",31.6091595693712
"sunlight","day 004",31.7900309683253
"sunlight","day 005",32.0784939207814
"sunlight","day 006",32.4587686154637
"sunlight","day 007",32.9116812284902
"sunlight","day 008",33.4529819580407
"sunlight","day 009",34.0916406242806
"sunlight","day 010",34.774581513255
"sunlight","day 011",35.4460790786644
"sunlight","day 012",36.1018539789517
"sunlight","day 013",36.7499979605313
"sunlight","day 014",37.3966409169617
"sunlight","day 015",38.0486471957947
"sunlight","day 016",38.717780813411
"sunlight","day 017",39.4171969971791
"sunlight","day 018",40.16071614959
"sunlight","day 019",40.9576872843059
"sunlight","day 020",41.7989086845509
"sunlight","day 021",42.6580713146252
"sunlight","day 022",43.458987593571
"sunlight","day 023",44.1161810595478
"sunlight","day 024",44.568045522391
"sunlight","day 025",44.800744547167
"sunlight","day 026",44.8350084068635
"sunlight","day 027",44.7852452063547
"sunlight","day 028",44.775736245865
"sunlight","day 029",44.8765777751341
"sunlight","day 030",45.1264217782998
"sunlight","day 031",45.4923282275758
"sunlight","day 032",45.9128643539792
"sunlight","day 033",46.2842184356647
"sunlight","day 034",46.498145443044
"sunlight","day 035",46.4710460684212
"sunlight","day 036",46.1532540605356
"sunlight","day 037",45.6061896719767
"sunlight","day 038",44.97184851716
"sunlight","day 039",44.6034411539533
"sunlight","day 040",44.8133191381993
"sunlight","day 041",45.5391830741858
"sunlight","day 042",46.6375968229669
"sunlight","day 043",48.0152282242147
"sunlight","day 044",49.472345395355
"sunlight","day 045",50.4874959876507
"sunlight","day 046",51.0362315412382
"sunlight","day 047",51.2212073759678
"sunlight","day 048",51.0375643247715
"sunlight","day 049",50.4737636521131
"sunlight","day 050",49.5990628355017
"sunlight","day 051",48.4832522279334
"sunlight","day 052",47.1174574713078
"sunlight","day 053",45.5398033507139
"sunlight","day 054",44.0550759350959
"sunlight","day 055",42.9737834869797
"sunlight","day 056",42.3626617593633
"sunlight","day 057",42.1922113130089
"sunlight","day 058",42.2917644492623
"sunlight","day 059",42.4963577283117
"sunlight","day 060",42.8050130051312
"sunlight","day 061",43.2401973906738
"sunlight","day 062",43.7541737250237
"sunlight","day 063",44.2832246012835
"sunlight","day 064",44.7699158954982
"sunlight","day 065",45.1761424248264
"sunlight","day 066",45.5317393846877
"sunlight","day 067",45.8719316778716
"sunlight","day 068",46.2067171683071
"sunlight","day 069",46.4575539774884
"sunlight","day 070",46.5462575410281
"sunlight","day 071",46.484612293448
"sunlight","day 072",46.3280545706569
"sunlight","day 073",46.2166593152036
"sunlight","day 074",46.2781572419827
"sunlight","day 075",46.5062635486332
"sunlight","day 076",46.8557016478418
"sunlight","day 077",47.2592433297417
"sunlight","day 078",47.647999846592
"sunlight","day 079",47.9683919217101
"sunlight","day 080",48.1963428164254
"sunlight","day 081",48.4104764730583
"sunlight","day 082",48.7023899762939
"sunlight","day 083",49.1128722992851
"sunlight","day 084",49.6613701321658
"sunlight","day 085",50.3327691445267
"sunlight","day 086",51.1194721303056
"sunlight","day 087",52.0484694774294
"sunlight","day 088",53.0427412575312
"sunlight","day 089",53.9902278937552
"sunlight","day 090",54.758878911066
"sunlight","day 091",55.1667656505371
"sunlight","day 092",54.8524376158564
"sunlight","day 093",53.7318934275103
"sunlight","day 094",53.0104500105655
"sunlight","day 095",53.7700476592048
"sunlight","day 096",55.309801839497
"sunlight","day 097",56.6549910162205
"sunlight","day 098",57.5183704771083
"sunlight","day 099",57.8297385700701
"sunlight","day 100",57.69958906077
"sunlight","day 101",57.2653880961195
"sunlight","day 102",56.5917959302659
"sunlight","day 103",55.7554337034309
"sunlight","day 104",54.9535719928967
"sunlight","day 105",54.3789553887265
"sunlight","day 106",54.0855750950455
"sunlight","day 107",54.0547439198487
"sunlight","day 108",54.1403500184004
"sunlight","day 109",54.2564336797368
"sunlight","day 110",54.3466889338284
"sunlight","day 111",54.3752825909632
"sunlight","day 112",54.3338604106508
"sunlight","day 113",54.3035111689683
"sunlight","day 114",54.3665344150529
"sunlight","day 115",54.5206297737152
"sunlight","day 116",54.7326345745324
"sunlight","day 117",54.9305368904737
"sunlight","day 118",55.0610681613257
"sunlight","day 119",55.1847825507536
"sunlight","day 120",55.3693631347206
"sunlight","day 121",55.5971859145049
"sunlight","day 122",55.8325011699411
"sunlight","day 123",56.0523633697757
"sunlight","day 124",56.2523992935835
"sunlight","day 125",56.4897207753404
