"dimension","time","value"
"sunlight","day 001",53.636219114704
"sunlight","day 002",51.9200190277002
"sunlight","day 003",50.5465325902181
"sunlight","day 004",49.5937390434247
"sunlight","day 005",49.0647157801334
"sunlight","day 006",48.9245319314007
"sunlight","day 007",49.1192974883509
"sunlight","day 008",49.5572941441357
"sunlight","day 009",50.1459065101439
"sunlight","day 010",50.8267591686852
"sunlight","day 011",51.553832390623
"sunlight","day 012",52.2962892301137
"sunlight","day 013",53.0284826920917
"sunlight","day 014",53.7303428013101
"sunlight","day 015",54.3721503672226
"sunlight","day 016",54.880012318266
"sunlight","day 017",55.1733043174466
"sunlight","day 018",55.1886508470657
"sunlight","day 019",54.8789480537825
"sunlight","day 020",54.2449299223927
"sunlight","day 021",53.28651055857
"sunlight","day 022",51.9524867133621
"sunlight","day 023",50.210611620504
"sunlight","day 024",48.2109311895723
"sunlight","day 025",46.3566247133519
"sunlight","day 026",45.289072485388
"sunlight","day 027",46.3810612404014
"sunlight","day 028",50.3466606547983
"sunlight","day 029",54.5336657305515
"sunlight","day 030",56.2988684446392
"sunlight","day 031",56.4013233484946
"sunlight","day 032",56.3316558667174
"sunlight","day 033",57.1045123421158
"sunlight","day 034",59.256917156646
"sunlight","day 035",61.8913859306475
"sunlight","day 036",64.0138057188388
"sunlight","day 037",65.678058075071
"sunlight","day 038",67.1662828469817
"sunlight","day 039",68.6256585582213
"sunlight","day 040",70.12778836265
"sunlight","day 041",71.5769352589539
"sunlight","day 042",72.8274350601224
"sunlight","day 043",73.7012549915323
"sunlight","day 044",74.0358468643678
"sunlight","day 045",73.7747985330702
"sunlight","day 046",72.9325910344563
"sunlight","day 047",71.5529284864079
"sunlight","day 048",69.7490908814016
"sunlight","day 049",67.6327742060966
"sunlight","day 050",65.2397625492873
"sunlight","day 051",62.6084152141664
"sunlight","day 052",59.8633042593826
"sunlight","day 053",57.1460675461233
"sunlight","day 054",54.5803933902733
"sunlight","day 055",52.2719600877705
"sunlight","day 056",50.2723554000679
"sunlight","day 057",48.6049709305441
"sunlight","day 058",47.2345041847651
"sunlight","day 059",46.1255200822349
"sunlight","day 060",45.3007472960221
"sunlight","day 061",44.7823689733816
"sunlight","day 062",44.5322224047488
"sunlight","day 063",44.4940129590683
"sunlight","day 064",44.5992641761423
"sunlight","day 065",44.79331068925
"sunlight","day 066",45.0797850935985
"sunlight","day 067",45.4426635706694
"sunlight","day 068",45.8490037090704
"sunlight","day 069",46.2347016904048
"sunlight","day 070",46.5441285572289
"sunlight","day 071",46.7867162029161
"sunlight","day 072",46.9844638562489
"sunlight","day 073",47.1445792368283
"sunlight","day 074",47.265912742176
"sunlight","day 075",47.3286769906766
"sunlight","day 076",47.3142269032402
"sunlight","day 077",47.2271243900161
"sunlight","day 078",47.0907917840433
"sunlight","day 079",46.9808861206829
"sunlight","day 080",46.9671566517955
"sunlight","day 081",47.0434867929198
"sunlight","day 082",47.1869545793766
"sunlight","day 083",47.3832823619367
"sunlight","day 084",47.6077282541595
"sunlight","day 085",47.7850491053102
"sunlight","day 086",47.8585683012187
"sunlight","day 087",47.8736985875167
"sunlight","day 088",47.81633235946
"sunlight","day 089",47.6668088471256
"sunlight","day 090",47.4739668228912
"sunlight","day 091",47.2917841254296
"sunlight","day 092",47.1262953162952
"sunlight","day 093",46.9728215914941
"sunlight","day 094",46.8317739619582
"sunlight","day 095",46.7010309939924
"sunlight","day 096",46.5632516604691
"sunlight","day 097",46.4003843429752
"sunlight","day 098",46.2067546513859
"sunlight","day 099",45.9866422385451
"sunlight","day 100",45.7717657008803
"sunlight","day 101",45.6014080101216
"sunlight","day 102",45.5176706956267
"sunlight","day 103",45.5358358082389
"sunlight","day 104",45.5610889271172
