"dimension","time","value"
"sunlight","day 001",66.5274588368413
"sunlight","day 002",66.0736237326564
"sunlight","day 003",65.6289526083663
"sunlight","day 004",65.2009380991701
"sunlight","day 005",64.7942151416613
"sunlight","day 006",64.4060466185028
"sunlight","day 007",64.0343243442751
"sunlight","day 008",63.6868279151589
"sunlight","day 009",63.3714353057654
"sunlight","day 010",63.0865302228254
"sunlight","day 011",62.8278058046526
"sunlight","day 012",62.5896871837721
"sunlight","day 013",62.3657420485651
"sunlight","day 014",62.1473763166248
"sunlight","day 015",61.9254028913041
"sunlight","day 016",61.6904243897818
"sunlight","day 017",61.4354987667826
"sunlight","day 018",61.1637156133865
"sunlight","day 019",60.8806084160231
"sunlight","day 020",60.5914546061632
"sunlight","day 021",60.2994269484022
"sunlight","day 022",59.9995355947922
"sunlight","day 023",59.6852791733
"sunlight","day 024",59.3538455491591
"sunlight","day 025",59.0092426009088
"sunlight","day 026",58.6578161524883
"sunlight","day 027",58.3089729251815
"sunlight","day 028",57.9710906400442
"sunlight","day 029",57.645370119874
"sunlight","day 030",57.3338193410384
"sunlight","day 031",57.0488517924409
"sunlight","day 032",56.8035686613855
"sunlight","day 033",56.603416416242
"sunlight","day 034",56.4504596145921
"sunlight","day 035",56.3408898897974
"sunlight","day 036",56.2703197699829
"sunlight","day 037",56.2379182865462
"sunlight","day 038",56.2428763700597
"sunlight","day 039",56.2809160445235
"sunlight","day 040",56.3456065506497
"sunlight","day 041",56.4253749025699
"sunlight","day 042",56.5088109483164
"sunlight","day 043",56.5902980981019
"sunlight","day 044",56.6627984294618
"sunlight","day 045",56.7116124577357
"sunlight","day 046",56.7344402978235
"sunlight","day 047",56.733685361747
"sunlight","day 048",56.7152949272319
"sunlight","day 049",56.688839769716
"sunlight","day 050",56.6748407897807
"sunlight","day 051",56.6977013288741
"sunlight","day 052",56.7864043667662
"sunlight","day 053",56.9690576215224
"sunlight","day 054",57.265688126067
"sunlight","day 055",57.6489392995281
"sunlight","day 056",57.9100007909893
"sunlight","day 057",57.7524560741678
"sunlight","day 058",56.710917691361
"sunlight","day 059",54.4598780307629
"sunlight","day 060",51.4023197955731
"sunlight","day 061",48.1448746437337
"sunlight","day 062",45.3802797371493
"sunlight","day 063",43.647383898581
"sunlight","day 064",42.7833770902525
"sunlight","day 065",42.503247921507
"sunlight","day 066",42.7128881570806
"sunlight","day 067",43.2836017494669
"sunlight","day 068",44.0698659418054
"sunlight","day 069",44.9466523143157
"sunlight","day 070",45.7804184574808
"sunlight","day 071",46.3830716657592
"sunlight","day 072",46.615237060362
"sunlight","day 073",46.5869613655367
"sunlight","day 074",46.4518844760183
"sunlight","day 075",46.2885973654569
"sunlight","day 076",46.1424620516233
"sunlight","day 077",46.0009736498562
"sunlight","day 078",45.843276904211
"sunlight","day 079",45.6729819760407
"sunlight","day 080",45.4989207599633
"sunlight","day 081",45.3263466663595
"sunlight","day 082",45.1574180727974
"sunlight","day 083",44.9854917098326
"sunlight","day 084",44.8034192057082
"sunlight","day 085",44.6108334264315
"sunlight","day 086",44.4089136142051
"sunlight","day 087",44.1992920632312
"sunlight","day 088",43.9876472743983
"sunlight","day 089",43.7781661978727
"sunlight","day 090",43.5648744410022
"sunlight","day 091",43.3414171448927
"sunlight","day 092",43.110078928502
"sunlight","day 093",42.8763553325484
"sunlight","day 094",42.6499461069386
"sunlight","day 095",42.4418818737793
"sunlight","day 096",42.2643125347879
"sunlight","day 097",42.125772339768
"sunlight","day 098",42.0192136512595
"sunlight","day 099",41.9342401195192
"sunlight","day 100",41.862642432936
"sunlight","day 101",41.7986403055019
"sunlight","day 102",41.7439825154884
"sunlight","day 103",41.7043293096341
"sunlight","day 104",41.6934577442666
"sunlight","day 105",41.7264407517462
"sunlight","day 106",41.8154179589771
"sunlight","day 107",41.9676373312958
"sunlight","day 108",42.1750518793077
"sunlight","day 109",42.4308098227541
"sunlight","day 110",42.7292159728324
"sunlight","day 111",43.0638479622239
"sunlight","day 112",43.4293807298982
"sunlight","day 113",43.8256056184938
"sunlight","day 114",44.2536217713465
"sunlight","day 115",44.7146431309097
"sunlight","day 116",45.2093695165197
"sunlight","day 117",45.7363294559267
"sunlight","day 118",46.2926742752237
"sunlight","day 119",46.8722177854603
"sunlight","day 120",47.4673605853455
"sunlight","day 121",48.0681879392688
"sunlight","day 122",48.6627833912399
"sunlight","day 123",49.2335389380671
"sunlight","day 124",49.7618810976701
"sunlight","day 125",50.231066019612
"sunlight","day 126",50.6253152242942
"sunlight","day 127",50.9308820838245
"sunlight","day 128",51.1324686608049
"sunlight","day 129",51.2087521330893
"sunlight","day 130",51.1451992260322
"sunlight","day 131",50.930233589434
"sunlight","day 132",50.555257750944
"sunlight","day 133",50.0148310948054
"sunlight","day 134",49.3131615537868
"sunlight","day 135",48.4560352893111
"sunlight","day 136",47.4459028288915
"sunlight","day 137",46.2869194257943
"sunlight","day 138",44.9933948702081
"sunlight","day 139",43.5850096119826
"sunlight","day 140",42.0927722026893
"sunlight","day 141",40.547237786146
"sunlight","day 142",38.9658197734326
"sunlight","day 143",37.3614408251001
"sunlight","day 144",35.7422023323227
"sunlight","day 145",34.1152847581968
"sunlight","day 146",32.4890061228832
"sunlight","day 147",30.8711045335132
"sunlight","day 148",29.2658608880327
"sunlight","day 149",27.6747850373453
"sunlight","day 150",26.091759853371
"humidity","day 001",35.0689763866495
"humidity","day 002",34.5073785521677
"humidity","day 003",34.786430015352
"humidity","day 004",35.6678328677092
"humidity","day 005",36.6420390495537
"humidity","day 006",37.446985745981
"humidity","day 007",37.9289369844906
"humidity","day 008",38.1199789174169
"humidity","day 009",38.0916501502809
"humidity","day 010",37.8874769765136
"humidity","day 011",37.5441487996183
"humidity","day 012",37.099019775477
"humidity","day 013",36.5848749857848
"humidity","day 014",36.0155584631115
"humidity","day 015",35.3999032914558
"humidity","day 016",34.7456398096604
"humidity","day 017",34.0648131002482
"humidity","day 018",33.387829965622
"humidity","day 019",32.7461612411801
"humidity","day 020",32.1571721744243
"humidity","day 021",31.6365725647407
"humidity","day 022",31.2075560069481
"humidity","day 023",30.8979491885563
"humidity","day 024",30.7260609006895
"humidity","day 025",30.6306961914278
"humidity","day 026",30.53220576998
"humidity","day 027",30.3593888769466
"humidity","day 028",30.059906507704
"humidity","day 029",29.6484181453403
"humidity","day 030",29.1539315508908
"humidity","day 031",28.5958491094662
"humidity","day 032",27.9894555754497
"humidity","day 033",27.3431705562376
"humidity","day 034",26.670133350824
"humidity","day 035",26.0092271715807
"humidity","day 036",25.4017065048228
"humidity","day 037",24.8725670192623
"humidity","day 038",24.4458809278807
"humidity","day 039",24.158285438342
"humidity","day 040",24.0422704111887
"humidity","day 041",24.1011713237939
"humidity","day 042",24.3509023160068
"humidity","day 043",24.8868465607489
"humidity","day 044",25.6605158669936
"humidity","day 045",26.0526554312353
"humidity","day 046",25.6170233333008
"humidity","day 047",24.1949567225091
"humidity","day 048",22.4413575205976
"humidity","day 049",21.0357639012945
"humidity","day 050",19.9426942738734
"humidity","day 051",18.9923602801588
"humidity","day 052",18.1927662566338
"humidity","day 053",17.5823193291266
"humidity","day 054",17.1432450861851
"humidity","day 055",16.8537320151033
"humidity","day 056",16.7320017354362
"humidity","day 057",16.7986560479198
"humidity","day 058",17.0437843457532
"humidity","day 059",17.4480719112312
"humidity","day 060",17.9850999905678
"humidity","day 061",18.6297461907817
"humidity","day 062",19.3691775981882
"humidity","day 063",20.1966460098876
"humidity","day 064",21.1174525868219
"humidity","day 065",22.1412827121516
"humidity","day 066",23.2768149390136
"humidity","day 067",24.5081222815778
"humidity","day 068",25.8119170236864
"humidity","day 069",27.1614459480951
"humidity","day 070",28.5295832375415
"humidity","day 071",29.8911781757766
"humidity","day 072",31.2214712329923
"humidity","day 073",32.4952925241303
"humidity","day 074",33.6956150299901
"humidity","day 075",34.8383935500535
"humidity","day 076",35.9485613080233
"humidity","day 077",37.0539834058074
"humidity","day 078",38.1714284782514
"humidity","day 079",39.2703474137479
"humidity","day 080",40.309403575269
"humidity","day 081",41.2514279705586
"humidity","day 082",42.0609335873946
"humidity","day 083",42.7049936889207
"humidity","day 084",43.1600499910295
"humidity","day 085",43.4374577452445
"humidity","day 086",43.546276693099
"humidity","day 087",43.4568862439488
"humidity","day 088",43.1503028869079
"humidity","day 089",42.6138006392941
