"dimension","time","value"
"sunlight","day 001",63.3268258345854
"sunlight","day 002",62.6982919076638
"sunlight","day 003",62.0718196411314
"sunlight","day 004",61.4610060456883
"sunlight","day 005",60.8805518958485
"sunlight","day 006",60.3359633422822
"sunlight","day 007",59.8325009989179
"sunlight","day 008",59.3836379565603
"sunlight","day 009",59.0038264963087
"sunlight","day 010",58.7032231835631
"sunlight","day 011",58.4926987161545
"sunlight","day 012",58.3902760373361
"sunlight","day 013",58.4175518609866
"sunlight","day 014",58.6032657380632
"sunlight","day 015",58.9665393590229
"sunlight","day 016",59.4808801352416
"sunlight","day 017",60.0962009159841
"sunlight","day 018",60.7136505811518
"sunlight","day 019",61.2624925966536
"sunlight","day 020",61.8332127417912
"sunlight","day 021",62.5336844201316
"sunlight","day 022",63.3801092189091
"sunlight","day 023",64.3706620946964
"sunlight","day 024",65.5154126472377
"sunlight","day 025",66.7986391976454
"sunlight","day 026",68.1918328575869
"sunlight","day 027",69.6460185030028
"sunlight","day 028",71.1051187340544
"sunlight","day 029",72.5051132835133
"sunlight","day 030",73.7793229452997
"sunlight","day 031",74.8583756253195
"sunlight","day 032",75.6754664704072
"sunlight","day 033",76.1767524791277
"sunlight","day 034",76.3167727551038
"sunlight","day 035",76.0706329704619
"sunlight","day 036",75.425953411978
"sunlight","day 037",74.3998462565226
"sunlight","day 038",73.0243681339433
"sunlight","day 039",71.3618615958999
"sunlight","day 040",69.4835163732819
"sunlight","day 041",67.4656249920845
"sunlight","day 042",65.3839634966084
"sunlight","day 043",63.3071392092696
"sunlight","day 044",61.2969326371515
"sunlight","day 045",59.3942016680863
"sunlight","day 046",57.6316332358189
"sunlight","day 047",56.038897625215
"sunlight","day 048",54.636734844846
"sunlight","day 049",53.4388654085926
"sunlight","day 050",52.4398621278656
"sunlight","day 051",51.6258097350051
"sunlight","day 052",50.967988348541
"sunlight","day 053",50.4365026702871
"sunlight","day 054",50.0115603490062
"sunlight","day 055",49.6740481049496
"sunlight","day 056",49.3974659973751
"sunlight","day 057",49.1546316899445
"sunlight","day 058",48.9230199249281
"sunlight","day 059",48.6840236068826
"sunlight","day 060",48.4300512108994
"sunlight","day 061",48.1592082694983
"sunlight","day 062",47.8813729743769
"sunlight","day 063",47.6073888478618
"sunlight","day 064",47.3401880756185
"sunlight","day 065",47.0865598187986
"sunlight","day 066",46.8686201204041
"sunlight","day 067",46.6822704060602
"sunlight","day 068",46.5151584834183
"sunlight","day 069",46.3539671152628
"sunlight","day 070",46.1836547527101
"sunlight","day 071",45.9832476450714
"sunlight","day 072",45.7362354350661
"sunlight","day 073",45.4498935408528
"sunlight","day 074",45.1356419746613
"sunlight","day 075",44.7976933495681
"sunlight","day 076",44.4402654056382
"sunlight","day 077",44.0748037900444
"sunlight","day 078",43.7127554168201
"sunlight","day 079",43.3583443603323
"sunlight","day 080",43.0157836183409
"sunlight","day 081",42.6964647218418
"sunlight","day 082",42.4118424957099
"sunlight","day 083",42.1664464070981
"sunlight","day 084",41.9620611079103
"sunlight","day 085",41.7964173467764
"sunlight","day 086",41.6654713242145
"sunlight","day 087",41.5616272704868
"sunlight","day 088",41.4744976192327
"sunlight","day 089",41.3946170301392
"sunlight","day 090",41.3182397914138
"sunlight","day 091",41.2413378891001
"sunlight","day 092",41.1530344720661
"sunlight","day 093",41.0425211904871
"sunlight","day 094",40.9061125369414
"sunlight","day 095",40.7401081749635
"sunlight","day 096",40.5336256095084
"sunlight","day 097",40.2757294032459
"sunlight","day 098",39.9624545082849
"sunlight","day 099",39.5900038390598
"sunlight","day 100",39.1482817698688
"sunlight","day 101",38.6265546305408
"sunlight","day 102",38.017835113166
"sunlight","day 103",37.3185788657991
"sunlight","day 104",36.5352669980923
"sunlight","day 105",35.6837687936299
"sunlight","day 106",34.8074807701284
"sunlight","day 107",33.9513341384339
"sunlight","day 108",33.1435491482557
"sunlight","day 109",32.4257089358014
"sunlight","day 110",31.8419087213636
"sunlight","day 111",31.4275820596732
"sunlight","day 112",31.2154773850122
"sunlight","day 113",31.2362643154283
"sunlight","day 114",31.5283826605098
"sunlight","day 115",32.16343181224
"sunlight","day 116",33.1994545631653
"sunlight","day 117",34.6071077256874
"sunlight","day 118",36.2775352470997
"sunlight","day 119",37.871215594407
"sunlight","day 120",39.0801634646806
"sunlight","day 121",39.9532039555473
"sunlight","day 122",40.6074124952604
"sunlight","day 123",41.076055434024
"sunlight","day 124",41.3781475624528
"sunlight","day 125",41.5595065108527
"sunlight","day 126",41.6688055432368
"sunlight","day 127",41.739337618755
"sunlight","day 128",41.8043339269129
"sunlight","day 129",41.9087136866524
"sunlight","day 130",42.0873986360918
"sunlight","day 131",42.370868329121
"sunlight","day 132",42.7856143701103
"sunlight","day 133",43.354181859706
"sunlight","day 134",44.0873178331754
"sunlight","day 135",44.9893126096557
"sunlight","day 136",46.0504277091408
"sunlight","day 137",47.2291882566359
"sunlight","day 138",48.3712025963339
"sunlight","day 139",49.2962858541287
"sunlight","day 140",49.8339970635305
"sunlight","day 141",49.8911027244733
"sunlight","day 142",49.6734552949683
"sunlight","day 143",49.4102469308698
"sunlight","day 144",49.1249426213262
"sunlight","day 145",48.7942750590459
"sunlight","day 146",48.4137749176829
"sunlight","day 147",47.9878725079877
"sunlight","day 148",47.5377987081495
"sunlight","day 149",47.0849836641538
"sunlight","day 150",46.6348540257337
"humidity","day 001",29.026265811042
"humidity","day 002",29.487273010044
"humidity","day 003",29.8871616009732
"humidity","day 004",30.2021027096293
"humidity","day 005",30.3924891831957
"humidity","day 006",30.334810441374
"humidity","day 007",29.8919772227211
"humidity","day 008",28.9564889686929
"humidity","day 009",27.4737101302689
"humidity","day 010",25.5708764936212
"humidity","day 011",23.7607946131608
"humidity","day 012",23.9166827810613
"humidity","day 013",27.3065317764021
"humidity","day 014",31.4170105881252
"humidity","day 015",33.5383613364832
"humidity","day 016",33.9564404571105
"humidity","day 017",33.5464930913697
"humidity","day 018",32.545704888153
"humidity","day 019",31.0782682927654
"humidity","day 020",29.4544624286327
"humidity","day 021",27.9850812379584
"humidity","day 022",26.7968912599355
"humidity","day 023",26.0646765354459
"humidity","day 024",26.1605083181574
"humidity","day 025",26.8352414262647
"humidity","day 026",27.710054027017
"humidity","day 027",28.6026584717975
"humidity","day 028",29.3766346808116
"humidity","day 029",29.8824986654193
"humidity","day 030",30.0276886308263
"humidity","day 031",29.9603954664659
"humidity","day 032",29.8503064867725
"humidity","day 033",29.7123420219583
"humidity","day 034",29.5071497324059
"humidity","day 035",29.1330535834039
"humidity","day 036",28.5213970020643
"humidity","day 037",27.7979249578867
"humidity","day 038",27.1138099166502
"humidity","day 039",26.5275327868631
"humidity","day 040",26.0648987671704
"humidity","day 041",25.7137017740357
"humidity","day 042",25.4447479645522
"humidity","day 043",25.1989037405129
"humidity","day 044",24.9173774718353
"humidity","day 045",24.5690947770989
