"dimension","time","value"
"sunlight","day 001",66.7666343347504
"sunlight","day 002",66.3383409839635
"sunlight","day 003",65.8487948515758
"sunlight","day 004",65.3022382220613
"sunlight","day 005",64.7302520924035
"sunlight","day 006",64.207580108413
"sunlight","day 007",63.7938342431573
"sunlight","day 008",63.444937129906
"sunlight","day 009",63.0881058170756
"sunlight","day 010",62.6394243534693
"sunlight","day 011",62.047282001191
"sunlight","day 012",61.4004218751598
"sunlight","day 013",60.8040971286301
"sunlight","day 014",60.2892472153809
"sunlight","day 015",59.8643327008309
"sunlight","day 016",59.5222122964329
"sunlight","day 017",59.2549701963628
"sunlight","day 018",59.0671943796528
"sunlight","day 019",58.9605644799565
"sunlight","day 020",58.9126229645552
"sunlight","day 021",58.8992794597467
"sunlight","day 022",58.9140493942655
"sunlight","day 023",58.961219012065
"sunlight","day 024",59.0666004182158
"sunlight","day 025",59.2465686931096
"sunlight","day 026",59.5109673015672
"sunlight","day 027",59.8593196354153
"sunlight","day 028",60.2748970179001
"sunlight","day 029",60.6862825709411
"sunlight","day 030",61.0265235860731
"sunlight","day 031",61.3012122346197
"sunlight","day 032",61.5231456524726
"sunlight","day 033",61.6613959540079
"sunlight","day 034",61.6830574313184
"sunlight","day 035",61.5910381088813
"sunlight","day 036",61.39736068486
"sunlight","day 037",61.1146928197795
"sunlight","day 038",60.7547745192121
"sunlight","day 039",60.3249902065565
"sunlight","day 040",59.8318955991861
"sunlight","day 041",59.2830871725453
"sunlight","day 042",58.6942157682386
"sunlight","day 043",58.1121089344411
"sunlight","day 044",57.5778585766033
"sunlight","day 045",57.0893356472455
"sunlight","day 046",56.6744745776652
"sunlight","day 047",56.363664635819
"sunlight","day 048",56.1535211381558
"sunlight","day 049",56.0367775924279
"sunlight","day 050",56.024414223109
"sunlight","day 051",56.1360619142515
"sunlight","day 052",56.4077074715008
"sunlight","day 053",56.8642107612048
"sunlight","day 054",57.4695679709267
"sunlight","day 055",58.1737312432039
"sunlight","day 056",58.9313402192536
"sunlight","day 057",59.7037123242533
"sunlight","day 058",60.4741886205429
"sunlight","day 059",61.221956505453
"sunlight","day 060",61.8875650791154
"sunlight","day 061",62.4123728730533
"sunlight","day 062",62.7796144415537
"sunlight","day 063",62.9813505173376
"sunlight","day 064",63.0030705240996
"sunlight","day 065",62.8457519993205
"sunlight","day 066",62.5682940317919
"sunlight","day 067",62.2043177999051
"sunlight","day 068",61.7649636451213
"sunlight","day 069",61.2138574126253
"sunlight","day 070",60.5151367580835
"sunlight","day 071",59.6825010753629
"sunlight","day 072",58.7507688652136
"sunlight","day 073",57.7896733177164
"sunlight","day 074",56.8675513941075
"sunlight","day 075",56.0122404509135
"sunlight","day 076",55.2389907045986
"sunlight","day 077",54.5532034160862
"sunlight","day 078",53.9543360961862
"sunlight","day 079",53.4279202107964
"sunlight","day 080",52.9539426016497
"sunlight","day 081",52.5041376587342
"sunlight","day 082",52.0526967795253
"sunlight","day 083",51.5918918431942
"sunlight","day 084",51.1164101223464
"sunlight","day 085",50.6125199816274
"sunlight","day 086",50.0658173888135
"sunlight","day 087",49.4667833625551
"sunlight","day 088",48.8039541731929
"sunlight","day 089",48.0684860083062
"sunlight","day 090",47.2653918028568
"sunlight","day 091",46.403446080593
"sunlight","day 092",45.4926129730248
"sunlight","day 093",44.5430491273678
"sunlight","day 094",43.5644916458962
"sunlight","day 095",42.5821466544864
"sunlight","day 096",41.683515918364
"sunlight","day 097",40.9796453525938
"sunlight","day 098",40.6134618322501
"sunlight","day 099",40.7103039852141
"sunlight","day 100",41.2932764905844
"sunlight","day 101",42.2744299104234
"sunlight","day 102",43.2238322874303
"sunlight","day 103",43.7392621740734
"sunlight","day 104",43.8713226812621
"sunlight","day 105",43.7571268892375
"sunlight","day 106",43.4270031971276
"sunlight","day 107",42.8941740465433
"sunlight","day 108",42.2077355190911
"sunlight","day 109",41.4164250649468
"sunlight","day 110",40.5680668996302
"sunlight","day 111",39.7167811442305
"sunlight","day 112",38.9107717181424
"sunlight","day 113",38.1682818284141
"sunlight","day 114",37.4960182780598
"sunlight","day 115",36.8845029663047
"sunlight","day 116",36.3242652040318
"sunlight","day 117",35.8220488525449
"sunlight","day 118",35.3883880772947
"sunlight","day 119",35.0327637098987
"sunlight","day 120",34.761778666641
"sunlight","day 121",34.571577536305
"sunlight","day 122",34.4569703725839
"sunlight","day 123",34.4178874163128
"sunlight","day 124",34.4560287145156
"sunlight","day 125",34.5750533518299
"sunlight","day 126",34.7772002224076
"sunlight","day 127",35.0570684208429
"sunlight","day 128",35.3935671577547
"sunlight","day 129",35.7172060695687
"sunlight","day 130",35.9715955072171
"sunlight","day 131",36.0997714648838
"sunlight","day 132",36.0155918611649
"sunlight","day 133",35.6259466332841
"sunlight","day 134",34.8390318685606
"sunlight","day 135",33.6511588634457
"sunlight","day 136",32.4097936008219
"sunlight","day 137",31.4686675255411
"sunlight","day 138",30.8554192439011
"sunlight","day 139",30.5084973733293
"sunlight","day 140",30.335683414325
"sunlight","day 141",30.243654607748
"sunlight","day 142",30.165338272828
"sunlight","day 143",30.0549717733879
"sunlight","day 144",29.9257825732528
"sunlight","day 145",29.8052847264944
"sunlight","day 146",29.7191485481692
"sunlight","day 147",29.6854025862458
"sunlight","day 148",29.6933520593574
"sunlight","day 149",29.7256388583343
"sunlight","day 150",29.7669748921308
"humidity","day 001",31.6618205698834
"humidity","day 002",31.0801304180926
"humidity","day 003",30.4965162432461
"humidity","day 004",29.9171635689704
"humidity","day 005",29.3528101213559
"humidity","day 006",28.8226808946698
"humidity","day 007",28.3433560306695
"humidity","day 008",27.9123489928951
"humidity","day 009",27.5218656284163
"humidity","day 010",27.1619479966407
"humidity","day 011",26.8232648757476
"humidity","day 012",26.5011557066663
"humidity","day 013",26.1970359530394
"humidity","day 014",25.9319545066145
"humidity","day 015",25.7292392828382
"humidity","day 016",25.6017008638494
"humidity","day 017",25.5564172581272
"humidity","day 018",25.5880535128198
"humidity","day 019",25.6889337903111
"humidity","day 020",25.8544316752588
"humidity","day 021",26.0850212466612
"humidity","day 022",26.3985291386051
"humidity","day 023",26.8164825320725
"humidity","day 024",27.3450521638069
"humidity","day 025",27.9385468717561
"humidity","day 026",28.5373454844415
"humidity","day 027",29.0773310995957
"humidity","day 028",29.4970531683441
"humidity","day 029",29.7502222861706
"humidity","day 030",29.7971045652301
"humidity","day 031",29.6090270400035
"humidity","day 032",29.1844408519626
"humidity","day 033",28.6192326482187
"humidity","day 034",28.0581090734857
"humidity","day 035",27.7436212572504
"humidity","day 036",27.9415988627116
"humidity","day 037",28.9131412031448
"humidity","day 038",30.82708000159
"humidity","day 039",33.4879069700702
"humidity","day 040",36.6203227383956
"humidity","day 041",39.9942036185417
"humidity","day 042",43.4064992006766
"humidity","day 043",46.7172765055743
"humidity","day 044",49.7904335750312
"humidity","day 045",52.446131542731
"humidity","day 046",54.508808959337
"humidity","day 047",55.82318486041
"humidity","day 048",56.2988744674924
"humidity","day 049",55.8873078635127
"humidity","day 050",54.6422783909643
"humidity","day 051",52.6626365927789
"humidity","day 052",50.1250985540801
"humidity","day 053",47.2272393523886
"humidity","day 054",44.1722044926238
"humidity","day 055",41.1510401028201
"humidity","day 056",38.3008243760761
"humidity","day 057",35.731882418639
"humidity","day 058",33.5014949242874
"humidity","day 059",31.6422022008676
"humidity","day 060",30.1406274249663
"humidity","day 061",28.9640359999929
"humidity","day 062",28.0481793679094
"humidity","day 063",27.323761912988
"humidity","day 064",26.73281375019
"humidity","day 065",26.2265772367037
"humidity","day 066",25.7803465101198
"humidity","day 067",25.3699106863118
"humidity","day 068",24.9706097693405
"humidity","day 069",24.5618731472898
"humidity","day 070",24.1316146124991
"humidity","day 071",23.6975961903083
"humidity","day 072",23.2834698423147
"humidity","day 073",22.9065990421464
"humidity","day 074",22.5779858262796
"humidity","day 075",22.2894749705514
"humidity","day 076",22.0272875467779
"humidity","day 077",21.7743070713306
"humidity","day 078",21.516678334681
"humidity","day 079",21.2569287791469
"humidity","day 080",21.0042176504027
"humidity","day 081",20.7778487557011
"humidity","day 082",20.5947384594657
"humidity","day 083",20.452108793225
"humidity","day 084",20.3420462284147
"humidity","day 085",20.2557893289953
"humidity","day 086",20.1847973082112
"humidity","day 087",20.127275020551
"humidity","day 088",20.1019204931905
"humidity","day 089",20.1291103887125
"humidity","day 090",20.2158753647918
"humidity","day 091",20.3619184299033
"humidity","day 092",20.5509780006297
"humidity","day 093",20.7629808860121
"humidity","day 094",20.9785720568172
"humidity","day 095",21.181676268403
"humidity","day 096",21.3686192527687
"humidity","day 097",21.541485019502
"humidity","day 098",21.7129897119042
"humidity","day 099",21.8936088817301
"humidity","day 100",22.0742235808354
"humidity","day 101",22.240022839872
"humidity","day 102",22.3730221045767
"humidity","day 103",22.4573984441494
"humidity","day 104",22.4891490065576
"humidity","day 105",22.4697642901231
"humidity","day 106",22.4108881158169
"humidity","day 107",22.3220182671717
"humidity","day 108",22.1934324557432
"humidity","day 109",22.0087936266933
"humidity","day 110",21.751558540369
"humidity","day 111",21.4062896161514
"humidity","day 112",20.9627408826601
"humidity","day 113",20.4303271464329
"humidity","day 114",19.8242453996496
"humidity","day 115",19.1631605991413
"humidity","day 116",18.4636486623685
"humidity","day 117",17.7304613846614
"humidity","day 118",16.9662141231923
"humidity","day 119",16.1768006046334
"humidity","day 120",15.3737293485837
"humidity","day 121",14.5876896768475
"humidity","day 122",13.8520556440865
"humidity","day 123",13.1917594341859
"humidity","day 124",12.62475614127
"humidity","day 125",12.1495343711982
"humidity","day 126",11.7585363272927
"humidity","day 127",11.4394850909911
"humidity","day 128",11.1800617375171
"humidity","day 129",10.9769381507405
"humidity","day 130",10.8456828352592
"humidity","day 131",10.8037505576924
"humidity","day 132",10.8583822862727
"humidity","day 133",11.0109944921836
"humidity","day 134",11.2499194568004
"humidity","day 135",11.5616486462632
"humidity","day 136",11.9383944555805
"humidity","day 137",12.3750938615426
"humidity","day 138",12.8718612391985
"humidity","day 139",13.4240521147701
"humidity","day 140",14.0028092209113
"humidity","day 141",14.5709282639018
"humidity","day 142",15.0820296380922
"humidity","day 143",15.4879065941661
"humidity","day 144",15.7422191200654
"humidity","day 145",15.8039239694578
"humidity","day 146",15.6512982216567
"humidity","day 147",15.2809556252524
"humidity","day 148",14.7435362802992
"humidity","day 149",14.1009438883101
"humidity","day 150",13.4061102051696
