"dimension","time","value"
"sunlight","day 001",58.8385158879176
"sunlight","day 002",59.1398001679659
"sunlight","day 003",59.4430916703522
"sunlight","day 004",59.748297981439
"sunlight","day 005",60.0576171933307
"sunlight","day 006",60.3814800457158
"sunlight","day 007",60.7276393066098
"sunlight","day 008",61.0849032097559
"sunlight","day 009",61.4444321245939
"sunlight","day 010",61.8257394976242
"sunlight","day 011",62.2537923508594
"sunlight","day 012",62.7470189313011
"sunlight","day 013",63.3174815136334
"sunlight","day 014",63.9583172582812
"sunlight","day 015",64.6542845385535
"sunlight","day 016",65.3755516935542
"sunlight","day 017",66.089759693732
"sunlight","day 018",66.7690300691193
"sunlight","day 019",67.3777934958143
"sunlight","day 020",67.8452366745955
"sunlight","day 021",68.1007624371821
"sunlight","day 022",68.1098821143787
"sunlight","day 023",67.8604295666644
"sunlight","day 024",67.3940580361973
"sunlight","day 025",66.7682672182952
"sunlight","day 026",66.0404732638479
"sunlight","day 027",65.2652070977772
"sunlight","day 028",64.5064224719964
"sunlight","day 029",63.8686496723553
"sunlight","day 030",63.4204386171084
"sunlight","day 031",63.0458412201934
"sunlight","day 032",62.5646988528569
"sunlight","day 033",61.7245087198976
"sunlight","day 034",60.3322724331111
"sunlight","day 035",58.505353398731
"sunlight","day 036",56.4685970989127
"sunlight","day 037",54.5664155250632
"sunlight","day 038",53.1018587827048
"sunlight","day 039",52.0929629245719
"sunlight","day 040",51.4812983197403
"sunlight","day 041",51.1875866554413
"sunlight","day 042",51.1351117917748
"sunlight","day 043",51.2782549621611
"sunlight","day 044",51.578948447917
"sunlight","day 045",51.9988737224095
"sunlight","day 046",52.502058458704
"sunlight","day 047",53.0490879602106
"sunlight","day 048",53.5842085565855
"sunlight","day 049",54.0474558359139
"sunlight","day 050",54.378361393752
"sunlight","day 051",54.5280725259916
"sunlight","day 052",54.4947033223953
"sunlight","day 053",54.2933138107802
"sunlight","day 054",53.9597809773097
"sunlight","day 055",53.5311438108328
"sunlight","day 056",53.0282723525924
"sunlight","day 057",52.4692202139898
"sunlight","day 058",51.8769442346659
"sunlight","day 059",51.2760281653484
"sunlight","day 060",50.6926601728749
"sunlight","day 061",50.1502893618242
"sunlight","day 062",49.6598041716302
"sunlight","day 063",49.2272178022722
"sunlight","day 064",48.8516031610581
"sunlight","day 065",48.5325094915214
"sunlight","day 066",48.2769201790043
"sunlight","day 067",48.0883840351769
"sunlight","day 068",47.9676953325155
"sunlight","day 069",47.9102761697902
"sunlight","day 070",47.9102273092191
"sunlight","day 071",47.9617363405209
"sunlight","day 072",48.0585019505507
"sunlight","day 073",48.19218038721
"sunlight","day 074",48.3595508317435
