"dimension","time","value"
"sunlight","day 001",61.6984211568984
"sunlight","day 002",61.8962734337712
"sunlight","day 003",62.0316475351299
"sunlight","day 004",62.1379904793437
"sunlight","day 005",62.2625611631974
"sunlight","day 006",62.413821497694
"sunlight","day 007",62.5904822881543
"sunlight","day 008",62.791046902952
"sunlight","day 009",63.0028971048317
"sunlight","day 010",63.169135670967
"sunlight","day 011",63.238564280341
"sunlight","day 012",63.2270592047439
"sunlight","day 013",63.169983685894
"sunlight","day 014",63.1135742524152
"sunlight","day 015",63.0987638030305
"sunlight","day 016",63.1343974299541
"sunlight","day 017",63.2218896741885
"sunlight","day 018",63.365020678397
"sunlight","day 019",63.5460884162149
"sunlight","day 020",63.659096583504
"sunlight","day 021",63.5907144061336
"sunlight","day 022",63.2865675077776
"sunlight","day 023",62.7278163375961
"sunlight","day 024",61.9718284795917
"sunlight","day 025",61.0688641666083
"sunlight","day 026",60.063606792724
"sunlight","day 027",59.0063354741498
"sunlight","day 028",57.9412304699284
"sunlight","day 029",56.8824808882981
"sunlight","day 030",55.8392678174012
"sunlight","day 031",54.8307314157991
"sunlight","day 032",53.87997091136
"sunlight","day 033",53.0159627387593
"sunlight","day 034",52.2646722199902
"sunlight","day 035",51.6341430195097
"sunlight","day 036",51.1319295995874
"sunlight","day 037",50.7815512712788
"sunlight","day 038",50.6144862982008
"sunlight","day 039",50.6780839054292
"sunlight","day 040",51.0190134440808
"sunlight","day 041",51.6653538079788
"sunlight","day 042",52.557602819272
"sunlight","day 043",53.3045244707078
"sunlight","day 044",53.537822166151
"sunlight","day 045",53.3021722588586
"sunlight","day 046",52.7060498726378
"sunlight","day 047",51.8517041874108
"sunlight","day 048",50.8585547054787
"sunlight","day 049",49.8633001297744
"sunlight","day 050",49.0545856433815
"sunlight","day 051",48.6107056333464
"sunlight","day 052",48.6166048224184
"sunlight","day 053",49.1058303623892
"sunlight","day 054",49.999688785518
"sunlight","day 055",51.1933589488414
"sunlight","day 056",52.5897496280399
"sunlight","day 057",54.0920143554632
"sunlight","day 058",55.5965557714948
"sunlight","day 059",57.0034544119895
"sunlight","day 060",58.2342532866561
"sunlight","day 061",59.2345890155583
"sunlight","day 062",60.0250101863266
"sunlight","day 063",60.6335085619253
"sunlight","day 064",61.0429366390868
"sunlight","day 065",61.2392648549201
"sunlight","day 066",61.2577712594116
"sunlight","day 067",61.1149230000353
"sunlight","day 068",60.8157528180206
"sunlight","day 069",60.3527694890637
"sunlight","day 070",59.7170591003183
"sunlight","day 071",58.9065409502974
"sunlight","day 072",57.9237057199084
"sunlight","day 073",56.782496408275
"sunlight","day 074",55.5066203338827
"sunlight","day 075",54.1473897744466
