"dimension","time","value"
"sunlight","day 001",51.1872083427112
"sunlight","day 002",50.5372433734867
"sunlight","day 003",49.8562704424804
"sunlight","day 004",49.0716829364273
"sunlight","day 005",48.1305490524093
"sunlight","day 006",47.0975087609775
"sunlight","day 007",46.0494608199405
"sunlight","day 008",44.9947673626663
"sunlight","day 009",43.9096001045749
"sunlight","day 010",42.709905713735
"sunlight","day 011",41.3312577423148
"sunlight","day 012",39.8479623262336
"sunlight","day 013",38.383957479164
"sunlight","day 014",37.1229761420418
"sunlight","day 015",36.2154559102643
"sunlight","day 016",35.6188580698136
"sunlight","day 017",35.2443321228091
"sunlight","day 018",35.010756745335
"sunlight","day 019",34.8506288079181
"sunlight","day 020",34.743188784891
"sunlight","day 021",34.6883080375681
"sunlight","day 022",34.721637871386
"sunlight","day 023",34.8617967093095
"sunlight","day 024",35.047205982411
"sunlight","day 025",35.2851671817249
"sunlight","day 026",35.5949983590039
"sunlight","day 027",35.9492258804073
"sunlight","day 028",36.3017892483816
"sunlight","day 029",36.5790721961133
"sunlight","day 030",36.7234280251929
"sunlight","day 031",36.768644080087
"sunlight","day 032",36.768962323851
"sunlight","day 033",36.7690091510186
"sunlight","day 034",36.8135844892117
"sunlight","day 035",36.9577979669274
"sunlight","day 036",37.2632591742729
"sunlight","day 037",37.8072678469193
"sunlight","day 038",38.6423825227849
"sunlight","day 039",39.7065068032105
"sunlight","day 040",40.9094174873266
"sunlight","day 041",42.1630391019993
"sunlight","day 042",43.413498588943
"sunlight","day 043",44.7415848215306
"sunlight","day 044",46.2502211412203
"sunlight","day 045",47.9783965864516
"sunlight","day 046",49.8823282060297
"sunlight","day 047",51.8677325305768
"sunlight","day 048",53.7095649927865
"sunlight","day 049",55.2128240670219
"sunlight","day 050",56.4334414922527
"sunlight","day 051",57.4693952443572
"sunlight","day 052",58.3359149822443
"sunlight","day 053",59.0077514320456
"sunlight","day 054",59.380487905753
"sunlight","day 055",59.3428300926595
"sunlight","day 056",58.8351406054034
"sunlight","day 057",57.8413145743578
"sunlight","day 058",56.4677202774921
"sunlight","day 059",54.8743696736855
"sunlight","day 060",53.313376297862
"sunlight","day 061",52.0208668155762
"sunlight","day 062",51.0769188388606
"sunlight","day 063",50.4916045108465
"sunlight","day 064",50.1510231525824
"sunlight","day 065",49.9243745329507
"sunlight","day 066",49.7441339691797
"sunlight","day 067",49.5844741715646
"sunlight","day 068",49.4168116803946
"sunlight","day 069",49.1739346162226
"sunlight","day 070",48.809120890525
"sunlight","day 071",48.3962359982079
"sunlight","day 072",48.024500655319
"sunlight","day 073",47.7239688790407
"sunlight","day 074",47.520185127828
"sunlight","day 075",47.4798223240889
"sunlight","day 076",47.6701669099819
"sunlight","day 077",48.1198309427147
"sunlight","day 078",48.8058948169325
"sunlight","day 079",49.5379866619817
"sunlight","day 080",50.1361751602171
"sunlight","day 081",50.6297434713252
"sunlight","day 082",51.1056450255391
"sunlight","day 083",51.6722998579459
"sunlight","day 084",52.4059099476489
"sunlight","day 085",53.2323384449607
"sunlight","day 086",54.0726797262499
"sunlight","day 087",54.9614316332717
"sunlight","day 088",55.8944668705317
"sunlight","day 089",56.8418111912832
"sunlight","day 090",57.741543614275
"sunlight","day 091",58.5688285167981
"sunlight","day 092",59.4791184448183
"sunlight","day 093",60.5929412201702
"sunlight","day 094",61.7108375994886
"sunlight","day 095",62.5949674884384
"sunlight","day 096",63.1739544540045
"sunlight","day 097",63.4123577315595
"sunlight","day 098",63.2520155687045
"sunlight","day 099",62.6709205373318
"sunlight","day 100",61.8144034942692
"sunlight","day 101",60.8399952870958
"sunlight","day 102",59.7866884414625
"sunlight","day 103",58.6552649760114
"sunlight","day 104",57.412203203278
"sunlight","day 105",56.036958546781
"sunlight","day 106",54.5951985800774
"sunlight","day 107",53.1913770124536
"sunlight","day 108",51.9701713181696
"sunlight","day 109",50.978657558078
"sunlight","day 110",50.2188810795566
"sunlight","day 111",49.6275988877099
"sunlight","day 112",49.1363223898621
"sunlight","day 113",48.7208689444905
"sunlight","day 114",48.3810293024187
"sunlight","day 115",48.1681818327023
"sunlight","day 116",48.1729344643758
"sunlight","day 117",48.5912257481572
"sunlight","day 118",49.5863685064538
"sunlight","day 119",51.085842026747
"sunlight","day 120",52.877420269964
"sunlight","day 121",54.4258894257411
"sunlight","day 122",55.2633464538126
"sunlight","day 123",55.5141191655949
"sunlight","day 124",55.419546674292
"sunlight","day 125",55.0967824485756
"sunlight","day 126",54.627848689593
"sunlight","day 127",54.0784281729288
"sunlight","day 128",53.5275753010135
"sunlight","day 129",53.1027362097568
"sunlight","day 130",52.8630767204275
"sunlight","day 131",52.8442227166602
"sunlight","day 132",53.0733771294303
"sunlight","day 133",53.5743282006013
"sunlight","day 134",54.3656283682493
"sunlight","day 135",55.4196136574301
"sunlight","day 136",56.5289902449075
"sunlight","day 137",57.4719668107442
"sunlight","day 138",58.1483918964918
"sunlight","day 139",58.5085586741551
"sunlight","day 140",58.5828989760612
