"dimension","time","value"
"sunlight","day 001",67.5464754314204
"sunlight","day 002",66.8208700654647
"sunlight","day 003",66.2645621033615
"sunlight","day 004",65.9376898604741
"sunlight","day 005",65.8486053766854
"sunlight","day 006",65.9272933237011
"sunlight","day 007",66.0924739886935
"sunlight","day 008",66.29617748888
"sunlight","day 009",66.5057249007746
"sunlight","day 010",66.7162913080355
"sunlight","day 011",66.9247278978175
"sunlight","day 012",67.1067362641206
"sunlight","day 013",67.2368101147879
"sunlight","day 014",67.3057612061904
"sunlight","day 015",67.3144353781804
"sunlight","day 016",67.2874967560075
"sunlight","day 017",67.2535106300368
"sunlight","day 018",67.2328286656978
"sunlight","day 019",67.2377479097461
"sunlight","day 020",67.2565605591784
"sunlight","day 021",67.2690128692039
"sunlight","day 022",67.2446721776425
"sunlight","day 023",67.1522896119661
"sunlight","day 024",66.9643631246492
"sunlight","day 025",66.6424501831799
"sunlight","day 026",66.1550133198299
"sunlight","day 027",65.5108043299942
"sunlight","day 028",64.7338579093084
"sunlight","day 029",63.8690510912485
"sunlight","day 030",62.9638261990966
"sunlight","day 031",62.0550443775199
"sunlight","day 032",61.1657619217051
"sunlight","day 033",60.2743969075318
"sunlight","day 034",59.3793735128869
"sunlight","day 035",58.6037785429927
"sunlight","day 036",58.0638473829879
"sunlight","day 037",57.723747110342
"sunlight","day 038",57.5183783321868
"sunlight","day 039",57.4176440819751
"sunlight","day 040",57.401006229916
"sunlight","day 041",57.4511595669233
"sunlight","day 042",57.5484570084656
"sunlight","day 043",57.6606510475255
"sunlight","day 044",57.7586298120893
"sunlight","day 045",57.8335907367569
"sunlight","day 046",57.8636823731964
"sunlight","day 047",57.8272271381337
"sunlight","day 048",57.7225775320836
"sunlight","day 049",57.5499879663687
"sunlight","day 050",57.297290411754
"sunlight","day 051",56.9510557637304
"sunlight","day 052",56.5052330572496
"sunlight","day 053",55.9570637452099
"sunlight","day 054",55.3095808128369
"sunlight","day 055",54.5774658524156
"sunlight","day 056",53.8162033521404
"sunlight","day 057",53.0823853111379
"sunlight","day 058",52.3962308763511
"sunlight","day 059",51.7802618651843
"sunlight","day 060",51.302583629069
"sunlight","day 061",51.0113864730077
"sunlight","day 062",50.8296169822589
"sunlight","day 063",50.6603129633645
"sunlight","day 064",50.4521208277437
"sunlight","day 065",50.1775499458902
"sunlight","day 066",49.8549621748715
"sunlight","day 067",49.4992172002269
"sunlight","day 068",49.1249449102102
"sunlight","day 069",48.7618189833178
"sunlight","day 070",48.4371255396181
"sunlight","day 071",48.1535566752263
"sunlight","day 072",47.9089420705014
"sunlight","day 073",47.7062557667307
"sunlight","day 074",47.5470888055424
"sunlight","day 075",47.4223558689989
"sunlight","day 076",47.3190088874541
"sunlight","day 077",47.218825143992
"sunlight","day 078",47.1034796110973
