"dimension","time","value"
"sunlight","day 001",45.4957418731184
"sunlight","day 002",45.1064303970515
"sunlight","day 003",44.7550075120484
"sunlight","day 004",44.5257832808346
"sunlight","day 005",44.47876674535
"sunlight","day 006",44.5369562076224
"sunlight","day 007",44.6009414216959
"sunlight","day 008",44.6186886895909
"sunlight","day 009",44.5675167522486
"sunlight","day 010",44.4947775583156
"sunlight","day 011",44.4514330148741
"sunlight","day 012",44.4328516550429
"sunlight","day 013",44.4194316506931
"sunlight","day 014",44.3872831026664
"sunlight","day 015",44.3248118811168
"sunlight","day 016",44.273895004473
"sunlight","day 017",44.2747943814176
"sunlight","day 018",44.3078403333707
"sunlight","day 019",44.3767221828444
"sunlight","day 020",44.6384968439823
"sunlight","day 021",45.2396389187389
"sunlight","day 022",46.1309261686827
"sunlight","day 023",47.2164290652649
"sunlight","day 024",48.4142410008853
"sunlight","day 025",49.6652932520561
"sunlight","day 026",50.916038344358
"sunlight","day 027",52.1143928355123
"sunlight","day 028",53.218540071205
"sunlight","day 029",54.2262665168416
"sunlight","day 030",55.1526720538827
"sunlight","day 031",56.0425071082914
"sunlight","day 032",56.9414999109947
"sunlight","day 033",57.8696393682717
"sunlight","day 034",58.8214545780799
"sunlight","day 035",59.7153747297343
"sunlight","day 036",60.4556429077766
"sunlight","day 037",60.9658576862949
"sunlight","day 038",61.2115988919056
"sunlight","day 039",61.307015871791
"sunlight","day 040",61.3677022437166
"sunlight","day 041",61.3664591872141
"sunlight","day 042",61.2485631567885
"sunlight","day 043",60.9919841450691
"sunlight","day 044",60.6140967608756
"sunlight","day 045",60.2235161614815
"sunlight","day 046",59.8253512230931
"sunlight","day 047",59.3806786294027
"sunlight","day 048",58.8091838067722
"sunlight","day 049",58.0386202351649
"sunlight","day 050",57.0704048662777
"sunlight","day 051",55.958526733112
"sunlight","day 052",54.8935997221528
"sunlight","day 053",54.0631874177723
"sunlight","day 054",53.5060273424079
"sunlight","day 055",53.1945870957814
"sunlight","day 056",52.9850806486849
"sunlight","day 057",52.6823733086922
"sunlight","day 058",52.0021893594323
"sunlight","day 059",50.8553206558128
"sunlight","day 060",50.0219703618015
"sunlight","day 061",50.2046332514664
"sunlight","day 062",50.9255592302179
"sunlight","day 063",51.5783122187261
"sunlight","day 064",52.221957067359
"sunlight","day 065",53.0320921785608
"sunlight","day 066",53.9984473814228
"sunlight","day 067",55.1149034168478
"sunlight","day 068",56.3762345887008
"sunlight","day 069",57.726796860535
"sunlight","day 070",59.0986459257663
"sunlight","day 071",60.4250547375737
"sunlight","day 072",61.678256529503
"sunlight","day 073",62.985108396804
"sunlight","day 074",64.4384243072553
