"dimension","time","value"
"sunlight","day 001",33.1719137097936
"sunlight","day 002",33.3135746481516
"sunlight","day 003",33.4139095304059
"sunlight","day 004",33.4932585847624
"sunlight","day 005",33.589415324185
"sunlight","day 006",33.7368591303072
"sunlight","day 007",33.9654330269804
"sunlight","day 008",34.2897487382567
"sunlight","day 009",34.7228392827898
"sunlight","day 010",35.2866541574394
"sunlight","day 011",36.0082034870192
"sunlight","day 012",36.9258234299533
"sunlight","day 013",38.0668845950455
"sunlight","day 014",39.4035693590081
"sunlight","day 015",40.8762710078483
"sunlight","day 016",42.3534146968441
"sunlight","day 017",43.6919912991392
"sunlight","day 018",44.7752226900685
"sunlight","day 019",45.4867991373408
"sunlight","day 020",45.6860534759665
"sunlight","day 021",45.2938054448992
"sunlight","day 022",44.501179831564
"sunlight","day 023",43.6410916196867
"sunlight","day 024",43.1876998653235
"sunlight","day 025",43.0669309010992
"sunlight","day 026",43.0803928042749
"sunlight","day 027",43.1548672882706
"sunlight","day 028",43.2646506007033
"sunlight","day 029",43.4489234898204
"sunlight","day 030",43.7455559956104
"sunlight","day 031",44.1222908243974
"sunlight","day 032",44.5285112504802
"sunlight","day 033",44.9102901537219
"sunlight","day 034",45.2255484058025
"sunlight","day 035",45.482909240106
"sunlight","day 036",45.7060875181546
"sunlight","day 037",45.9284622523187
"sunlight","day 038",46.1718663574372
"sunlight","day 039",46.402284207376
"sunlight","day 040",46.5782154671715
"sunlight","day 041",46.6840695075158
"sunlight","day 042",46.7186730267591
"sunlight","day 043",46.7126123282264
"sunlight","day 044",46.69103055847
"sunlight","day 045",46.6386468084471
"sunlight","day 046",46.5792298169861
"sunlight","day 047",46.5454866646344
"sunlight","day 048",46.55344509293
"sunlight","day 049",46.6117950208126
"sunlight","day 050",46.7165544158396
"sunlight","day 051",46.8512736675226
"sunlight","day 052",46.9623048045736
"sunlight","day 053",46.9916385328299
"sunlight","day 054",46.9010186274318
"sunlight","day 055",46.6743485022488
"sunlight","day 056",46.3644170567645
"sunlight","day 057",46.0317938226179
"sunlight","day 058",45.6992853744541
"sunlight","day 059",45.3791331565515
"sunlight","day 060",45.0790810487141
"sunlight","day 061",44.8050572537155
"sunlight","day 062",44.5602248306812
"sunlight","day 063",44.3503439216633
"sunlight","day 064",44.1943281440667
"sunlight","day 065",44.1088121423168
"sunlight","day 066",44.0856297766824
"sunlight","day 067",44.1009218980669
"sunlight","day 068",44.1283581474901
"sunlight","day 069",44.1418489939878
"sunlight","day 070",44.1214188742103
"sunlight","day 071",44.0713072672527
"sunlight","day 072",44.0067791233942
