"dimension","time","value"
"sunlight","day 001",67.1966269774661
"sunlight","day 002",66.9947949965561
"sunlight","day 003",66.7970118990267
"sunlight","day 004",66.6067612723595
"sunlight","day 005",66.4250740829191
"sunlight","day 006",66.2460391116069
"sunlight","day 007",66.0637279489528
"sunlight","day 008",65.879085609466
"sunlight","day 009",65.6929781205342
"sunlight","day 010",65.4990821370813
"sunlight","day 011",65.2910569401224
"sunlight","day 012",65.0696816875026
"sunlight","day 013",64.8357681046755
"sunlight","day 014",64.583138310699
"sunlight","day 015",64.306543886949
"sunlight","day 016",64.0114438704695
"sunlight","day 017",63.7060963289418
"sunlight","day 018",63.3992479969303
"sunlight","day 019",63.0972194663909
"sunlight","day 020",62.796138091963
"sunlight","day 021",62.4909040199498
"sunlight","day 022",62.1817018006268
"sunlight","day 023",61.8692618812136
"sunlight","day 024",61.5509202176357
"sunlight","day 025",61.2220628613707
"sunlight","day 026",60.8799835006982
"sunlight","day 027",60.5307810715018
"sunlight","day 028",60.1829071704841
"sunlight","day 029",59.8454187900169
"sunlight","day 030",59.5250142972501
"sunlight","day 031",59.2183521627754
"sunlight","day 032",58.9212864881985
"sunlight","day 033",58.6364937957395
"sunlight","day 034",58.3665639481336
"sunlight","day 035",58.1069177495627
"sunlight","day 036",57.8529684672251
"sunlight","day 037",57.6072682789391
"sunlight","day 038",57.3723744487431
"sunlight","day 039",57.1437256749376
"sunlight","day 040",56.9169738751724
"sunlight","day 041",56.6957424102326
"sunlight","day 042",56.4855512886827
"sunlight","day 043",56.2915356670695
"sunlight","day 044",56.1192808337381
"sunlight","day 045",55.9724007068904
"sunlight","day 046",55.8384285521122
"sunlight","day 047",55.7029503874292
"sunlight","day 048",55.5603902380442
"sunlight","day 049",55.4058471070846
"sunlight","day 050",55.2282819021958
"sunlight","day 051",55.016727094265
"sunlight","day 052",54.7666395026285
"sunlight","day 053",54.4753988817749
"sunlight","day 054",54.1416523783536
"sunlight","day 055",53.7674843123637
"sunlight","day 056",53.3674603050433
"sunlight","day 057",52.962206545762
"sunlight","day 058",52.5841101951766
"sunlight","day 059",52.2659820298744
"sunlight","day 060",52.0305663188781
"sunlight","day 061",51.8960625395812
"sunlight","day 062",51.8725575104262
"sunlight","day 063",51.9646106086581
"sunlight","day 064",52.1627841056823
"sunlight","day 065",52.4513644642941
"sunlight","day 066",52.8062012560659
"sunlight","day 067",53.2110444699361
"sunlight","day 068",53.6509506821191
"sunlight","day 069",54.1055258684159
"sunlight","day 070",54.5530412928858
"sunlight","day 071",54.9718799730354
"sunlight","day 072",55.351026258597
"sunlight","day 073",55.7217580747595
"sunlight","day 074",56.1210588746466
"sunlight","day 075",56.566440647663
"sunlight","day 076",57.0846110082709
"sunlight","day 077",57.758531534881
"sunlight","day 078",58.6175941890409
"sunlight","day 079",59.4206585008963
"sunlight","day 080",59.8884440394749
"sunlight","day 081",59.8596429607331
"sunlight","day 082",59.2901936241407
"sunlight","day 083",58.4870466162922
"sunlight","day 084",57.770080169998
"sunlight","day 085",57.1598708758059
"sunlight","day 086",56.6104552227641
"sunlight","day 087",56.1092962223974
"sunlight","day 088",55.6532833401516
"sunlight","day 089",55.2401528109017
"sunlight","day 090",54.869886802383
"sunlight","day 091",54.5408607185051
"sunlight","day 092",54.2427769750146
"sunlight","day 093",53.9618524636897
"sunlight","day 094",53.6790349685985
"sunlight","day 095",53.3737223096526
"sunlight","day 096",53.024381557847
"sunlight","day 097",52.6098593470297
"sunlight","day 098",52.1114513113775
"sunlight","day 099",51.512202018486
"sunlight","day 100",50.7997027692966
"sunlight","day 101",49.9607714768348
"sunlight","day 102",48.9745857691168
"sunlight","day 103",47.8180069177564
"sunlight","day 104",46.4662710537667
"sunlight","day 105",44.8902583195637
"sunlight","day 106",43.0450500437765
"sunlight","day 107",40.92337595565
"sunlight","day 108",38.7154358372421
"sunlight","day 109",36.777338120918
"sunlight","day 110",35.4065577226677
"sunlight","day 111",34.5417249467341
"sunlight","day 112",34.0512600414061
"sunlight","day 113",33.8815876429031
"sunlight","day 114",33.9957610622305
"sunlight","day 115",34.3453439216068
"sunlight","day 116",34.8720008092864
"sunlight","day 117",35.4892898664558
"sunlight","day 118",36.098924357209
"sunlight","day 119",36.5833444843385
"sunlight","day 120",36.8202481873391
"sunlight","day 121",36.6876374138146
"sunlight","day 122",36.1078891782511
"sunlight","day 123",35.1805767545526
"sunlight","day 124",34.0532161129351
"sunlight","day 125",32.8878977494437
"sunlight","day 126",31.834537321665
"sunlight","day 127",30.9797766075238
"sunlight","day 128",30.3683505816085
"sunlight","day 129",29.9521914602177
"sunlight","day 130",29.703345427807
"sunlight","day 131",29.6024020425789
"sunlight","day 132",29.6179220561452
"sunlight","day 133",29.7178040722056
"sunlight","day 134",29.8793269093994
"sunlight","day 135",30.0824107666529
"sunlight","day 136",30.3081611490993
"sunlight","day 137",30.537871778309
"sunlight","day 138",30.752403935394
"sunlight","day 139",30.9298247022737
"sunlight","day 140",31.0374568045548
"sunlight","day 141",31.0455018691942
"sunlight","day 142",30.9464214848631
"sunlight","day 143",30.7402778743306
"sunlight","day 144",30.4352758350429
"sunlight","day 145",30.0426891370931
"sunlight","day 146",29.5779248664834
"sunlight","day 147",29.0557344063026
"sunlight","day 148",28.4841130120746
"sunlight","day 149",27.872346901561
"sunlight","day 150",27.2416422690394
"humidity","day 001",15.5080219591791
"humidity","day 002",16.9755901331832
"humidity","day 003",18.3074436145701
"humidity","day 004",19.4199331581377
"humidity","day 005",20.2649092179383
"humidity","day 006",20.8863751996208
"humidity","day 007",21.349940330372
"humidity","day 008",21.715484171934
"humidity","day 009",22.010797780314
"humidity","day 010",22.1410478540262
"humidity","day 011",22.022899692018
"humidity","day 012",21.741637352463
"humidity","day 013",21.4103910337133
"humidity","day 014",21.0850567356106
"humidity","day 015",20.7921118218122
"humidity","day 016",20.497593309751
"humidity","day 017",20.1637364561584
"humidity","day 018",19.7980098211839
"humidity","day 019",19.4334846813188
"humidity","day 020",19.1604098750009
"humidity","day 021",19.0607870888195
"humidity","day 022",19.1264518400221
"humidity","day 023",19.3199998222002
"humidity","day 024",19.5748789214493
"humidity","day 025",19.8084200136934
"humidity","day 026",19.9513050955307
"humidity","day 027",19.9970393751071
"humidity","day 028",19.9690363656031
"humidity","day 029",19.9475195887897
"humidity","day 030",19.9999726323065
"humidity","day 031",20.0861093386762
"humidity","day 032",20.1467699237055
"humidity","day 033",20.1550698414524
"humidity","day 034",20.0973066677277
"humidity","day 035",19.9802312271011
"humidity","day 036",19.8323888474162
"humidity","day 037",19.7490496208532
"humidity","day 038",19.8262302811158
"humidity","day 039",20.0962093636662
"humidity","day 040",20.5452495360119
"humidity","day 041",21.0392881920834
"humidity","day 042",21.4252109977662
"humidity","day 043",21.5940219803452
"humidity","day 044",21.5149697122273
"humidity","day 045",21.3917407185184
"humidity","day 046",21.3575490135303
"humidity","day 047",21.4815471522297
"humidity","day 048",21.7143293177702
"humidity","day 049",21.9816257016771
"humidity","day 050",22.2282689007761
"humidity","day 051",22.4138161203795
"humidity","day 052",22.537620594446
"humidity","day 053",22.6153288819885
"humidity","day 054",22.6879648135892
"humidity","day 055",22.7845014768823
"humidity","day 056",22.8603317161388
"humidity","day 057",22.8599411055393
"humidity","day 058",22.7577663822661
"humidity","day 059",22.5631724168263
"humidity","day 060",22.3952854500246
"humidity","day 061",22.3773320133061
"humidity","day 062",22.53917843038
"humidity","day 063",22.8920491052857
"humidity","day 064",23.4659609711188
"humidity","day 065",24.2463365350784
"humidity","day 066",25.0442863868177
"humidity","day 067",25.7130618182263
"humidity","day 068",26.145627720919
"humidity","day 069",26.3023701250157
"humidity","day 070",26.1849632065118
"humidity","day 071",25.8928125864028
"humidity","day 072",25.5596548093857
"humidity","day 073",25.3588186699647
"humidity","day 074",25.4455992973424
"humidity","day 075",25.8635649097097
"humidity","day 076",26.6216383768267
"humidity","day 077",27.701888085742
"humidity","day 078",29.0483093019901
"humidity","day 079",30.4794592877599
"humidity","day 080",31.8044336724
"humidity","day 081",32.9199195572423
"humidity","day 082",33.7989927780961
"humidity","day 083",34.6326926366966
"humidity","day 084",35.5457052665634
"humidity","day 085",36.1793406624261
"humidity","day 086",36.4740245678376
"humidity","day 087",37.5210213967006
"humidity","day 088",38.7155534915046
"humidity","day 089",39.2923764411378
"humidity","day 090",39.9603806750193
"humidity","day 091",41.2885150784198
"humidity","day 092",41.8118275194879
"humidity","day 093",40.1762225832043
"humidity","day 094",37.5049327390003
"humidity","day 095",35.2002481636975
"humidity","day 096",33.3033619792282
"humidity","day 097",31.5801816329628
"humidity","day 098",30.0565689289121
"humidity","day 099",28.792808225197
"humidity","day 100",27.7269197397394
"humidity","day 101",26.7943772069906
"humidity","day 102",26.0427325677206
"humidity","day 103",25.5368675724164
"humidity","day 104",25.2989050041135
"humidity","day 105",25.325280282759
"humidity","day 106",25.5524383433967
"humidity","day 107",25.9056615176697
"humidity","day 108",26.3251426574949
"humidity","day 109",26.7531914284981
"humidity","day 110",27.1287417002617
"humidity","day 111",27.3789423623107
"humidity","day 112",27.4481622725157
"humidity","day 113",27.3614351421856
"humidity","day 114",27.1624486136895
"humidity","day 115",26.8888412001982
"humidity","day 116",26.5759178869889
"humidity","day 117",26.2556986769615
"humidity","day 118",25.9651448146579
"humidity","day 119",25.7642674935643
"humidity","day 120",25.6978843294257
"humidity","day 121",25.7269886780771
"humidity","day 122",25.7796533942488
"humidity","day 123",25.7360935881621
"humidity","day 124",25.5014363057844
"humidity","day 125",25.1283140805752
"humidity","day 126",24.7183876495423
"humidity","day 127",24.4219250763931
"humidity","day 128",24.3788607279133
"humidity","day 129",24.6142789817084
"humidity","day 130",25.0311471876067
"humidity","day 131",25.50457173105
"humidity","day 132",25.8978466391127
"humidity","day 133",26.105908958631
"humidity","day 134",26.1620801738571
"humidity","day 135",26.1253141841388
"humidity","day 136",26.0187101117913
"humidity","day 137",25.8659695935396
"humidity","day 138",25.729059100781
"humidity","day 139",25.675475429347
"humidity","day 140",25.7565718381346
"humidity","day 141",25.9785479782963
"humidity","day 142",26.1831326069409
"humidity","day 143",26.1878580077694
"humidity","day 144",25.8779414648965
"humidity","day 145",25.1885519409371
"humidity","day 146",24.1869801120933
"humidity","day 147",22.9753913521393
"humidity","day 148",21.6633281115485
"humidity","day 149",20.3448406806729
"humidity","day 150",19.0446336326772
