"dimension","time","value"
"sunlight","day 001",62.9252622803314
"sunlight","day 002",62.7043865991938
"sunlight","day 003",62.5032593987769
"sunlight","day 004",62.3295960039348
"sunlight","day 005",62.1860632919833
"sunlight","day 006",62.0693115195357
"sunlight","day 007",61.9803931203944
"sunlight","day 008",61.9439858578209
"sunlight","day 009",61.9742658991273
"sunlight","day 010",62.0197776983687
"sunlight","day 011",62.0202911289487
"sunlight","day 012",61.9461094549221
"sunlight","day 013",61.782670799872
"sunlight","day 014",61.5454193348424
"sunlight","day 015",61.2563376630279
"sunlight","day 016",60.9335560687654
"sunlight","day 017",60.5965520064931
"sunlight","day 018",60.2740439299107
"sunlight","day 019",59.9977284980916
"sunlight","day 020",59.8019741923401
"sunlight","day 021",59.7112636237313
"sunlight","day 022",59.7078641001929
"sunlight","day 023",59.764299480194
"sunlight","day 024",59.8596544817297
"sunlight","day 025",59.9871016159734
"sunlight","day 026",60.1529185782594
"sunlight","day 027",60.4025263837183
"sunlight","day 028",60.7739072890154
"sunlight","day 029",61.2361451971587
"sunlight","day 030",61.7372017349021
"sunlight","day 031",62.2094477776403
"sunlight","day 032",62.5901394046201
"sunlight","day 033",62.8516642618559
"sunlight","day 034",62.9798198631331
"sunlight","day 035",62.9789116265521
"sunlight","day 036",62.8613506245219
"sunlight","day 037",62.6534626423701
"sunlight","day 038",62.3794108334358
"sunlight","day 039",62.0407931101849
"sunlight","day 040",61.6487579607872
"sunlight","day 041",61.2752214171014
"sunlight","day 042",60.9949495344806
"sunlight","day 043",60.8333409185657
"sunlight","day 044",60.797801581767
"sunlight","day 045",60.8741871555253
"sunlight","day 046",61.046912709445
"sunlight","day 047",61.2957024825116
"sunlight","day 048",61.5773072222696
"sunlight","day 049",61.8543109350071
"sunlight","day 050",62.1356041534297
"sunlight","day 051",62.4315166292491
"sunlight","day 052",62.711828463787
"sunlight","day 053",62.9352481885735
"sunlight","day 054",63.0567477063645
"sunlight","day 055",63.0400800073919
"sunlight","day 056",62.8878590605639
"sunlight","day 057",62.6172933820318
"sunlight","day 058",62.2651086982418
"sunlight","day 059",61.8714246520338
"sunlight","day 060",61.470419341526
"sunlight","day 061",61.081912599216
"sunlight","day 062",60.6742327398414
"sunlight","day 063",60.213976043779
"sunlight","day 064",59.7123021717227
"sunlight","day 065",59.1839000090535
"sunlight","day 066",58.6198693800212
"sunlight","day 067",58.0311281702354
"sunlight","day 068",57.4348343988812
"sunlight","day 069",56.845676937693
"sunlight","day 070",56.274208606412
"sunlight","day 071",55.7169071642554
"sunlight","day 072",55.1673971906238
"sunlight","day 073",54.6219656061761
"sunlight","day 074",54.0764668740711
"sunlight","day 075",53.5223632862088
"sunlight","day 076",52.9507349536919
"sunlight","day 077",52.3555254356923
"sunlight","day 078",51.729691288504
"sunlight","day 079",51.0593776088418
"sunlight","day 080",50.3298957092451
"sunlight","day 081",49.5300332251317
"sunlight","day 082",48.6504078370833
"sunlight","day 083",47.6854810834575
"sunlight","day 084",46.6322934118269
"sunlight","day 085",45.4943570488488
"sunlight","day 086",44.2674519250284
"sunlight","day 087",42.9305669173564
"sunlight","day 088",41.535780302616
