"dimension","time","value"
"sunlight","day 001",31.8640862534959
"sunlight","day 002",32.1046677952453
"sunlight","day 003",32.3498712539971
"sunlight","day 004",32.591933604377
"sunlight","day 005",32.8222068402564
"sunlight","day 006",33.0430385171498
"sunlight","day 007",33.2586239002359
"sunlight","day 008",33.4695535317042
"sunlight","day 009",33.6733482155092
"sunlight","day 010",33.8588545256542
"sunlight","day 011",34.0171560458834
"sunlight","day 012",34.1569586288553
"sunlight","day 013",34.2882997928722
"sunlight","day 014",34.4089214498969
"sunlight","day 015",34.5176046263924
"sunlight","day 016",34.6295824131617
"sunlight","day 017",34.7609108120824
"sunlight","day 018",34.9144854049885
"sunlight","day 019",35.0871784357052
"sunlight","day 020",35.2649292160643
"sunlight","day 021",35.4341137439277
"sunlight","day 022",35.593787693272
"sunlight","day 023",35.7492811150628
"sunlight","day 024",35.9153608506556
"sunlight","day 025",36.0979740335591
"sunlight","day 026",36.3028424354043
"sunlight","day 027",36.5467105461187
"sunlight","day 028",36.8429503726706
"sunlight","day 029",37.1804212718938
"sunlight","day 030",37.5451920371196
"sunlight","day 031",37.9366818578034
"sunlight","day 032",38.353748100098
"sunlight","day 033",38.7796504408226
"sunlight","day 034",39.1925839152236
"sunlight","day 035",39.5660826815893
"sunlight","day 036",39.8799814808163
"sunlight","day 037",40.1439782611922
"sunlight","day 038",40.3722032443253
"sunlight","day 039",40.5666525377151
"sunlight","day 040",40.7202365265933
"sunlight","day 041",40.8016568212283
"sunlight","day 042",40.7855767075663
"sunlight","day 043",40.6947149492284
"sunlight","day 044",40.5674050121301
"sunlight","day 045",40.4506978844906
"sunlight","day 046",40.372502150608
"sunlight","day 047",40.3488625125852
"sunlight","day 048",40.3711113805419
"sunlight","day 049",40.4304956904271
"sunlight","day 050",40.5426327734909
"sunlight","day 051",40.7256389703272
"sunlight","day 052",40.983256263606
"sunlight","day 053",41.3159549335651
"sunlight","day 054",41.7254928086402
"sunlight","day 055",42.2068084514775
"sunlight","day 056",42.7262758133672
"sunlight","day 057",43.2421747833698
"sunlight","day 058",43.7089736129841
"sunlight","day 059",44.1031681552277
"sunlight","day 060",44.4931763067576
"sunlight","day 061",44.956641790117
"sunlight","day 062",45.5161895877557
"sunlight","day 063",46.1791228122493
"sunlight","day 064",46.9464758367706
"sunlight","day 065",47.8102033694009
"sunlight","day 066",48.7385536879831
"sunlight","day 067",49.7176365530166
"sunlight","day 068",50.7375402866213
"sunlight","day 069",51.7788934945021
"sunlight","day 070",52.8106231946325
"sunlight","day 071",53.7643097704765
"sunlight","day 072",54.5771699798548
"sunlight","day 073",55.2463127125256
"sunlight","day 074",55.7792514572195
"sunlight","day 075",56.1652259666188
"sunlight","day 076",56.3945939121147
"sunlight","day 077",56.4804583759815
"sunlight","day 078",56.441995115857
"sunlight","day 079",56.2999251799516
"sunlight","day 080",56.0744143211669
"sunlight","day 081",55.7818618205974
"sunlight","day 082",55.4378133543518
"sunlight","day 083",55.0581666504043
"sunlight","day 084",54.6604744383267
"sunlight","day 085",54.2685574022175
"sunlight","day 086",53.9065206787758
"sunlight","day 087",53.5957612616142
"sunlight","day 088",53.36608161246
"sunlight","day 089",53.2431659914328
"sunlight","day 090",53.2265378480757
"sunlight","day 091",53.3085629326749
"sunlight","day 092",53.4791370090687
"sunlight","day 093",53.723617910699
"sunlight","day 094",54.0116817358723
"sunlight","day 095",54.3143814495476
"sunlight","day 096",54.6239592184293
"sunlight","day 097",54.9338808490602
"sunlight","day 098",55.2213175055916
"sunlight","day 099",55.4674654655055
"sunlight","day 100",55.6859161019987
"sunlight","day 101",55.9019090532055
"sunlight","day 102",56.1548819212962
"sunlight","day 103",56.4800677471546
"sunlight","day 104",56.8816833624836
"sunlight","day 105",57.3499649774891
"sunlight","day 106",57.8502425255693
"sunlight","day 107",58.3414977550894
"sunlight","day 108",58.7911295090725
"sunlight","day 109",59.2020292466437
"sunlight","day 110",59.5846613398838
"sunlight","day 111",59.9441675807608
"sunlight","day 112",60.2785852559518
"sunlight","day 113",60.562856211082
"sunlight","day 114",60.7779428347619
"sunlight","day 115",60.9519851285959
"sunlight","day 116",61.1133234470984
"sunlight","day 117",61.2439219434293
"sunlight","day 118",61.3180702697416
"sunlight","day 119",61.3257362755145
"sunlight","day 120",61.2692884465666
"sunlight","day 121",61.1850196167473
"sunlight","day 122",61.1101293314487
"sunlight","day 123",61.051519634201
"sunlight","day 124",61.0070014199954
"sunlight","day 125",60.9683184915285
"sunlight","day 126",60.9328753734984
"sunlight","day 127",60.9267865709045
"sunlight","day 128",60.9844281672177
"sunlight","day 129",61.1422294700618
"sunlight","day 130",61.4285714327281
"sunlight","day 131",61.8608739677307
"sunlight","day 132",62.4218452622053
"sunlight","day 133",63.0904700920207
"sunlight","day 134",63.8655513133576
"sunlight","day 135",64.7819921408966
"sunlight","day 136",65.9992791430082
"sunlight","day 137",67.4991441715757
"sunlight","day 138",68.4277168588449
"sunlight","day 139",68.1144863575072
"sunlight","day 140",67.4579821216745
"sunlight","day 141",67.430352750058
"sunlight","day 142",67.7291831183445
"sunlight","day 143",67.8464718982494
"sunlight","day 144",67.7264366686271
"sunlight","day 145",67.3785595581987
"sunlight","day 146",66.6211619880133
"sunlight","day 147",65.3018153524889
"sunlight","day 148",63.5762516471897
"sunlight","day 149",61.8067071945354
"sunlight","day 150",60.8732750232216
"humidity","day 001",4.28149549378966
"humidity","day 002",2.02303615128534
"humidity","day 003",0.544028532509806
"humidity","day 004",-0.0871745694217552
"humidity","day 005",0.0206367552472102
"humidity","day 006",0.759663742589488
"humidity","day 007",2.0262236791022
"humidity","day 008",3.73210672666293
"humidity","day 009",5.76804844170238
"humidity","day 010",7.92509308348296
"humidity","day 011",9.94105117631588
"humidity","day 012",11.4404896018762
"humidity","day 013",12.0265577373867
"humidity","day 014",11.3299785848972
"humidity","day 015",9.38764606267694
"humidity","day 016",7.83356412904542
"humidity","day 017",8.11819055901263
"humidity","day 018",9.36068835430022
"humidity","day 019",10.3537181691088
"humidity","day 020",10.9152260408429
"humidity","day 021",11.1215159817799
"humidity","day 022",11.0570385204857
"humidity","day 023",10.8038185188999
"humidity","day 024",10.4314515428894
"humidity","day 025",10.0267504095041
"humidity","day 026",9.67943301889572
"humidity","day 027",9.46915805674084
"humidity","day 028",9.48160794095563
"humidity","day 029",9.83661923288986
"humidity","day 030",10.6442388795346
"humidity","day 031",11.9412012270124
"humidity","day 032",13.6802535854601
"humidity","day 033",15.5515077219387
"humidity","day 034",17.2775574275482
"humidity","day 035",18.97356013262
"humidity","day 036",20.822135457925
"humidity","day 037",22.8831881467602
"humidity","day 038",25.1771320211519
"humidity","day 039",27.6891320955157
"humidity","day 040",30.3742191746645
"humidity","day 041",33.1021360326101
"humidity","day 042",35.7119473215735
"humidity","day 043",38.0052932374164
"humidity","day 044",39.781393217746
"humidity","day 045",40.8808171466218
"humidity","day 046",41.205506356375
"humidity","day 047",40.6992250911677
"humidity","day 048",39.4185931500521
"humidity","day 049",37.4671550466786
"humidity","day 050",35.0232985982006
"humidity","day 051",32.2845268502473
"humidity","day 052",29.4499604588472
"humidity","day 053",26.7060729123063
"humidity","day 054",24.1871314176423
"humidity","day 055",22.0013315405107
"humidity","day 056",20.2047885624074
"humidity","day 057",18.8289327739134
"humidity","day 058",17.85853478611
"humidity","day 059",17.2587858925934
"humidity","day 060",16.9632197965165
"humidity","day 061",16.9006579916233
"humidity","day 062",17.0127307244654
"humidity","day 063",17.2481752549671
"humidity","day 064",17.5713481437362
"humidity","day 065",17.9489114799234
"humidity","day 066",18.3473237474589
"humidity","day 067",18.7562184588108
"humidity","day 068",19.1707976928161
"humidity","day 069",19.5837634686191
"humidity","day 070",19.9895835109429
"humidity","day 071",20.3922884265171
"humidity","day 072",20.7964415921871
"humidity","day 073",21.1991745832549
"humidity","day 074",21.5974333830311
"humidity","day 075",21.9948534084028
"humidity","day 076",22.3948095503775
"humidity","day 077",22.7929451628675
"humidity","day 078",23.184009377716
"humidity","day 079",23.5669059755854
"humidity","day 080",23.939823844388
"humidity","day 081",24.293937652216
"humidity","day 082",24.6201927094333
"humidity","day 083",24.9156311153114
"humidity","day 084",25.1784185466351
"humidity","day 085",25.4051182013347
"humidity","day 086",25.5941821256269
"humidity","day 087",25.7533183495647
"humidity","day 088",25.8929168185494
"humidity","day 089",26.0222268461401
"humidity","day 090",26.1455427711789
"humidity","day 091",26.267546650904
"humidity","day 092",26.3994263908561
"humidity","day 093",26.5515458909588
"humidity","day 094",26.7244671803643
"humidity","day 095",26.9162927575426
"humidity","day 096",27.1250888690039
"humidity","day 097",27.3513975885977
"humidity","day 098",27.6057005514912
"humidity","day 099",27.8971115866104
"humidity","day 100",28.2193337365993
"humidity","day 101",28.5638786742683
"humidity","day 102",28.9289033793738
"humidity","day 103",29.3123926734874
"humidity","day 104",29.7049974384953
"humidity","day 105",30.0968755936388
"humidity","day 106",30.4835471472634
"humidity","day 107",30.8614854198882
"humidity","day 108",31.2245077533858
"humidity","day 109",31.5616157265826
"humidity","day 110",31.8633565143155
"humidity","day 111",32.1308882284053
"humidity","day 112",32.3674106809662
"humidity","day 113",32.5736795482994
"humidity","day 114",32.7514232807865
"humidity","day 115",32.9087055609434
"humidity","day 116",33.0534987554385
"humidity","day 117",33.1870747354153
"humidity","day 118",33.3109540848646
"humidity","day 119",33.4343527346885
"humidity","day 120",33.566720851398
"humidity","day 121",33.7107501970262
"humidity","day 122",33.8692103009594
"humidity","day 123",34.051940166476
"humidity","day 124",34.26797985571
"humidity","day 125",34.5161041923287
"humidity","day 126",34.792833438845
"humidity","day 127",35.0959348516223
"humidity","day 128",35.4248745435413
"humidity","day 129",35.7852667895673
"humidity","day 130",36.1865118921915
"humidity","day 131",36.6371538885705
"humidity","day 132",37.13991283505
"humidity","day 133",37.6919875065283
"humidity","day 134",38.2743155329235
"humidity","day 135",38.8618978667284
"humidity","day 136",39.4222498957138
"humidity","day 137",39.9227815905443
"humidity","day 138",40.3379668181794
"humidity","day 139",40.6421738818831
"humidity","day 140",40.8022849338412
"humidity","day 141",40.8010720935676
"humidity","day 142",40.692353500967
"humidity","day 143",40.5456883864875
"humidity","day 144",40.42255432236
"humidity","day 145",40.3841133790907
"humidity","day 146",40.4983472785049
"humidity","day 147",40.8124258959756
"humidity","day 148",41.2834520697493
"humidity","day 149",41.8494407877439
"humidity","day 150",42.4621226736874
