"dimension","time","value"
"sunlight","day 001",67.9038081396604
"sunlight","day 002",67.8294029751899
"sunlight","day 003",67.7550694795242
"sunlight","day 004",67.6803144976126
"sunlight","day 005",67.6021894936719
"sunlight","day 006",67.5107886872007
"sunlight","day 007",67.3962007880655
"sunlight","day 008",67.2554497123242
"sunlight","day 009",67.0854379756617
"sunlight","day 010",66.87564728608
"sunlight","day 011",66.6156993387737
"sunlight","day 012",66.30319658539
"sunlight","day 013",65.9351886837471
"sunlight","day 014",65.4985333598932
"sunlight","day 015",64.9839468309658
"sunlight","day 016",64.4077712102287
"sunlight","day 017",63.7961032842418
"sunlight","day 018",63.1884326366214
"sunlight","day 019",62.6257536361347
"sunlight","day 020",62.1416869950957
"sunlight","day 021",61.7624223993524
"sunlight","day 022",61.4917990853427
"sunlight","day 023",61.315368391614
"sunlight","day 024",61.1760993428009
"sunlight","day 025",61.0371359909609
"sunlight","day 026",60.8752284521145
"sunlight","day 027",60.6886757851729
"sunlight","day 028",60.4806672089224
"sunlight","day 029",60.2524036387589
"sunlight","day 030",60.0022420960316
"sunlight","day 031",59.7191523292922
"sunlight","day 032",59.3913932980915
"sunlight","day 033",59.0137680787749
"sunlight","day 034",58.5880281503446
"sunlight","day 035",58.1371744856371
"sunlight","day 036",57.6913257359877
"sunlight","day 037",57.2878217728914
"sunlight","day 038",56.9642014008175
"sunlight","day 039",56.7515779359737
"sunlight","day 040",56.668777691184
"sunlight","day 041",56.6919044539998
"sunlight","day 042",56.7869092667254
"sunlight","day 043",56.9218547159495
"sunlight","day 044",57.065222015626
"sunlight","day 045",57.1943616318963
"sunlight","day 046",57.3237399202345
"sunlight","day 047",57.4801635812045
"sunlight","day 048",57.7025755476901
"sunlight","day 049",58.028883264926
"sunlight","day 050",58.4807159952299
"sunlight","day 051",59.0717443163424
"sunlight","day 052",59.8000822506106
"sunlight","day 053",60.6512686547336
"sunlight","day 054",61.5760982782108
"sunlight","day 055",62.5108643623749
"sunlight","day 056",63.3685982230951
"sunlight","day 057",64.057726537339
"sunlight","day 058",64.4915193519336
"sunlight","day 059",64.5921686133813
"sunlight","day 060",64.3127104970272
"sunlight","day 061",63.6287612961999
"sunlight","day 062",62.575413547318
"sunlight","day 063",61.2102569958772
"sunlight","day 064",59.6213939805884
"sunlight","day 065",57.9099850984133
"sunlight","day 066",56.1939702369833
"sunlight","day 067",54.5769547974143
"sunlight","day 068",53.1458721616927
"sunlight","day 069",51.9407322317491
"sunlight","day 070",50.9812288541102
"sunlight","day 071",50.2527151337418
"sunlight","day 072",49.7262347875992
"sunlight","day 073",49.3499347221546
"sunlight","day 074",49.0683425107199
"sunlight","day 075",48.8344052044501
"sunlight","day 076",48.6079478811707
"sunlight","day 077",48.3678882475485
"sunlight","day 078",48.0999547990086
"sunlight","day 079",47.7980265571699
"sunlight","day 080",47.4576785347135
"sunlight","day 081",47.0731191823779
"sunlight","day 082",46.6413896903938
"sunlight","day 083",46.1722287689047
"sunlight","day 084",45.6785608500319
"sunlight","day 085",45.1733557338944
"sunlight","day 086",44.667260454257
"sunlight","day 087",44.1634781575566
"sunlight","day 088",43.6704480662297
"sunlight","day 089",43.2016675237493
"sunlight","day 090",42.7832961733824
"sunlight","day 091",42.4427368861788
"sunlight","day 092",42.1997031445285
"sunlight","day 093",42.0746291805814
"sunlight","day 094",42.0985216141868
"sunlight","day 095",42.3050635643683
"sunlight","day 096",42.7280717591474
"sunlight","day 097",43.381350959844
"sunlight","day 098",44.1985244519735
"sunlight","day 099",45.0947872649502
"sunlight","day 100",45.9918028795882
"sunlight","day 101",46.8114217847799
"sunlight","day 102",47.4697740503308
"sunlight","day 103",47.882002575457
"sunlight","day 104",47.9650219961039
"sunlight","day 105",47.6394259152052
"sunlight","day 106",46.8387520669194
"sunlight","day 107",45.459612416658
"sunlight","day 108",43.3377184819185
"sunlight","day 109",40.66760701184
"sunlight","day 110",37.8876420797344
"sunlight","day 111",36.0125100224106
"sunlight","day 112",35.8442297317422
"sunlight","day 113",36.7578280563651
"sunlight","day 114",37.9047479663584
"sunlight","day 115",38.9690889608101
"sunlight","day 116",39.8054876481193
"sunlight","day 117",40.4180725449186
"sunlight","day 118",40.8428828862128
"sunlight","day 119",41.094108872263
"sunlight","day 120",41.1806864544152
"sunlight","day 121",41.112383623099
"sunlight","day 122",40.9005545885643
"sunlight","day 123",40.5620664012577
"sunlight","day 124",40.1155429722002
"sunlight","day 125",39.5811228145139
"sunlight","day 126",38.9792602519875
"sunlight","day 127",38.3301582489746
"sunlight","day 128",37.6497190395022
"sunlight","day 129",36.9408989676795
"sunlight","day 130",36.2184391749586
"sunlight","day 131",35.4987923813387
"sunlight","day 132",34.7892349331984
"sunlight","day 133",34.0974249216016
"sunlight","day 134",33.4417237899756
"sunlight","day 135",32.840890079923
"sunlight","day 136",32.304567373382
"sunlight","day 137",31.837081211844
"sunlight","day 138",31.4305999346741
"sunlight","day 139",31.0729558936835
"sunlight","day 140",30.7467946925937
"sunlight","day 141",30.4368919907453
"sunlight","day 142",30.1417304180458
"sunlight","day 143",29.8614805937831
"sunlight","day 144",29.5893581242011
"sunlight","day 145",29.3186750972511
"sunlight","day 146",29.050084540758
"sunlight","day 147",28.7841701894912
"sunlight","day 148",28.5138976661242
"sunlight","day 149",28.233365597047
"sunlight","day 150",27.9488227356121
"humidity","day 001",40.7975795607539
"humidity","day 002",44.0876613775184
"humidity","day 003",45.5629972388159
"humidity","day 004",45.2883974784979
"humidity","day 005",43.8248201726805
"humidity","day 006",41.84166686622
