"dimension","time","value"
"sunlight","day 001",51.2291945101737
"sunlight","day 002",52.1405236553745
"sunlight","day 003",53.04236428193
"sunlight","day 004",53.9084234653257
"sunlight","day 005",54.7194008344966
"sunlight","day 006",55.5029053598845
"sunlight","day 007",56.2762598720711
"sunlight","day 008",56.9687333006913
"sunlight","day 009",57.5197386318823
"sunlight","day 010",57.9973189787392
"sunlight","day 011",58.5088398550992
"sunlight","day 012",59.1903262508093
"sunlight","day 013",60.1303186186814
"sunlight","day 014",61.198759787375
"sunlight","day 015",62.2346001362534
"sunlight","day 016",63.1714178716476
"sunlight","day 017",63.9691653008444
"sunlight","day 018",64.598663307988
"sunlight","day 019",65.0328490339031
"sunlight","day 020",65.2422560692809
"sunlight","day 021",65.2069516789313
"sunlight","day 022",64.9475413742746
"sunlight","day 023",64.5065576505322
"sunlight","day 024",63.9690437640963
"sunlight","day 025",63.4131996838171
"sunlight","day 026",62.871134676166
"sunlight","day 027",62.2092309077878
"sunlight","day 028",61.3194331129313
"sunlight","day 029",60.3616633960867
"sunlight","day 030",59.5172887028653
"sunlight","day 031",58.7854779731222
"sunlight","day 032",58.1271604733812
"sunlight","day 033",57.532504782598
"sunlight","day 034",56.9953702722376
"sunlight","day 035",56.4951401713681
"sunlight","day 036",56.0132419942931
"sunlight","day 037",55.5537565386536
"sunlight","day 038",55.1203747021783
"sunlight","day 039",54.6925744996093
"sunlight","day 040",54.2399190305034
"sunlight","day 041",53.7165246166618
"sunlight","day 042",53.0763580397865
"sunlight","day 043",52.288234698939
"sunlight","day 044",51.3494885866736
"sunlight","day 045",50.3681269515519
"sunlight","day 046",49.5227534788622
"sunlight","day 047",48.9617562801538
"sunlight","day 048",48.6668711744464
"sunlight","day 049",48.5657750406398
"sunlight","day 050",48.5365612896842
"sunlight","day 051",48.4704301115865
"sunlight","day 052",48.3605922805305
"sunlight","day 053",48.2312493171878
"sunlight","day 054",48.1285551440052
"sunlight","day 055",48.0733699878123
"sunlight","day 056",47.9634268911968
"sunlight","day 057",47.7045571664363
"sunlight","day 058",47.3581123888117
"sunlight","day 059",47.0286510961056
"sunlight","day 060",46.8380394131063
"sunlight","day 061",46.8682966760838
"sunlight","day 062",47.0247474802293
"sunlight","day 063",47.1586327410361
"sunlight","day 064",47.0815533962855
"sunlight","day 065",46.6264984463904
"sunlight","day 066",45.7965264217203
"sunlight","day 067",44.8055031165728
"sunlight","day 068",43.8624935344457
"sunlight","day 069",42.9778503087708
"sunlight","day 070",42.1319455150846
"sunlight","day 071",41.3839413674085
"sunlight","day 072",40.8240563405693
"sunlight","day 073",40.5879438141312
"sunlight","day 074",40.7859809861653
"sunlight","day 075",41.3820054240352
"sunlight","day 076",42.280570605042
"sunlight","day 077",43.2956332769474
"sunlight","day 078",44.2620776679191
"sunlight","day 079",45.1890946572902
"sunlight","day 080",46.1136006723428
"sunlight","day 081",47.0091076809907
"sunlight","day 082",47.8080034035859
"sunlight","day 083",48.3415830296018
"sunlight","day 084",48.476879463691
"sunlight","day 085",48.324969002101
"sunlight","day 086",48.0018627407442
"sunlight","day 087",47.5075504226191
"sunlight","day 088",47.2190771025831
"sunlight","day 089",47.3842403251841
"sunlight","day 090",47.3007162336381
"sunlight","day 091",46.2489141138642
"sunlight","day 092",44.3902972239245
"sunlight","day 093",42.1744612247439
"sunlight","day 094",40.3224774165545
"sunlight","day 095",39.4251041732067
"sunlight","day 096",39.2803725237173
"sunlight","day 097",39.537764449598
"sunlight","day 098",40.0452930871731
"sunlight","day 099",40.7174885701705
"sunlight","day 100",41.53641786712
"sunlight","day 101",42.4724316573611
"sunlight","day 102",43.3814786286698
"sunlight","day 103",44.1235204280514
"sunlight","day 104",44.6889725309915
"sunlight","day 105",45.1013047334177
"sunlight","day 106",45.3857502845463
"sunlight","day 107",45.5686063697235
"sunlight","day 108",45.6887533990602
"sunlight","day 109",45.8260585896049
"sunlight","day 110",46.034780487836
"sunlight","day 111",46.2263792238192
"sunlight","day 112",46.2865155982483
"sunlight","day 113",46.1404515107393
"sunlight","day 114",45.7430283597919
"sunlight","day 115",45.1278044405155
"sunlight","day 116",44.3585261025564
"sunlight","day 117",43.5409750170966
"sunlight","day 118",42.7645531106739
"sunlight","day 119",42.0111080097124
"sunlight","day 120",41.2528676233034
"sunlight","day 121",40.5311352913198
"sunlight","day 122",39.9109684712561
"sunlight","day 123",39.4833656603133
"sunlight","day 124",39.3117758332426
"sunlight","day 125",39.3235088352887
"sunlight","day 126",39.4418882806105
"sunlight","day 127",39.710431988529
"sunlight","day 128",40.1722108986903
"sunlight","day 129",40.7518445914806
"sunlight","day 130",41.3575786747319
"sunlight","day 131",41.9692516046175
"sunlight","day 132",42.8389517722645
"sunlight","day 133",44.2078524090401
"sunlight","day 134",46.0012161723178
"sunlight","day 135",47.9905675767617
"sunlight","day 136",49.6483891401905
"sunlight","day 137",50.5822300212242
"sunlight","day 138",51.2389479385334
"sunlight","day 139",52.1753561842965
"sunlight","day 140",53.5487817846719
"sunlight","day 141",55.3485158387245
"sunlight","day 142",57.2911920031624
"sunlight","day 143",59.076652128562
"sunlight","day 144",60.6102282833284
"sunlight","day 145",61.8465864359823
"sunlight","day 146",62.732237937676
"sunlight","day 147",63.2203330129274
"sunlight","day 148",63.2987319970833
"sunlight","day 149",62.999333449263
"sunlight","day 150",62.4954787128458
"humidity","day 001",37.7724045791971
"humidity","day 002",39.0875278602597
"humidity","day 003",40.3962707788354
"humidity","day 004",41.7291646927987
"humidity","day 005",43.096856892947
"humidity","day 006",44.3775187537362
"humidity","day 007",45.4060390420915
"humidity","day 008",45.9766520111558
"humidity","day 009",45.9330518809336
"humidity","day 010",45.3574272526569
"humidity","day 011",44.3911975050839
"humidity","day 012",43.174210745851
"humidity","day 013",41.8307635134451
"humidity","day 014",40.4245173408776
"humidity","day 015",39.0119524498973
"humidity","day 016",37.6814588226792
"humidity","day 017",36.5164103070714
"humidity","day 018",35.5482064531892
"humidity","day 019",34.7895235054565
"humidity","day 020",34.2301187832656
"humidity","day 021",33.8462207988381
"humidity","day 022",33.5828617607454
"humidity","day 023",33.3929348647205
"humidity","day 024",33.2805132763236
"humidity","day 025",33.2194890943126
"humidity","day 026",33.1858843365407
"humidity","day 027",33.2100818271193
"humidity","day 028",33.3229671758418
"humidity","day 029",33.503076328972
"humidity","day 030",33.7083085688726
"humidity","day 031",33.866366185832
"humidity","day 032",33.9113556733132
"humidity","day 033",33.8331973295516
"humidity","day 034",33.6347952537024
"humidity","day 035",33.3151749438253
"humidity","day 036",32.8820270375345
"humidity","day 037",32.3815813317551
"humidity","day 038",31.8600662839935
"humidity","day 039",31.3251658347713
"humidity","day 040",30.7729731307259
"humidity","day 041",30.1917626599458
"humidity","day 042",29.573433152487
"humidity","day 043",28.9321989648286
"humidity","day 044",28.2660315238591
"humidity","day 045",27.5999088515044
"humidity","day 046",27.3941628927739
"humidity","day 047",28.0334595232213
"humidity","day 048",29.1426245812969
"humidity","day 049",30.2202544819555
"humidity","day 050",31.0198679832702
"humidity","day 051",31.4057650413275
"humidity","day 052",31.4304480611481
"humidity","day 053",31.1979446297233
"humidity","day 054",30.8301806129927
"humidity","day 055",30.4342682312483
"humidity","day 056",30.040166843245
"humidity","day 057",29.6512770319673
"humidity","day 058",29.2419171388575
"humidity","day 059",28.7858621278987
"humidity","day 060",28.2837956947806
"humidity","day 061",27.7476800073834
"humidity","day 062",27.2076823906434
"humidity","day 063",26.6978678747648
"humidity","day 064",26.2496871539656
"humidity","day 065",25.9046188985099
"humidity","day 066",25.7273977521254
"humidity","day 067",25.7155588517461
"humidity","day 068",25.8185608241703
"humidity","day 069",25.8714373224898
"humidity","day 070",25.7314851535417
"humidity","day 071",25.4594787128533
"humidity","day 072",25.1538655255555
"humidity","day 073",24.8603080465044
"humidity","day 074",24.6051492746668
"humidity","day 075",24.3902394557284
"humidity","day 076",24.2104369869278
"humidity","day 077",24.0571256249973
"humidity","day 078",23.9324194873892
"humidity","day 079",23.8848287749429
"humidity","day 080",23.962805832499
"humidity","day 081",24.1681754975177
"humidity","day 082",24.4861343585753
"humidity","day 083",24.8819935160946
"humidity","day 084",25.3142468628239
"humidity","day 085",25.7340049489673
"humidity","day 086",26.1067806351392
"humidity","day 087",26.4575126685954
"humidity","day 088",26.805121152455
"humidity","day 089",27.1532157304324
"humidity","day 090",27.4664309988037
"humidity","day 091",27.6996255427969
"humidity","day 092",27.8075289508849
"humidity","day 093",27.7559838562514
