"dimension","time","value"
"sunlight","day 001",62.4954219439605
"sunlight","day 002",62.7475893098757
"sunlight","day 003",62.9307171432268
"sunlight","day 004",62.9604788340267
"sunlight","day 005",62.7640680766085
"sunlight","day 006",62.3338631686971
"sunlight","day 007",61.6881291100112
"sunlight","day 008",60.8834931048538
"sunlight","day 009",59.9864311900399
"sunlight","day 010",59.0644525278491
"sunlight","day 011",58.1776731002012
"sunlight","day 012",57.3556030421118
"sunlight","day 013",56.614130744839
"sunlight","day 014",55.9452634715155
"sunlight","day 015",55.3388001501584
"sunlight","day 016",54.7995874964478
"sunlight","day 017",54.3321114163331
"sunlight","day 018",53.9243667891803
"sunlight","day 019",53.5640145873372
"sunlight","day 020",53.2538711816634
"sunlight","day 021",52.9984960231911
"sunlight","day 022",52.7942654851303
"sunlight","day 023",52.6329764626406
"sunlight","day 024",52.5010761982481
"sunlight","day 025",52.4016189528738
"sunlight","day 026",52.3407296709175
"sunlight","day 027",52.3176753037039
"sunlight","day 028",52.3318260870393
"sunlight","day 029",52.389823387732
"sunlight","day 030",52.4976926020783
"sunlight","day 031",52.6517241133273
"sunlight","day 032",52.8441857535936
"sunlight","day 033",53.0609901635022
"sunlight","day 034",53.2909947603915
"sunlight","day 035",53.5411912599439
"sunlight","day 036",53.8207113686633
"sunlight","day 037",54.1291124579949
"sunlight","day 038",54.4616420220227
"sunlight","day 039",54.8058823804411
"sunlight","day 040",55.148690143013
"sunlight","day 041",55.4816842541633
"sunlight","day 042",55.7996013934261
"sunlight","day 043",56.1048868461102
"sunlight","day 044",56.4036200586139
"sunlight","day 045",56.7073978695937
"sunlight","day 046",57.0242815420517
"sunlight","day 047",57.3581960608211
"sunlight","day 048",57.7017638833582
"sunlight","day 049",58.045652811384
"sunlight","day 050",58.3840145510523
"sunlight","day 051",58.7144370061986
"sunlight","day 052",59.0447689669507
"sunlight","day 053",59.384608707236
"sunlight","day 054",59.7402915498874
"sunlight","day 055",60.1186568769655
"sunlight","day 056",60.5318232585338
"sunlight","day 057",60.9932670550109
"sunlight","day 058",61.5166166002304
"sunlight","day 059",62.1140027308535
"sunlight","day 060",62.7914143214364
"sunlight","day 061",63.5493848117366
"sunlight","day 062",64.3727678644239
"sunlight","day 063",65.2444323700258
"sunlight","day 064",66.1549879075892
"sunlight","day 065",67.0801745240387
"sunlight","day 066",67.9832001475787
"sunlight","day 067",69.0292147953203
"sunlight","day 068",70.2392799069803
"sunlight","day 069",70.8393558195418
"sunlight","day 070",70.1969287622414
"sunlight","day 071",69.0406896360656
"sunlight","day 072",68.201634024373
"sunlight","day 073",67.5587715682612
"sunlight","day 074",66.8145935814246
"sunlight","day 075",65.9175040102069
"sunlight","day 076",64.8813155977332
"sunlight","day 077",63.7355636416051
"sunlight","day 078",62.5135161214109
"sunlight","day 079",61.2476491902075
"sunlight","day 080",59.9661975423494
"sunlight","day 081",58.6812218639126
"sunlight","day 082",57.4014823765618
"sunlight","day 083",56.1387114525945
"sunlight","day 084",54.9040226651295
"sunlight","day 085",53.7030822399396
"sunlight","day 086",52.5387850762861
"sunlight","day 087",51.405283446322
"sunlight","day 088",50.2829014588922
"sunlight","day 089",49.1529639614464
"sunlight","day 090",48.0132174294865
"sunlight","day 091",46.8586612229594
"sunlight","day 092",45.6568846115394
"sunlight","day 093",44.3997126221168
"sunlight","day 094",43.2033234007194
"sunlight","day 095",42.2055079552016
"sunlight","day 096",41.5061556215887
"sunlight","day 097",41.1593453281339
"sunlight","day 098",41.0738160438333
"sunlight","day 099",41.1290644113153
"sunlight","day 100",41.2329577269959
"sunlight","day 101",41.3117957284554
"sunlight","day 102",41.3372372641438
"sunlight","day 103",41.2899291505701
"sunlight","day 104",41.1411109656101
"sunlight","day 105",40.8687447668591
"sunlight","day 106",40.4870897694246
"sunlight","day 107",40.0247417243869
"sunlight","day 108",39.5305410561514
"sunlight","day 109",39.0553731834986
"sunlight","day 110",38.6415627540805
"sunlight","day 111",38.3004085832553
"sunlight","day 112",38.0316547807423
"sunlight","day 113",37.8198524660001
"sunlight","day 114",37.6495519470593
"sunlight","day 115",37.520493276502
"sunlight","day 116",37.4336773071417
"sunlight","day 117",37.3799583481674
"sunlight","day 118",37.3476836103916
"sunlight","day 119",37.3253184547445
"sunlight","day 120",37.3038295447624
"sunlight","day 121",37.284070604289
"sunlight","day 122",37.2676096219691
"sunlight","day 123",37.248984585345
"sunlight","day 124",37.2226400151694
"sunlight","day 125",37.1896765661399
"sunlight","day 126",37.149215650478
"sunlight","day 127",37.0858055765559
"sunlight","day 128",36.9832268389175
"sunlight","day 129",36.8372433953552
"sunlight","day 130",36.6484211246561
"sunlight","day 131",36.4147917273153
"sunlight","day 132",36.1223237317975
"sunlight","day 133",35.7562329470004
"sunlight","day 134",35.3107874755841
"sunlight","day 135",34.7868299438217
"sunlight","day 136",34.2024487786759
"sunlight","day 137",33.5868869292228
"sunlight","day 138",32.9967596323017
"sunlight","day 139",32.4847942394572
"sunlight","day 140",32.0607942732902
"sunlight","day 141",31.7223975126477
"sunlight","day 142",31.4615025903041
"sunlight","day 143",31.2701125753926
"sunlight","day 144",31.1463874285538
"sunlight","day 145",31.0860581248141
"sunlight","day 146",31.0689828052351
"sunlight","day 147",31.074967341615
"sunlight","day 148",31.099481362663
"sunlight","day 149",31.140781690239
"sunlight","day 150",31.1926101618946
"humidity","day 001",32.791941120703
"humidity","day 002",35.7567899972807
"humidity","day 003",38.6542946441121
"humidity","day 004",41.3944525202957
"humidity","day 005",43.8802693615483
"humidity","day 006",46.011600143489
"humidity","day 007",47.6935493058023
"humidity","day 008",48.8553699045316
"humidity","day 009",49.4410109661522
"humidity","day 010",49.4290567825066
"humidity","day 011",48.8184381002694
"humidity","day 012",47.6548362200766
"humidity","day 013",46.0025469384439
"humidity","day 014",43.9535734814456
"humidity","day 015",41.6139943183838
"humidity","day 016",39.1184814619114
"humidity","day 017",36.6129353928662
"humidity","day 018",34.2595769214721
"humidity","day 019",32.2214766997435
"humidity","day 020",30.6487844174696
"humidity","day 021",29.6695470353456
"humidity","day 022",29.3363215599158
"humidity","day 023",29.6641843128053
"humidity","day 024",30.5835704001804
"humidity","day 025",31.9654730120976
"humidity","day 026",33.6579312266459
"humidity","day 027",35.4580013937712
"humidity","day 028",37.1423826412605
"humidity","day 029",38.4573279364062
"humidity","day 030",39.1666145383504
"humidity","day 031",39.1345630341285
"humidity","day 032",38.2790464986772
"humidity","day 033",36.6316046306464
"humidity","day 034",34.2721401323694
"humidity","day 035",31.3603410972002
"humidity","day 036",28.0842560648227
"humidity","day 037",24.6655899692193
"humidity","day 038",21.3229453132985
"humidity","day 039",18.2288584813764
"humidity","day 040",15.5240469109213
"humidity","day 041",13.2680183706053
"humidity","day 042",11.4867507126818
"humidity","day 043",10.1533117925277
"humidity","day 044",9.22126669895193
"humidity","day 045",8.61988887193507
"humidity","day 046",8.27541416636623
"humidity","day 047",8.11732834195608
"humidity","day 048",8.08487909544507
"humidity","day 049",8.1236811228548
"humidity","day 050",8.19505518030191
"humidity","day 051",8.26975504326209
"humidity","day 052",8.34056050455195
"humidity","day 053",8.40515570262118
"humidity","day 054",8.45881614111126
"humidity","day 055",8.49678818803378
"humidity","day 056",8.51661030368879
"humidity","day 057",8.5187721371412
"humidity","day 058",8.5132760002269
"humidity","day 059",8.51054602003108
"humidity","day 060",8.51318092186546
"humidity","day 061",8.52144544035396
"humidity","day 062",8.53409374914288
"humidity","day 063",8.54948721985885
"humidity","day 064",8.56592657702716
"humidity","day 065",8.58573659129357
"humidity","day 066",8.62345723769695
"humidity","day 067",8.68190119041284
"humidity","day 068",8.75983637077828
"humidity","day 069",8.85561819753552
"humidity","day 070",8.9670662530103
"humidity","day 071",9.09026927645682
