"dimension","time","value"
"sunlight","day 001",61.9557940816563
"sunlight","day 002",60.9823040644178
"sunlight","day 003",60.0978413186111
"sunlight","day 004",59.3682946059688
"sunlight","day 005",58.8371268748231
"sunlight","day 006",58.5183296909744
"sunlight","day 007",58.3951710605283
"sunlight","day 008",58.3574961333427
"sunlight","day 009",58.3001692379871
"sunlight","day 010",58.2315542741252
"sunlight","day 011",58.207590003176
"sunlight","day 012",58.3610150624855
"sunlight","day 013",58.7942257044865
"sunlight","day 014",59.4114487660333
"sunlight","day 015",60.0800226927746
"sunlight","day 016",60.7179017811165
"sunlight","day 017",61.2718813059672
"sunlight","day 018",61.7535046054861
"sunlight","day 019",62.190604029865
"sunlight","day 020",62.6114199141758
"sunlight","day 021",63.0438805965351
"sunlight","day 022",63.5142584423608
"sunlight","day 023",64.0015073246863
"sunlight","day 024",64.3262265391732
"sunlight","day 025",64.3791645601403
"sunlight","day 026",64.0930526307411
"sunlight","day 027",63.4514993916037
"sunlight","day 028",62.4857245521513
"sunlight","day 029",61.3665146995121
"sunlight","day 030",60.3008446592491
"sunlight","day 031",59.5008753329596
"sunlight","day 032",59.0995880805442
"sunlight","day 033",58.9080600190848
"sunlight","day 034",58.6966528464774
"sunlight","day 035",58.3947708266964
"sunlight","day 036",57.9915665864799
"sunlight","day 037",57.5561436375457
"sunlight","day 038",57.16787217817
"sunlight","day 039",56.8672382678842
"sunlight","day 040",56.6690329714898
"sunlight","day 041",56.5241515136133
"sunlight","day 042",56.3831090830234
"sunlight","day 043",56.2587965652344
"sunlight","day 044",56.1499922035395
"sunlight","day 045",55.9476192804466
"sunlight","day 046",55.5567797314414
"sunlight","day 047",54.9260212124379
"sunlight","day 048",54.1337890416799
"sunlight","day 049",53.2799861752463
"sunlight","day 050",52.4204484582272
"sunlight","day 051",51.5968606803436
"sunlight","day 052",50.8383705208278
"sunlight","day 053",50.1664160183102
"sunlight","day 054",49.5841337595035
"sunlight","day 055",49.0834978473683
"sunlight","day 056",48.6301339017752
