"dimension","time","value"
"sunlight","day 001",44.4621331946435
"sunlight","day 002",43.5629385472355
"sunlight","day 003",43.0151412278898
"sunlight","day 004",43.0557441901128
"sunlight","day 005",43.7661256116242
"sunlight","day 006",44.7492110374113
"sunlight","day 007",45.5919163782475
"sunlight","day 008",46.2955716407833
"sunlight","day 009",46.9358050846541
"sunlight","day 010",47.4710238855579
"sunlight","day 011",47.8486910540798
"sunlight","day 012",48.0897140242917
"sunlight","day 013",48.2301234601959
"sunlight","day 014",48.29299852203
"sunlight","day 015",48.2920660760042
"sunlight","day 016",48.2165953159851
"sunlight","day 017",48.0557243797683
"sunlight","day 018",47.8225248532087
"sunlight","day 019",47.5328173387976
"sunlight","day 020",47.1894850575104
"sunlight","day 021",46.7960123229527
"sunlight","day 022",46.3712252007649
"sunlight","day 023",45.9287203150483
"sunlight","day 024",45.4537395601681
"sunlight","day 025",44.9540791047663
"sunlight","day 026",44.45031796208
"sunlight","day 027",43.9825473699014
"sunlight","day 028",43.5837213407047
"sunlight","day 029",43.2387327611373
"sunlight","day 030",42.9258160110907
"sunlight","day 031",42.6446325692599
"sunlight","day 032",42.4038819088705
"sunlight","day 033",42.2269883824678
"sunlight","day 034",42.1338815447264
"sunlight","day 035",42.1157868795175
"sunlight","day 036",42.1568089120293
"sunlight","day 037",42.2412724035217
"sunlight","day 038",42.3485965061486
"sunlight","day 039",42.4383576995678
"sunlight","day 040",42.4679822596972
"sunlight","day 041",42.4061383199903
"sunlight","day 042",42.2377079997484
"sunlight","day 043",42.0011875041289
"sunlight","day 044",41.7504046926212
"sunlight","day 045",41.5484721068823
"sunlight","day 046",41.466719024216
"sunlight","day 047",41.5592557013035
"sunlight","day 048",41.8050277095558
"sunlight","day 049",42.1627899965017
"sunlight","day 050",42.5856996994115
"sunlight","day 051",43.0298244028558
"sunlight","day 052",43.4684712908665
"sunlight","day 053",43.8821205609697
"sunlight","day 054",44.2627048652082
"sunlight","day 055",44.6070274633631
"sunlight","day 056",44.9199215916522
"sunlight","day 057",45.2000990577311
"sunlight","day 058",45.4137559785708
"sunlight","day 059",45.5290918965773
"sunlight","day 060",45.554835746581
"sunlight","day 061",45.5136829954446
"sunlight","day 062",45.4436658457353
"sunlight","day 063",45.3798285850726
"sunlight","day 064",45.3299271055807
"sunlight","day 065",45.2860654902183
"sunlight","day 066",45.2249270611147
"sunlight","day 067",45.1939577514595
"sunlight","day 068",45.254011468342
"sunlight","day 069",45.4399816930998
"sunlight","day 070",45.7751076156812
"sunlight","day 071",46.261971686229
"sunlight","day 072",46.9012989376949
"sunlight","day 073",47.7070414740717
"sunlight","day 074",48.7003615976139
"sunlight","day 075",49.9180353325828
"sunlight","day 076",51.3902246831564
"sunlight","day 077",53.1050218511716
"sunlight","day 078",55.0406377155453
"sunlight","day 079",57.1778276658543
"sunlight","day 080",59.4913823556319
"sunlight","day 081",61.9296889835799
"sunlight","day 082",64.4402701766897
"sunlight","day 083",66.9935937299452
"sunlight","day 084",69.5594141468413
"sunlight","day 085",72.0816875969241
"sunlight","day 086",74.4903137973356
"sunlight","day 087",76.6909145138281
"sunlight","day 088",78.6061027403487
"sunlight","day 089",80.1757758286489
"sunlight","day 090",81.3843704645856
"sunlight","day 091",82.22492923554
"sunlight","day 092",82.6803790008842
"sunlight","day 093",82.73509230786
"sunlight","day 094",82.3893401831972
"sunlight","day 095",81.6463326267219
"sunlight","day 096",80.5051370511598
"sunlight","day 097",78.9757747083509
"sunlight","day 098",77.1162247936948
"sunlight","day 099",74.9924667130274
"sunlight","day 100",72.6545227703716
"sunlight","day 101",70.151754316946
"sunlight","day 102",67.5468359945654
"sunlight","day 103",64.9080047209466
"sunlight","day 104",62.3124332268185
"sunlight","day 105",59.830832123087
"sunlight","day 106",57.4991277283541
"sunlight","day 107",55.3405881700982
"sunlight","day 108",53.3562825968593
"sunlight","day 109",51.5179160121407
"sunlight","day 110",49.7884973489015
"sunlight","day 111",48.1216532849136
"sunlight","day 112",46.4812939498078
"sunlight","day 113",44.8818455358397
"sunlight","day 114",43.3572904962713
"sunlight","day 115",41.9693202657666
"sunlight","day 116",40.7845075710788
"sunlight","day 117",39.8612413259145
"sunlight","day 118",39.2559292485365
"sunlight","day 119",39.0252380884781
"sunlight","day 120",39.2326577089767
"sunlight","day 121",39.9687113968146
"sunlight","day 122",41.2795494593581
"sunlight","day 123",43.0067968627628
"sunlight","day 124",44.8222608165592
"sunlight","day 125",45.9230028449887
"sunlight","day 126",45.6594273155417
"sunlight","day 127",44.470055653994
"sunlight","day 128",43.0072389231928
"sunlight","day 129",41.6636595852861
"sunlight","day 130",40.6663201121272
"sunlight","day 131",40.1623702762554
"sunlight","day 132",40.0870294157466
"sunlight","day 133",40.3328352232681
"sunlight","day 134",40.8335292443148
"sunlight","day 135",41.5330150664716
"sunlight","day 136",42.374640592853
"sunlight","day 137",43.3031191754211
"sunlight","day 138",44.2691816459989
"sunlight","day 139",45.2260117160676
"sunlight","day 140",46.1305871358804
"sunlight","day 141",46.9426147874921
"sunlight","day 142",47.6289240413922
"sunlight","day 143",48.1574533661229
"sunlight","day 144",48.4934551340052
"sunlight","day 145",48.599627422582
"sunlight","day 146",48.4311372265068
"sunlight","day 147",47.9407624821829
"sunlight","day 148",47.0792559759032
"sunlight","day 149",45.8419177312789
"sunlight","day 150",44.4042618713062
"humidity","day 001",43.153650317374
"humidity","day 002",42.136580899033
"humidity","day 003",41.23959833007
"humidity","day 004",40.5802320782746
"humidity","day 005",40.2556303829649
"humidity","day 006",40.2895748984091
"humidity","day 007",40.6535093373919
"humidity","day 008",41.1828922318138
"humidity","day 009",41.7053327148261
"humidity","day 010",42.1530275054691
"humidity","day 011",42.4750768476883
"humidity","day 012",42.5836074991602
"humidity","day 013",42.3742979634212
"humidity","day 014",41.7140072137153
"humidity","day 015",40.5253577470988
"humidity","day 016",38.9828456861691
"humidity","day 017",37.3268666225456
"humidity","day 018",35.809540398394
"humidity","day 019",34.6252096618635
"humidity","day 020",33.7253840344906
"humidity","day 021",33.0093883786506
"humidity","day 022",32.4106415466849
"humidity","day 023",31.8849217577153
"humidity","day 024",31.4432487686588
"humidity","day 025",31.1100704482806
"humidity","day 026",30.9029436790397
"humidity","day 027",30.8122691556108
"humidity","day 028",30.8137535552298
"humidity","day 029",30.8514836731601
"humidity","day 030",30.8757762223697
"humidity","day 031",30.8934874686159
"humidity","day 032",30.9190349831274
"humidity","day 033",30.9405420062313
"humidity","day 034",30.938388202898
"humidity","day 035",30.8882732675747
"humidity","day 036",30.7761866069697
"humidity","day 037",30.6339564473603
"humidity","day 038",30.4958747297005
"humidity","day 039",30.3602494340835
"humidity","day 040",30.209094511436
"humidity","day 041",29.9952317568788
"humidity","day 042",29.6851522161887
"humidity","day 043",29.3292160935731
"humidity","day 044",28.9828530383206
"humidity","day 045",28.6427594526573
"humidity","day 046",28.3091664184536
"humidity","day 047",28.0007031299995
"humidity","day 048",27.7901587070915
"humidity","day 049",27.7495041182473
"humidity","day 050",27.8932778013614
"humidity","day 051",28.2178356634693
"humidity","day 052",28.7042360187913
"humidity","day 053",29.3458832417268
"humidity","day 054",30.2008635402048
"humidity","day 055",31.1889938344397
"humidity","day 056",31.6123320602568
"humidity","day 057",30.8116401288046
"humidity","day 058",28.9002548369134
"humidity","day 059",26.3742900012318
"humidity","day 060",24.4883926320016
"humidity","day 061",24.3165388088408
"humidity","day 062",25.4514876952802
"humidity","day 063",27.1305884918953
"humidity","day 064",28.6507674635288
"humidity","day 065",29.4664210694433
"humidity","day 066",29.6106366250216
"humidity","day 067",29.2926259448355
"humidity","day 068",28.717505672077
"humidity","day 069",28.0404631935839
"humidity","day 070",27.3968683795798
"humidity","day 071",26.8927502901855
"humidity","day 072",26.5958420814002
"humidity","day 073",26.4500341028397
"humidity","day 074",26.373266977439
"humidity","day 075",26.303525227796
"humidity","day 076",26.1971393549931
"humidity","day 077",26.0637798743887
"humidity","day 078",25.9215878110141
"humidity","day 079",25.769246214315
"humidity","day 080",25.6018708983189
"humidity","day 081",25.4197667109664
"humidity","day 082",25.2259987539764
"humidity","day 083",25.0294841102698
"humidity","day 084",24.8393699386424
"humidity","day 085",24.6598717201882
"humidity","day 086",24.4951532446514
"humidity","day 087",24.3478155255312
"humidity","day 088",24.1964900502054
"humidity","day 089",24.0187971272991
"humidity","day 090",23.813463104623
"humidity","day 091",23.5853086037632
"humidity","day 092",23.3424253022221
"humidity","day 093",23.0914894102437
"humidity","day 094",22.8302442131245
"humidity","day 095",22.5562197436212
"humidity","day 096",22.2750259492813
"humidity","day 097",21.9932335304653
"humidity","day 098",21.7131762839957
"humidity","day 099",21.4392167149723
"humidity","day 100",21.1880690651422
"humidity","day 101",20.9769075719638
"humidity","day 102",20.8123947190947
"humidity","day 103",20.7005826060418
"humidity","day 104",20.6555935495091
"humidity","day 105",20.6943210697484
"humidity","day 106",20.8366732840055
"humidity","day 107",21.1011400807248
"humidity","day 108",21.490190122766
"humidity","day 109",21.9747853413875
"humidity","day 110",22.519658075572
"humidity","day 111",23.0939571487494
"humidity","day 112",23.6653142210693
"humidity","day 113",24.1908758151112
"humidity","day 114",24.6253257235736
"humidity","day 115",24.9239819571998
"humidity","day 116",25.0457303455177
"humidity","day 117",24.9630937751466
"humidity","day 118",24.6502750282312
"humidity","day 119",24.0745594119237
"humidity","day 120",23.2133910781847
"humidity","day 121",22.0917670331993
"humidity","day 122",20.7517106467236
