"dimension","time","value"
"sunlight","day 001",33.1747534028211
"sunlight","day 002",34.2825647227927
"sunlight","day 003",35.3150687695292
"sunlight","day 004",36.2694420290395
"sunlight","day 005",37.1511737792417
"sunlight","day 006",37.9138627921823
"sunlight","day 007",38.5158789019957
"sunlight","day 008",38.9865666970408
"sunlight","day 009",39.3612743537922
"sunlight","day 010",39.6283896469641
"sunlight","day 011",39.7682316094866
"sunlight","day 012",39.7758047089166
"sunlight","day 013",39.6533182654336
"sunlight","day 014",39.4171155750818
"sunlight","day 015",39.1029065539559
"sunlight","day 016",38.8097336224883
"sunlight","day 017",38.6301487609031
"sunlight","day 018",38.5674096842521
"sunlight","day 019",38.5923886032889
"sunlight","day 020",38.6357099767476
"sunlight","day 021",38.6302017924595
"sunlight","day 022",38.5577539066654
"sunlight","day 023",38.4267844768882
"sunlight","day 024",38.3074119612207
"sunlight","day 025",38.3026135073405
"sunlight","day 026",38.4982105327519
"sunlight","day 027",38.8928056788617
"sunlight","day 028",39.4652444386353
"sunlight","day 029",40.2025624873699
"sunlight","day 030",41.0978109940278
"sunlight","day 031",42.1599129198996
"sunlight","day 032",43.4113088433845
"sunlight","day 033",44.9126380189848
"sunlight","day 034",46.7054808155671
"sunlight","day 035",48.7169833833488
"sunlight","day 036",50.8027884121176
"sunlight","day 037",52.6469589685893
"sunlight","day 038",53.9429423330608
"sunlight","day 039",54.5933022632243
"sunlight","day 040",54.5704827196701
"sunlight","day 041",53.9173319971843
"sunlight","day 042",52.7141693749732
"sunlight","day 043",51.1207937357281
"sunlight","day 044",49.3408849501264
"sunlight","day 045",47.6267288605501
"sunlight","day 046",46.0648688894719
"sunlight","day 047",44.6939936886772
"sunlight","day 048",43.551126334229
"sunlight","day 049",42.6616149087275
"sunlight","day 050",42.0057730966469
"sunlight","day 051",41.5401592407077
"sunlight","day 052",41.1713447147418
"sunlight","day 053",40.8103412900546
"sunlight","day 054",40.4359092967345
"sunlight","day 055",40.0715835122286
"sunlight","day 056",39.8522479446361
"sunlight","day 057",39.9048812748529
"sunlight","day 058",40.2134916443088
"sunlight","day 059",40.7131565764895
"sunlight","day 060",41.2862016625697
"sunlight","day 061",41.8357757847089
"sunlight","day 062",42.4010729213176
"sunlight","day 063",43.0532062722943
"sunlight","day 064",43.8549208272383
"sunlight","day 065",44.8633175516054
"sunlight","day 066",46.1293972080493
"sunlight","day 067",47.7330393215451
"sunlight","day 068",49.7499694397605
"sunlight","day 069",52.2068664672435
"sunlight","day 070",55.0957430362675
"sunlight","day 071",58.3189933331266
"sunlight","day 072",61.7296250952309
"sunlight","day 073",65.0727187104345
"sunlight","day 074",68.0400882414224
"sunlight","day 075",70.218409799762
"sunlight","day 076",71.228790068402
"sunlight","day 077",70.9351959669334
"sunlight","day 078",69.3467397366161
"sunlight","day 079",66.8102546687427
"sunlight","day 080",63.8433835903202
"sunlight","day 081",61.3092864211825
"sunlight","day 082",59.9440602132272
"sunlight","day 083",59.6300334537836
"sunlight","day 084",59.9192584921799
"sunlight","day 085",59.8964516903112
"sunlight","day 086",58.8392306827968
"sunlight","day 087",57.159941342935
"sunlight","day 088",55.1638134550019
"sunlight","day 089",53.0521289885918
"sunlight","day 090",51.0272300131779
"sunlight","day 091",49.2558677821385
"sunlight","day 092",47.7613701845949
"sunlight","day 093",46.5371987268228
"sunlight","day 094",45.6007727479723
"sunlight","day 095",44.9730832812356
"sunlight","day 096",44.6654503030984
"sunlight","day 097",44.6716584102845
"sunlight","day 098",44.9250217371758
"sunlight","day 099",45.3522320635485
"sunlight","day 100",45.9139622130979
"sunlight","day 101",46.5893480982724
"sunlight","day 102",47.3973969426118
"sunlight","day 103",48.3551512017213
"sunlight","day 104",49.4319229483741
"sunlight","day 105",50.5830644037291
"sunlight","day 106",51.7558187653195
"sunlight","day 107",52.8949626707343
"sunlight","day 108",53.9610596903038
"sunlight","day 109",54.9844106858918
"sunlight","day 110",55.9876947036628
"sunlight","day 111",56.8929269314121
"sunlight","day 112",57.5976876793365
"sunlight","day 113",58.0024816056081
"sunlight","day 114",58.019891827794
"sunlight","day 115",57.6078909530654
"sunlight","day 116",56.7976790272294
"sunlight","day 117",55.8679763610306
"sunlight","day 118",55.1307204764417
"sunlight","day 119",54.7831974754082
"sunlight","day 120",54.9423498218987
"sunlight","day 121",55.5183968479998
"sunlight","day 122",56.3594120584985
"sunlight","day 123",57.2716087808668
"sunlight","day 124",58.0616850459356
"sunlight","day 125",58.5801378752879
"sunlight","day 126",58.734769657722
"sunlight","day 127",58.6188052601445
"sunlight","day 128",58.3568209083775
"sunlight","day 129",58.0270113663523
"sunlight","day 130",57.7471094596156
"sunlight","day 131",57.6201623930316
"sunlight","day 132",57.6359325665056
"sunlight","day 133",57.7663626316679
"sunlight","day 134",58.0254010520059
"sunlight","day 135",58.4190610721064
"sunlight","day 136",58.8796092490949
"sunlight","day 137",59.3421413028512
"sunlight","day 138",59.8268162917319
"sunlight","day 139",60.3211382279355
"sunlight","day 140",60.5969276005514
"sunlight","day 141",60.4364768343352
"sunlight","day 142",59.879649619819
"sunlight","day 143",59.0305698829086
"sunlight","day 144",57.9928312252293
"sunlight","day 145",56.8748744535793
"sunlight","day 146",55.8050595197295
"sunlight","day 147",54.8799524767631
"sunlight","day 148",54.0490246380396
"sunlight","day 149",53.2310896947216
"sunlight","day 150",52.3694255889086
"humidity","day 001",15.8534839303266
"humidity","day 002",15.1026064518132
"humidity","day 003",14.4040489047703
"humidity","day 004",13.7676741503368
"humidity","day 005",13.1958026780116
"humidity","day 006",12.7142047679925
"humidity","day 007",12.3505282432668
"humidity","day 008",12.1164813072812
"humidity","day 009",12.0195818346677
"humidity","day 010",12.0665260043405
"humidity","day 011",12.2538418776455
"humidity","day 012",12.5382067413738
