"dimension","time","value"
"sunlight","day 001",32.2743927303276
"sunlight","day 002",33.0389798191716
"sunlight","day 003",33.8033463003752
"sunlight","day 004",34.5476394129134
"sunlight","day 005",35.2478956177577
"sunlight","day 006",35.8869843496141
"sunlight","day 007",36.448116679077
"sunlight","day 008",36.9090372465608
"sunlight","day 009",37.2540808732937
"sunlight","day 010",37.499409533941
"sunlight","day 011",37.6583376816609
"sunlight","day 012",37.7009625301479
"sunlight","day 013",37.6013964873549
"sunlight","day 014",37.3930299777318
"sunlight","day 015",37.1270664297655
"sunlight","day 016",36.8666832715928
"sunlight","day 017",36.6679080588795
"sunlight","day 018",36.5461948577577
"sunlight","day 019",36.5168894959838
"sunlight","day 020",36.6354783373471
"sunlight","day 021",36.9263311665936
"sunlight","day 022",37.2492109162655
"sunlight","day 023",37.4375991522307
"sunlight","day 024",37.4150110989835
"sunlight","day 025",37.2420414198732
"sunlight","day 026",36.9989256137646
"sunlight","day 027",36.7222534291073
"sunlight","day 028",36.4303239606223
"sunlight","day 029",36.1119194385304
"sunlight","day 030",35.7597186947672
"sunlight","day 031",35.4115038326284
"sunlight","day 032",35.1181388364761
"sunlight","day 033",34.9377119435795
"sunlight","day 034",34.9159259805444
"sunlight","day 035",35.0417178784172
"sunlight","day 036",35.2837736179135
"sunlight","day 037",35.5865412739844
"sunlight","day 038",35.907306377567
"sunlight","day 039",36.278942189307
"sunlight","day 040",36.7454042819692
"sunlight","day 041",37.3193897470857
"sunlight","day 042",37.9988438051857
"sunlight","day 043",38.7539626740174
"sunlight","day 044",39.562770814013
"sunlight","day 045",40.4452882068887
"sunlight","day 046",41.3680345188116
"sunlight","day 047",42.2819687318729
"sunlight","day 048",43.1440729007872
"sunlight","day 049",43.9202081450091
"sunlight","day 050",44.6057287703298
"sunlight","day 051",45.2011084126189
"sunlight","day 052",45.6978048417225
"sunlight","day 053",46.0864738165487
"sunlight","day 054",46.3635789182776
"sunlight","day 055",46.5317641386272
"sunlight","day 056",46.6125872891959
"sunlight","day 057",46.6172856628602
"sunlight","day 058",46.4969006577292
"sunlight","day 059",46.2111664044043
"sunlight","day 060",45.8147838582237
"sunlight","day 061",45.3792651513184
"sunlight","day 062",44.9484002982534
"sunlight","day 063",44.5516098457298
"sunlight","day 064",44.1885585865571
"sunlight","day 065",43.8674568497281
"sunlight","day 066",43.6428596699266
"sunlight","day 067",43.5149337847519
"sunlight","day 068",43.4667557694696
"sunlight","day 069",43.4834143217496
"sunlight","day 070",43.5586270129916
"sunlight","day 071",43.7186147871105
"sunlight","day 072",43.9833263391789
"sunlight","day 073",44.3151179963838
"sunlight","day 074",44.6758358655233
"sunlight","day 075",45.0828775397235
"sunlight","day 076",45.5680168134366
"sunlight","day 077",46.1649808000929
"sunlight","day 078",46.8963591416952
"sunlight","day 079",47.7382382755589
"sunlight","day 080",48.6566366114279
"sunlight","day 081",49.6238036534472
"sunlight","day 082",50.6060750791843
"sunlight","day 083",51.5399001654958
"sunlight","day 084",52.3614032777196
"sunlight","day 085",53.0352955358302
"sunlight","day 086",53.5472982461834
"sunlight","day 087",53.9263273108416
"sunlight","day 088",54.1661245488649
"sunlight","day 089",54.2561684765002
"sunlight","day 090",54.2179219794633
"sunlight","day 091",54.0858496576149
"sunlight","day 092",53.9144385979257
"sunlight","day 093",53.7562733059029
"sunlight","day 094",53.6363054740906
"sunlight","day 095",53.5796875624512
"sunlight","day 096",53.6400079135841
"sunlight","day 097",53.8523308080449
"sunlight","day 098",54.1491883955756
"sunlight","day 099",54.4528906763186
"sunlight","day 100",54.7473911828296
"sunlight","day 101",55.033586012036
"sunlight","day 102",55.3184979859393
"sunlight","day 103",55.6208225030911
"sunlight","day 104",55.9998185431696
"sunlight","day 105",56.510992387161
"sunlight","day 106",57.1542759401561
"sunlight","day 107",57.9057810830209
"sunlight","day 108",58.700250430803
"sunlight","day 109",59.4558459890436
"sunlight","day 110",60.1123191057651
"sunlight","day 111",60.7024326781684
"sunlight","day 112",61.2683651069081
"sunlight","day 113",61.796945257275
"sunlight","day 114",62.2624806536556
"sunlight","day 115",62.6445429921822
"sunlight","day 116",62.9293082606396
"sunlight","day 117",63.1241054416769
"sunlight","day 118",63.2458607423633
"sunlight","day 119",63.3287362725868
"sunlight","day 120",63.4189949598984
"sunlight","day 121",63.5940670996823
"sunlight","day 122",63.9314219400148
"sunlight","day 123",64.4775171719073
"sunlight","day 124",65.2469496043543
"sunlight","day 125",66.1578840753479
"sunlight","day 126",67.0979096942382
"sunlight","day 127",67.9287446268111
"sunlight","day 128",68.5035486885667
"sunlight","day 129",68.7023535116825
"sunlight","day 130",68.544037210971
"sunlight","day 131",68.1157391909235
"sunlight","day 132",67.6367069177171
"sunlight","day 133",67.3203153610359
"sunlight","day 134",67.2243414429064
"sunlight","day 135",67.3519939968312
"sunlight","day 136",67.6438075498747
"sunlight","day 137",68.017908380875
"sunlight","day 138",68.3654640822037
"sunlight","day 139",68.5992658292161
"sunlight","day 140",68.7455578156703
"sunlight","day 141",68.8544284130256
"sunlight","day 142",68.9578896851435
"sunlight","day 143",69.0557249708087
"sunlight","day 144",69.0368790160971
"sunlight","day 145",68.7865071849488
