"dimension","time","value"
"sunlight","day 001",67.8292051602258
"sunlight","day 002",67.0427017279215
"sunlight","day 003",66.3623112302827
"sunlight","day 004",65.9175423132909
"sunlight","day 005",65.8190952264009
"sunlight","day 006",66.0743893982542
"sunlight","day 007",66.6445570486614
"sunlight","day 008",67.4088623829234
"sunlight","day 009",68.2297074863764
"sunlight","day 010",68.9839139790074
"sunlight","day 011",69.5536363324591
"sunlight","day 012",69.8279408903473
"sunlight","day 013",69.6789946526651
"sunlight","day 014",68.9044553729445
"sunlight","day 015",67.3744319510013
"sunlight","day 016",65.3233471182491
"sunlight","day 017",63.0871000993766
"sunlight","day 018",61.0431822605751
"sunlight","day 019",59.4932926230638
"sunlight","day 020",58.3943686866708
"sunlight","day 021",57.6368454783117
"sunlight","day 022",57.1899096546442
"sunlight","day 023",57.0313163251614
"sunlight","day 024",57.1012967622466
"sunlight","day 025",57.3567787088406
"sunlight","day 026",57.761344352092
"sunlight","day 027",58.277377730823
"sunlight","day 028",58.8669272410562
"sunlight","day 029",59.4918968559427
"sunlight","day 030",60.1119080985932
"sunlight","day 031",60.6775971148295
"sunlight","day 032",61.1401500652503
"sunlight","day 033",61.461938546852
"sunlight","day 034",61.6024711407794
"sunlight","day 035",61.4986189283742
"sunlight","day 036",61.1029900502568
"sunlight","day 037",60.4537783839678
"sunlight","day 038",59.6293495613164
"sunlight","day 039",58.7831704942681
"sunlight","day 040",58.0810103952874
"sunlight","day 041",57.6627463986787
"sunlight","day 042",57.6024219370327
"sunlight","day 043",57.7366377142447
"sunlight","day 044",57.8423352480088
"sunlight","day 045",57.6961634023442
"sunlight","day 046",57.0780779869842
"sunlight","day 047",55.8722582451511
"sunlight","day 048",54.3761717042813
"sunlight","day 049",52.9925634921566
"sunlight","day 050",52.1320008537273
"sunlight","day 051",52.0219936627058
"sunlight","day 052",52.1500001906858
"sunlight","day 053",51.9553972012417
"sunlight","day 054",51.4252870279896
"sunlight","day 055",50.684595118605
"sunlight","day 056",49.8618138069582
"sunlight","day 057",49.074125895779
"sunlight","day 058",48.3899091770394
"sunlight","day 059",47.8497213070337
"sunlight","day 060",47.4316444101023
"sunlight","day 061",47.1036591393672
"sunlight","day 062",46.8558157950313
"sunlight","day 063",46.6836258983893
"sunlight","day 064",46.5823762080241
"sunlight","day 065",46.5461021846909
"sunlight","day 066",46.5634298060391
"sunlight","day 067",46.6192737245318
"sunlight","day 068",46.7001221594812
"sunlight","day 069",46.8012738156331
"sunlight","day 070",46.9207373351238
"sunlight","day 071",47.0585506242187
"sunlight","day 072",47.2134252935037
"sunlight","day 073",47.3767385067187
"sunlight","day 074",47.5405200181303
"sunlight","day 075",47.7067443909614
"sunlight","day 076",47.8786442917695
"sunlight","day 077",48.0545399914975
"sunlight","day 078",48.2305546447424
"sunlight","day 079",48.3989353363331
"sunlight","day 080",48.5534467801759
"sunlight","day 081",48.6978002762531
"sunlight","day 082",48.8390065935083
"sunlight","day 083",48.9873277906505
"sunlight","day 084",49.1527268855196
"sunlight","day 085",49.3407194427116
"sunlight","day 086",49.5576244894069
"sunlight","day 087",49.8103558792298
"sunlight","day 088",50.0794768831614
"sunlight","day 089",50.3342444933772
"sunlight","day 090",50.5269564953691
"sunlight","day 091",50.6087742757525
"sunlight","day 092",50.5432728323188
"sunlight","day 093",50.2998187049442
"sunlight","day 094",49.8585309906663
"sunlight","day 095",49.2072376659943
"sunlight","day 096",48.3538496681602
"sunlight","day 097",47.3159551246962
"sunlight","day 098",46.1297679636115
"sunlight","day 099",44.836970732238
"sunlight","day 100",43.4824946547213
"sunlight","day 101",42.1128910866858
"sunlight","day 102",40.7779432328577
"sunlight","day 103",39.5232066159357
"sunlight","day 104",38.3740941814079
"sunlight","day 105",37.3490639097137
"sunlight","day 106",36.4588964983068
"sunlight","day 107",35.7087342791293
"sunlight","day 108",35.091437377804
"sunlight","day 109",34.6065227661585
"sunlight","day 110",34.2570387436112
"sunlight","day 111",34.0497830289721
"sunlight","day 112",33.9912431482123
"sunlight","day 113",34.0829164365549
"sunlight","day 114",34.324329536324
"sunlight","day 115",34.7121165089955
"sunlight","day 116",35.2454083212661
"sunlight","day 117",35.936216141564
"sunlight","day 118",36.7959075364436
"sunlight","day 119",37.8203954632342
"sunlight","day 120",38.9995795808834
"sunlight","day 121",40.3147609640402
"sunlight","day 122",41.7407771452951
"sunlight","day 123",43.2352100733039
"sunlight","day 124",44.7524184800451
"sunlight","day 125",46.251123814723
"sunlight","day 126",47.6887796659106
"sunlight","day 127",49.0134054624314
"sunlight","day 128",50.1652228426363
"sunlight","day 129",51.0683413276404
"sunlight","day 130",51.664010727636
"sunlight","day 131",51.9085083075381
"sunlight","day 132",51.79564161154
"sunlight","day 133",51.3341020438939
"sunlight","day 134",50.5545861698094
"sunlight","day 135",49.4955056115674
"sunlight","day 136",48.204127058777
"sunlight","day 137",46.7300763319424
"sunlight","day 138",45.1235607078201
"sunlight","day 139",43.4332238047047
"sunlight","day 140",41.7008731507928
"sunlight","day 141",39.9656392173765
"sunlight","day 142",38.2627803382299
"sunlight","day 143",36.6223273376989
"sunlight","day 144",35.0572731399356
"sunlight","day 145",33.5764281070078
"sunlight","day 146",32.1889102528402
"sunlight","day 147",30.8983015579569
"sunlight","day 148",29.6857322174232
"sunlight","day 149",28.5256221093044
"sunlight","day 150",27.3880016291235
"humidity","day 001",42.0468743717623
"humidity","day 002",42.294624427542
"humidity","day 003",42.5159396594488
"humidity","day 004",42.7052717821151
"humidity","day 005",42.8581943139067
"humidity","day 006",42.957698378785
"humidity","day 007",42.9874185406433
"humidity","day 008",42.9461455175068
"humidity","day 009",42.8401440528231
"humidity","day 010",42.6904188375955
"humidity","day 011",42.5233753186082
"humidity","day 012",42.37228201821
"humidity","day 013",42.2624184194343
"humidity","day 014",42.1802447724855
"humidity","day 015",42.1064864647315
"humidity","day 016",42.0377486650219
"humidity","day 017",41.9728955249455
"humidity","day 018",41.9039473455652
"humidity","day 019",41.8175429297871
"humidity","day 020",41.6856389384186
"humidity","day 021",41.4854046473828
"humidity","day 022",41.2295419351659
"humidity","day 023",40.9331113319782
"humidity","day 024",40.5852044647846
"humidity","day 025",40.1689048313163
"humidity","day 026",39.671784305443
"humidity","day 027",39.0988518959048
"humidity","day 028",38.4596914671691
"humidity","day 029",37.7647491717396
"humidity","day 030",37.0264728990674
"humidity","day 031",36.2644551983542
"humidity","day 032",35.4989105255947
"humidity","day 033",34.7453963042024
"humidity","day 034",34.0179529630881
"humidity","day 035",33.3292099857319
"humidity","day 036",32.6906840812232
"humidity","day 037",32.1108518065195
"humidity","day 038",31.593251745445
"humidity","day 039",31.1247107414209
"humidity","day 040",30.695545499254
"humidity","day 041",30.3267439096946
"humidity","day 042",30.041524935046
"humidity","day 043",29.8413606378796
"humidity","day 044",29.7229993335535
"humidity","day 045",29.6794538554954
"humidity","day 046",29.6781004436091
"humidity","day 047",29.6843524066516
"humidity","day 048",29.6821209000357
"humidity","day 049",29.6608821920366
"humidity","day 050",29.6138751557231
"humidity","day 051",29.5357869328058
"humidity","day 052",29.4233351347697
"humidity","day 053",29.2758042170187
"humidity","day 054",29.1007155408588
"humidity","day 055",28.9066388162033
"humidity","day 056",28.6981002414921
"humidity","day 057",28.4788015034887
"humidity","day 058",28.2531897537219
"humidity","day 059",28.0255648512944
"humidity","day 060",27.79889202084
"humidity","day 061",27.5726484038807
"humidity","day 062",27.3336934439622
"humidity","day 063",27.0655239947154
"humidity","day 064",26.7508042480891
"humidity","day 065",26.3769857183612
"humidity","day 066",25.9497065466835
"humidity","day 067",25.4724190654482
"humidity","day 068",24.9469828763613
"humidity","day 069",24.3760679548943
"humidity","day 070",23.7604656844396
"humidity","day 071",23.0926427063085
"humidity","day 072",22.3647281341129
"humidity","day 073",21.57582571275
"humidity","day 074",20.7319053186612
"humidity","day 075",19.8594267231792
"humidity","day 076",18.9918545543397
"humidity","day 077",18.1701829720993
"humidity","day 078",17.4355005505904
"humidity","day 079",16.8217439887275
"humidity","day 080",16.3629198867269
"humidity","day 081",16.1004663252294
"humidity","day 082",16.0757646038948
"humidity","day 083",16.3225374180354
