"dimension","time","value"
"sunlight","day 001",31.7054865146387
"sunlight","day 002",34.9186913555808
"sunlight","day 003",37.7498845928722
"sunlight","day 004",39.6310468164837
"sunlight","day 005",40.0832158372984
"sunlight","day 006",39.2214279816499
"sunlight","day 007",37.6157231784106
"sunlight","day 008",37.0621572511592
"sunlight","day 009",38.9675906419359
"sunlight","day 010",41.9560863719192
"sunlight","day 011",44.341857444634
"sunlight","day 012",45.9825142138503
"sunlight","day 013",47.0794107457067
"sunlight","day 014",47.6654786055689
"sunlight","day 015",47.7449496929186
"sunlight","day 016",47.3756797444734
"sunlight","day 017",46.6258569078656
"sunlight","day 018",45.5513751371498
"sunlight","day 019",44.2092676600056
"sunlight","day 020",42.6734189921899
"sunlight","day 021",41.0219035649349
"sunlight","day 022",39.3327041832986
"sunlight","day 023",37.6789014479219
"sunlight","day 024",36.115800017883
"sunlight","day 025",34.7007902541077
"sunlight","day 026",33.4888876843039
"sunlight","day 027",32.5186435035868
"sunlight","day 028",31.8204109950314
"sunlight","day 029",31.4082161261441
"sunlight","day 030",31.2919363667744
"sunlight","day 031",31.4811825117107
"sunlight","day 032",31.9885937756523
"sunlight","day 033",32.8391897280032
"sunlight","day 034",34.0262998945426
"sunlight","day 035",35.4041132718472
"sunlight","day 036",36.7942818863449
"sunlight","day 037",38.027450413071
"sunlight","day 038",38.9764520421314
"sunlight","day 039",39.673881375307
"sunlight","day 040",40.1888328566
"sunlight","day 041",40.5766388872203
"sunlight","day 042",40.8962377052222
"sunlight","day 043",41.2347529388266
"sunlight","day 044",41.6882856432973
"sunlight","day 045",42.3388124413953
"sunlight","day 046",43.1828460333503
"sunlight","day 047",44.1983413366395
"sunlight","day 048",45.376417139763
"sunlight","day 049",46.7110136534096
"sunlight","day 050",48.1941929060009
"sunlight","day 051",49.8089690915567
"sunlight","day 052",51.5040432487593
"sunlight","day 053",53.2141816241627
"sunlight","day 054",54.8527244511477
"sunlight","day 055",56.3311544555277
"sunlight","day 056",57.5749503460194
"sunlight","day 057",58.5184351076392
"sunlight","day 058",59.1173128476973
"sunlight","day 059",59.337116410488
"sunlight","day 060",59.1613124659486
"sunlight","day 061",58.5879664735369
"sunlight","day 062",57.6556052251497
"sunlight","day 063",56.4188463428726
"sunlight","day 064",54.9562094371077
"sunlight","day 065",53.3503152270655
"sunlight","day 066",51.6748679901687
"sunlight","day 067",49.9960220607474
"sunlight","day 068",48.375237478847
"sunlight","day 069",46.8608726621951
"sunlight","day 070",45.5027742412343
"sunlight","day 071",44.3698433195838
"sunlight","day 072",43.5308134435034
"sunlight","day 073",43.0346934566408
"sunlight","day 074",42.9035149956332
"sunlight","day 075",43.0711255716906
"sunlight","day 076",43.4509042065249
"sunlight","day 077",43.962540089285
"sunlight","day 078",44.5361574098062
"sunlight","day 079",45.1373101932344
"sunlight","day 080",45.737848280986
"sunlight","day 081",46.2993749442484
"sunlight","day 082",46.794966717397
"sunlight","day 083",47.2538397577876
"sunlight","day 084",47.720199835961
"sunlight","day 085",48.2420715522172
"sunlight","day 086",48.8669437293185
"sunlight","day 087",49.6361544482396
"sunlight","day 088",50.588796097463
"sunlight","day 089",51.7547702884971
"sunlight","day 090",53.1279707324664
"sunlight","day 091",54.6932168687364
"sunlight","day 092",56.4350389500203
"sunlight","day 093",58.3287590947644
"sunlight","day 094",60.3131560710013
"sunlight","day 095",62.313710810656
"sunlight","day 096",64.2392562516381
"sunlight","day 097",65.9972230007128
"sunlight","day 098",67.5060803340843
"sunlight","day 099",68.6844245177502
"sunlight","day 100",69.4403211074397
"sunlight","day 101",69.6932310093618
"sunlight","day 102",69.4187272419106
"sunlight","day 103",68.6224146126987
"sunlight","day 104",67.3739129740274
"sunlight","day 105",65.7579653430901
"sunlight","day 106",63.8557923519606
"sunlight","day 107",61.7613227972117
"sunlight","day 108",59.6136888773603
"sunlight","day 109",57.5290049870054
"sunlight","day 110",55.6048655817905
"sunlight","day 111",53.9013919262368
"sunlight","day 112",52.459589212844
"sunlight","day 113",51.2814715371511
"sunlight","day 114",50.3570830406805
"sunlight","day 115",49.6675791458488
"sunlight","day 116",49.1913312158301
"sunlight","day 117",48.9044630959336
"sunlight","day 118",48.785671994136
"sunlight","day 119",48.8261960869483
"sunlight","day 120",49.0183986283442
"sunlight","day 121",49.3466022136144
"sunlight","day 122",49.7917937525308
"sunlight","day 123",50.3296580714732
"sunlight","day 124",50.9360745480419
"sunlight","day 125",51.5930028481131
"sunlight","day 126",52.2892595743205
"sunlight","day 127",53.0350087880539
"sunlight","day 128",53.8446842908555
"sunlight","day 129",54.7222374180976
"sunlight","day 130",55.6456965085211
"sunlight","day 131",56.5874882586193
"sunlight","day 132",57.52248866799
"sunlight","day 133",58.4280254940431
"sunlight","day 134",59.288784222333
"sunlight","day 135",60.0886116106051
"sunlight","day 136",60.8006417772242
"sunlight","day 137",61.4000544608514
"sunlight","day 138",61.8809245207132
"sunlight","day 139",62.2410685250652
"sunlight","day 140",62.4743747577158
"sunlight","day 141",62.5733719959924
"sunlight","day 142",62.5290792757483
"sunlight","day 143",62.3386791186332
"sunlight","day 144",62.025517730958
"sunlight","day 145",61.6255947047411
"sunlight","day 146",61.1993594901706
"sunlight","day 147",60.8088093143459
"sunlight","day 148",60.4976826538437
"sunlight","day 149",60.2883423952124
"sunlight","day 150",60.1359078154094
"humidity","day 001",19.0790743714415
"humidity","day 002",20.2725000218198
"humidity","day 003",21.5519269883551
"humidity","day 004",22.9625926451265
"humidity","day 005",24.5311598178657
"humidity","day 006",26.2528114074969
"humidity","day 007",28.1107610235323
"humidity","day 008",30.0718250346457
"humidity","day 009",32.0924505951542
"humidity","day 010",34.1040052427864
"humidity","day 011",36.0268539018484
"humidity","day 012",37.7624306595438
"humidity","day 013",39.229475488655
"humidity","day 014",40.4348827413835
"humidity","day 015",41.3951800434259
"humidity","day 016",42.077273735044
"humidity","day 017",42.4572816831713
"humidity","day 018",42.5977891468665
"humidity","day 019",42.5557383672462
"humidity","day 020",42.2790321215343
"humidity","day 021",41.7076168486664
"humidity","day 022",40.8586530983183
"humidity","day 023",39.8082775367276
"humidity","day 024",38.7480306006381
"humidity","day 025",37.7359789756591
"humidity","day 026",36.7606844919454
"humidity","day 027",35.7058358978444
"humidity","day 028",34.4551791139874
"humidity","day 029",32.9975618319497
"humidity","day 030",31.3677487451759
"humidity","day 031",29.6790707836451
"humidity","day 032",28.0470947590092
"humidity","day 033",26.5177647730789
"humidity","day 034",25.1068531361151
"humidity","day 035",23.7790677020218
"humidity","day 036",22.4972468552776
"humidity","day 037",21.2678155590172
"humidity","day 038",20.1242642451639
"humidity","day 039",19.1647586421394
"humidity","day 040",18.4774829441247
"humidity","day 041",18.0460199118417
"humidity","day 042",17.812657487287
"humidity","day 043",17.6591057710142
"humidity","day 044",17.4674660226697
"humidity","day 045",17.1929847711328
"humidity","day 046",16.8504553304146
"humidity","day 047",16.4701234969485
"humidity","day 048",16.1000338311777
"humidity","day 049",15.7831779403892
"humidity","day 050",15.5245368552321
"humidity","day 051",15.331824026681
"humidity","day 052",15.2616931636486
"humidity","day 053",15.359819470993
"humidity","day 054",15.5790238794164
"humidity","day 055",15.849838248823
"humidity","day 056",16.1064924300831
"humidity","day 057",16.2968318025825
"humidity","day 058",16.4194658688039
"humidity","day 059",16.4890325736136
"humidity","day 060",16.5335195083147
"humidity","day 061",16.5691752457478
"humidity","day 062",16.5519426384648
"humidity","day 063",16.4405274921006
"humidity","day 064",16.2649931449093
"humidity","day 065",16.0559070527075
"humidity","day 066",15.7845169278755
"humidity","day 067",15.4448204929339
"humidity","day 068",15.0601919902807
"humidity","day 069",14.7314264660919
"humidity","day 070",14.5891669114747
"humidity","day 071",14.8060272934845
"humidity","day 072",15.5207384773017
"humidity","day 073",16.6945279446582
"humidity","day 074",18.2579220695369
"humidity","day 075",20.1961461783736
"humidity","day 076",22.486951320725
"humidity","day 077",25.0234924861772
"humidity","day 078",27.6715867407134
"humidity","day 079",30.2722955158746
"humidity","day 080",32.7016260075841
"humidity","day 081",35.0001241037353
"humidity","day 082",37.1453680125877
"humidity","day 083",38.6985265318958
"humidity","day 084",39.0692699833121
"humidity","day 085",37.4776841945887
"humidity","day 086",33.7868285011655
"humidity","day 087",30.056098347234
"humidity","day 088",26.774689144547
"humidity","day 089",23.8963385972438
"humidity","day 090",21.493523242613
"humidity","day 091",19.630996462671
"humidity","day 092",18.2238801851974
"humidity","day 093",17.1619561623868
"humidity","day 094",16.3832768983306
"humidity","day 095",15.8350604497638
"humidity","day 096",15.452916332099
"humidity","day 097",15.1794972201901
"humidity","day 098",14.9972369679781
"humidity","day 099",14.8936851440349
"humidity","day 100",14.8370729963678
"humidity","day 101",14.8003845895526
"humidity","day 102",14.7949335750049
"humidity","day 103",14.8490734581675
"humidity","day 104",15.0209875737532
"humidity","day 105",15.3458877045554
"humidity","day 106",15.7372695964196
"humidity","day 107",16.0867011838492
"humidity","day 108",16.3486951737097
"humidity","day 109",16.6020253938866
"humidity","day 110",16.9337807250755
"humidity","day 111",17.3485503360868
"humidity","day 112",17.8183950957563
"humidity","day 113",18.2677623849073
"humidity","day 114",18.6280224482643
"humidity","day 115",18.9058504741693
"humidity","day 116",19.127382858884
"humidity","day 117",19.3212958867319
"humidity","day 118",19.5123140667435
"humidity","day 119",19.7068149187172
"humidity","day 120",19.9111154223522
"humidity","day 121",20.1496373861829
"humidity","day 122",20.4282311469104
"humidity","day 123",20.6603563250672
"humidity","day 124",20.780200946391
