"dimension","time","value"
"sunlight","day 001",40.5216701210982
"sunlight","day 002",40.6407336101784
"sunlight","day 003",40.7962984768206
"sunlight","day 004",41.0090096726182
"sunlight","day 005",41.2929998825207
"sunlight","day 006",41.6602633725493
"sunlight","day 007",42.1156083632888
"sunlight","day 008",42.6372373125049
"sunlight","day 009",43.1804765773282
"sunlight","day 010",43.6357538751684
"sunlight","day 011",43.8846950747583
"sunlight","day 012",43.8386172898446
"sunlight","day 013",43.4598347224732
"sunlight","day 014",42.8849586828726
"sunlight","day 015",42.2810828881866
"sunlight","day 016",41.7629335750374
"sunlight","day 017",41.4218748171751
"sunlight","day 018",41.3081895173832
"sunlight","day 019",41.4395965410427
"sunlight","day 020",41.744639774891
"sunlight","day 021",42.1385248513011
"sunlight","day 022",42.5722793638314
"sunlight","day 023",43.0232352033433
"sunlight","day 024",43.507718469491
"sunlight","day 025",43.9377999920039
"sunlight","day 026",44.2214796711184
"sunlight","day 027",44.3720777660289
"sunlight","day 028",44.4255467134865
"sunlight","day 029",44.4030473015093
"sunlight","day 030",44.3346389205275
"sunlight","day 031",44.3007670193536
"sunlight","day 032",44.3670764279192
"sunlight","day 033",44.4896234422509
"sunlight","day 034",44.5916404498806
"sunlight","day 035",44.5746527382647
"sunlight","day 036",44.3483111758388
"sunlight","day 037",43.8764760550288
"sunlight","day 038",43.1819906481761
"sunlight","day 039",42.4694207232929
"sunlight","day 040",41.9304747886685
"sunlight","day 041",41.5237098180314
"sunlight","day 042",41.1705211977014
"sunlight","day 043",40.8768094989252
"sunlight","day 044",40.698853149762
"sunlight","day 045",40.8126704784308
"sunlight","day 046",41.4344660050787
"sunlight","day 047",42.7157449592369
"sunlight","day 048",44.5382807766265
"sunlight","day 049",46.689107669404
"sunlight","day 050",48.8460347492779
"sunlight","day 051",50.7119833068129
"sunlight","day 052",52.1995484484475
"sunlight","day 053",53.2874650741897
"sunlight","day 054",54.0093534424545
"sunlight","day 055",54.3930262500492
"sunlight","day 056",54.3881805889471
"sunlight","day 057",53.9554974971602
"sunlight","day 058",53.1777094016909
"sunlight","day 059",52.1747811259677
"sunlight","day 060",51.0935556901324
"sunlight","day 061",50.0767780516649
"sunlight","day 062",49.2239227206847
"sunlight","day 063",48.5757474417549
"sunlight","day 064",47.9814133445755
"sunlight","day 065",47.2757478495513
"sunlight","day 066",46.4639432946421
"sunlight","day 067",45.7291700217118
"sunlight","day 068",45.2621003327317
"sunlight","day 069",45.1390018106223
"sunlight","day 070",45.3812397410021
"sunlight","day 071",45.9049749393321
"sunlight","day 072",46.6058122936026
"sunlight","day 073",47.4023374520768
"sunlight","day 074",48.2119063411307
"sunlight","day 075",48.9239752393182
"sunlight","day 076",49.4474207487026
"sunlight","day 077",49.7967004132067
"sunlight","day 078",49.9992557246229
"sunlight","day 079",50.0288830243605
"sunlight","day 080",49.8604375613602
"sunlight","day 081",49.5266553650717
"sunlight","day 082",49.0782182978877
"sunlight","day 083",48.5797107734636
"sunlight","day 084",48.1045746190963
"sunlight","day 085",47.7477787653856
"sunlight","day 086",47.5933475543535
"sunlight","day 087",47.6536764370656
"sunlight","day 088",47.8995407668129
"sunlight","day 089",48.286249741951
"sunlight","day 090",48.7325416744654
"sunlight","day 091",49.1568006231481
"sunlight","day 092",49.5125645203883
"sunlight","day 093",49.762579753939
"sunlight","day 094",49.8712726594111
"sunlight","day 095",49.8612715811096
"sunlight","day 096",49.9863329502569
"sunlight","day 097",50.5311999509038
"sunlight","day 098",51.673434691498
"sunlight","day 099",53.4936896506502
"sunlight","day 100",55.7921598632263
"sunlight","day 101",58.2985953471737
"sunlight","day 102",60.7414234965112
"sunlight","day 103",62.8960176869207
"sunlight","day 104",64.7268578446667
"sunlight","day 105",66.2277014676172
"sunlight","day 106",67.320309789471
"sunlight","day 107",67.916918577071
"sunlight","day 108",68.0037594066065
"sunlight","day 109",67.7359431038604
"sunlight","day 110",67.3139337835997
"sunlight","day 111",66.9592030661242
"sunlight","day 112",66.8081046870595
"sunlight","day 113",66.6355133378017
"sunlight","day 114",66.1574116644677
"sunlight","day 115",65.2156931762865
"sunlight","day 116",63.7546222982285
"sunlight","day 117",62.0020362551199
"sunlight","day 118",60.2166216828257
"sunlight","day 119",58.4968900615131
"sunlight","day 120",56.901498165465
"sunlight","day 121",55.489859101125
"sunlight","day 122",54.3460304175075
"sunlight","day 123",53.6518911017477
"sunlight","day 124",53.5266053942898
"sunlight","day 125",53.7406571106943
"sunlight","day 126",53.9988136431548
"sunlight","day 127",54.0916571152816
"sunlight","day 128",53.875253368633
"sunlight","day 129",53.4125833141492
"sunlight","day 130",52.9338376138883
"sunlight","day 131",52.6424939397975
"sunlight","day 132",52.5119982873593
"sunlight","day 133",52.4657665379148
"sunlight","day 134",52.4571257927072
"sunlight","day 135",52.4609092956067
"sunlight","day 136",52.5080636410901
"sunlight","day 137",52.6421555959356
"sunlight","day 138",52.9011192655193
"sunlight","day 139",53.2803712208407
"sunlight","day 140",53.6108905567935
"sunlight","day 141",53.7132803697737
"sunlight","day 142",53.5310772382936
"sunlight","day 143",53.0528714222972
"sunlight","day 144",52.3245344253409
"sunlight","day 145",51.4581653677024
"sunlight","day 146",50.7734925929321
"sunlight","day 147",50.6120278596827
"sunlight","day 148",51.1947873637412
"sunlight","day 149",52.5991623934502
"sunlight","day 150",54.4485401702393
"humidity","day 001",-0.0169175575151996
"humidity","day 002",0.733820909511024
"humidity","day 003",1.47460838160016
"humidity","day 004",2.17842081344261
"humidity","day 005",2.82116057353461
"humidity","day 006",3.41007396480293
"humidity","day 007",3.95754167751514
"humidity","day 008",4.46513801687099
"humidity","day 009",4.93167340047012
"humidity","day 010",5.35570908057934
"humidity","day 011",5.7334198599596
"humidity","day 012",6.05168390868074
"humidity","day 013",6.29475103931532
"humidity","day 014",6.44565426713762
"humidity","day 015",6.48021905271451
"humidity","day 016",6.3466574350812
"humidity","day 017",6.02457575397322
"humidity","day 018",5.64677097345903
"humidity","day 019",5.41007059661635
"humidity","day 020",5.6142336582266
"humidity","day 021",6.50001456388841
"humidity","day 022",7.9692176707657
"humidity","day 023",9.84633690215649
"humidity","day 024",11.9767095618364
"humidity","day 025",14.1776403018478
"humidity","day 026",16.2613834925933
"humidity","day 027",18.0554521078943
"humidity","day 028",19.4370467839335
"humidity","day 029",20.4668602029234
"humidity","day 030",21.2510246813167
"humidity","day 031",21.8939390264971
"humidity","day 032",22.4881599161701
"humidity","day 033",23.0806090183959
"humidity","day 034",23.6962023367785
"humidity","day 035",24.3174682267422
"humidity","day 036",24.914565818773
"humidity","day 037",25.450564991783
"humidity","day 038",25.891243238817
"humidity","day 039",26.2202977610235
"humidity","day 040",26.4279518221637
"humidity","day 041",26.5126132283449
"humidity","day 042",26.4770609538142
"humidity","day 043",26.3333741030334
"humidity","day 044",26.0912769894101
"humidity","day 045",25.7479280239961
"humidity","day 046",25.3204193625357
"humidity","day 047",24.8346812212226
"humidity","day 048",24.3273824897474
"humidity","day 049",23.8319149627146
"humidity","day 050",23.3578233808872
"humidity","day 051",22.9076467093134
"humidity","day 052",22.4797478640247
"humidity","day 053",22.0729262823737
"humidity","day 054",21.6919035360139
"humidity","day 055",21.3457659343898
"humidity","day 056",21.0551366038088
"humidity","day 057",20.8388117022232
"humidity","day 058",20.6967426973017
"humidity","day 059",20.6250622407556
"humidity","day 060",20.62347241075
"humidity","day 061",20.6928950506476
"humidity","day 062",20.8355616381485
"humidity","day 063",21.0558730675906
"humidity","day 064",21.3655982655274
"humidity","day 065",21.7748363882524
"humidity","day 066",22.2784663444073
"humidity","day 067",22.863162726723
"humidity","day 068",23.5188119798586
"humidity","day 069",24.2528404937827
"humidity","day 070",25.070330524973
"humidity","day 071",25.9494478506321
"humidity","day 072",26.8637734600034
"humidity","day 073",27.7954656697675
"humidity","day 074",28.7280773940545
"humidity","day 075",29.6421626093584
"humidity","day 076",30.5180030537525
"humidity","day 077",31.3377904492652
"humidity","day 078",32.0948092858305
"humidity","day 079",32.8248051410487
"humidity","day 080",33.5586952405007
