"dimension","time","value"
"sunlight","day 001",66.7888311071012
"sunlight","day 002",66.9474341858611
"sunlight","day 003",67.0796341715983
"sunlight","day 004",67.1837760741258
"sunlight","day 005",67.2646946117397
"sunlight","day 006",67.3233060025101
"sunlight","day 007",67.3471973432278
"sunlight","day 008",67.2745577457941
"sunlight","day 009",67.0557843145951
"sunlight","day 010",66.7395041088468
"sunlight","day 011",66.3816639044728
"sunlight","day 012",65.9692593893962
"sunlight","day 013",65.4677712502116
"sunlight","day 014",64.8255712562001
"sunlight","day 015",64.0048995281556
"sunlight","day 016",63.0405785102358
"sunlight","day 017",61.994371538684
"sunlight","day 018",60.963223194721
"sunlight","day 019",60.0586101493784
"sunlight","day 020",59.4149561879514
"sunlight","day 021",59.1361582574345
"sunlight","day 022",59.1810588373555
"sunlight","day 023",59.7076349817327
"sunlight","day 024",61.2221697597371
"sunlight","day 025",62.0931974308014
"sunlight","day 026",60.7976793650625
"sunlight","day 027",58.6194323765703
"sunlight","day 028",57.257598502865
"sunlight","day 029",57.2657652315336
"sunlight","day 030",58.6929304281354
"sunlight","day 031",60.7152880200714
"sunlight","day 032",62.3529542668949
"sunlight","day 033",62.874538694928
"sunlight","day 034",61.8794197424774
"sunlight","day 035",60.04155822902
"sunlight","day 036",58.2010134281403
"sunlight","day 037",56.7876560486817
"sunlight","day 038",56.0331893030208
"sunlight","day 039",55.7868349824064
"sunlight","day 040",55.8234870628893
"sunlight","day 041",56.0032096808545
"sunlight","day 042",56.2101298632945
"sunlight","day 043",56.3394560392969
"sunlight","day 044",56.3172992782086
"sunlight","day 045",56.1738882789359
"sunlight","day 046",55.9339379125863
"sunlight","day 047",55.6177933149895
"sunlight","day 048",55.2619667983964
"sunlight","day 049",54.9018226981115
"sunlight","day 050",54.5519662652321
"sunlight","day 051",54.2206884744527
"sunlight","day 052",53.9117822790659
"sunlight","day 053",53.6247416219419
"sunlight","day 054",53.3463624256637
"sunlight","day 055",53.066147410634
"sunlight","day 056",52.797124508821
"sunlight","day 057",52.5579316649026
"sunlight","day 058",52.3661216628291
"sunlight","day 059",52.231267843731
"sunlight","day 060",52.1321109381876
"sunlight","day 061",52.0468042410691
"sunlight","day 062",51.9819839149605
"sunlight","day 063",51.9494206155633
"sunlight","day 064",51.9529401033285
"sunlight","day 065",51.992720163126
"sunlight","day 066",52.0635088353869
"sunlight","day 067",52.1632614593234
"sunlight","day 068",52.2851722070164
"sunlight","day 069",52.3985215314714
"sunlight","day 070",52.4715731946292
"sunlight","day 071",52.492437913247
"sunlight","day 072",52.4605220863171
"sunlight","day 073",52.400567886955
"sunlight","day 074",52.3438894291828
"sunlight","day 075",52.3227528165243
"sunlight","day 076",52.3619547707706
"sunlight","day 077",52.4554624972808
"sunlight","day 078",52.5822647064486
"sunlight","day 079",52.6922656452378
"sunlight","day 080",52.7408839268343
"sunlight","day 081",52.7346800927411
"sunlight","day 082",52.6940584793174
"sunlight","day 083",52.643656674029
"sunlight","day 084",52.5990651645411
"sunlight","day 085",52.5354527882076
"sunlight","day 086",52.4185409602258
"sunlight","day 087",52.2221522997183
"sunlight","day 088",51.9426443852021
"sunlight","day 089",51.5844778209295
"sunlight","day 090",51.1626483451225
"sunlight","day 091",50.6915715759353
"sunlight","day 092",50.1728075172836
"sunlight","day 093",49.6065432229776
"sunlight","day 094",49.0003295606474
"sunlight","day 095",48.3623217480594
"sunlight","day 096",47.6957285897075
"sunlight","day 097",47.0013387061764
"sunlight","day 098",46.2752063956862
"sunlight","day 099",45.5125110926895
"sunlight","day 100",44.7096670989335
"sunlight","day 101",43.8630786488056
"sunlight","day 102",42.9678748399615
"sunlight","day 103",42.0267600389374
"sunlight","day 104",41.0740148245257
"sunlight","day 105",40.1495219365154
"sunlight","day 106",39.2839965464263
"sunlight","day 107",38.4987751800305
"sunlight","day 108",37.7879700700892
"sunlight","day 109",37.1430975825214
"sunlight","day 110",36.5627733654761
"sunlight","day 111",36.0695193091826
"sunlight","day 112",35.689067329546
"sunlight","day 113",35.436083203093
"sunlight","day 114",35.3262729607479
"sunlight","day 115",35.3905697904018
"sunlight","day 116",35.6638583709854
"sunlight","day 117",36.1816021886203
"sunlight","day 118",36.969398440144
"sunlight","day 119",38.0128003580668
"sunlight","day 120",39.2783075358213
"sunlight","day 121",40.6962489748556
"sunlight","day 122",42.1846016108295
"sunlight","day 123",43.6481047082328
"sunlight","day 124",44.9822564464088
"sunlight","day 125",46.0588283352823
"sunlight","day 126",46.7579733040072
"sunlight","day 127",47.0170966280719
"sunlight","day 128",46.8002505336817
"sunlight","day 129",46.1264556934003
"sunlight","day 130",45.0495986032188
"sunlight","day 131",43.6385943496228
