"dimension","time","value"
"sunlight","day 001",27.4465141221005
"sunlight","day 002",27.482219060276
"sunlight","day 003",28.1082393621828
"sunlight","day 004",29.067440231332
"sunlight","day 005",29.8592407173612
"sunlight","day 006",30.0645510993949
"sunlight","day 007",29.4576882341965
"sunlight","day 008",28.5051040595983
"sunlight","day 009",27.7313583498052
"sunlight","day 010",27.2013071434446
"sunlight","day 011",26.8743208242676
"sunlight","day 012",26.7475308920986
"sunlight","day 013",26.824357493335
"sunlight","day 014",27.0956142445944
"sunlight","day 015",27.5531027958575
"sunlight","day 016",28.2051834603394
"sunlight","day 017",29.0653032390632
"sunlight","day 018",30.1506972210507
"sunlight","day 019",31.4755160320806
"sunlight","day 020",33.0377843569611
"sunlight","day 021",34.8277555410037
"sunlight","day 022",36.8207235125039
"sunlight","day 023",38.9855983582573
"sunlight","day 024",41.2777124389517
"sunlight","day 025",43.6377470195281
"sunlight","day 026",45.9989204156031
"sunlight","day 027",48.2766062539969
"sunlight","day 028",50.3846293878664
"sunlight","day 029",52.2484642645111
"sunlight","day 030",53.8008726209384
"sunlight","day 031",54.9921157588431
"sunlight","day 032",55.7798973726201
"sunlight","day 033",56.1341911627778
"sunlight","day 034",56.039642792176
"sunlight","day 035",55.5273157669665
"sunlight","day 036",54.6446965339483
"sunlight","day 037",53.4585454592161
"sunlight","day 038",52.0404934002365
"sunlight","day 039",50.4623792606681
"sunlight","day 040",48.7966697773554
"sunlight","day 041",47.1181349736936
"sunlight","day 042",45.4995334786382
"sunlight","day 043",44.0032750568353
"sunlight","day 044",42.6871084073736
"sunlight","day 045",41.5938060830632
"sunlight","day 046",40.737343793802
"sunlight","day 047",40.1202653514144
"sunlight","day 048",39.7261099688622
"sunlight","day 049",39.5364264481131
"sunlight","day 050",39.5438065460204
"sunlight","day 051",39.7422454555281
"sunlight","day 052",40.1203091590591
"sunlight","day 053",40.6414268115955
"sunlight","day 054",41.1739094688797
"sunlight","day 055",41.5890875084888
"sunlight","day 056",41.8654866945785
"sunlight","day 057",42.0147846911038
"sunlight","day 058",42.0740713746377
"sunlight","day 059",42.0855794253192
"sunlight","day 060",42.0867005249342
"sunlight","day 061",42.1185182326315
"sunlight","day 062",42.2417246153652
"sunlight","day 063",42.5159281692782
"sunlight","day 064",42.9767945994645
"sunlight","day 065",43.6538004044854
"sunlight","day 066",44.5730907825992
"sunlight","day 067",45.7505383624034
"sunlight","day 068",47.1961508687868
"sunlight","day 069",48.906545472694
"sunlight","day 070",50.865187687185
"sunlight","day 071",53.016326947727
"sunlight","day 072",55.2888192575003
"sunlight","day 073",57.5891629681292
"sunlight","day 074",59.8143609228941
"sunlight","day 075",61.8457915832542
"sunlight","day 076",63.5639736540434
"sunlight","day 077",64.8616111954136
"sunlight","day 078",65.6482749793586
"sunlight","day 079",65.8888172699179
"sunlight","day 080",65.5792573794757
"sunlight","day 081",64.7850013217496
"sunlight","day 082",63.5964277614757
"sunlight","day 083",62.134419266134
"sunlight","day 084",60.5236019635701
"sunlight","day 085",58.8730723203497
"sunlight","day 086",57.286816432157
"sunlight","day 087",55.8531881495326
"sunlight","day 088",54.6164316758679
"sunlight","day 089",53.6017725320252
"sunlight","day 090",52.8012432003381
"sunlight","day 091",52.207399451851
"sunlight","day 092",51.848083250979
"sunlight","day 093",51.7751164506292
"sunlight","day 094",52.1009542643056
"sunlight","day 095",52.91626258161
"sunlight","day 096",54.1639166359392
"sunlight","day 097",55.7493735064351
"sunlight","day 098",57.5762083114252
"sunlight","day 099",59.5419469123841
"sunlight","day 100",61.5218001041892
"sunlight","day 101",63.3845183343918
"sunlight","day 102",64.9953257278354
"sunlight","day 103",66.2223494232565
"sunlight","day 104",66.948854937671
"sunlight","day 105",67.0903871217037
"sunlight","day 106",66.6764697821357
"sunlight","day 107",65.768066129609
"sunlight","day 108",64.447307872015
"sunlight","day 109",62.8368307339197
"sunlight","day 110",61.0652345544332
"sunlight","day 111",59.247416278991
"sunlight","day 112",57.4864710283743
"sunlight","day 113",55.8519895184224
"sunlight","day 114",54.4015911909984
"sunlight","day 115",53.1785147970018
"sunlight","day 116",52.2151475483123
"sunlight","day 117",51.5148511916925
"sunlight","day 118",51.0709992585998
"sunlight","day 119",50.8660378843855
"sunlight","day 120",50.8778253352635
"sunlight","day 121",51.0767957970025
"sunlight","day 122",51.4335290360986
"sunlight","day 123",51.9266112224011
"sunlight","day 124",52.5349692106286
"sunlight","day 125",53.2308861916219
"sunlight","day 126",53.9886744546175
"sunlight","day 127",54.7974063463125
"sunlight","day 128",55.6545788969057
"sunlight","day 129",56.5564351927468
"sunlight","day 130",57.4231825077481
"sunlight","day 131",58.1673126140193
"sunlight","day 132",58.7512257580346
"sunlight","day 133",59.1581706201769
"sunlight","day 134",59.4048811421004
"sunlight","day 135",59.5168972412694
"sunlight","day 136",59.521497477117
"sunlight","day 137",59.4470055193736
"sunlight","day 138",59.3241868369873
"sunlight","day 139",59.1817605334351
"sunlight","day 140",59.0378184510911
"sunlight","day 141",58.9094907556248
"sunlight","day 142",58.8206881669901
"sunlight","day 143",58.7951270722632
"sunlight","day 144",58.8489659727258
"sunlight","day 145",58.998274290798
"sunlight","day 146",59.266323019248
"sunlight","day 147",59.6763503110017
"sunlight","day 148",60.2442613892666
"sunlight","day 149",60.9675928565222
"sunlight","day 150",61.7777397620543
"humidity","day 001",31.9488026669996
"humidity","day 002",31.9821799484431
"humidity","day 003",31.5141756649524
"humidity","day 004",31.0494594153868
"humidity","day 005",31.2111852905829
"humidity","day 006",32.0837692399498
"humidity","day 007",33.5420573384722
"humidity","day 008",35.1613543048664
"humidity","day 009",36.4486121533549
"humidity","day 010",36.936913436455
"humidity","day 011",36.2313985427488
"humidity","day 012",34.1993086667831
"humidity","day 013",31.0395055810562
"humidity","day 014",28.0152325639085
"humidity","day 015",26.3094876378962
"humidity","day 016",25.7199062965967
"humidity","day 017",25.7819619938673
"humidity","day 018",26.3678425536637
"humidity","day 019",27.420025230373
"humidity","day 020",28.8254306300117
"humidity","day 021",30.4296092625774
"humidity","day 022",31.968187902365
"humidity","day 023",33.1547038770038
"humidity","day 024",33.7870214971423
"humidity","day 025",33.919440696598
"humidity","day 026",33.6757139740781
"humidity","day 027",33.2063599519423
"humidity","day 028",32.639141684216
"humidity","day 029",31.9840338279343
"humidity","day 030",31.2313034462311
"humidity","day 031",30.4101756236236
"humidity","day 032",29.5722771214567
"humidity","day 033",28.8198833870038
"humidity","day 034",28.2434232099008
"humidity","day 035",27.8352900633072
"humidity","day 036",27.5603794235821
"humidity","day 037",27.3716300963613
"humidity","day 038",27.2271935449577
"humidity","day 039",27.1180285341164
"humidity","day 040",27.0589196849271
"humidity","day 041",27.1271477424254
"humidity","day 042",27.3944234240128
"humidity","day 043",27.8476812126078
"humidity","day 044",28.4312837400663
"humidity","day 045",29.0284827608094
"humidity","day 046",29.5987534061451
"humidity","day 047",30.1541640382914
"humidity","day 048",30.8195547737782
"humidity","day 049",31.7300919474982
"humidity","day 050",32.9494750134844
"humidity","day 051",34.4854903088602
"humidity","day 052",36.1937385839717
"humidity","day 053",37.8971292203165
"humidity","day 054",39.4399917107759
"humidity","day 055",40.6737080139479
"humidity","day 056",41.4564498399139
"humidity","day 057",41.684128446053
"humidity","day 058",41.3968235274523
"humidity","day 059",40.6698242113832
"humidity","day 060",39.5750889161485
"humidity","day 061",38.1861108622246
"humidity","day 062",36.5858531877519
"humidity","day 063",34.8509981367493
"humidity","day 064",33.023634459085
"humidity","day 065",31.1339405163228
"humidity","day 066",29.2171844741499
"humidity","day 067",27.3779239362417
"humidity","day 068",25.7288699283613
"humidity","day 069",24.3427957118672
"humidity","day 070",23.255433390199
"humidity","day 071",22.3942881995269
"humidity","day 072",21.6837075862915
"humidity","day 073",21.1436347052856
"humidity","day 074",20.8090868965545
"humidity","day 075",20.6797825328017
"humidity","day 076",20.7650959447681
"humidity","day 077",21.1483242626846
"humidity","day 078",21.9028871562972
"humidity","day 079",22.9887716539214
"humidity","day 080",24.3330212614735
"humidity","day 081",25.8443380367034
"humidity","day 082",27.4434800790357
"humidity","day 083",29.1177711027619
"humidity","day 084",30.8471284162406
"humidity","day 085",32.5152780892327
"humidity","day 086",33.9665151929647
"humidity","day 087",35.0278101400789
"humidity","day 088",35.687582542156
"humidity","day 089",35.9781473725342
"humidity","day 090",35.9305686637584
"humidity","day 091",35.5862735479169
"humidity","day 092",35.029392496066
"humidity","day 093",34.3205061717016
"humidity","day 094",33.3832926691123
"humidity","day 095",32.1386051980294
"humidity","day 096",30.6328999991655
"humidity","day 097",28.9480720080973
"humidity","day 098",27.1821679088785
"humidity","day 099",25.4425291268585
"humidity","day 100",23.8575243040938
"humidity","day 101",22.5250732100436
"humidity","day 102",21.4002729070703
"humidity","day 103",20.4122839802839
"humidity","day 104",19.5293438128814
"humidity","day 105",18.7310552497286
"humidity","day 106",18.0034061842786
"humidity","day 107",17.338592078819
"humidity","day 108",16.7528106574213
"humidity","day 109",16.2890990909837
"humidity","day 110",15.9853941836945
"humidity","day 111",15.8370031327645
"humidity","day 112",15.8218554488599
"humidity","day 113",15.8909995034467
"humidity","day 114",15.997491541207
"humidity","day 115",16.1293004388879
"humidity","day 116",16.2851614709243
"humidity","day 117",16.4719628704356
"humidity","day 118",16.6954359199288
"humidity","day 119",16.9485311407775
"humidity","day 120",17.2116511794842
"humidity","day 121",17.4277879442024
"humidity","day 122",17.5372958585162
"humidity","day 123",17.5073901460828
"humidity","day 124",17.3157030798202
"humidity","day 125",16.954674329617
"humidity","day 126",16.4244950471501
"humidity","day 127",15.7415549142778
"humidity","day 128",14.9086955360797
"humidity","day 129",13.8953461455782
"humidity","day 130",12.8012521274233
"humidity","day 131",11.7513058981308
"humidity","day 132",10.8230741407261
"humidity","day 133",10.0627092081832
"humidity","day 134",9.43803186676027
"humidity","day 135",8.90921044660072
"humidity","day 136",8.48413512010406
"humidity","day 137",8.1744158639498
"humidity","day 138",7.95882002968081
"humidity","day 139",7.81163349301514
"humidity","day 140",7.72205885150787
"humidity","day 141",7.68379043798205
"humidity","day 142",7.69357280449567
"humidity","day 143",7.7478405550153
"humidity","day 144",7.83873828190769
"humidity","day 145",7.95535785425363
"humidity","day 146",8.07887025959
"humidity","day 147",8.18938490604251
"humidity","day 148",8.27068576563602
"humidity","day 149",8.31386749432061
"humidity","day 150",8.33559291984861
